YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,12.5,97,0.0,0.0
2021,1,1,3,18.0,78,0.0,0.0
2021,1,1,6,25.0,52,0.0,0.0
2021,1,1,9,24.7,48,0.0,0.0
2021,1,1,12,22.0,67,0.0,0.0
2021,1,1,15,19.0,85,0.0,0.0
2021,1,1,18,16.7,92,0.0,0.0
2021,1,1,21,13.3,94,0.0,0.0
2021,1,2,0,12.8,96,0.0,0.0
2021,1,2,3,16.5,87,0.0,0.0
2021,1,2,6,24.5,50,0.0,0.0
2021,1,2,9,25.0,44,0.0,0.0
2021,1,2,12,20.0,75,0.0,0.0
2021,1,2,15,19.0,85,0.0,0.0
2021,1,2,18,16.8,93,0.0,0.0
2021,1,2,21,14.0,95,0.0,0.0
2021,1,3,0,12.2,96,0.0,0.0
2021,1,3,3,17.0,84,0.0,0.0
2021,1,3,6,25.7,46,0.0,0.0
2021,1,3,9,25.5,45,0.0,0.0
2021,1,3,12,18.5,85,0.0,0.0
2021,1,3,15,15.6,93,0.0,0.0
2021,1,3,18,14.3,95,0.0,0.0
2021,1,3,21,14.0,95,0.0,0.0
2021,1,4,0,12.5,96,0.0,0.0
2021,1,4,3,15.8,83,0.0,0.0
2021,1,4,6,26.7,47,0.0,0.0
2021,1,4,9,27.0,45,0.0,0.0
2021,1,4,12,21.3,77,0.0,0.0
2021,1,4,15,18.5,88,0.0,0.0
2021,1,4,18,16.0,92,0.0,0.0
2021,1,4,21,14.5,95,0.0,0.0
2021,1,5,0,13.8,97,0.0,0.0
2021,1,5,3,20.5,78,0.0,0.0
2021,1,5,6,27.8,48,0.0,0.0
2021,1,5,9,28.0,43,0.0,0.0
2021,1,5,12,20.2,85,0.0,0.0
2021,1,5,15,17.5,95,0.0,0.0
2021,1,5,18,16.0,96,0.0,0.0
2021,1,5,21,15.0,95,0.0,0.0
2021,1,6,0,14.3,97,0.0,0.0
2021,1,6,3,20.0,85,0.0,0.0
2021,1,6,6,27.2,47,0.0,0.0
2021,1,6,9,28.2,45,0.0,0.0
2021,1,6,12,21.0,80,0.0,0.0
2021,1,6,15,18.0,92,0.0,0.0
2021,1,6,18,16.0,94,0.0,0.0
2021,1,6,21,17.5,94,0.0,0.0
2021,1,7,0,15.4,95,0.0,0.0
2021,1,7,3,21.0,75,0.0,0.0
2021,1,7,6,28.0,50,0.0,0.0
2021,1,7,9,28.6,50,0.0,0.0
2021,1,7,12,23.5,81,0.0,0.0
2021,1,7,15,19.4,88,0.0,0.0
2021,1,7,18,17.2,93,0.0,0.0
2021,1,7,21,16.4,94,0.0,0.0
2021,1,8,0,16.0,97,0.0,0.0
2021,1,8,3,21.0,84,0.0,0.0
2021,1,8,6,29.0,45,0.0,0.0
2021,1,8,9,28.5,41,0.0,0.0
2021,1,8,12,22.7,81,0.0,0.0
2021,1,8,15,19.6,88,0.0,0.0
2021,1,8,18,17.0,93,0.0,0.0
2021,1,8,21,16.5,92,0.0,0.0
2021,1,9,0,16.3,92,0.0,0.0
2021,1,9,3,22.0,76,0.0,0.0
2021,1,9,6,27.0,47,0.0,0.0
2021,1,9,9,27.5,43,0.0,0.0
2021,1,9,12,21.2,88,0.0,0.0
2021,1,9,15,19.0,95,0.0,0.0
2021,1,9,18,16.5,96,0.0,0.0
2021,1,9,21,17.5,96,0.0,0.0
2021,1,10,0,16.5,96,0.0,0.0
2021,1,10,3,21.2,88,0.0,0.0
2021,1,10,6,27.0,49,0.0,0.0
2021,1,10,9,27.8,45,0.0,0.0
2021,1,10,12,23.5,77,0.0,0.0
2021,1,10,15,21.3,85,0.0,0.0
2021,1,10,18,19.0,92,0.0,0.0
2021,1,10,21,19.0,95,0.0,0.0
2021,1,11,0,19.2,95,0.0,0.0
2021,1,11,3,22.0,86,0.0,0.0
2021,1,11,6,28.0,53,0.0,0.0
2021,1,11,9,28.0,53,0.0,0.0
2021,1,11,12,22.7,84,0.0,0.0
2021,1,11,15,21.4,87,0.0,0.0
2021,1,11,18,19.4,94,0.0,0.0
2021,1,11,21,18.0,95,0.0,0.0
2021,1,12,0,17.3,97,0.0,0.0
2021,1,12,3,19.3,87,0.0,0.0
2021,1,12,6,25.5,55,0.0,0.0
2021,1,12,9,25.7,49,0.0,0.0
2021,1,12,12,20.0,83,0.0,0.0
2021,1,12,15,19.0,83,0.0,0.0
2021,1,12,18,17.4,90,0.0,0.0
2021,1,12,21,16.0,92,0.0,0.0
2021,1,13,0,14.2,93,0.0,0.0
2021,1,13,3,17.0,84,0.0,0.0
2021,1,13,6,22.0,50,0.0,0.0
2021,1,13,9,22.4,56,0.0,0.0
2021,1,13,12,20.5,71,0.0,0.0
2021,1,13,15,18.5,88,0.0,0.0
2021,1,13,18,16.3,92,0.0,0.0
2021,1,13,21,15.2,90,0.0,0.0
2021,1,14,0,14.8,91,0.0,0.0
2021,1,14,3,17.0,82,0.0,0.0
2021,1,14,6,22.8,53,0.0,0.0
2021,1,14,9,22.6,56,0.0,0.0
2021,1,14,12,21.0,73,0.0,0.0
2021,1,14,15,19.0,87,0.0,0.0
2021,1,14,18,16.5,93,0.0,0.0
2021,1,14,21,12.2,92,0.0,0.0
