YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,13.1,99,0.0,1.0
2021,1,1,3,19.8,81,0.0,0.0
2021,1,1,6,27.0,49,0.0,1.0
2021,1,1,9,27.4,38,0.0,1.0
2021,1,1,12,19.8,86,0.0,0.0
2021,1,1,15,16.0,94,0.0,0.0
2021,1,1,18,15.3,97,0.0,0.0
2021,1,1,21,14.2,97,0.0,0.0
2021,1,2,0,13.3,99,0.0,0.0
2021,1,2,3,19.5,85,0.0,0.0
2021,1,2,6,25.5,54,0.0,1.0
2021,1,2,9,27.5,37,0.0,1.0
2021,1,2,12,19.0,93,0.0,0.0
2021,1,2,15,16.5,97,0.0,0.0
2021,1,2,18,16.2,96,0.0,0.0
2021,1,2,21,14.4,97,0.0,0.0
2021,1,3,0,13.7,97,0.0,0.0
2021,1,3,3,20.0,86,0.0,0.0
2021,1,3,6,27.4,49,0.0,0.0
2021,1,3,9,27.8,43,0.0,1.0
2021,1,3,12,19.9,86,0.0,0.0
2021,1,3,15,16.7,97,0.0,0.0
2021,1,3,18,16.3,97,0.0,0.0
2021,1,3,21,14.4,99,0.0,0.0
2021,1,4,0,14.1,99,0.0,0.0
2021,1,4,3,21.4,83,0.0,1.0
2021,1,4,6,28.2,48,0.0,1.0
2021,1,4,9,29.0,41,0.0,1.0
2021,1,4,12,19.8,86,0.0,0.0
2021,1,4,15,17.4,96,0.0,0.0
2021,1,4,18,17.0,97,0.0,0.0
2021,1,4,21,15.8,98,0.0,0.0
2021,1,5,0,15.1,99,0.0,0.0
2021,1,5,3,22.7,80,0.0,1.0
2021,1,5,6,28.8,48,0.0,1.0
2021,1,5,9,30.0,42,0.0,1.0
2021,1,5,12,21.7,85,0.0,0.0
2021,1,5,15,18.4,96,0.0,0.0
2021,1,5,18,17.9,97,0.0,0.0
2021,1,5,21,16.4,98,0.0,0.0
2021,1,6,0,15.7,98,0.0,0.0
2021,1,6,3,22.5,84,0.0,1.0
2021,1,6,6,29.0,41,0.0,2.0
2021,1,6,9,30.2,37,0.0,0.0
2021,1,6,12,22.5,79,0.0,0.0
2021,1,6,15,19.0,95,0.0,0.0
2021,1,6,18,18.1,97,0.0,0.0
2021,1,6,21,16.8,98,0.0,0.0
2021,1,7,0,16.3,99,0.0,0.0
2021,1,7,3,23.1,76,0.0,0.0
2021,1,7,6,29.5,40,0.0,2.0
2021,1,7,9,31.0,34,0.0,1.0
2021,1,7,12,22.5,77,0.0,0.0
2021,1,7,15,19.2,93,0.0,0.0
2021,1,7,18,18.6,95,0.0,0.0
2021,1,7,21,16.8,98,0.0,0.0
2021,1,8,0,16.5,99,0.0,0.0
2021,1,8,3,23.0,81,0.0,0.0
2021,1,8,6,29.9,37,0.0,2.0
2021,1,8,9,30.0,37,0.0,1.0
2021,1,8,12,22.1,79,0.0,0.0
2021,1,8,15,18.9,95,0.0,0.0
2021,1,8,18,18.4,96,0.0,0.0
2021,1,8,21,17.2,98,0.0,0.0
2021,1,9,0,16.2,99,0.0,0.0
2021,1,9,3,21.8,84,0.0,1.0
2021,1,9,6,28.0,43,0.0,2.0
2021,1,9,9,28.8,43,0.0,1.0
2021,1,9,12,21.7,80,0.0,0.0
2021,1,9,15,18.7,97,0.0,0.0
2021,1,9,18,18.4,96,0.0,0.0
2021,1,9,21,17.4,98,0.0,0.0
2021,1,10,0,17.2,98,0.0,0.0
2021,1,10,3,21.7,89,0.0,0.0
2021,1,10,6,28.5,53,0.0,0.0
2021,1,10,9,28.0,53,0.0,1.0
2021,1,10,12,22.4,87,0.0,0.0
2021,1,10,15,20.0,96,0.0,0.0
2021,1,10,18,19.6,97,0.0,0.0
2021,1,10,21,18.4,98,0.0,0.0
2021,1,11,0,20.0,100,0.0,0.0
2021,1,11,3,22.0,94,0.0,0.0
2021,1,11,6,28.6,57,0.0,1.0
2021,1,11,9,28.6,57,0.0,0.0
2021,1,11,12,23.0,91,0.0,0.0
2021,1,11,15,20.0,98,0.0,0.0
2021,1,11,18,19.3,100,0.0,0.0
2021,1,11,21,18.2,98,0.0,0.0
2021,1,12,0,17.3,99,0.0,0.0
2021,1,12,3,21.7,95,0.0,1.0
2021,1,12,6,28.0,50,0.0,1.0
2021,1,12,9,28.0,48,0.0,1.0
2021,1,12,12,21.4,87,0.0,1.0
2021,1,12,15,19.0,95,0.0,0.0
2021,1,12,18,18.0,99,0.0,0.0
2021,1,12,21,17.4,98,0.0,0.0
2021,1,13,0,16.4,97,0.0,1.0
2021,1,13,3,20.7,69,0.0,2.0
2021,1,13,6,24.9,51,0.0,2.0
2021,1,13,9,25.2,45,0.0,2.0
2021,1,13,12,19.2,78,0.0,0.0
2021,1,13,15,16.9,90,0.0,0.0
2021,1,13,18,16.1,97,0.0,0.0
2021,1,13,21,16.2,98,0.0,1.0
2021,1,14,0,17.0,78,0.0,2.0
2021,1,14,3,18.7,74,0.0,0.0
2021,1,14,6,25.2,48,0.0,2.0
2021,1,14,9,25.8,47,0.0,1.0
2021,1,14,12,20.0,85,0.0,0.0
2021,1,14,15,17.2,98,0.0,0.0
2021,1,14,18,16.9,96,0.0,0.0
2021,1,14,21,15.2,98,0.0,0.0
2021,1,15,0,14.8,98,0.0,0.0
2021,1,15,3,18.6,84,0.0,1.0
2021,1,15,6,24.0,53,0.0,2.0
2021,1,15,9,25.0,48,0.0,1.0
2021,1,15,12,18.5,87,0.0,0.0
2021,1,15,15,15.8,97,0.0,0.0
2021,1,15,18,15.4,97,0.0,0.0
2021,1,15,21,14.2,97,0.0,0.0
2021,1,16,0,13.2,99,0.0,0.0
2021,1,16,3,17.8,86,0.0,0.0
2021,1,16,6,24.0,42,0.0,1.0
2021,1,16,9,25.1,35,0.0,1.0
2021,1,16,12,18.0,85,0.0,0.0
2021,1,16,15,14.9,94,0.0,0.0
2021,1,16,18,14.0,99,0.0,0.0
2021,1,16,21,13.4,97,0.0,0.0
2021,1,17,0,12.7,99,0.0,0.0
2021,1,17,3,17.8,92,0.0,0.0
2021,1,17,6,25.0,43,0.0,2.0
2021,1,17,9,25.0,47,0.0,1.0
2021,1,17,12,18.7,84,0.0,0.0
2021,1,17,15,16.0,96,0.0,0.0
2021,1,17,18,15.4,98,0.0,0.0
2021,1,17,21,14.2,99,0.0,0.0
2021,1,18,0,13.1,99,0.0,0.0
2021,1,18,3,18.6,93,0.0,1.0
2021,1,18,6,25.2,46,0.0,1.0
2021,1,18,9,26.5,41,0.0,1.0
2021,1,18,12,19.0,90,0.0,0.0
2021,1,18,15,16.0,98,0.0,0.0
2021,1,18,18,15.7,97,0.0,0.0
2021,1,18,21,14.2,99,0.0,0.0
2021,1,19,0,13.1,99,0.0,0.0
2021,1,19,3,18.5,97,0.0,1.0
2021,1,19,6,25.1,60,0.0,1.0
2021,1,19,9,25.0,81,0.0,1.0
2021,1,19,12,18.9,87,0.0,0.0
2021,1,19,15,16.4,96,0.0,0.0
2021,1,19,18,15.9,97,0.0,0.0
2021,1,19,21,15.6,98,0.0,0.0
2021,1,20,0,15.4,99,0.0,0.0
2021,1,20,3,19.9,90,0.0,0.0
2021,1,20,6,23.7,67,0.0,0.0
