YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,13.5,93,,0.0
2021,1,1,3,20.0,56,0.0,4.0
2021,1,1,6,24.2,45,,2.0
2021,1,1,9,27.4,33,,2.0
2021,1,1,12,21.8,68,,0.0
2021,1,1,15,19.0,79,,0.0
2021,1,1,18,16.2,92,,0.0
2021,1,1,21,15.5,87,,0.0
2021,1,2,0,14.8,90,,2.0
2021,1,2,3,20.5,61,0.0,5.0
2021,1,2,6,24.8,47,,4.0
2021,1,2,9,26.8,43,,0.0
2021,1,2,12,21.6,67,,0.0
2021,1,2,15,18.0,84,,0.0
2021,1,2,18,15.7,91,,0.0
2021,1,2,21,15.0,94,,0.0
2021,1,3,0,14.7,94,,6.0
2021,1,3,3,20.0,70,0.0,8.0
2021,1,3,6,25.5,55,,0.0
2021,1,3,9,27.0,45,,2.0
2021,1,3,12,23.0,68,,0.0
2021,1,3,15,19.0,74,,0.0
2021,1,3,18,17.6,83,,0.0
2021,1,3,21,16.2,87,,0.0
2021,1,4,0,15.0,92,,6.0
2021,1,4,3,19.3,62,0.0,2.0
2021,1,4,6,24.4,46,,2.0
2021,1,4,9,27.2,41,,4.0
2021,1,4,12,22.0,72,,0.0
2021,1,4,15,19.5,79,,0.0
2021,1,4,18,17.0,95,,0.0
2021,1,4,21,16.5,95,,0.0
2021,1,5,0,16.0,94,,2.0
2021,1,5,3,20.0,69,0.0,7.0
2021,1,5,6,26.4,45,,5.0
2021,1,5,9,28.8,36,,6.0
2021,1,5,12,23.0,63,,0.0
2021,1,5,15,19.8,84,,0.0
2021,1,5,18,17.4,89,,0.0
2021,1,5,21,16.6,91,,0.0
2021,1,6,0,16.2,91,,5.0
2021,1,6,3,20.4,78,0.0,8.0
2021,1,6,6,26.2,57,,5.0
2021,1,6,9,27.8,41,,2.0
2021,1,6,12,23.2,67,,0.0
2021,1,6,15,19.6,86,,0.0
2021,1,6,18,18.2,88,,0.0
2021,1,6,21,17.2,91,,0.0
2021,1,7,0,17.0,95,,5.0
2021,1,7,3,20.0,85,0.0,2.0
2021,1,7,6,25.0,58,,2.0
2021,1,7,9,27.5,46,,2.0
2021,1,7,12,23.2,74,,0.0
2021,1,7,15,19.5,90,,0.0
2021,1,7,18,19.0,90,,0.0
2021,1,7,21,17.9,91,,2.0
2021,1,8,0,17.0,91,,2.0
2021,1,8,3,20.0,75,0.0,2.0
2021,1,8,6,25.0,58,,4.0
2021,1,8,9,27.6,40,,0.0
2021,1,8,12,22.5,72,,0.0
2021,1,8,15,19.0,83,,3.0
2021,1,8,18,18.0,84,,2.0
2021,1,8,21,17.0,89,,0.0
2021,1,9,0,16.3,90,,0.0
2021,1,9,3,18.5,79,0.0,2.0
2021,1,9,6,23.5,64,,4.0
2021,1,9,9,25.8,58,,2.0
2021,1,9,12,22.0,80,,0.0
2021,1,9,15,19.5,90,,0.0
2021,1,9,18,18.4,92,,0.0
2021,1,9,21,17.7,92,,0.0
2021,1,10,0,16.6,93,,0.0
2021,1,10,3,17.9,91,0.0,0.0
2021,1,10,6,22.4,71,,4.0
2021,1,10,9,25.0,61,,2.0
2021,1,10,12,21.8,78,,0.0
2021,1,10,15,20.5,86,,0.0
2021,1,10,18,19.2,90,,0.0
2021,1,10,21,18.0,95,,0.0
2021,1,11,0,17.0,95,,0.0
2021,1,11,3,19.3,83,0.0,4.0
2021,1,11,6,25.0,58,,0.0
2021,1,11,9,26.5,49,,4.0
2021,1,11,12,22.2,77,,0.0
2021,1,11,15,19.2,88,,2.0
2021,1,11,18,18.0,89,,0.0
2021,1,11,21,17.0,91,,2.0
2021,1,12,0,16.0,93,,2.0
