YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,12.66,100.0,0.02,3.09
2021,1,1,3,19.15,77.66,0.0,2.43
2021,1,1,6,22.8,65.08,0.0,2.37
2021,1,1,9,22.44,68.4,0.0,2.26
2021,1,1,12,18.83,78.64,0.0,2.06
2021,1,1,15,17.07,81.14,0.0,2.6
2021,1,1,18,14.84,91.74,0.0,3.36
2021,1,1,21,13.33,100.0,0.0,3.55
2021,1,2,0,12.58,100.0,0.0,2.96
2021,1,2,3,19.35,75.61,0.0,1.88
2021,1,2,6,22.6,64.39,0.0,1.81
2021,1,2,9,22.24,67.87,0.0,2.49
2021,1,2,12,18.5,81.87,0.0,2.59
2021,1,2,15,16.87,84.71,0.0,2.68
2021,1,2,18,15.07,93.38,0.0,2.8
2021,1,2,21,13.52,100.0,0.0,3.01
2021,1,3,0,12.75,100.0,0.0,2.97
2021,1,3,3,19.33,77.17,0.0,2.25
2021,1,3,6,22.91,66.07,0.0,2.25
2021,1,3,9,22.72,69.68,0.0,2.4
2021,1,3,12,19.44,78.01,0.0,1.83
2021,1,3,15,18.07,78.84,0.0,2.02
2021,1,3,18,16.29,88.04,0.0,2.22
2021,1,3,21,14.61,99.29,0.0,2.56
2021,1,4,0,14.17,100.0,0.0,2.22
2021,1,4,3,20.06,78.06,0.0,1.56
2021,1,4,6,23.96,63.45,0.0,2.84
2021,1,4,9,23.72,68.2,0.0,2.82
2021,1,4,12,20.37,76.05,0.0,1.63
2021,1,4,15,18.87,78.02,0.0,1.76
2021,1,4,18,16.67,89.74,0.25,2.4
2021,1,4,21,14.93,100.0,0.0,2.88
2021,1,5,0,14.32,100.0,0.0,2.69
2021,1,5,3,20.26,81.57,0.0,2.19
2021,1,5,6,24.05,67.37,0.0,3.27
2021,1,5,9,23.97,70.8,0.0,3.11
2021,1,5,12,20.52,81.61,0.0,1.86
2021,1,5,15,19.28,83.66,0.0,1.85
2021,1,5,18,17.24,94.27,0.0,2.44
2021,1,5,21,15.42,100.0,0.0,2.99
2021,1,6,0,14.78,100.0,0.0,2.89
2021,1,6,3,21.2,78.44,0.0,2.24
2021,1,6,6,24.8,65.69,0.0,2.43
2021,1,6,9,24.93,67.48,0.0,1.99
2021,1,6,12,21.5,77.89,0.0,1.68
2021,1,6,15,19.79,81.77,0.0,2.21
2021,1,6,18,19.57,80.52,0.0,1.36
2021,1,6,21,18.32,88.04,0.0,1.46
2021,1,7,0,17.29,95.61,0.0,1.35
2021,1,7,3,22.21,76.43,0.0,0.49
2021,1,7,6,26.45,57.81,0.0,1.63
2021,1,7,9,26.39,61.23,0.0,1.65
2021,1,7,12,23.06,70.31,0.0,1.49
2021,1,7,15,21.6,74.33,0.0,1.29
2021,1,7,18,20.36,76.07,0.11,1.27
2021,1,7,21,18.3,87.03,0.0,2.14
2021,1,8,0,17.07,94.12,0.0,2.42
2021,1,8,3,21.82,80.08,0.0,1.81
2021,1,8,6,25.77,62.21,0.0,3.38
2021,1,8,9,25.01,66.62,0.0,3.4
2021,1,8,12,20.94,79.86,0.0,2.53
2021,1,8,15,20.53,74.14,0.0,1.95
2021,1,8,18,19.14,77.82,0.0,2.09
2021,1,8,21,17.38,88.0,0.0,2.45
2021,1,9,0,16.12,96.51,0.0,2.42
2021,1,9,3,21.21,77.04,0.0,2.01
2021,1,9,6,24.57,63.19,0.0,2.23
2021,1,9,9,24.2,67.28,0.0,2.23
2021,1,9,12,21.47,75.12,0.0,1.5
2021,1,9,15,20.99,71.34,0.0,0.82
2021,1,9,18,19.69,76.97,0.0,0.71
2021,1,9,21,18.2,86.92,0.0,1.09
2021,1,10,0,17.32,92.51,0.0,0.53
2021,1,10,3,21.61,73.21,0.0,0.98
2021,1,10,6,24.67,66.19,0.0,2.17
2021,1,10,9,24.93,67.62,0.0,1.62
2021,1,10,12,22.56,74.28,0.0,0.94
2021,1,10,15,21.23,79.01,0.0,1.05
2021,1,10,18,20.3,80.92,0.0,0.99
2021,1,10,21,19.51,86.57,0.0,0.58
2021,1,11,0,18.52,93.52,0.0,1.12
2021,1,11,3,23.27,73.36,0.0,0.58
2021,1,11,6,25.93,63.51,0.0,1.52
2021,1,11,9,25.38,68.32,0.0,1.58
2021,1,11,12,22.11,81.82,0.0,1.77
2021,1,11,15,20.42,86.98,0.0,2.14
2021,1,11,18,19.11,92.29,0.0,2.29
2021,1,11,21,17.51,100.0,0.02,2.74
2021,1,12,0,16.69,100.0,0.02,2.7
2021,1,12,3,22.34,76.47,0.0,2.62
2021,1,12,6,24.49,65.83,0.0,2.91
2021,1,12,9,23.95,66.43,0.0,2.82
2021,1,12,12,20.14,79.94,0.0,2.39
2021,1,12,15,18.36,84.25,0.0,3.03
2021,1,12,18,16.73,91.26,0.0,3.35
2021,1,12,21,15.4,98.77,0.01,3.27
2021,1,13,0,14.74,100.0,0.01,3.21
2021,1,13,3,20.73,71.51,0.0,3.06
2021,1,13,6,23.34,58.29,0.0,2.85
2021,1,13,9,22.59,61.73,0.0,3.12
2021,1,13,12,18.27,80.71,0.0,3.1
2021,1,13,15,16.76,83.91,0.0,3.43
2021,1,13,18,15.56,87.19,0.0,3.62
2021,1,13,21,14.47,89.35,0.0,3.58
2021,1,14,0,13.58,91.61,0.0,3.18
2021,1,14,3,19.15,66.61,0.0,2.73
2021,1,14,6,22.21,60.53,0.0,2.12
2021,1,14,9,21.86,65.52,2.83,2.36
2021,1,14,12,18.47,80.41,0.11,2.86
2021,1,14,15,16.87,82.31,0.0,3.2
2021,1,14,18,15.54,85.35,2.53,3.17
2021,1,14,21,14.22,89.78,0.92,3.1
2021,1,15,0,13.58,90.38,2.72,2.75
2021,1,15,3,18.71,70.16,0.0,2.12
2021,1,15,6,21.71,56.97,0.0,2.74
2021,1,15,9,21.1,60.54,0.0,2.52
2021,1,15,12,17.68,74.15,0.0,2.41
2021,1,15,15,16.44,77.17,0.0,2.65
2021,1,15,18,15.1,79.56,0.0,2.93
2021,1,15,21,13.72,83.22,0.0,3.28
2021,1,16,0,12.84,88.59,0.0,3.05
2021,1,16,3,18.41,66.66,0.0,2.01
2021,1,16,6,21.83,50.24,0.0,2.9
