YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,19.79,80.0,0.0,3.87
2021,1,1,3,22.15,71.39,0.0,2.88
2021,1,1,6,23.19,69.51,0.0,2.53
2021,1,1,9,23.04,70.33,0.0,2.47
2021,1,1,12,21.59,74.9,0.0,2.96
2021,1,1,15,20.99,76.58,0.0,3.1
2021,1,1,18,20.3,80.42,0.0,3.83
2021,1,1,21,19.62,84.12,0.0,4.32
2021,1,2,0,19.14,85.56,0.0,3.91
2021,1,2,3,21.37,74.94,0.0,2.6
2021,1,2,6,22.61,67.31,0.0,1.55
2021,1,2,9,22.65,70.49,0.0,2.95
2021,1,2,12,21.08,78.16,0.0,3.86
2021,1,2,15,20.81,76.69,0.0,3.34
2021,1,2,18,20.6,75.83,0.0,2.62
2021,1,2,21,19.94,80.78,0.0,3.39
2021,1,3,0,19.36,84.15,0.0,3.49
2021,1,3,3,21.43,75.76,0.0,3.19
2021,1,3,6,22.89,68.82,0.0,2.61
2021,1,3,9,23.14,69.43,0.0,2.95
2021,1,3,12,21.55,75.65,0.0,3.09
2021,1,3,15,21.08,75.92,0.0,2.96
2021,1,3,18,20.53,78.56,0.0,3.22
2021,1,3,21,19.73,82.99,0.0,3.83
2021,1,4,0,19.47,82.25,0.0,3.73
2021,1,4,3,22.06,71.11,0.0,3.21
2021,1,4,6,23.83,66.78,0.0,3.32
2021,1,4,9,24.16,69.51,0.0,3.21
2021,1,4,12,22.46,74.73,0.0,3.09
2021,1,4,15,21.8,76.27,0.0,3.15
2021,1,4,18,21.04,81.64,0.0,3.56
2021,1,4,21,20.0,88.34,0.0,4.47
2021,1,5,0,19.66,87.65,0.0,4.63
2021,1,5,3,22.26,76.27,0.0,3.39
2021,1,5,6,23.99,72.92,0.0,3.79
2021,1,5,9,24.08,73.17,0.0,4.16
2021,1,5,12,22.46,77.69,0.0,3.69
2021,1,5,15,21.99,78.42,0.0,3.29
2021,1,5,18,21.23,83.13,0.0,3.79
2021,1,5,21,20.46,86.88,0.0,4.34
2021,1,6,0,20.12,86.65,0.0,4.42
2021,1,6,3,22.52,74.66,0.0,3.39
2021,1,6,6,24.19,68.26,0.0,3.01
2021,1,6,9,24.7,67.1,0.0,2.83
2021,1,6,12,22.85,74.69,0.0,3.37
2021,1,6,15,22.21,78.15,0.0,3.43
2021,1,6,18,21.95,80.75,0.0,3.11
2021,1,6,21,21.14,84.77,0.0,3.14
2021,1,7,0,20.62,85.8,0.0,3.16
2021,1,7,3,22.81,77.12,0.0,2.53
2021,1,7,6,24.56,70.14,0.0,2.94
2021,1,7,9,24.8,71.44,0.0,3.35
2021,1,7,12,23.41,76.59,0.0,3.74
2021,1,7,15,23.05,76.69,0.0,3.76
2021,1,7,18,22.5,80.95,0.0,4.23
2021,1,7,21,21.86,84.54,0.0,4.6
2021,1,8,0,21.73,81.87,0.0,4.19
2021,1,8,3,23.85,73.17,0.0,3.74
2021,1,8,6,25.13,68.95,0.0,4.39
2021,1,8,9,25.23,70.96,0.0,4.24
2021,1,8,12,23.94,75.25,0.0,4.31
2021,1,8,15,23.25,77.46,0.0,4.18
2021,1,8,18,22.4,79.85,0.0,4.34
2021,1,8,21,21.63,80.63,0.0,4.65
2021,1,9,0,21.06,80.74,0.0,4.38
2021,1,9,3,23.13,68.66,0.0,3.83
2021,1,9,6,24.27,63.0,0.0,3.3
2021,1,9,9,24.23,65.47,0.0,3.16
2021,1,9,12,22.62,73.93,0.0,3.83
2021,1,9,15,22.23,75.37,0.0,3.49
2021,1,9,18,21.65,78.58,0.0,3.39
2021,1,9,21,20.89,81.86,0.0,3.59
2021,1,10,0,20.35,82.56,0.0,3.22
2021,1,10,3,22.08,75.4,0.0,3.05
2021,1,10,6,23.52,70.91,0.0,3.29
