YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,11.81,100.0,0.0,1.79
2021,1,1,3,18.88,76.04,0.0,1.23
2021,1,1,6,23.59,57.58,0.0,1.09
2021,1,1,9,23.28,59.79,0.0,1.32
2021,1,1,12,18.98,72.56,0.0,1.86
2021,1,1,15,15.99,83.82,0.0,2.58
2021,1,1,18,13.78,94.51,0.0,2.76
2021,1,1,21,12.09,100.0,0.0,2.72
2021,1,2,0,11.84,100.0,0.0,1.88
2021,1,2,3,19.32,74.83,0.0,0.79
2021,1,2,6,23.37,59.4,0.0,0.89
2021,1,2,9,23.05,60.68,0.0,1.21
2021,1,2,12,19.13,71.89,0.0,1.73
2021,1,2,15,16.17,82.72,0.0,2.41
2021,1,2,18,13.89,93.89,0.0,2.66
2021,1,2,21,12.87,98.67,0.0,2.12
2021,1,3,0,12.48,100.0,0.0,1.62
2021,1,3,3,18.71,78.0,0.0,0.99
2021,1,3,6,23.75,59.22,0.0,1.36
2021,1,3,9,23.86,58.82,0.0,0.88
2021,1,3,12,20.04,68.04,0.0,1.29
2021,1,3,15,17.15,78.64,0.0,2.03
2021,1,3,18,15.44,86.2,0.0,1.83
2021,1,3,21,14.42,91.85,0.0,1.19
2021,1,4,0,13.58,97.39,0.0,1.02
2021,1,4,3,19.52,77.04,0.0,0.85
2021,1,4,6,24.57,56.92,0.0,1.42
2021,1,4,9,24.47,59.66,0.0,1.6
2021,1,4,12,20.48,68.32,0.0,1.46
2021,1,4,15,17.99,76.91,0.0,1.77
2021,1,4,18,15.87,87.86,0.26,1.97
2021,1,4,21,14.49,95.07,0.0,1.83
2021,1,5,0,13.82,99.25,0.0,1.38
2021,1,5,3,19.64,78.67,0.0,1.09
2021,1,5,6,24.7,59.08,0.0,2.11
2021,1,5,9,24.85,60.93,0.0,1.61
2021,1,5,12,21.16,70.03,0.0,1.15
2021,1,5,15,17.94,82.8,0.0,2.2
2021,1,5,18,15.74,93.86,0.0,2.29
2021,1,5,21,14.73,98.63,0.0,1.91
2021,1,6,0,14.78,97.56,0.0,1.31
2021,1,6,3,21.19,74.23,0.0,1.06
2021,1,6,6,25.97,57.98,0.0,1.67
2021,1,6,9,26.25,58.59,0.0,1.1
2021,1,6,12,22.25,69.67,0.0,1.34
2021,1,6,15,19.35,80.67,0.0,2.16
2021,1,6,18,18.61,81.68,0.0,1.8
2021,1,6,21,16.75,91.6,0.0,2.14
2021,1,7,0,15.85,97.58,0.0,2.14
2021,1,7,3,22.14,73.92,0.0,0.97
2021,1,7,6,27.43,51.64,0.0,1.46
2021,1,7,9,27.07,55.07,0.0,1.65
2021,1,7,12,23.53,62.22,0.0,0.86
2021,1,7,15,19.81,76.86,0.0,2.11
2021,1,7,18,17.27,87.94,0.12,2.5
2021,1,7,21,15.6,98.57,0.0,2.48
2021,1,8,0,14.41,100.0,0.0,2.49
2021,1,8,3,21.38,77.95,0.0,2.05
2021,1,8,6,26.41,53.84,0.0,2.34
2021,1,8,9,25.75,57.3,0.0,2.07
2021,1,8,12,21.3,72.0,0.0,1.98
2021,1,8,15,18.92,79.75,0.0,2.2
2021,1,8,18,17.17,86.38,0.0,2.24
2021,1,8,21,15.83,92.58,0.0,2.01
2021,1,9,0,14.74,97.81,0.0,1.59
2021,1,9,3,20.82,73.36,0.0,1.24
2021,1,9,6,24.93,57.33,0.0,2.14
2021,1,9,9,24.4,60.47,0.0,2.15
2021,1,9,12,20.61,72.34,0.0,1.69
2021,1,9,15,18.83,77.95,0.0,1.78
2021,1,9,18,17.26,84.21,0.0,1.81
2021,1,9,21,15.57,93.75,0.0,2.15
2021,1,10,0,14.77,98.84,0.0,1.67
2021,1,10,3,20.53,75.58,0.0,0.87
2021,1,10,6,24.79,61.52,0.0,1.81
2021,1,10,9,24.77,64.97,0.0,1.62
2021,1,10,12,22.16,71.49,0.0,0.83
2021,1,10,15,21.17,73.45,0.0,0.64
2021,1,10,18,19.23,81.97,0.0,1.17
2021,1,10,21,17.57,90.93,0.0,1.47
2021,1,11,0,16.4,98.41,0.0,1.42
2021,1,11,3,22.44,73.91,0.0,0.71
2021,1,11,6,25.88,61.78,0.0,1.22
2021,1,11,9,25.38,64.31,0.0,1.22
2021,1,11,12,22.54,73.87,0.0,1.17
2021,1,11,15,19.43,88.27,0.0,2.54
2021,1,11,18,17.78,93.52,0.0,2.52
2021,1,11,21,16.05,100.0,0.0,2.34
2021,1,12,0,15.09,100.0,0.0,2.06
2021,1,12,3,21.68,74.31,0.0,1.75
2021,1,12,6,24.39,58.89,0.0,2.56
2021,1,12,9,23.71,58.93,0.0,2.82
2021,1,12,12,18.44,81.12,0.0,2.54
2021,1,12,15,16.78,86.09,0.0,2.77
2021,1,12,18,15.2,88.6,0.0,2.6
2021,1,12,21,13.63,92.26,0.0,2.37
2021,1,13,0,12.51,97.86,0.0,2.15
2021,1,13,3,19.44,66.99,0.0,1.63
2021,1,13,6,22.88,50.33,0.0,2.48
2021,1,13,9,21.75,52.54,0.0,3.07
2021,1,13,12,15.94,75.41,0.0,2.58
2021,1,13,15,13.86,76.06,0.0,2.74
2021,1,13,18,12.37,77.62,0.0,3.05
2021,1,13,21,10.97,82.84,0.0,2.9
2021,1,14,0,9.81,88.32,0.0,2.57
2021,1,14,3,17.06,63.97,0.0,1.78
2021,1,14,6,21.82,49.34,0.0,2.04
2021,1,14,9,21.14,53.58,0.0,2.48
2021,1,14,12,16.47,69.59,0.0,2.16
2021,1,14,15,13.93,77.04,0.0,2.83
2021,1,14,18,12.03,83.61,8.92,3.11
2021,1,14,21,10.91,85.86,0.0,2.44
2021,1,15,0,11.41,81.72,0.0,1.27
2021,1,15,3,16.57,70.19,0.0,1.26
2021,1,15,6,21.42,49.2,0.0,2.42
2021,1,15,9,20.65,52.49,0.0,2.54
2021,1,15,12,15.72,69.69,0.0,2.34
2021,1,15,15,14.04,71.5,0.0,2.39
2021,1,15,18,12.55,75.6,0.0,2.48
2021,1,15,21,11.64,80.3,0.0,2.22
2021,1,16,0,10.67,93.55,0.0,1.97
2021,1,16,3,17.44,70.74,0.0,1.4
2021,1,16,6,22.03,53.9,0.0,1.7
2021,1,16,9,21.64,55.41,0.0,2.06
2021,1,16,12,17.05,70.3,0.0,1.95
2021,1,16,15,14.25,80.72,0.0,2.56
2021,1,16,18,12.46,86.38,0.0,2.94
2021,1,16,21,11.44,89.64,0.0,2.63
2021,1,17,0,11.48,90.28,0.0,1.87
2021,1,17,3,17.68,71.15,0.0,1.74
2021,1,17,6,21.98,54.55,0.0,2.04
2021,1,17,9,21.48,57.34,0.0,1.66
2021,1,17,12,17.72,69.21,0.0,1.53
2021,1,17,15,14.68,83.58,0.0,2.39
2021,1,17,18,12.94,94.26,0.0,2.6
2021,1,17,21,12.58,97.17,0.0,1.82
2021,1,18,0,12.13,100.0,0.0,1.1
2021,1,18,3,18.73,72.13,0.0,0.2
2021,1,18,6,23.7,53.07,0.0,0.93
2021,1,18,9,23.22,55.31,0.0,1.58
2021,1,18,12,18.21,73.23,0.0,2.0
2021,1,18,15,15.79,82.04,0.0,2.3
2021,1,18,18,14.68,86.65,0.0,1.86
2021,1,18,21,13.95,91.92,0.0,0.96
2021,1,19,0,13.15,97.65,0.0,0.42
2021,1,19,3,18.72,71.85,0.0,1.69
2021,1,19,6,22.21,58.67,0.0,2.53
2021,1,19,9,21.96,60.09,0.0,2.28
2021,1,19,12,18.16,72.01,0.0,1.67
2021,1,19,15,15.76,82.22,0.0,2.31
2021,1,19,18,14.31,90.68,0.0,2.65
2021,1,19,21,14.55,94.7,0.03,2.38
2021,1,20,0,14.38,99.4,0.13,2.12
2021,1,20,3,18.12,83.43,0.11,2.43
2021,1,20,6,22.8,64.83,1.22,2.72
2021,1,20,9,21.93,74.45,1.45,2.11
2021,1,20,12,19.45,88.27,6.12,1.47
2021,1,20,15,18.1,95.42,3.06,1.01
2021,1,20,18,17.2,95.94,0.17,0.88
2021,1,20,21,15.22,98.28,0.45,1.69
2021,1,21,0,14.16,96.93,0.46,1.5
2021,1,21,3,20.19,65.7,0.0,1.11
2021,1,21,6,24.13,41.36,0.0,2.85
2021,1,21,9,23.7,39.85,0.0,2.41
2021,1,21,12,17.96,59.13,0.0,2.3
2021,1,21,15,14.57,72.74,0.0,2.97
2021,1,21,18,13.07,78.43,3.56,2.74
2021,1,21,21,11.56,87.75,0.0,2.91
2021,1,22,0,10.47,98.58,0.0,2.84
2021,1,22,3,17.74,73.25,0.0,1.91
2021,1,22,6,23.04,44.48,0.0,1.35
2021,1,22,9,22.28,47.62,0.0,2.15
2021,1,22,12,16.64,69.82,0.0,2.47
2021,1,22,15,14.46,77.02,0.0,2.72
2021,1,22,18,13.15,80.62,0.0,2.64
2021,1,22,21,12.14,83.52,0.0,2.27
2021,1,23,0,11.46,88.55,0.0,1.65
2021,1,23,3,17.86,65.95,0.0,1.16
2021,1,23,6,22.16,48.86,0.0,0.69
2021,1,23,9,21.74,52.46,0.0,1.95
2021,1,23,12,17.21,68.81,0.0,1.84
2021,1,23,15,16.1,69.51,0.0,1.39
2021,1,23,18,15.75,69.96,0.0,0.37
2021,1,23,21,13.84,79.07,0.0,1.03
2021,1,24,0,12.09,87.55,0.0,1.19
2021,1,24,3,18.25,66.8,0.0,0.6
2021,1,24,6,23.27,50.35,0.0,1.34
2021,1,24,9,23.48,50.85,0.0,1.69
2021,1,24,12,19.14,62.81,0.0,1.51
2021,1,24,15,16.34,73.66,0.0,1.88
2021,1,24,18,13.63,86.73,0.0,2.61
2021,1,24,21,11.88,96.23,0.0,2.9
2021,1,25,0,10.66,100.0,0.0,2.63
2021,1,25,3,18.75,66.1,0.0,1.2
2021,1,25,6,23.27,47.61,0.0,2.31
