YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,10.39,100.0,0.0,2.92
2021,1,1,3,17.43,77.98,0.0,2.31
2021,1,1,6,22.9,57.29,0.0,2.7
2021,1,1,9,22.41,61.58,0.0,2.62
2021,1,1,12,16.94,80.29,0.0,2.66
2021,1,1,15,14.93,84.75,0.0,3.0
2021,1,1,18,13.29,90.55,0.0,3.14
2021,1,1,21,11.73,96.52,0.0,3.27
2021,1,2,0,10.55,100.0,0.0,2.83
2021,1,2,3,18.08,77.71,0.0,1.86
2021,1,2,6,22.84,59.92,0.0,2.24
2021,1,2,9,22.11,64.77,0.0,2.31
2021,1,2,12,17.24,80.34,0.0,2.45
2021,1,2,15,15.14,84.48,0.0,2.71
2021,1,2,18,13.43,93.46,0.0,2.95
2021,1,2,21,12.19,99.6,0.0,2.79
2021,1,3,0,11.18,100.0,0.0,2.71
2021,1,3,3,17.64,80.1,0.0,1.84
2021,1,3,6,23.38,59.08,0.0,2.19
2021,1,3,9,23.43,61.45,0.0,1.82
2021,1,3,12,18.71,75.95,0.0,2.09
2021,1,3,15,16.1,84.8,0.0,2.65
2021,1,3,18,14.45,93.29,0.0,2.49
2021,1,3,21,13.36,100.0,0.0,2.22
2021,1,4,0,12.85,100.0,0.0,1.94
2021,1,4,3,19.5,78.8,0.0,1.27
2021,1,4,6,24.54,57.57,0.0,2.27
2021,1,4,9,24.4,60.89,0.0,2.44
2021,1,4,12,19.52,75.87,0.0,2.01
2021,1,4,15,17.29,83.77,0.0,2.17
2021,1,4,18,15.22,96.19,3.46,2.51
2021,1,4,21,13.79,100.0,6.45,2.59
2021,1,5,0,13.31,100.0,0.0,2.12
2021,1,5,3,19.84,82.12,0.0,1.86
2021,1,5,6,24.63,61.59,0.0,2.75
2021,1,5,9,24.77,62.9,0.0,2.41
2021,1,5,12,20.62,74.48,0.0,1.67
2021,1,5,15,17.78,85.18,0.0,2.26
2021,1,5,18,15.55,96.32,0.0,2.51
2021,1,5,21,13.95,100.0,0.0,2.64
2021,1,6,0,13.57,100.0,0.0,2.32
2021,1,6,3,20.8,78.62,0.0,1.59
2021,1,6,6,25.64,58.92,0.0,2.14
2021,1,6,9,25.78,61.39,0.0,1.6
2021,1,6,12,21.96,71.02,0.0,1.39
2021,1,6,15,20.07,75.96,0.0,1.59
2021,1,6,18,19.89,73.45,0.0,0.87
2021,1,6,21,18.18,81.33,0.0,1.16
2021,1,7,0,16.36,92.59,0.0,1.26
2021,1,7,3,21.78,73.94,0.0,0.94
2021,1,7,6,27.27,52.11,0.0,1.69
2021,1,7,9,27.19,55.02,0.0,1.67
2021,1,7,12,23.8,60.64,0.0,0.95
2021,1,7,15,20.61,72.96,0.0,1.8
2021,1,7,18,18.52,80.64,1.59,1.89
2021,1,7,21,17.12,86.46,2.96,1.82
2021,1,8,0,15.78,93.04,0.0,1.97
2021,1,8,3,21.14,80.34,0.0,1.29
2021,1,8,6,26.56,54.17,0.0,2.73
2021,1,8,9,25.82,58.53,0.0,2.51
2021,1,8,12,21.12,74.55,0.0,2.15
2021,1,8,15,19.36,77.77,0.0,2.1
2021,1,8,18,17.79,83.09,0.0,2.1
2021,1,8,21,16.63,88.86,0.0,1.89
2021,1,9,0,15.17,97.41,0.0,1.68
2021,1,9,3,20.5,79.31,0.0,1.3
2021,1,9,6,25.2,56.84,0.0,2.41
2021,1,9,9,24.7,60.76,0.0,2.42
2021,1,9,12,21.11,70.87,0.0,1.57
2021,1,9,15,20.01,72.18,0.0,1.05
2021,1,9,18,18.35,79.1,0.0,1.24
2021,1,9,21,16.78,87.58,0.0,1.44
2021,1,10,0,15.88,92.89,0.0,0.93
2021,1,10,3,20.97,73.27,0.0,1.44
2021,1,10,6,25.21,60.67,0.0,2.66
2021,1,10,9,25.3,64.27,0.0,2.21
2021,1,10,12,23.02,67.88,0.0,0.55
2021,1,10,15,20.79,76.65,0.0,1.22
2021,1,10,18,19.23,82.79,0.0,1.35
2021,1,10,21,18.01,89.09,0.0,1.35
2021,1,11,0,17.42,92.51,0.0,0.96
2021,1,11,3,22.43,74.45,0.0,0.42
2021,1,11,6,26.05,61.66,0.0,1.43
2021,1,11,9,25.61,64.64,0.0,1.52
2021,1,11,12,22.63,74.82,0.0,1.31
2021,1,11,15,19.94,87.46,0.0,2.46
2021,1,11,18,17.89,95.09,0.0,2.74
2021,1,11,21,16.26,100.0,0.0,2.66
2021,1,12,0,15.16,100.0,0.0,2.53
2021,1,12,3,21.97,73.33,0.0,2.14
2021,1,12,6,24.56,58.42,0.0,2.97
2021,1,12,9,23.93,58.19,0.0,3.15
2021,1,12,12,18.68,79.93,0.0,2.48
2021,1,12,15,16.55,86.61,0.0,2.9
2021,1,12,18,15.1,90.97,0.0,2.82
2021,1,12,21,13.93,95.45,0.0,2.51
2021,1,13,0,13.05,100.0,0.0,2.32
2021,1,13,3,19.85,68.32,0.0,1.99
2021,1,13,6,23.15,53.33,0.0,2.37
2021,1,13,9,22.25,54.46,0.0,3.06
2021,1,13,12,16.58,76.84,0.0,2.7
2021,1,13,15,14.41,79.68,0.0,3.16
2021,1,13,18,13.02,80.3,0.0,3.32
2021,1,13,21,11.84,82.51,0.0,3.17
2021,1,14,0,10.71,87.57,0.0,2.77
2021,1,14,3,17.35,65.6,0.0,2.24
2021,1,14,6,22.04,53.13,0.0,1.99
2021,1,14,9,21.57,57.38,0.0,2.37
2021,1,14,12,16.63,77.22,0.0,2.51
2021,1,14,15,14.52,80.88,0.0,3.09
2021,1,14,18,12.91,85.2,45.01,3.16
2021,1,14,21,11.44,88.87,3.56,2.84
2021,1,15,0,10.49,91.47,0.0,2.4
2021,1,15,3,16.63,72.67,0.0,2.06
2021,1,15,6,21.36,51.43,0.0,2.91
2021,1,15,9,20.55,54.17,0.0,2.81
2021,1,15,12,16.1,68.39,0.0,2.11
2021,1,15,15,14.66,68.51,0.0,2.09
2021,1,15,18,12.99,73.36,0.0,2.39
2021,1,15,21,11.85,77.35,0.0,2.36
2021,1,16,0,10.41,89.08,0.0,2.38
2021,1,16,3,16.75,71.14,0.0,1.74
2021,1,16,6,21.84,49.22,0.0,2.51
2021,1,16,9,21.44,51.16,0.0,2.66
2021,1,16,12,16.62,67.86,0.0,1.98
2021,1,16,15,14.15,76.77,0.0,2.54
2021,1,16,18,12.39,84.0,0.0,2.96
2021,1,16,21,11.29,88.4,0.0,2.9
2021,1,17,0,10.47,94.27,0.0,2.62
2021,1,17,3,17.27,72.61,0.0,2.44
2021,1,17,6,21.65,53.0,0.0,2.87
2021,1,17,9,21.08,57.51,0.0,2.62
2021,1,17,12,16.49,75.19,0.0,2.1
2021,1,17,15,14.48,83.22,0.0,2.39
2021,1,17,18,12.87,93.53,0.0,2.74
2021,1,17,21,12.11,98.66,0.0,2.32
2021,1,18,0,10.97,100.0,0.0,2.31
2021,1,18,3,17.91,75.73,0.0,1.47
2021,1,18,6,22.66,55.97,0.0,1.35
2021,1,18,9,22.36,57.9,0.0,1.95
2021,1,18,12,18.44,69.27,0.0,1.57
2021,1,18,15,16.62,74.36,0.0,1.65
2021,1,18,18,15.54,77.46,0.0,1.24
2021,1,18,21,14.32,83.18,0.0,0.7
2021,1,19,0,12.96,91.6,0.0,0.4
2021,1,19,3,18.17,70.0,0.0,0.97
2021,1,19,6,22.4,54.71,0.0,1.79
2021,1,19,9,22.4,56.51,0.0,1.41
2021,1,19,12,18.89,66.61,0.0,1.44
2021,1,19,15,15.69,83.25,0.0,2.77
2021,1,19,18,14.64,90.55,0.0,2.86
2021,1,19,21,14.91,94.84,0.02,2.42
2021,1,20,0,14.74,99.25,0.06,2.13
2021,1,20,3,19.55,80.06,0.14,2.43
2021,1,20,6,24.13,65.34,0.22,3.08
2021,1,20,9,23.52,72.69,0.76,1.8
2021,1,20,12,20.84,82.7,1.61,0.52
2021,1,20,15,19.07,89.31,0.42,0.81
2021,1,20,18,16.25,96.84,0.02,2.37
2021,1,20,21,14.36,94.45,0.06,2.6
2021,1,21,0,13.72,86.79,0.04,2.01
2021,1,21,3,19.52,67.38,0.0,1.21
2021,1,21,6,24.25,40.88,0.0,3.04
2021,1,21,9,23.88,40.42,0.0,2.41
2021,1,21,12,18.59,55.49,0.0,2.13
2021,1,21,15,14.83,71.26,0.0,3.05
2021,1,21,18,12.87,79.7,1.26,3.21
2021,1,21,21,11.55,85.34,0.0,3.13
2021,1,22,0,10.54,92.18,0.0,2.76
2021,1,22,3,17.48,72.36,0.0,1.43
2021,1,22,6,23.12,44.16,0.0,2.19
2021,1,22,9,22.24,48.53,0.0,2.55
2021,1,22,12,16.33,71.92,0.0,2.78
2021,1,22,15,14.24,77.87,0.0,3.03
2021,1,22,18,13.23,78.86,0.0,2.63
2021,1,22,21,12.78,77.83,0.0,2.14
2021,1,23,0,11.46,86.07,0.0,1.96
2021,1,23,3,17.69,65.25,0.0,1.84
2021,1,23,6,21.7,47.11,0.0,1.36
2021,1,23,9,21.48,50.57,0.0,1.57
2021,1,23,12,18.04,59.18,0.0,1.12
2021,1,23,15,16.2,64.19,0.0,1.07
2021,1,23,18,14.84,69.52,0.0,1.39
2021,1,23,21,13.1,78.1,0.0,1.83
2021,1,24,0,11.93,85.27,0.0,1.71
2021,1,24,3,17.6,68.58,0.0,0.8
2021,1,24,6,23.14,47.76,0.0,1.92
2021,1,24,9,23.16,50.79,0.0,2.06
2021,1,24,12,18.56,63.66,0.0,1.73
2021,1,24,15,16.26,71.1,0.0,1.93
2021,1,24,18,13.68,83.7,0.0,2.72
2021,1,24,21,12.12,94.3,0.0,3.05
2021,1,25,0,10.93,100.0,0.0,2.64
2021,1,25,3,18.3,70.71,0.0,0.9
2021,1,25,6,23.29,48.59,0.0,3.01
2021,1,25,9,22.91,52.38,0.0,3.44
2021,1,25,12,16.9,77.11,0.0,2.91
2021,1,25,15,15.06,81.74,0.0,3.0
2021,1,25,18,13.84,84.18,0.0,3.07
2021,1,25,21,12.73,86.67,0.0,3.17
2021,1,26,0,11.66,91.27,0.0,2.67
2021,1,26,3,18.96,65.25,0.0,2.25
2021,1,26,6,23.54,46.39,0.0,3.84
2021,1,26,9,22.86,48.74,0.0,3.63
2021,1,26,12,16.38,74.88,0.0,3.05
2021,1,26,15,14.32,79.32,0.0,3.13
2021,1,26,18,13.05,80.29,0.0,2.9
2021,1,26,21,11.68,83.56,0.0,2.96
2021,1,27,0,10.28,89.43,0.0,2.98
2021,1,27,3,18.3,61.7,0.0,2.77
2021,1,27,6,22.75,41.55,0.0,4.02
2021,1,27,9,22.28,43.05,0.0,3.85
2021,1,27,12,15.26,70.58,0.0,3.11
2021,1,27,15,12.97,74.84,0.0,3.23
2021,1,27,18,11.24,77.29,0.0,3.42
2021,1,27,21,9.63,82.31,0.0,3.47
2021,1,28,0,8.39,87.98,0.0,3.34
2021,1,28,3,16.85,57.53,0.0,3.24
2021,1,28,6,22.65,41.04,0.0,3.05
2021,1,28,9,22.79,43.18,0.0,2.72
2021,1,28,12,16.05,67.94,0.0,2.83
2021,1,28,15,13.66,75.94,0.0,3.02
2021,1,28,18,11.97,80.86,0.0,3.19
2021,1,28,21,10.4,86.06,0.0,3.47
2021,1,29,0,9.18,91.17,0.0,3.25
2021,1,29,3,17.92,58.46,0.0,2.74
2021,1,29,6,23.78,39.69,0.0,3.29
2021,1,29,9,23.54,41.69,0.0,3.07
2021,1,29,12,17.58,61.14,0.0,2.3
2021,1,29,15,17.0,54.23,0.0,1.54
2021,1,29,18,15.19,58.67,0.0,1.97
2021,1,29,21,12.29,73.95,0.0,2.85
2021,1,30,0,11.0,82.02,0.0,2.58
2021,1,30,3,17.64,59.31,0.0,1.8
2021,1,30,6,23.35,39.25,0.0,2.07
2021,1,30,9,22.95,44.1,0.0,2.38
2021,1,30,12,16.79,66.89,0.0,2.52
2021,1,30,15,13.77,74.07,0.0,3.0
2021,1,30,18,11.35,79.7,0.0,2.84
2021,1,30,21,9.54,80.11,0.0,2.78
2021,1,31,0,8.05,80.89,0.0,2.74
2021,1,31,3,15.98,55.11,0.0,2.12
2021,1,31,6,21.59,31.26,0.0,3.25
2021,1,31,9,21.08,33.62,0.0,3.21
2021,1,31,12,14.55,58.37,0.0,2.64
2021,1,31,15,12.35,63.63,0.0,2.81
2021,1,31,18,11.33,64.26,0.0,2.64
2021,1,31,21,10.48,66.25,0.0,2.45
2021,2,1,0,9.53,72.24,0.0,2.1
2021,2,1,3,16.85,53.1,0.0,1.87
2021,2,1,6,22.37,34.23,0.0,2.71
2021,2,1,9,21.99,36.05,0.0,2.71
2021,2,1,12,15.23,59.13,0.0,2.83
2021,2,1,15,12.95,63.32,0.0,3.06
2021,2,1,18,12.03,62.84,0.0,2.72
2021,2,1,21,10.74,67.61,0.0,2.56
2021,2,2,0,9.09,77.31,0.0,2.37
2021,2,2,3,16.14,60.11,0.0,2.11
2021,2,2,6,22.91,32.63,0.0,3.72
2021,2,2,9,22.33,37.92,0.0,3.55
2021,2,2,12,15.13,62.85,0.0,3.23
2021,2,2,15,13.35,64.36,0.0,3.01
2021,2,2,18,12.31,65.78,0.0,2.91
2021,2,2,21,10.69,73.79,0.0,3.13
2021,2,3,0,9.49,81.71,0.0,3.09
2021,2,3,3,17.71,58.57,0.0,2.37
2021,2,3,6,24.83,34.83,0.0,3.47
2021,2,3,9,24.35,39.31,0.0,3.47
2021,2,3,12,16.95,65.91,0.0,3.05
2021,2,3,15,14.87,67.75,0.0,3.15
2021,2,3,18,13.43,69.94,0.0,3.26
2021,2,3,21,11.84,77.33,0.0,3.35
2021,2,4,0,10.58,88.01,0.0,3.28
2021,2,4,3,19.16,62.29,0.0,2.8
2021,2,4,6,25.92,39.86,0.0,3.45
2021,2,4,9,25.77,40.98,0.0,3.03
2021,2,4,12,18.93,65.14,0.0,2.65
2021,2,4,15,16.09,75.06,0.0,3.18
2021,2,4,18,14.32,79.61,0.0,3.29
2021,2,4,21,12.65,85.88,0.0,2.97
2021,2,5,0,11.53,94.97,0.0,2.44
2021,2,5,3,20.58,60.77,0.0,1.56
2021,2,5,6,26.68,38.54,0.0,2.44
2021,2,5,9,26.39,38.31,0.0,2.53
2021,2,5,12,20.13,59.62,0.0,2.21
2021,2,5,15,17.97,65.49,0.0,2.06
2021,2,5,18,16.89,66.39,0.0,1.64
2021,2,5,21,16.15,67.24,0.0,0.86
2021,2,6,0,15.05,72.24,0.0,0.75
2021,2,6,3,21.97,52.32,0.0,0.66
2021,2,6,6,26.89,38.26,0.0,2.29
2021,2,6,9,26.59,39.4,0.0,1.87
2021,2,6,12,19.66,66.99,0.0,2.88
2021,2,6,15,17.35,73.97,0.0,3.91
2021,2,6,18,14.59,87.49,0.0,4.1
2021,2,6,21,13.5,94.51,0.56,4.34
2021,2,7,0,13.99,93.19,0.06,3.04
2021,2,7,3,20.5,59.83,0.0,4.15
2021,2,7,6,25.4,37.46,2.81,4.94
2021,2,7,9,24.48,40.59,0.62,3.86
2021,2,7,12,17.78,67.45,0.22,3.12
2021,2,7,15,15.74,71.87,0.0,3.36
2021,2,7,18,14.52,73.31,0.0,3.03
2021,2,7,21,12.99,78.62,0.03,3.04
2021,2,8,0,11.67,86.41,0.0,2.93
2021,2,8,3,20.59,52.52,0.0,3.58
2021,2,8,6,25.76,36.04,0.0,4.18
2021,2,8,9,25.41,36.85,0.0,4.15
2021,2,8,12,18.1,63.46,0.0,3.21
2021,2,8,15,15.75,66.79,0.0,3.34
2021,2,8,18,14.5,68.77,0.0,2.8
2021,2,8,21,12.9,74.99,0.0,2.75
2021,2,9,0,11.35,84.89,0.0,2.78
2021,2,9,3,20.64,52.93,0.0,3.05
2021,2,9,6,26.64,31.96,0.0,3.36
2021,2,9,9,26.25,33.11,0.0,3.64
2021,2,9,12,18.38,60.9,0.0,3.11
2021,2,9,15,16.1,64.68,0.0,3.11
2021,2,9,18,15.59,61.83,0.0,2.4
2021,2,9,21,15.33,59.11,0.0,1.29
2021,2,10,0,14.17,63.61,0.0,0.87
2021,2,10,3,21.09,47.77,0.0,1.46
2021,2,10,6,26.99,31.63,0.0,2.27
2021,2,10,9,26.72,33.66,0.0,2.11
2021,2,10,12,20.74,53.56,0.0,1.89
2021,2,10,15,18.64,56.22,0.0,1.87
2021,2,10,18,17.5,56.35,0.0,1.56
2021,2,10,21,16.09,60.42,0.0,1.19
2021,2,11,0,14.5,68.51,0.0,1.26
2021,2,11,3,21.25,50.17,0.0,1.25
2021,2,11,6,26.94,33.16,0.0,1.69
2021,2,11,9,26.9,33.72,0.0,1.78
2021,2,11,12,21.89,47.65,0.0,1.41
2021,2,11,15,19.15,54.21,0.0,1.8
2021,2,11,18,17.37,58.09,0.0,1.63
2021,2,11,21,15.94,63.58,0.0,1.64
2021,2,12,0,15.76,65.94,0.0,0.57
2021,2,12,3,21.64,50.53,0.0,0.57
2021,2,12,6,27.76,32.55,0.0,2.19
2021,2,12,9,27.25,35.11,0.0,2.51
2021,2,12,12,20.55,58.34,0.0,2.42
2021,2,12,15,18.36,61.46,0.0,2.39
2021,2,12,18,17.64,59.68,0.0,1.73
2021,2,12,21,16.61,61.79,0.0,1.27
2021,2,13,0,15.58,67.47,0.0,0.96
2021,2,13,3,21.68,51.24,0.0,0.42
2021,2,13,6,27.85,31.7,0.0,1.75
2021,2,13,9,27.71,32.75,0.0,1.95
2021,2,13,12,21.64,52.65,0.0,2.16
2021,2,13,15,19.05,58.61,0.0,2.36
2021,2,13,18,19.03,54.88,0.0,0.88
2021,2,13,21,17.48,60.02,0.0,0.69
2021,2,14,0,15.61,69.66,0.0,1.05
2021,2,14,3,22.01,52.08,0.0,0.52
2021,2,14,6,27.97,30.65,0.0,1.78
2021,2,14,9,27.61,31.48,0.0,1.69
2021,2,14,12,23.86,38.63,0.0,0.69
2021,2,14,15,21.13,45.02,0.0,1.22
2021,2,14,18,17.97,60.51,0.0,1.94
2021,2,14,21,16.61,73.11,0.0,1.33
2021,2,15,0,15.69,79.42,0.0,0.87
2021,2,15,3,23.66,47.07,0.0,0.83
2021,2,15,6,28.44,33.1,0.0,2.16
2021,2,15,9,27.96,33.61,0.0,2.37
2021,2,15,12,23.13,47.53,0.0,1.61
2021,2,15,15,20.77,51.58,0.0,1.68
2021,2,15,18,17.57,63.73,0.0,2.19
2021,2,15,21,15.1,83.87,0.0,2.58
2021,2,16,0,15.04,98.19,0.0,2.0
2021,2,16,3,24.89,47.71,0.0,0.41
2021,2,16,6,29.1,30.73,0.0,2.7
2021,2,16,9,28.69,30.57,0.0,2.37
2021,2,16,12,22.24,51.46,0.0,2.35
2021,2,16,15,20.01,54.98,0.0,2.46
2021,2,16,18,18.58,57.61,0.0,2.13
2021,2,16,21,17.12,61.8,0.0,1.75
2021,2,17,0,15.35,72.32,0.0,1.79
2021,2,17,3,23.01,46.79,0.0,1.47
2021,2,17,6,28.95,31.78,0.0,1.35
2021,2,17,9,28.36,34.93,0.0,1.87
2021,2,17,12,22.85,55.08,0.0,1.96
2021,2,17,15,20.7,59.36,0.0,2.25
2021,2,17,18,18.61,65.99,0.0,2.65
2021,2,17,21,16.51,76.33,0.0,3.1
2021,2,18,0,15.48,84.33,0.0,2.85
2021,2,18,3,24.01,53.38,0.0,2.16
2021,2,18,6,30.51,33.42,0.0,2.29
2021,2,18,9,30.27,32.88,0.0,2.15
2021,2,18,12,25.34,46.92,0.0,1.22
2021,2,18,15,23.16,52.76,0.0,0.75
2021,2,18,18,20.61,63.76,0.0,1.34
2021,2,18,21,18.53,73.02,0.0,2.14
2021,2,19,0,17.22,79.34,0.0,2.3
2021,2,19,3,24.31,53.13,0.0,2.19
2021,2,19,6,28.83,38.03,0.0,1.36
2021,2,19,9,28.88,37.52,0.0,1.3
2021,2,19,12,24.91,53.57,0.0,1.22
2021,2,19,15,23.16,57.84,0.0,1.47
2021,2,19,18,20.72,66.41,0.0,2.25
2021,2,19,21,19.05,71.81,0.0,2.59
2021,2,20,0,17.98,79.32,0.0,2.34
2021,2,20,3,21.91,65.2,0.0,1.64
2021,2,20,6,26.72,38.45,0.0,1.64
2021,2,20,9,26.76,38.36,0.0,1.63
2021,2,20,12,23.36,50.05,0.0,1.33
2021,2,20,15,21.93,48.58,0.0,1.1
2021,2,20,18,20.71,50.37,0.0,1.0
2021,2,20,21,18.44,56.78,0.0,1.8
2021,2,21,0,16.57,64.77,0.0,1.94
2021,2,21,3,25.88,36.36,0.0,2.09
2021,2,21,6,30.36,25.7,0.0,2.37
2021,2,21,9,29.67,27.21,0.0,2.8
2021,2,21,12,22.48,50.79,0.0,2.6
2021,2,21,15,20.74,51.66,0.0,2.37
2021,2,21,18,20.23,49.04,0.0,1.65
2021,2,21,21,19.21,48.91,0.0,1.54
2021,2,22,0,16.94,58.77,0.0,2.1
2021,2,22,3,25.54,36.97,0.0,2.66
2021,2,22,6,29.92,26.26,0.0,3.32
2021,2,22,9,29.51,27.23,0.0,2.96
2021,2,22,12,22.93,47.8,0.0,2.31
2021,2,22,15,20.66,51.64,0.0,2.36
2021,2,22,18,20.01,49.83,0.0,1.73
2021,2,22,21,19.17,49.09,0.0,0.87
2021,2,23,0,17.44,58.68,0.0,0.87
2021,2,23,3,24.66,41.9,0.0,1.66
2021,2,23,6,30.51,26.81,0.0,2.94
2021,2,23,9,29.94,29.79,0.0,2.84
2021,2,23,12,24.23,47.57,0.0,1.95
2021,2,23,15,21.93,51.2,0.0,2.04
2021,2,23,18,20.96,51.05,0.0,1.29
2021,2,23,21,19.77,53.13,0.0,0.86
2021,2,24,0,17.59,67.32,0.0,1.24
2021,2,24,3,26.32,39.02,0.0,1.21
2021,2,24,6,30.8,29.39,0.0,2.05
2021,2,24,9,30.91,29.09,0.0,2.33
2021,2,24,12,26.33,40.41,0.0,1.15
2021,2,24,15,23.61,46.61,0.0,1.34
2021,2,24,18,22.14,50.5,0.0,1.17
2021,2,24,21,20.86,53.65,0.0,0.76
2021,2,25,0,18.81,64.94,0.0,1.34
2021,2,25,3,26.87,40.33,0.0,1.67
2021,2,25,6,31.98,27.12,0.0,3.11
2021,2,25,9,31.88,25.97,0.0,3.3
2021,2,25,12,27.08,36.51,0.0,1.06
2021,2,25,15,24.45,40.86,0.0,1.06
2021,2,25,18,20.87,58.57,0.0,2.0
2021,2,25,21,18.4,67.88,0.0,2.53
2021,2,26,0,16.78,74.71,0.0,3.01
2021,2,26,3,27.85,40.97,0.0,3.12
2021,2,26,6,33.67,23.9,0.0,2.97
2021,2,26,9,33.18,23.6,0.0,2.39
2021,2,26,12,27.14,38.82,0.0,1.19
2021,2,26,15,22.03,60.14,0.0,2.45
