YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,9.16,95.29,0.0,2.75
2021,1,1,3,16.5,69.06,0.0,1.99
2021,1,1,6,23.78,43.23,0.0,2.89
2021,1,1,9,23.11,49.08,0.0,2.93
2021,1,1,12,16.32,74.43,0.0,2.7
2021,1,1,15,14.61,76.36,0.0,2.49
2021,1,1,18,12.64,80.39,0.0,2.57
2021,1,1,21,10.47,86.5,0.0,2.94
2021,1,2,0,9.29,90.56,0.0,2.57
2021,1,2,3,16.99,67.51,0.0,1.47
2021,1,2,6,23.42,45.18,0.0,2.56
2021,1,2,9,22.26,51.69,0.0,2.54
2021,1,2,12,16.8,70.6,0.0,2.32
2021,1,2,15,15.26,70.74,0.0,2.06
2021,1,2,18,13.53,76.15,0.0,2.03
2021,1,2,21,12.02,81.95,0.0,1.99
2021,1,3,0,10.37,91.05,0.0,2.27
2021,1,3,3,16.92,70.97,0.0,1.46
2021,1,3,6,24.03,48.92,0.0,2.29
2021,1,3,9,24.03,52.15,0.0,2.16
2021,1,3,12,18.63,70.52,0.0,1.99
2021,1,3,15,16.24,78.59,0.0,2.15
2021,1,3,18,14.65,87.21,0.0,1.9
2021,1,3,21,13.09,97.35,0.0,1.89
2021,1,4,0,11.78,100.0,0.0,2.01
2021,1,4,3,19.43,74.32,0.0,1.4
2021,1,4,6,25.53,49.52,0.0,2.65
2021,1,4,9,25.31,52.81,0.0,2.9
2021,1,4,12,19.34,75.04,0.0,2.03
2021,1,4,15,18.17,76.98,0.0,1.38
2021,1,4,18,15.91,87.89,1.41,1.81
2021,1,4,21,13.61,100.0,23.24,2.35
2021,1,5,0,12.59,100.0,0.0,2.16
2021,1,5,3,19.81,80.08,0.0,1.87
2021,1,5,6,25.72,54.39,0.0,3.13
2021,1,5,9,25.77,55.85,0.0,2.96
2021,1,5,12,20.32,75.15,0.0,1.83
2021,1,5,15,18.63,79.22,0.0,1.56
2021,1,5,18,16.62,87.03,0.0,1.67
2021,1,5,21,14.08,100.0,0.0,2.2
2021,1,6,0,13.27,100.0,0.0,2.14
2021,1,6,3,21.21,72.61,0.0,1.46
2021,1,6,6,26.87,51.5,0.0,2.27
2021,1,6,9,27.07,53.38,0.0,1.93
2021,1,6,12,22.44,67.94,0.0,1.26
2021,1,6,15,21.34,67.61,0.0,0.79
2021,1,6,18,20.55,66.95,0.0,0.45
2021,1,6,21,18.8,72.86,0.0,0.23
2021,1,7,0,16.58,84.45,0.0,0.69
2021,1,7,3,22.26,66.27,0.0,1.16
2021,1,7,6,28.74,43.66,0.0,1.92
2021,1,7,9,28.71,45.33,0.0,1.94
2021,1,7,12,23.98,60.63,0.0,1.36
2021,1,7,15,20.97,71.37,0.0,1.76
2021,1,7,18,19.37,75.7,0.65,1.45
2021,1,7,21,18.08,80.15,10.66,1.28
2021,1,8,0,16.34,88.5,0.0,1.69
2021,1,8,3,22.1,73.48,0.0,1.19
2021,1,8,6,28.03,46.62,0.0,2.75
2021,1,8,9,27.06,50.48,0.0,2.95
2021,1,8,12,21.55,73.63,0.0,2.15
2021,1,8,15,20.53,71.49,0.0,1.57
2021,1,8,18,19.03,74.86,0.0,1.36
2021,1,8,21,17.28,82.05,0.0,1.36
2021,1,9,0,15.39,92.76,0.0,1.58
2021,1,9,3,21.82,69.72,0.0,1.24
2021,1,9,6,26.91,47.87,0.0,2.09
2021,1,9,9,26.46,50.34,0.0,2.5
2021,1,9,12,21.88,67.44,0.0,1.59
2021,1,9,15,21.24,64.64,0.0,0.41
2021,1,9,18,19.19,72.9,0.0,1.03
2021,1,9,21,17.56,81.87,0.0,0.8
2021,1,10,0,15.9,90.85,0.0,1.1
2021,1,10,3,22.33,64.93,0.0,2.15
2021,1,10,6,27.12,52.38,0.0,3.5
2021,1,10,9,27.07,54.91,0.0,3.0
2021,1,10,12,22.81,71.11,0.0,1.4
2021,1,10,15,21.64,72.14,0.0,0.86
2021,1,10,18,19.78,79.46,0.0,0.89
2021,1,10,21,18.38,86.0,0.0,0.7
2021,1,11,0,17.61,90.16,0.0,0.58
2021,1,11,3,23.6,66.23,0.0,0.85
2021,1,11,6,27.16,55.81,0.0,2.24
2021,1,11,9,26.7,58.7,0.0,2.35
2021,1,11,12,22.46,79.03,0.0,1.78
2021,1,11,15,19.5,88.05,0.0,2.45
2021,1,11,18,17.58,96.26,0.0,2.49
2021,1,11,21,16.0,100.0,0.0,2.47
2021,1,12,0,14.91,100.0,0.0,2.41
2021,1,12,3,22.92,67.63,0.0,2.01
2021,1,12,6,26.18,50.38,0.0,2.98
2021,1,12,9,25.55,48.61,0.0,3.32
2021,1,12,12,19.14,76.8,0.0,2.4
2021,1,12,15,16.74,83.72,0.0,2.58
2021,1,12,18,15.01,89.63,0.0,2.43
2021,1,12,21,13.61,97.5,0.0,2.21
2021,1,13,0,12.58,100.0,0.0,2.15
2021,1,13,3,20.81,63.29,0.0,1.91
2021,1,13,6,24.63,47.82,0.0,2.0
2021,1,13,9,23.86,49.29,0.0,2.82
2021,1,13,12,17.48,77.89,0.0,2.62
2021,1,13,15,15.11,80.2,0.0,2.79
2021,1,13,18,13.35,83.23,0.0,2.8
2021,1,13,21,12.04,86.85,0.0,2.66
2021,1,14,0,10.95,90.04,0.0,2.3
2021,1,14,3,18.55,59.63,0.0,1.8
2021,1,14,6,23.56,48.35,0.0,1.26
2021,1,14,9,23.21,50.64,0.05,2.11
2021,1,14,12,17.13,78.35,0.0,2.55
2021,1,14,15,14.94,83.19,0.0,2.84
2021,1,14,18,13.14,87.68,15.68,2.69
2021,1,14,21,11.7,91.84,10.36,2.43
2021,1,15,0,10.65,95.82,2.91,2.15
2021,1,15,3,17.57,69.79,0.0,1.56
2021,1,15,6,22.79,46.4,0.0,2.21
2021,1,15,9,22.15,46.05,0.0,2.79
2021,1,15,12,16.27,70.19,0.0,2.34
2021,1,15,15,14.28,73.2,0.0,2.43
2021,1,15,18,12.73,75.63,0.0,2.37
2021,1,15,21,11.61,77.32,0.0,2.2
2021,1,16,0,10.57,82.47,0.0,2.01
2021,1,16,3,17.39,62.08,0.0,1.44
2021,1,16,6,23.25,39.54,0.0,2.35
2021,1,16,9,22.76,41.41,0.0,2.73
2021,1,16,12,16.49,67.83,0.0,2.28
2021,1,16,15,14.01,76.88,0.0,2.54
2021,1,16,18,12.24,83.37,0.0,2.64
2021,1,16,21,11.05,88.37,0.0,2.64
2021,1,17,0,10.19,93.87,0.0,2.5
2021,1,17,3,18.13,65.23,0.0,2.13
2021,1,17,6,23.02,44.82,0.0,2.7
2021,1,17,9,22.27,48.15,0.0,2.96
2021,1,17,12,16.23,74.81,0.0,2.32
2021,1,17,15,14.26,80.77,0.0,2.35
2021,1,17,18,12.92,85.79,0.0,2.26
2021,1,17,21,12.2,89.38,0.0,1.89
2021,1,18,0,10.27,100.0,0.0,2.25
2021,1,18,3,17.79,68.65,0.0,1.48
2021,1,18,6,23.61,46.35,0.0,1.84
2021,1,18,9,23.31,47.32,0.0,2.43
2021,1,18,12,18.09,66.95,0.0,1.8
