YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,16.98,89.37,0.0,2.35
2021,1,1,3,20.43,78.06,0.0,1.7
2021,1,1,6,23.14,66.15,0.0,1.74
2021,1,1,9,22.77,67.02,0.0,1.73
2021,1,1,12,20.2,74.58,0.0,2.36
2021,1,1,15,19.28,78.51,0.0,2.58
2021,1,1,18,17.89,87.97,0.0,3.15
2021,1,1,21,16.75,95.35,0.0,3.3
2021,1,2,0,16.6,95.04,0.0,2.67
2021,1,2,3,20.56,77.03,0.0,1.75
2021,1,2,6,22.65,66.14,0.0,1.05
2021,1,2,9,22.18,70.07,0.0,2.4
2021,1,2,12,19.51,79.46,0.0,2.94
2021,1,2,15,18.92,82.45,0.0,2.7
2021,1,2,18,18.45,85.51,0.0,2.09
2021,1,2,21,17.27,93.59,0.0,2.58
2021,1,3,0,16.58,96.23,0.0,2.55
2021,1,3,3,20.21,79.28,0.0,2.23
2021,1,3,6,22.8,67.27,0.0,1.81
2021,1,3,9,22.82,68.29,0.0,2.2
2021,1,3,12,20.37,75.02,0.0,2.07
2021,1,3,15,19.36,81.06,0.0,2.15
2021,1,3,18,17.87,91.93,0.0,2.47
2021,1,3,21,16.5,99.96,0.0,2.79
2021,1,4,0,16.17,99.94,0.0,2.58
2021,1,4,3,20.55,78.54,0.0,2.24
2021,1,4,6,23.66,67.51,0.0,2.79
2021,1,4,9,23.7,72.63,0.0,2.25
2021,1,4,12,21.14,74.27,0.0,2.1
2021,1,4,15,19.57,81.84,0.0,2.41
2021,1,4,18,17.79,95.44,0.0,2.88
2021,1,4,21,16.53,100.0,0.0,3.45
2021,1,5,0,16.2,100.0,0.0,3.43
2021,1,5,3,20.87,81.14,0.0,2.52
2021,1,5,6,23.77,69.42,0.0,3.07
2021,1,5,9,23.63,72.91,0.0,2.95
2021,1,5,12,20.96,80.79,0.0,2.6
2021,1,5,15,19.74,87.99,0.0,2.54
2021,1,5,18,18.39,96.85,0.0,2.56
2021,1,5,21,17.5,100.0,0.0,2.94
2021,1,6,0,17.03,100.0,0.0,3.24
2021,1,6,3,21.39,77.96,0.0,2.64
2021,1,6,6,24.26,66.53,0.0,2.2
2021,1,6,9,24.3,71.21,0.0,1.66
2021,1,6,12,21.62,76.82,0.0,2.33
2021,1,6,15,20.24,86.13,0.0,2.72
2021,1,6,18,19.23,94.32,0.0,2.33
2021,1,6,21,18.25,98.75,0.0,2.57
2021,1,7,0,17.87,96.98,0.0,2.5
2021,1,7,3,22.18,76.76,0.0,1.97
2021,1,7,6,24.57,69.56,0.0,2.1
2021,1,7,9,24.59,74.82,0.0,1.86
2021,1,7,12,22.34,78.13,0.0,2.33
2021,1,7,15,21.04,82.06,0.0,2.93
2021,1,7,18,19.61,92.14,0.0,3.25
2021,1,7,21,18.73,96.75,0.0,3.32
2021,1,8,0,18.28,96.73,0.0,3.01
2021,1,8,3,21.84,85.32,0.0,2.62
