YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,9.95,96.31,0.03,2.52
2021,1,1,3,17.46,62.87,0.0,1.67
2021,1,1,6,24.72,37.84,0.0,2.69
2021,1,1,9,24.26,41.37,0.0,2.86
2021,1,1,12,17.04,73.34,0.0,2.69
2021,1,1,15,15.15,76.1,0.0,2.51
2021,1,1,18,13.29,80.0,0.0,2.54
2021,1,1,21,11.2,85.55,0.0,2.71
2021,1,2,0,9.87,90.16,0.0,2.46
2021,1,2,3,17.8,60.56,0.0,1.26
2021,1,2,6,24.47,37.14,0.0,2.34
2021,1,2,9,23.38,42.01,0.0,2.62
2021,1,2,12,17.18,70.32,0.0,2.54
2021,1,2,15,15.32,71.96,0.0,2.27
2021,1,2,18,14.21,72.36,0.0,1.9
2021,1,2,21,12.55,77.58,0.0,1.94
2021,1,3,0,10.4,88.44,0.0,2.41
2021,1,3,3,17.64,62.68,0.0,1.39
2021,1,3,6,24.93,40.73,0.0,2.18
2021,1,3,9,24.94,43.48,0.0,2.26
2021,1,3,12,19.18,68.42,0.0,2.07
2021,1,3,15,17.18,73.21,0.0,1.99
2021,1,3,18,15.31,83.4,0.0,1.87
2021,1,3,21,13.4,96.86,0.0,2.01
2021,1,4,0,12.06,100.0,0.0,2.12
2021,1,4,3,20.01,68.79,0.0,1.28
2021,1,4,6,26.66,40.78,0.0,2.6
2021,1,4,9,26.57,42.81,0.0,2.81
2021,1,4,12,20.19,71.33,0.0,1.99
2021,1,4,15,18.99,72.68,0.0,1.22
2021,1,4,18,16.35,85.27,0.6,1.95
2021,1,4,21,13.83,100.0,9.68,2.44
2021,1,5,0,12.97,100.0,0.0,2.16
2021,1,5,3,20.19,76.79,0.0,1.69
2021,1,5,6,26.84,46.57,0.0,2.98
2021,1,5,9,26.99,47.64,0.0,3.03
2021,1,5,12,20.51,77.94,0.0,2.12
2021,1,5,15,19.43,77.79,0.0,1.43
2021,1,5,18,17.48,84.26,0.0,1.61
2021,1,5,21,14.57,98.66,0.0,2.36
2021,1,6,0,13.52,100.0,0.0,2.21
2021,1,6,3,22.11,64.31,0.0,1.63
2021,1,6,6,28.0,43.66,0.0,2.09
2021,1,6,9,28.33,44.03,0.0,1.79
2021,1,6,12,23.04,65.4,0.0,1.47
2021,1,6,15,21.33,69.06,0.0,1.04
2021,1,6,18,20.75,66.59,0.0,0.55
2021,1,6,21,18.99,72.81,0.0,0.5
2021,1,7,0,16.68,84.77,0.0,1.08
2021,1,7,3,22.99,60.54,0.0,0.98
2021,1,7,6,29.98,35.92,0.0,1.61
2021,1,7,9,29.82,36.72,0.0,1.8
2021,1,7,12,24.66,58.52,0.0,1.01
2021,1,7,15,22.08,66.93,0.0,1.09
2021,1,7,18,20.54,71.19,0.27,0.44
2021,1,7,21,18.62,79.04,4.45,1.44
2021,1,8,0,16.72,87.98,0.0,2.01
2021,1,8,3,23.33,64.67,0.0,1.31
