YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,14.74,73.53,0.0,1.69
2021,1,1,3,23.31,61.88,0.0,0.6
2021,1,1,6,24.69,50.64,0.0,1.13
2021,1,1,9,23.5,63.95,0.0,0.87
2021,1,1,12,18.16,82.05,0.0,1.23
2021,1,1,15,17.02,82.19,0.0,0.58
2021,1,1,18,15.86,81.95,0.0,1.21
2021,1,1,21,15.25,78.95,0.0,1.34
2021,1,2,0,14.5,77.56,0.0,1.53
2021,1,2,3,23.25,60.18,0.0,0.43
2021,1,2,6,24.59,46.17,0.0,0.96
2021,1,2,9,23.29,61.87,0.0,0.92
2021,1,2,12,17.26,84.05,0.0,1.15
2021,1,2,15,16.2,84.18,0.0,1.01
2021,1,2,18,15.56,80.52,0.0,1.01
2021,1,2,21,14.96,78.58,0.0,0.78
2021,1,3,0,13.87,77.33,0.0,1.66
2021,1,3,3,23.49,61.2,0.0,0.12
2021,1,3,6,24.8,43.89,0.0,1.07
2021,1,3,9,23.91,56.93,0.0,1.21
2021,1,3,12,18.01,79.67,0.0,1.48
2021,1,3,15,17.04,79.96,0.0,0.79
2021,1,3,18,16.43,78.06,0.0,0.94
2021,1,3,21,15.96,75.75,0.0,1.24
2021,1,4,0,15.51,74.55,0.0,1.61
2021,1,4,3,23.25,70.17,0.0,0.06
2021,1,4,6,25.2,67.41,0.0,0.34
2021,1,4,9,24.28,55.32,0.0,0.72
2021,1,4,12,18.15,79.72,0.0,1.6
2021,1,4,15,17.41,79.6,0.0,0.4
2021,1,4,18,16.94,76.92,0.0,0.75
2021,1,4,21,16.0,76.79,0.0,1.64
2021,1,5,0,15.79,74.55,0.0,1.95
2021,1,5,3,26.19,55.08,0.0,0.25
2021,1,5,6,27.19,45.26,0.0,1.0
2021,1,5,9,27.22,47.8,0.0,0.92
2021,1,5,12,19.66,73.11,0.0,1.38
2021,1,5,15,18.62,74.65,0.0,0.54
2021,1,5,18,17.96,71.25,0.0,0.41
2021,1,5,21,17.14,70.89,0.0,0.46
2021,1,6,0,16.47,70.21,0.0,1.43
2021,1,6,3,26.46,47.07,0.0,0.61
2021,1,6,6,26.8,45.11,0.0,1.42
2021,1,6,9,26.1,54.14,0.0,1.07
2021,1,6,12,19.69,75.81,0.0,1.23
2021,1,6,15,18.07,82.64,0.0,0.54
2021,1,6,18,17.75,80.99,0.0,1.19
2021,1,6,21,16.52,83.15,0.0,1.79
2021,1,7,0,15.72,82.46,0.0,2.02
2021,1,7,3,23.5,57.75,0.0,0.72
2021,1,7,6,26.13,50.68,0.0,1.35
2021,1,7,9,25.07,63.27,0.0,1.15
2021,1,7,12,19.63,84.62,0.0,1.64
2021,1,7,15,18.42,84.61,0.0,1.45
2021,1,7,18,17.62,82.47,0.0,1.66
2021,1,7,21,17.21,78.24,0.0,1.63
2021,1,8,0,16.93,75.0,0.0,1.42
2021,1,8,3,23.59,58.41,0.0,0.77
2021,1,8,6,26.14,52.05,0.0,1.47
2021,1,8,9,24.63,64.65,0.0,1.32
2021,1,8,12,19.52,86.92,0.0,1.7
2021,1,8,15,17.96,89.42,0.0,1.48
2021,1,8,18,17.28,87.61,0.0,1.56
2021,1,8,21,16.09,87.12,0.0,1.91
2021,1,9,0,15.45,81.72,0.0,1.98
2021,1,9,3,24.85,40.3,0.0,0.77
2021,1,9,6,26.12,37.22,0.0,1.19
2021,1,9,9,25.27,46.29,0.0,1.11
2021,1,9,12,18.74,73.58,0.0,1.3
2021,1,9,15,17.61,79.19,0.0,0.97
2021,1,9,18,16.09,82.37,0.0,1.87
2021,1,9,21,15.39,81.73,0.0,2.0
2021,1,10,0,15.25,77.01,0.0,1.67
2021,1,10,3,22.08,53.55,0.0,0.93
2021,1,10,6,24.16,48.85,0.0,1.25
2021,1,10,9,23.05,62.19,0.0,1.08
2021,1,10,12,18.66,82.24,0.0,1.31
2021,1,10,15,17.93,83.31,0.0,0.85
2021,1,10,18,16.76,85.57,0.0,1.52
2021,1,10,21,15.82,86.73,0.0,1.72
2021,1,11,0,16.31,81.3,0.0,1.3
2021,1,11,3,22.09,66.94,0.0,0.9
2021,1,11,6,25.01,58.54,0.0,1.44
2021,1,11,9,23.72,68.45,0.0,1.24
2021,1,11,12,19.43,87.52,0.0,1.57
2021,1,11,15,17.59,94.2,0.0,1.66
2021,1,11,18,16.37,99.22,0.0,1.72
2021,1,11,21,15.55,100.0,0.0,1.42
2021,1,12,0,15.39,100.0,0.0,1.03
2021,1,12,3,22.09,70.07,0.0,0.88
2021,1,12,6,24.55,59.87,0.0,1.55
2021,1,12,9,23.05,67.37,0.0,1.41
