YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,10.14,89.95,0.0,2.22
2021,1,1,3,16.76,70.08,0.0,2.39
2021,1,1,6,22.99,56.84,0.0,2.15
2021,1,1,9,22.82,59.74,0.0,1.62
2021,1,1,12,17.82,76.46,0.0,2.12
2021,1,1,15,15.35,84.84,0.0,2.47
2021,1,1,18,13.08,91.76,0.0,2.54
2021,1,1,21,10.94,91.21,0.0,2.7
2021,1,2,0,10.38,88.5,0.0,1.7
2021,1,2,3,16.82,68.12,0.0,1.96
2021,1,2,6,22.72,53.52,0.0,1.63
2021,1,2,9,22.64,55.25,0.0,1.17
2021,1,2,12,19.15,62.38,0.0,0.98
2021,1,2,15,16.97,69.32,0.0,1.63
2021,1,2,18,14.42,82.19,0.0,2.21
2021,1,2,21,13.04,88.56,0.0,2.03
2021,1,3,0,12.76,89.04,0.0,1.44
2021,1,3,3,18.51,72.26,0.0,2.36
2021,1,3,6,23.98,53.93,0.0,1.93
2021,1,3,9,24.03,54.88,0.0,0.91
2021,1,3,12,19.21,70.78,0.0,1.86
2021,1,3,15,16.12,83.61,0.0,2.79
2021,1,3,18,14.15,98.95,0.0,2.72
2021,1,3,21,13.21,100.0,0.0,2.35
2021,1,4,0,12.94,100.0,0.0,2.34
2021,1,4,3,20.03,74.89,0.0,3.51
2021,1,4,6,24.55,56.08,0.0,2.77
2021,1,4,9,24.65,56.38,0.0,1.58
2021,1,4,12,19.96,71.84,0.0,1.62
2021,1,4,15,17.68,78.72,0.0,1.8
2021,1,4,18,15.86,87.62,0.0,1.94
2021,1,4,21,14.68,94.73,0.0,2.01
2021,1,5,0,13.64,100.0,0.0,2.1
2021,1,5,3,20.21,72.72,0.0,2.46
2021,1,5,6,24.88,55.97,0.0,1.87
2021,1,5,9,25.03,57.26,0.0,1.22
2021,1,5,12,20.42,73.54,0.0,1.47
2021,1,5,15,18.02,81.14,0.0,2.04
2021,1,5,18,16.63,87.04,0.0,1.89
2021,1,5,21,16.14,88.92,0.0,1.11
2021,1,6,0,15.33,93.86,0.0,1.09
2021,1,6,3,20.59,73.68,0.0,0.89
2021,1,6,6,25.32,56.22,0.0,1.32
2021,1,6,9,25.12,60.0,0.0,2.45
2021,1,6,12,20.21,79.04,0.0,2.23
2021,1,6,15,19.65,76.13,0.0,1.48
2021,1,6,18,19.31,76.5,0.0,0.84
2021,1,6,21,17.83,83.67,0.0,0.74
2021,1,7,0,15.77,96.74,0.0,1.55
2021,1,7,3,20.79,75.86,0.0,1.99
2021,1,7,6,25.95,54.79,0.0,2.38
2021,1,7,9,25.72,57.69,0.0,3.07
2021,1,7,12,21.56,70.09,0.0,1.43
2021,1,7,15,20.26,70.97,0.0,0.98
2021,1,7,18,18.24,79.82,0.0,1.64
2021,1,7,21,16.78,88.39,0.0,1.38
2021,1,8,0,15.46,97.58,0.0,1.33
2021,1,8,3,20.51,76.3,0.0,1.04
2021,1,8,6,25.61,53.76,0.0,1.5
2021,1,8,9,25.1,58.66,0.0,2.31
2021,1,8,12,21.2,70.43,0.0,1.68
2021,1,8,15,19.71,73.24,0.0,1.36
2021,1,8,18,18.18,79.55,0.0,1.31
2021,1,8,21,16.59,87.55,0.0,1.27
2021,1,9,0,14.66,99.12,0.0,1.03
2021,1,9,3,19.38,79.1,0.0,0.81
2021,1,9,6,24.95,52.63,0.0,1.7
2021,1,9,9,24.54,55.82,0.0,2.36
2021,1,9,12,21.13,65.3,0.0,1.37
2021,1,9,15,20.55,64.79,0.0,0.43
2021,1,9,18,18.37,74.68,0.0,1.2
2021,1,9,21,16.03,89.3,0.0,1.92
2021,1,10,0,14.17,100.0,0.0,2.06
2021,1,10,3,19.43,77.95,0.0,2.02
2021,1,10,6,24.21,61.47,0.0,2.34
2021,1,10,9,24.3,64.68,0.0,3.15
2021,1,10,12,21.57,77.22,0.0,1.26
2021,1,10,15,20.76,79.07,0.0,1.14
2021,1,10,18,19.17,85.89,0.0,1.6
2021,1,10,21,18.1,91.12,0.0,1.24
2021,1,11,0,16.32,100.0,0.0,1.32
2021,1,11,3,21.46,77.27,0.0,1.42
2021,1,11,6,25.0,61.62,0.0,2.48
2021,1,11,9,24.4,63.32,0.0,3.24
2021,1,11,12,21.06,78.46,0.0,1.38
2021,1,11,15,19.69,80.78,0.0,1.28
