YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,9.89,83.35,0.0,1.42
2021,1,1,3,15.71,66.22,0.0,0.21
2021,1,1,6,23.06,49.38,0.0,1.28
2021,1,1,9,23.02,51.44,0.0,0.38
2021,1,1,12,18.46,62.34,0.0,1.0
2021,1,1,15,14.67,73.35,0.0,1.92
2021,1,1,18,11.58,79.73,0.0,2.78
2021,1,1,21,10.14,79.25,0.0,2.69
2021,1,2,0,10.53,73.74,0.0,1.13
2021,1,2,3,15.49,63.38,0.0,0.35
2021,1,2,6,23.09,44.66,0.0,0.76
2021,1,2,9,22.99,48.2,0.0,1.08
2021,1,2,12,17.29,65.64,0.0,2.02
2021,1,2,15,17.05,62.46,0.0,0.74
2021,1,2,18,14.77,71.21,0.0,1.51
2021,1,2,21,13.07,76.15,0.0,1.46
2021,1,3,0,12.19,77.97,0.0,1.03
2021,1,3,3,16.87,66.75,0.0,0.59
2021,1,3,6,24.04,44.95,0.0,0.91
2021,1,3,9,23.86,48.64,0.0,0.71
2021,1,3,12,19.92,57.8,0.0,0.47
2021,1,3,15,17.48,65.22,0.0,1.19
2021,1,3,18,15.17,76.48,0.0,1.35
2021,1,3,21,14.05,82.08,0.0,0.74
2021,1,4,0,13.17,89.02,0.0,0.7
2021,1,4,3,18.61,71.94,0.0,1.32
2021,1,4,6,24.33,53.47,0.0,1.28
2021,1,4,9,24.64,53.47,0.0,0.5
2021,1,4,12,19.67,68.8,0.0,1.0
2021,1,4,15,17.48,75.32,0.0,0.89
2021,1,4,18,15.99,80.2,0.0,0.73
2021,1,4,21,15.36,82.05,0.0,0.34
2021,1,5,0,14.11,88.63,0.0,0.13
2021,1,5,3,19.0,71.9,0.0,0.42
2021,1,5,6,25.03,52.18,0.0,0.95
2021,1,5,9,25.06,54.96,0.0,2.04
2021,1,5,12,19.16,77.83,0.0,2.09
2021,1,5,15,18.21,77.49,0.0,1.05
2021,1,5,18,16.71,83.57,0.0,0.91
2021,1,5,21,15.02,92.09,0.0,1.56
2021,1,6,0,14.37,95.64,0.02,1.3
2021,1,6,3,18.96,77.91,0.0,0.99
2021,1,6,6,25.33,54.03,0.0,2.05
2021,1,6,9,25.03,57.77,0.0,3.25
2021,1,6,12,18.78,82.94,0.0,2.81
2021,1,6,15,17.75,84.67,0.0,1.96
2021,1,6,18,17.17,86.75,0.0,1.28
2021,1,6,21,15.86,93.21,0.0,1.29
2021,1,7,0,14.12,100.0,0.0,1.64
2021,1,7,3,19.54,78.41,0.0,2.16
2021,1,7,6,25.56,52.62,0.0,2.18
2021,1,7,9,25.51,54.8,0.0,3.62
2021,1,7,12,19.55,77.18,0.0,2.23
2021,1,7,15,19.93,70.27,0.0,0.31
2021,1,7,18,16.94,84.06,0.0,1.42
2021,1,7,21,15.63,91.7,0.0,1.19
2021,1,8,0,14.07,100.0,0.0,1.39
2021,1,8,3,19.74,76.6,0.0,1.8
2021,1,8,6,25.17,53.46,0.0,0.92
2021,1,8,9,25.16,55.27,0.0,2.5
2021,1,8,12,19.88,73.26,0.0,2.08
2021,1,8,15,18.95,73.55,0.0,1.34
2021,1,8,18,17.34,79.81,0.0,0.92
2021,1,8,21,15.8,87.42,0.0,0.86
2021,1,9,0,13.56,100.0,0.0,0.82
2021,1,9,3,18.53,77.9,0.0,0.76
2021,1,9,6,25.03,48.69,0.0,1.59
2021,1,9,9,24.66,52.31,0.0,2.74
2021,1,9,12,19.71,70.13,0.0,1.96
2021,1,9,15,19.55,67.29,0.0,0.84
2021,1,9,18,17.63,74.88,0.0,0.72
2021,1,9,21,15.14,87.83,0.0,1.59
2021,1,10,0,13.34,100.0,0.0,1.7
2021,1,10,3,18.74,77.41,0.0,1.43
2021,1,10,6,24.19,60.38,0.0,2.58
2021,1,10,9,24.09,64.16,0.0,3.75
2021,1,10,12,19.94,83.02,0.0,1.92
2021,1,10,15,19.15,84.69,0.0,1.51
2021,1,10,18,17.66,93.0,0.0,1.48
2021,1,10,21,16.31,100.0,0.0,1.29
2021,1,11,0,15.37,100.0,0.0,1.01
2021,1,11,3,20.61,77.06,0.04,0.9
2021,1,11,6,25.34,54.35,0.01,2.76
2021,1,11,9,24.5,56.45,0.0,4.07
2021,1,11,12,18.75,81.6,0.0,2.34
2021,1,11,15,18.01,79.5,0.0,1.23
2021,1,11,18,15.64,89.39,0.0,1.62
2021,1,11,21,13.93,97.55,0.0,1.37
2021,1,12,0,12.32,100.0,0.06,1.22
2021,1,12,3,18.31,71.63,0.0,1.65
2021,1,12,6,23.4,46.93,0.0,3.27
2021,1,12,9,22.44,48.39,0.0,4.52
2021,1,12,12,15.58,72.29,0.0,2.88
2021,1,12,15,13.6,70.0,0.0,2.44
2021,1,12,18,11.62,74.72,0.0,2.5
2021,1,12,21,10.53,78.04,0.0,2.23
2021,1,13,0,10.24,77.73,0.0,1.29
2021,1,13,3,15.26,61.05,0.0,1.23
2021,1,13,6,21.76,41.68,0.0,1.49
2021,1,13,9,20.75,46.3,0.0,3.32
2021,1,13,12,14.21,70.7,0.0,2.62
2021,1,13,15,13.15,64.82,0.0,2.13
2021,1,13,18,11.55,63.46,0.0,2.3
2021,1,13,21,9.97,67.53,0.0,2.5
2021,1,14,0,10.55,61.86,0.0,0.98
