YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,10.7,100.0,0.0,2.72
2021,1,1,3,18.07,77.39,0.0,2.34
2021,1,1,6,22.95,59.3,0.0,1.98
2021,1,1,9,22.56,62.84,0.0,1.91
2021,1,1,12,17.34,80.8,0.0,2.45
2021,1,1,15,15.19,86.23,0.0,2.99
2021,1,1,18,13.46,94.47,0.0,3.06
2021,1,1,21,11.91,100.0,0.0,3.11
2021,1,2,0,11.1,100.0,0.0,2.59
2021,1,2,3,18.66,76.59,0.0,2.2
2021,1,2,6,22.78,61.47,0.0,1.56
2021,1,2,9,22.51,62.85,0.0,1.51
2021,1,2,12,18.28,75.78,0.0,1.86
2021,1,2,15,15.72,83.02,0.0,2.51
2021,1,2,18,13.83,89.93,0.0,2.77
2021,1,2,21,12.66,94.15,0.0,2.58
2021,1,3,0,12.18,97.66,0.0,2.02
2021,1,3,3,18.29,78.27,0.0,1.69
2021,1,3,6,23.64,58.82,0.0,1.67
2021,1,3,9,23.75,58.52,0.0,0.7
2021,1,3,12,19.59,71.19,0.0,1.6
2021,1,3,15,16.68,81.31,0.0,2.48
2021,1,3,18,15.26,88.07,0.0,2.1
2021,1,3,21,14.42,93.54,0.0,1.38
2021,1,4,0,13.54,99.75,0.0,1.15
2021,1,4,3,19.24,78.78,0.0,1.19
2021,1,4,6,24.37,58.21,0.0,1.07
2021,1,4,9,24.32,60.18,0.0,1.23
2021,1,4,12,20.07,73.32,0.0,1.61
2021,1,4,15,17.38,83.36,0.0,2.18
2021,1,4,18,15.81,90.65,0.14,2.17
2021,1,4,21,14.92,94.01,0.34,1.83
2021,1,5,0,13.93,99.6,0.0,1.48
2021,1,5,3,19.42,79.57,0.0,1.2
2021,1,5,6,24.57,59.51,0.0,1.92
2021,1,5,9,24.7,61.55,0.0,1.31
2021,1,5,12,20.52,74.54,0.0,1.56
2021,1,5,15,17.29,87.2,0.0,2.56
2021,1,5,18,15.47,96.17,0.0,2.7
2021,1,5,21,14.64,99.43,0.0,2.22
2021,1,6,0,14.58,98.96,0.0,1.69
2021,1,6,3,20.67,76.66,0.0,1.22
2021,1,6,6,25.54,59.06,0.0,1.46
2021,1,6,9,25.6,61.49,0.0,1.69
2021,1,6,12,21.28,75.72,0.0,1.76
2021,1,6,15,19.9,78.41,0.0,1.53
2021,1,6,18,19.82,74.8,0.0,0.81
2021,1,6,21,17.72,85.36,0.0,1.6
2021,1,7,0,15.65,98.85,0.0,2.22
2021,1,7,3,21.0,79.48,0.0,1.85
2021,1,7,6,26.63,55.11,0.0,1.65
2021,1,7,9,26.31,59.84,0.0,2.03
2021,1,7,12,23.2,63.6,0.0,0.8
2021,1,7,15,19.61,78.0,0.0,2.07
2021,1,7,18,17.43,86.7,0.07,2.25
2021,1,7,21,15.58,97.84,0.16,2.35
2021,1,8,0,14.13,100.0,0.0,2.39
2021,1,8,3,20.03,83.64,0.0,1.75
2021,1,8,6,25.66,56.99,0.0,2.17
2021,1,8,9,24.93,62.72,0.0,2.17
2021,1,8,12,20.84,75.58,0.0,1.86
2021,1,8,15,19.52,76.0,0.0,1.76
2021,1,8,18,18.04,81.56,0.0,1.79
2021,1,8,21,16.91,87.11,0.0,1.44
2021,1,9,0,14.9,98.73,0.0,1.28
2021,1,9,3,19.96,78.21,0.0,1.25
2021,1,9,6,24.42,59.13,0.0,2.1
2021,1,9,9,24.02,62.41,0.0,1.97
2021,1,9,12,20.6,72.07,0.0,1.41
2021,1,9,15,19.36,74.58,0.0,1.24
2021,1,9,18,18.03,80.01,0.0,1.34
2021,1,9,21,15.68,93.47,0.0,2.08
2021,1,10,0,14.24,100.0,0.0,1.9
2021,1,10,3,20.18,75.97,0.0,1.33
2021,1,10,6,24.49,62.59,0.0,1.83
2021,1,10,9,24.42,67.12,0.0,2.08
2021,1,10,12,22.2,71.04,0.0,0.6
2021,1,10,15,20.11,79.26,0.0,1.53
2021,1,10,18,18.71,85.15,0.0,1.72
2021,1,10,21,17.81,89.28,0.0,1.46
2021,1,11,0,16.41,97.25,0.0,1.38
2021,1,11,3,21.59,77.73,0.0,0.98
2021,1,11,6,25.39,63.17,0.0,1.08
2021,1,11,9,24.95,66.04,0.0,1.72
2021,1,11,12,21.49,80.28,0.0,1.68
2021,1,11,15,19.19,89.92,0.0,2.57
2021,1,11,18,17.38,96.18,0.0,2.5
2021,1,11,21,15.86,100.0,0.0,2.35
2021,1,12,0,15.09,100.0,0.0,2.08
2021,1,12,3,21.45,70.15,0.0,1.63
2021,1,12,6,23.79,57.2,0.0,2.88
2021,1,12,9,22.95,59.67,0.0,3.29
2021,1,12,12,17.86,81.89,0.0,2.55
2021,1,12,15,16.23,85.35,0.0,2.61
2021,1,12,18,14.63,88.35,0.0,2.52
2021,1,12,21,13.07,93.47,0.0,2.53
2021,1,13,0,11.83,96.33,0.0,2.33
2021,1,13,3,18.39,63.85,0.0,1.79
2021,1,13,6,21.82,46.88,0.0,3.09
2021,1,13,9,20.54,49.65,0.0,3.37
2021,1,13,12,15.73,66.01,0.0,2.15
2021,1,13,15,14.23,67.12,0.0,2.21
2021,1,13,18,12.41,75.22,0.0,2.78
2021,1,13,21,11.11,82.0,0.0,2.99
2021,1,14,0,9.81,90.37,0.0,2.92
2021,1,14,3,16.37,68.69,0.0,2.31
2021,1,14,6,21.2,49.23,0.0,2.16
2021,1,14,9,20.5,54.43,0.0,2.56
2021,1,14,12,15.67,73.54,0.0,2.41
2021,1,14,15,13.52,78.65,0.0,3.03
2021,1,14,18,11.88,81.12,1.81,3.31
2021,1,14,21,10.56,84.77,0.13,2.94
2021,1,15,0,10.13,88.12,0.0,2.34
2021,1,15,3,16.26,70.57,0.0,2.19
2021,1,15,6,20.9,48.74,0.0,2.44
2021,1,15,9,20.09,53.89,0.0,2.69
2021,1,15,12,15.17,73.17,0.0,2.55
2021,1,15,15,13.96,74.13,0.0,2.48
2021,1,15,18,12.76,78.32,0.0,2.59
2021,1,15,21,11.55,86.86,0.0,2.51
2021,1,16,0,10.19,100.0,0.0,2.51
