YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,15.04,94.14,0.0,1.56
2021,1,1,3,21.11,70.65,0.0,0.63
2021,1,1,6,24.31,64.58,0.0,0.72
2021,1,1,9,23.95,71.34,0.0,0.86
2021,1,1,12,19.58,93.68,0.0,2.08
2021,1,1,15,17.48,100.0,0.0,2.23
2021,1,1,18,16.52,100.0,0.0,1.82
2021,1,1,21,15.51,100.0,0.0,1.85
2021,1,2,0,14.58,96.99,0.0,1.69
2021,1,2,3,20.62,71.18,0.0,0.68
2021,1,2,6,23.81,62.01,0.0,0.67
2021,1,2,9,23.09,70.12,0.0,1.01
2021,1,2,12,18.76,95.85,0.0,1.62
2021,1,2,15,17.12,100.0,0.0,1.52
2021,1,2,18,15.95,100.0,0.0,1.97
2021,1,2,21,14.53,100.0,0.0,2.28
2021,1,3,0,13.75,100.0,0.0,2.18
2021,1,3,3,20.06,72.97,0.0,1.03
2021,1,3,6,23.97,62.31,0.0,0.67
2021,1,3,9,23.98,67.55,0.0,0.9
2021,1,3,12,19.18,93.33,0.0,1.53
2021,1,3,15,17.54,100.0,0.0,1.65
2021,1,3,18,16.07,100.0,0.0,1.99
2021,1,3,21,15.04,100.0,0.0,2.16
2021,1,4,0,14.64,97.57,0.0,2.05
2021,1,4,3,20.95,70.32,0.0,0.72
2021,1,4,6,25.15,61.83,0.0,0.52
2021,1,4,9,25.26,67.49,0.0,0.85
2021,1,4,12,20.24,93.4,0.0,1.57
2021,1,4,15,18.46,100.0,0.0,1.78
2021,1,4,18,17.52,100.0,0.0,1.84
2021,1,4,21,15.98,100.0,0.0,2.34
2021,1,5,0,15.35,100.0,0.0,2.24
2021,1,5,3,21.87,72.17,0.0,0.61
2021,1,5,6,25.83,63.4,0.0,0.63
2021,1,5,9,25.65,69.66,0.0,1.03
2021,1,5,12,20.95,95.36,0.0,1.41
2021,1,5,15,19.02,100.0,0.0,1.76
2021,1,5,18,17.44,100.0,0.0,1.89
2021,1,5,21,17.01,100.0,0.0,1.75
2021,1,6,0,16.33,93.96,0.0,1.48
2021,1,6,3,21.84,70.49,0.0,0.71
2021,1,6,6,25.04,64.08,0.0,0.65
2021,1,6,9,25.11,69.25,0.0,0.77
2021,1,6,12,20.35,93.01,0.0,1.69
2021,1,6,15,18.51,100.0,0.0,1.74
2021,1,6,18,17.31,100.0,0.0,1.64
2021,1,6,21,16.23,100.0,0.0,2.16
2021,1,7,0,15.52,100.0,0.0,2.18
2021,1,7,3,22.1,70.83,0.0,0.89
2021,1,7,6,25.46,60.02,0.0,1.17
2021,1,7,9,25.04,68.52,0.0,1.37
2021,1,7,12,20.97,91.49,0.0,1.59
2021,1,7,15,19.37,98.02,0.0,1.42
2021,1,7,18,18.34,98.4,0.0,1.57
2021,1,7,21,17.76,95.14,0.0,1.59
2021,1,8,0,17.41,91.62,0.0,1.39
2021,1,8,3,22.7,70.53,0.0,1.19
2021,1,8,6,26.0,61.49,0.0,1.25
2021,1,8,9,25.58,68.47,0.0,1.33
2021,1,8,12,21.56,90.77,0.0,1.53
2021,1,8,15,20.02,96.31,0.0,1.39
2021,1,8,18,18.67,99.61,0.0,1.45
2021,1,8,21,17.73,99.91,0.0,1.63
2021,1,9,0,16.79,99.23,0.0,1.52
2021,1,9,3,22.19,68.57,0.0,0.99
2021,1,9,6,24.84,59.14,0.0,1.14
2021,1,9,9,24.24,67.11,0.0,1.09
2021,1,9,12,20.02,89.76,0.0,1.55
2021,1,9,15,18.24,97.57,0.0,1.49
2021,1,9,18,16.76,100.0,0.0,1.48
2021,1,9,21,15.99,97.19,0.0,1.63
2021,1,10,0,15.22,94.1,0.0,1.65
2021,1,10,3,20.72,70.71,0.0,1.31
2021,1,10,6,23.95,60.56,0.0,1.58
2021,1,10,9,23.55,68.81,0.0,1.45
2021,1,10,12,20.26,88.48,0.0,1.56
2021,1,10,15,18.9,94.28,0.0,1.45
2021,1,10,18,17.58,99.7,0.0,1.23
2021,1,10,21,16.57,100.0,0.0,1.61
2021,1,11,0,16.11,97.93,0.01,1.43
2021,1,11,3,21.52,74.88,0.0,1.18
2021,1,11,6,24.78,65.74,0.0,1.71
2021,1,11,9,24.3,72.43,0.0,1.64
2021,1,11,12,21.03,90.32,0.0,1.49
2021,1,11,15,19.47,97.11,0.01,1.2
2021,1,11,18,18.3,100.0,0.01,1.47
2021,1,11,21,18.81,95.32,0.02,1.71
2021,1,12,0,18.26,96.04,0.08,1.58
2021,1,12,3,22.63,75.79,0.01,1.5
2021,1,12,6,25.07,66.36,0.0,1.54
2021,1,12,9,24.3,71.52,0.0,1.6
2021,1,12,12,20.88,88.83,0.0,1.58
2021,1,12,15,19.06,96.73,0.0,1.42
2021,1,12,18,17.42,100.0,0.01,1.45
2021,1,12,21,16.36,100.0,0.02,1.62
2021,1,13,0,15.44,100.0,0.02,1.85
2021,1,13,3,21.13,69.42,0.0,1.26
2021,1,13,6,23.42,58.88,0.0,1.46
2021,1,13,9,22.8,64.64,0.0,1.44
2021,1,13,12,18.61,87.34,0.0,1.71
2021,1,13,15,16.74,95.64,0.01,1.44
2021,1,13,18,15.09,100.0,0.01,1.5
2021,1,13,21,14.29,100.0,0.02,1.47
2021,1,14,0,13.63,100.0,0.01,1.52
2021,1,14,3,19.14,71.58,0.0,1.44
2021,1,14,6,22.21,61.54,0.0,1.33
2021,1,14,9,21.8,68.08,0.0,1.46
2021,1,14,12,17.8,92.34,0.0,1.51
2021,1,14,15,15.88,100.0,0.0,1.53
2021,1,14,18,14.77,100.0,0.03,1.47
2021,1,14,21,13.9,100.0,0.02,1.62
2021,1,15,0,13.47,100.0,0.01,1.51
2021,1,15,3,19.6,69.92,0.0,1.15
2021,1,15,6,22.51,61.19,0.0,1.31
2021,1,15,9,21.62,66.75,0.0,1.58
2021,1,15,12,17.71,89.5,0.0,1.47
2021,1,15,15,15.9,97.98,0.0,1.63
2021,1,15,18,14.41,100.0,0.01,1.68
2021,1,15,21,13.57,100.0,0.02,1.51
2021,1,16,0,12.95,100.0,0.05,1.65
2021,1,16,3,18.53,67.86,0.0,0.98
2021,1,16,6,21.45,57.03,0.0,0.92
2021,1,16,9,20.94,63.24,0.0,1.2
2021,1,16,12,16.74,88.62,0.0,2.09
2021,1,16,15,14.89,97.63,0.0,2.3
2021,1,16,18,13.39,100.0,0.0,2.03
2021,1,16,21,12.95,100.0,0.07,1.74
2021,1,17,0,12.77,100.0,0.04,1.27
2021,1,17,3,18.75,69.9,0.0,0.62
2021,1,17,6,22.46,57.86,0.0,0.5
2021,1,17,9,21.87,65.18,0.0,1.24
2021,1,17,12,17.74,91.67,0.0,1.43
2021,1,17,15,15.89,100.0,0.0,1.51
2021,1,17,18,14.62,100.0,0.07,1.47
2021,1,17,21,13.79,100.0,0.06,1.56
2021,1,18,0,13.28,97.13,0.03,1.46
2021,1,18,3,19.49,68.89,0.0,0.36
2021,1,18,6,23.54,57.89,0.0,0.86
2021,1,18,9,22.73,65.72,0.0,0.91
2021,1,18,12,18.18,92.93,0.0,2.03
2021,1,18,15,16.34,100.0,0.0,2.05
2021,1,18,18,15.21,100.0,0.05,2.07
2021,1,18,21,14.83,100.0,0.01,1.71
2021,1,19,0,14.35,97.7,0.01,1.68
2021,1,19,3,19.42,72.02,0.0,0.14
2021,1,19,6,22.47,59.59,0.0,0.56
2021,1,19,9,22.0,64.46,0.0,0.8
2021,1,19,12,17.77,86.32,0.0,2.15
2021,1,19,15,15.74,96.76,0.0,2.27
2021,1,19,18,14.04,100.0,0.0,2.16
2021,1,19,21,12.96,100.0,0.05,2.03
2021,1,20,0,12.17,100.0,0.02,1.83
2021,1,20,3,18.45,70.82,0.0,0.23
2021,1,20,6,22.89,60.35,0.0,0.8
2021,1,20,9,22.56,67.88,0.0,1.26
2021,1,20,12,19.38,86.31,0.0,1.6
2021,1,20,15,19.68,80.49,0.01,0.77
2021,1,20,18,19.14,80.21,0.0,0.3
2021,1,20,21,18.27,81.32,0.02,0.91
2021,1,21,0,17.29,85.25,0.01,1.27
2021,1,21,3,21.26,72.55,0.07,0.69
2021,1,21,6,24.04,65.12,0.11,1.48
2021,1,21,9,23.4,72.63,0.07,1.45
2021,1,21,12,20.47,92.12,0.13,1.43
2021,1,21,15,19.72,96.15,0.04,1.42
2021,1,21,18,18.43,98.4,0.01,1.4
2021,1,21,21,16.16,100.0,0.02,1.37
2021,1,22,0,14.52,100.0,0.01,1.75
2021,1,22,3,20.67,66.54,0.0,0.7
2021,1,22,6,23.08,50.5,0.0,1.11
2021,1,22,9,22.04,56.22,0.0,1.53
2021,1,22,12,17.84,81.97,0.0,1.73
2021,1,22,15,15.9,91.32,0.0,1.55
2021,1,22,18,14.17,96.87,0.01,1.58
2021,1,22,21,13.0,96.66,0.01,1.63
2021,1,23,0,12.23,96.02,0.01,1.61
2021,1,23,3,18.84,63.96,0.0,1.23
2021,1,23,6,21.97,49.12,0.0,1.66
2021,1,23,9,21.06,55.96,0.0,1.79
2021,1,23,12,16.63,82.34,0.0,1.73
