YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,14.643333333333333,95.56,0.05,2.9599999999999995
2021,1,1,3,21.05666666666667,69.89333333333333,0.0,2.44
2021,1,1,6,22.866666666666664,65.22,0.0,2.3433333333333333
2021,1,1,9,20.98,75.56666666666668,0.0,2.1
2021,1,1,12,18.366666666666667,78.11,0.0,2.19
2021,1,1,15,16.26,84.75333333333333,0.0,2.876666666666667
2021,1,1,18,14.299999999999999,95.42666666666666,0.0,3.4899999999999998
2021,1,1,21,12.963333333333333,100.0,0.0,3.3800000000000003
2021,1,2,0,14.643333333333333,95.46666666666665,0.0,2.5833333333333335
2021,1,2,3,20.983333333333334,68.83,0.0,1.7233333333333334
2021,1,2,6,22.69333333333333,64.17666666666666,0.0,2.16
2021,1,2,9,20.703333333333333,76.78,0.0,2.3233333333333337
2021,1,2,12,18.006666666666664,82.05,0.0,2.6566666666666667
2021,1,2,15,16.236666666666668,87.66000000000001,0.0,2.736666666666667
2021,1,2,18,14.530000000000001,96.43333333333334,0.0,2.8433333333333333
2021,1,2,21,13.18,100.0,0.0,2.986666666666667
2021,1,3,0,14.766666666666666,95.67333333333333,0.0,2.8766666666666665
2021,1,3,3,21.083333333333332,70.32666666666667,0.0,2.18
2021,1,3,6,23.063333333333333,66.16666666666667,0.0,2.44
2021,1,3,9,21.346666666666664,76.36,0.0,2.06
2021,1,3,12,19.043333333333333,77.43,0.0,1.87
2021,1,3,15,17.476666666666667,81.71666666666667,0.0,2.08
2021,1,3,18,15.67,91.98,0.0,2.36
2021,1,3,21,14.383333333333333,99.76333333333334,0.0,2.4833333333333334
2021,1,4,0,15.853333333333333,94.46,0.0,1.9866666666666666
2021,1,4,3,21.976666666666663,70.14666666666666,0.0,2.0033333333333334
2021,1,4,6,24.146666666666665,63.46666666666667,0.0,3.08
2021,1,4,9,22.169999999999998,75.39,0.0,2.3333333333333335
2021,1,4,12,19.95,76.25666666666666,0.0,1.43
2021,1,4,15,18.11,81.85333333333334,0.0,2.0033333333333334
2021,1,4,18,16.023333333333333,93.90666666666668,0.75,2.5833333333333335
2021,1,4,21,14.61,100.0,0.0,2.8766666666666665
2021,1,5,0,16.19666666666667,95.74333333333334,0.0,2.4433333333333334
2021,1,5,3,22.136666666666667,73.08999999999999,0.0,2.723333333333333
2021,1,5,6,24.286666666666665,67.01333333333334,0.0,3.39
2021,1,5,9,22.48,78.51666666666667,0.0,2.4566666666666666
2021,1,5,12,20.213333333333335,81.94666666666667,0.0,1.72
2021,1,5,15,18.503333333333334,87.58999999999999,0.0,2.09
2021,1,5,18,16.643333333333334,97.13333333333333,0.0,2.6233333333333335
2021,1,5,21,15.116666666666667,100.0,0.0,2.973333333333333
2021,1,6,0,16.826666666666668,95.12333333333333,0.0,2.7266666666666666
2021,1,6,3,22.939999999999998,71.27333333333333,0.0,2.436666666666667
2021,1,6,6,25.116666666666664,64.75666666666666,0.0,2.3233333333333337
2021,1,6,9,23.62,73.63333333333334,0.0,1.75
2021,1,6,12,20.82,79.91666666666667,0.0,1.8733333333333333
2021,1,6,15,19.7,81.25666666666666,0.0,2.0
2021,1,6,18,19.216666666666665,82.29333333333334,0.0,1.2433333333333334
2021,1,6,21,17.81,91.65666666666668,0.0,1.4866666666666666
2021,1,7,0,18.393333333333334,92.17,0.0,1.08
2021,1,7,3,24.413333333333338,65.70666666666666,0.0,1.0733333333333333
2021,1,7,6,26.61,57.95666666666667,0.0,1.71
2021,1,7,9,25.123333333333335,66.45666666666666,0.0,1.5533333333333335
2021,1,7,12,22.47666666666667,72.27666666666667,0.0,1.4733333333333334
2021,1,7,15,21.276666666666667,74.77333333333333,0.0,1.1266666666666667
2021,1,7,18,19.66,79.50333333333333,0.33,1.5766666666666669
2021,1,7,21,17.81,89.86666666666667,0.0,2.28
2021,1,8,0,18.57,89.28000000000002,0.0,2.3166666666666664
2021,1,8,3,23.896666666666665,70.21333333333332,0.0,2.4333333333333336
2021,1,8,6,25.78,62.13333333333333,0.0,3.623333333333333
2021,1,8,9,23.333333333333332,74.82333333333334,0.0,2.92
2021,1,8,12,20.790000000000003,78.10666666666667,0.0,2.3066666666666666
2021,1,8,15,20.136666666666667,74.45333333333333,0.0,1.9633333333333332
2021,1,8,18,18.533333333333335,81.05666666666667,0.0,2.2399999999999998
2021,1,8,21,16.896666666666665,91.24000000000001,0.0,2.4433333333333334
2021,1,9,0,17.583333333333332,91.39333333333333,0.0,2.3633333333333333
2021,1,9,3,22.95,68.45,0.0,2.28
2021,1,9,6,24.64,63.4,0.0,2.2933333333333334
2021,1,9,9,23.016666666666666,73.63333333333333,0.0,1.9100000000000001
2021,1,9,12,21.263333333333332,74.01666666666667,0.0,1.2666666666666666
2021,1,9,15,20.669999999999998,72.26666666666667,0.0,0.7133333333333334
2021,1,9,18,19.143333333333334,80.43,0.0,0.8966666666666666
2021,1,9,21,17.776666666666667,89.61666666666667,0.0,0.9166666666666666
2021,1,10,0,17.976666666666667,91.7,0.0,0.5033333333333333
2021,1,10,3,23.070000000000004,68.81666666666666,0.0,1.5533333333333335
2021,1,10,6,24.930000000000003,65.88666666666667,0.0,2.143333333333333
2021,1,10,9,24.223333333333333,70.07333333333334,0.0,1.1266666666666667
2021,1,10,12,22.093333333333334,76.19666666666667,0.0,1.0666666666666667
2021,1,10,15,20.906666666666666,79.08333333333333,0.0,1.0366666666666668
2021,1,10,18,20.096666666666668,82.43666666666667,0.0,0.8300000000000001
2021,1,10,21,19.083333333333332,89.39333333333333,0.0,0.7599999999999999
2021,1,11,0,19.569999999999997,90.61,0.0,1.1366666666666667
2021,1,11,3,24.616666666666664,67.51666666666667,0.0,0.8666666666666667
2021,1,11,6,25.900000000000002,64.08,0.0,1.6366666666666667
2021,1,11,9,24.290000000000003,74.19,0.0,1.5266666666666666
2021,1,11,12,21.45,84.26333333333334,0.0,1.9400000000000002
2021,1,11,15,20.05666666666667,87.85666666666667,0.0,2.1533333333333333
2021,1,11,18,18.543333333333333,95.84666666666668,0.0,2.4566666666666666
2021,1,11,21,17.156666666666666,100.0,0.05,2.7533333333333334
2021,1,12,0,18.383333333333336,94.64333333333333,0.03,2.6233333333333335
2021,1,12,3,23.336666666666662,72.08666666666666,0.0,2.706666666666667
2021,1,12,6,24.506666666666664,64.72666666666667,0.0,2.9933333333333336
2021,1,12,9,22.496666666666666,74.68,0.0,2.36
2021,1,12,12,19.546666666666667,80.88,0.0,2.6133333333333333
2021,1,12,15,17.793333333333333,86.42999999999999,0.0,3.1766666666666663
2021,1,12,18,16.25,94.03000000000002,0.01,3.3366666666666664
2021,1,12,21,15.123333333333333,99.58999999999999,0.03,3.2466666666666666
2021,1,13,0,16.6,92.06666666666666,0.02,3.23
2021,1,13,3,22.073333333333334,63.906666666666666,0.0,2.953333333333333
2021,1,13,6,23.316666666666666,58.48,0.0,3.0233333333333334
2021,1,13,9,20.953333333333333,71.35,0.0,2.84
2021,1,13,12,17.723333333333333,81.92999999999999,0.0,3.2266666666666666
2021,1,13,15,16.346666666666668,84.92333333333333,0.0,3.4766666666666666
2021,1,13,18,15.216666666666667,87.61333333333334,0.0,3.66
2021,1,13,21,14.113333333333335,90.37,0.0,3.4499999999999997
2021,1,14,0,15.203333333333333,85.69,0.0,3.0866666666666664
2021,1,14,3,20.54,62.876666666666665,0.0,2.473333333333333
2021,1,14,6,22.323333333333334,61.373333333333335,3.5300000000000002,2.236666666666667
2021,1,14,9,20.706666666666667,72.65666666666667,4.59,2.33
2021,1,14,12,17.849999999999998,81.12,0.15,3.073333333333333
2021,1,14,15,16.44333333333333,83.08666666666666,0.0,3.16
2021,1,14,18,15.08,86.96,7.59,3.1533333333333338
2021,1,14,21,13.920000000000002,90.44666666666667,8.87,3.016666666666667
2021,1,15,0,15.200000000000001,85.89666666666666,3.8000000000000003,2.5366666666666666
2021,1,15,3,20.3,62.22666666666667,0.0,2.2466666666666666
2021,1,15,6,21.679999999999996,57.20333333333334,0.0,2.8033333333333332
2021,1,15,9,19.790000000000003,68.75333333333333,0.0,2.216666666666667
2021,1,15,12,17.236666666666668,75.44666666666667,0.0,2.513333333333333
2021,1,15,15,16.013333333333332,77.89666666666666,0.0,2.7266666666666666
2021,1,15,18,14.613333333333335,80.68333333333334,0.0,3.0866666666666664
2021,1,15,21,13.363333333333335,85.03666666666668,0.0,3.22
2021,1,16,0,14.596666666666666,83.62,0.0,2.776666666666667
2021,1,16,3,20.13,56.70666666666667,0.0,2.143333333333333
2021,1,16,6,21.896666666666665,50.76666666666667,0.0,3.1533333333333338
2021,1,16,9,19.846666666666668,64.60333333333334,0.0,2.5466666666666664
2021,1,16,12,17.286666666666665,70.88333333333334,0.0,2.3266666666666667
2021,1,16,15,16.016666666666666,74.98,0.0,2.4933333333333336
2021,1,16,18,14.363333333333335,84.64666666666666,0.0,3.0033333333333334
2021,1,16,21,13.056666666666667,96.13,0.0,3.34
2021,1,17,0,14.799999999999999,91.11,0.0,3.063333333333333
2021,1,17,3,20.53333333333333,64.35000000000001,0.0,2.766666666666667
2021,1,17,6,21.72666666666667,58.913333333333334,0.0,3.61
2021,1,17,9,19.39,72.78333333333335,0.0,2.986666666666667
2021,1,17,12,16.793333333333333,79.1,0.0,2.6233333333333335
2021,1,17,15,15.69,82.42333333333333,0.0,2.6033333333333335
2021,1,17,18,14.219999999999999,91.47333333333334,0.0,2.9766666666666666
2021,1,17,21,13.15,99.20333333333333,0.0,2.9333333333333336
2021,1,18,0,14.449999999999998,94.98666666666666,0.0,2.6999999999999997
2021,1,18,3,20.363333333333333,67.43333333333332,0.0,1.72
2021,1,18,6,22.636666666666667,59.06,0.0,1.8733333333333333
2021,1,18,9,21.223333333333333,66.85666666666667,0.0,1.4066666666666665
2021,1,18,12,19.356666666666666,65.09333333333333,0.0,0.8566666666666666
