YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,13.526666666666666,95.38333333333333,0.05,2.16
2021,1,1,3,20.843333333333334,69.3,0.0,1.6066666666666667
2021,1,1,6,23.083333333333332,61.666666666666664,0.0,1.6966666666666665
2021,1,1,9,21.073333333333334,72.71333333333332,0.0,1.7033333333333334
2021,1,1,12,17.78,77.72000000000001,0.0,2.2600000000000002
2021,1,1,15,15.316666666666668,87.03333333333335,0.0,2.8699999999999997
2021,1,1,18,13.383333333333335,97.15666666666668,0.0,3.1566666666666667
2021,1,1,21,11.9,100.0,0.0,2.9599999999999995
2021,1,2,0,13.693333333333333,95.54666666666667,0.0,1.8499999999999999
2021,1,2,3,20.916666666666668,69.08333333333333,0.0,1.0333333333333334
2021,1,2,6,22.923333333333332,62.85666666666666,0.0,1.6333333333333335
2021,1,2,9,20.95,74.15666666666667,0.0,1.7133333333333332
2021,1,2,12,17.81,79.50333333333333,0.0,2.2399999999999998
2021,1,2,15,15.356666666666667,87.82,0.0,2.7733333333333334
2021,1,2,18,13.586666666666668,97.26666666666667,0.0,2.81
2021,1,2,21,12.51,100.0,0.0,2.4633333333333334
2021,1,3,0,14.076666666666668,95.18333333333334,0.0,1.9066666666666665
2021,1,3,3,20.67,71.23666666666666,0.0,1.3766666666666667
2021,1,3,6,23.39,62.553333333333335,0.0,1.5966666666666667
2021,1,3,9,21.923333333333336,69.72666666666667,0.0,1.2533333333333334
2021,1,3,12,18.84,74.58333333333333,0.0,1.8099999999999998
2021,1,3,15,16.66,82.12,0.0,2.106666666666667
2021,1,3,18,15.226666666666667,88.66666666666667,0.0,1.8033333333333335
2021,1,3,21,14.113333333333335,95.29,0.0,1.5033333333333332
2021,1,4,0,15.049999999999999,93.69333333333333,0.0,1.1166666666666667
2021,1,4,3,21.73,69.14333333333333,0.0,1.2333333333333334
2021,1,4,6,24.326666666666668,60.663333333333334,0.0,2.186666666666667
2021,1,4,9,22.336666666666662,71.40333333333334,0.0,1.9033333333333333
2021,1,4,12,19.496666666666666,73.08666666666666,0.0,1.7066666666666668
2021,1,4,15,17.11,82.83999999999999,0.0,2.1
2021,1,4,18,15.193333333333333,93.21666666666665,2.52,2.32
2021,1,4,21,13.986666666666666,99.55,0.0,2.1566666666666667
2021,1,5,0,15.24,95.34333333333332,0.0,1.55
2021,1,5,3,21.77,71.72666666666667,0.0,1.8966666666666667
2021,1,5,6,24.453333333333333,63.623333333333335,0.0,2.51
2021,1,5,9,23.003333333333334,71.36,0.0,1.6366666666666667
2021,1,5,12,20.19,74.82,0.0,1.5833333333333333
2021,1,5,15,17.413333333333334,86.57666666666667,0.0,2.29
