YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,10.516666666666667,80.36333333333333,0.0,2.9133333333333336
2021,1,1,3,19.36,50.53666666666667,0.0,2.5966666666666662
2021,1,1,6,23.983333333333334,37.71,0.0,3.0400000000000005
2021,1,1,9,20.35666666666667,58.876666666666665,0.0,2.5833333333333335
2021,1,1,12,15.283333333333333,71.59,0.0,2.73
2021,1,1,15,13.583333333333334,73.63,0.0,2.4833333333333334
2021,1,1,18,11.443333333333333,78.25,0.0,2.6333333333333333
2021,1,1,21,9.673333333333334,82.58,0.0,2.7866666666666666
2021,1,2,0,11.026666666666666,78.63,0.0,2.3733333333333335
2021,1,2,3,19.44,51.123333333333335,0.0,2.22
2021,1,2,6,23.2,41.06666666666667,0.0,2.7300000000000004
2021,1,2,9,20.356666666666666,58.02,0.0,2.0933333333333333
2021,1,2,12,16.97,61.196666666666665,0.0,1.7933333333333332
2021,1,2,15,15.24,65.17,0.0,1.6733333333333331
2021,1,2,18,13.653333333333334,70.21,0.0,1.4733333333333334
2021,1,2,21,11.846666666666666,77.68,0.0,1.8233333333333333
2021,1,3,0,12.67,78.5,0.0,1.61
2021,1,3,3,20.62666666666667,53.47,0.0,1.6466666666666665
2021,1,3,6,24.616666666666664,43.69,0.0,1.9866666666666666
2021,1,3,9,22.403333333333336,56.656666666666666,0.0,1.5333333333333332
2021,1,3,12,17.956666666666667,66.55333333333334,0.0,2.066666666666667
2021,1,3,15,15.396666666666667,76.99666666666667,0.0,2.22
2021,1,3,18,14.32,83.35000000000001,0.0,1.6933333333333334
2021,1,3,21,12.886666666666665,92.29,0.0,1.6500000000000001
2021,1,4,0,13.506666666666668,91.43666666666667,0.0,1.9866666666666666
2021,1,4,3,21.836666666666662,59.20333333333334,0.0,2.0066666666666664
2021,1,4,6,25.61,46.98333333333333,0.0,2.5433333333333334
2021,1,4,9,22.646666666666665,64.50333333333333,0.0,2.2133333333333334
2021,1,4,12,18.790000000000003,72.47333333333333,0.0,1.86
2021,1,4,15,17.463333333333335,75.78666666666668,0.0,1.3
2021,1,4,18,15.656666666666666,84.36999999999999,0.0,1.6033333333333335
2021,1,4,21,13.623333333333335,96.13666666666667,19.07,2.0066666666666664
2021,1,5,0,14.19,95.2,0.0,2.1733333333333333
2021,1,5,3,21.996666666666666,64.10666666666667,0.0,2.2899999999999996
2021,1,5,6,26.0,50.339999999999996,0.0,2.7699999999999996
2021,1,5,9,23.846666666666668,62.23666666666666,0.0,1.8933333333333333
2021,1,5,12,19.83,71.52,0.0,1.7033333333333331
2021,1,5,15,18.153333333333332,76.64999999999999,0.0,1.2933333333333332
2021,1,5,18,16.146666666666665,86.19,0.0,1.39
2021,1,5,21,14.469999999999999,95.79333333333334,0.0,1.6199999999999999
2021,1,6,0,15.466666666666667,93.00999999999999,0.0,1.5866666666666667
2021,1,6,3,23.77,59.48666666666667,0.0,1.5633333333333332
2021,1,6,6,27.80666666666667,47.07,0.0,2.0233333333333334
2021,1,6,9,25.903333333333336,57.49,0.0,1.5366666666666664
2021,1,6,12,22.41,62.94333333333333,0.0,1.4000000000000001
2021,1,6,15,20.613333333333333,66.44666666666667,0.0,1.5233333333333334
2021,1,6,18,19.41,69.16000000000001,0.0,1.4866666666666666
2021,1,6,21,17.746666666666666,77.74333333333334,0.0,1.6133333333333333
2021,1,7,0,18.07,80.82,0.0,1.7266666666666666
2021,1,7,3,25.64,52.95666666666667,0.0,1.5866666666666667
2021,1,7,6,29.463333333333335,41.376666666666665,0.0,2.15
