YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,10.363333333333333,81.90666666666667,0.0,2.9899999999999998
2021,1,1,3,18.516666666666666,55.78333333333334,0.0,2.513333333333333
2021,1,1,6,23.14,41.663333333333334,0.0,2.9
2021,1,1,9,19.72,62.45333333333334,0.0,2.48
2021,1,1,12,14.953333333333333,73.24666666666667,0.0,2.776666666666667
2021,1,1,15,13.200000000000001,75.07000000000001,0.0,2.6666666666666665
2021,1,1,18,11.233333333333334,78.93666666666667,0.0,2.8266666666666667
2021,1,1,21,9.633333333333333,81.90666666666667,0.0,2.84
2021,1,2,0,10.826666666666668,79.35333333333334,0.0,2.42
2021,1,2,3,18.73,54.96666666666667,0.0,2.186666666666667
2021,1,2,6,22.569999999999997,45.833333333333336,0.0,2.4166666666666665
2021,1,2,9,20.083333333333332,61.150000000000006,0.0,1.8566666666666667
2021,1,2,12,16.993333333333336,62.72333333333333,0.0,1.6066666666666667
2021,1,2,15,15.18,66.91666666666667,0.0,1.7033333333333331
2021,1,2,18,13.589999999999998,71.86,0.0,1.7033333333333334
2021,1,2,21,11.673333333333332,79.68,0.0,2.0766666666666667
2021,1,3,0,12.623333333333333,79.38666666666667,0.0,1.7133333333333336
2021,1,3,3,20.033333333333335,57.46,0.0,1.6833333333333333
2021,1,3,6,23.936666666666667,48.23333333333333,0.0,1.6166666666666665
2021,1,3,9,21.876666666666665,60.833333333333336,0.0,1.3333333333333333
2021,1,3,12,17.55333333333333,71.14333333333333,0.0,2.08
2021,1,3,15,15.24,79.49,0.0,2.31
2021,1,3,18,14.166666666666666,84.44,0.0,1.87
2021,1,3,21,12.790000000000001,92.28666666666668,0.0,1.8033333333333335
2021,1,4,0,13.453333333333333,91.88666666666666,0.0,2.14
2021,1,4,3,21.3,63.82333333333333,0.0,2.033333333333333
2021,1,4,6,24.853333333333335,52.93333333333334,0.0,2.1999999999999997
2021,1,4,9,22.290000000000003,68.28666666666668,0.0,1.9666666666666666
2021,1,4,12,18.603333333333335,76.07,0.0,1.8133333333333332
2021,1,4,15,17.24,79.43666666666667,0.0,1.4366666666666665
2021,1,4,18,15.726666666666667,85.73,17.58,1.5033333333333332
2021,1,4,21,13.823333333333332,95.36666666666667,8.79,1.91
2021,1,5,0,14.096666666666666,95.22000000000001,0.0,2.2433333333333336
2021,1,5,3,21.49,67.08,0.0,2.1266666666666665
2021,1,5,6,25.213333333333335,54.36333333333334,0.0,2.183333333333333
2021,1,5,9,23.276666666666667,64.79333333333334,0.0,1.5333333333333332
2021,1,5,12,19.38,74.77333333333333,0.0,1.6366666666666667
2021,1,5,15,17.643333333333334,80.84333333333333,0.0,1.4233333333333336
2021,1,5,18,15.973333333333334,88.87333333333333,0.0,1.3
2021,1,5,21,14.646666666666667,96.11333333333334,0.0,1.2933333333333332
2021,1,6,0,15.373333333333333,93.89666666666666,0.0,1.3333333333333333
2021,1,6,3,23.03,63.49666666666667,0.0,1.2466666666666668
2021,1,6,6,26.876666666666665,51.50666666666666,0.0,1.8566666666666667
2021,1,6,9,25.026666666666667,61.95000000000001,0.0,1.5099999999999998
2021,1,6,12,22.11,65.23,0.0,1.2866666666666668
2021,1,6,15,20.583333333333332,69.35000000000001,0.0,1.4000000000000001
2021,1,6,18,19.653333333333332,72.43333333333334,0.0,1.3266666666666667
2021,1,6,21,18.263333333333335,78.95333333333333,0.0,1.3066666666666666
2021,1,7,0,18.01,84.02666666666666,0.0,1.4033333333333333
2021,1,7,3,24.77333333333333,58.42333333333334,0.0,1.3233333333333335
2021,1,7,6,28.503333333333334,46.23666666666666,0.0,2.1266666666666665
2021,1,7,9,26.41,56.276666666666664,0.0,1.6133333333333333
2021,1,7,12,22.786666666666665,62.080000000000005,0.0,1.3633333333333333
2021,1,7,15,19.316666666666666,75.92333333333333,0.0,2.0733333333333333
2021,1,7,18,17.956666666666667,80.69,8.06,1.68
2021,1,7,21,17.023333333333337,85.57000000000001,4.03,1.0066666666666666
2021,1,8,0,16.886666666666667,90.30666666666667,0.0,1.1766666666666667
2021,1,8,3,23.55666666666667,64.17666666666666,0.0,1.8033333333333335
2021,1,8,6,26.916666666666668,49.78666666666667,0.0,2.73
2021,1,8,9,24.30333333333333,64.65666666666665,0.0,2.063333333333333
2021,1,8,12,21.563333333333333,68.11,0.0,1.366666666666667
2021,1,8,15,20.08666666666667,70.27,0.0,0.9966666666666667
2021,1,8,18,18.900000000000002,74.51333333333334,0.0,0.77
2021,1,8,21,17.386666666666667,81.76,0.0,0.59
2021,1,9,0,16.596666666666668,89.13333333333333,0.0,1.0966666666666667
2021,1,9,3,23.403333333333336,60.60666666666666,0.0,1.3633333333333333
2021,1,9,6,26.349999999999998,49.18000000000001,0.0,2.2566666666666664
2021,1,9,9,24.436666666666667,59.48666666666667,0.0,1.6266666666666667
2021,1,9,12,22.439999999999998,58.56666666666666,0.0,0.4666666666666666
2021,1,9,15,20.796666666666667,63.376666666666665,0.0,0.49666666666666665
2021,1,9,18,18.186666666666667,75.82,0.0,1.39
2021,1,9,21,15.846666666666666,88.30666666666667,0.0,1.99
2021,1,10,0,16.483333333333334,88.61333333333334,0.0,2.08
