YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,14.513333333333334,89.56333333333333,0.04,2.936666666666667
2021,1,1,3,20.819999999999997,62.196666666666665,0.0,2.3699999999999997
2021,1,1,6,23.513333333333335,52.73666666666667,0.0,2.223333333333333
2021,1,1,9,21.936666666666667,65.12333333333333,0.0,1.8699999999999999
2021,1,1,12,19.006666666666664,71.46333333333332,0.0,2.1233333333333335
2021,1,1,15,16.930000000000003,78.92,0.0,2.513333333333333
2021,1,1,18,14.983333333333334,86.26333333333334,0.0,3.143333333333333
2021,1,1,21,13.713333333333333,89.51333333333334,0.0,3.1033333333333335
2021,1,2,0,14.520000000000001,86.34333333333332,0.0,2.5866666666666664
2021,1,2,3,20.816666666666666,60.38666666666666,0.0,1.6466666666666667
2021,1,2,6,23.323333333333334,50.57333333333333,0.0,1.96
2021,1,2,9,21.69333333333333,62.870000000000005,0.0,2.1366666666666667
2021,1,2,12,18.606666666666666,72.23333333333333,0.0,2.6533333333333333
2021,1,2,15,16.856666666666666,77.91666666666667,0.0,2.44
2021,1,2,18,15.596666666666666,81.58666666666666,0.0,2.29
2021,1,2,21,14.016666666666666,87.69,0.0,2.763333333333333
2021,1,3,0,14.476666666666667,86.94,0.0,2.8866666666666667
2021,1,3,3,20.826666666666668,63.080000000000005,0.0,1.9733333333333334
2021,1,3,6,23.72,53.76,0.0,2.0533333333333332
2021,1,3,9,22.47666666666667,66.02333333333333,0.0,1.67
2021,1,3,12,20.37666666666667,68.16000000000001,0.0,1.1533333333333333
2021,1,3,15,18.776666666666667,72.99,0.0,1.0533333333333335
2021,1,3,18,16.683333333333334,85.22000000000001,0.0,1.8466666666666667
2021,1,3,21,14.863333333333335,97.36,0.0,2.4633333333333334
2021,1,4,0,15.69,93.71999999999998,0.0,2.316666666666667
2021,1,4,3,22.036666666666665,66.24,0.0,2.06
2021,1,4,6,25.066666666666666,53.593333333333334,0.0,2.563333333333333
2021,1,4,9,23.566666666666666,66.75,0.0,1.7400000000000002
2021,1,4,12,21.563333333333333,69.25,0.0,0.6733333333333333
2021,1,4,15,19.993333333333336,73.49666666666667,0.0,0.8533333333333332
2021,1,4,18,17.433333333333334,87.83333333333333,0.97,2.1133333333333333
2021,1,4,21,15.453333333333333,99.57,0.32,2.7433333333333336
2021,1,5,0,16.38,96.34333333333332,0.09,2.47
2021,1,5,3,22.396666666666665,70.00666666666666,0.0,2.4366666666666665
2021,1,5,6,25.403333333333332,57.74666666666667,0.0,2.81
2021,1,5,9,23.936666666666667,70.12333333333333,0.0,2.013333333333333
2021,1,5,12,21.36,78.58333333333333,0.0,1.2633333333333334
2021,1,5,15,20.14,80.83333333333333,0.0,1.1733333333333331
2021,1,5,18,18.12,90.60333333333334,0.0,2.1933333333333334
2021,1,5,21,16.05333333333333,99.76666666666667,0.0,2.783333333333333
2021,1,6,0,17.05666666666667,94.81,0.05,2.58
2021,1,6,3,23.3,65.50666666666667,0.0,2.1366666666666667
2021,1,6,6,26.150000000000002,54.5,0.0,1.61
2021,1,6,9,25.286666666666665,60.833333333333336,0.0,0.9566666666666667
2021,1,6,12,22.98,66.70333333333333,0.0,0.9033333333333333
2021,1,6,15,21.493333333333336,71.09666666666666,0.0,1.68
2021,1,6,18,20.873333333333335,72.61333333333333,0.0,1.4066666666666665
2021,1,6,21,19.933333333333334,77.50666666666666,0.0,1.04
2021,1,7,0,19.226666666666663,84.51333333333334,0.0,1.2933333333333332
2021,1,7,3,24.676666666666666,60.123333333333335,0.0,1.2233333333333334
2021,1,7,6,27.613333333333333,48.126666666666665,0.0,1.0866666666666667
2021,1,7,9,26.959999999999997,51.45666666666667,0.0,0.49
2021,1,7,12,23.753333333333334,64.67666666666666,0.0,1.1833333333333333
2021,1,7,15,21.926666666666666,71.22000000000001,0.0,1.4166666666666667
2021,1,7,18,20.936666666666667,75.09666666666666,0.47,1.68
2021,1,7,21,19.426666666666666,82.63666666666667,0.15,2.216666666666667
2021,1,8,0,19.423333333333332,85.18,0.0,2.0233333333333334
2021,1,8,3,24.810000000000002,63.01333333333333,0.0,1.8433333333333335
2021,1,8,6,27.09,54.22,0.0,2.5466666666666664
2021,1,8,9,25.026666666666667,66.52,0.0,2.1766666666666667
2021,1,8,12,21.916666666666668,76.71,0.0,2.04
2021,1,8,15,21.32,73.7,0.0,1.2866666666666668
2021,1,8,18,20.30333333333333,75.78,0.0,1.1866666666666665
2021,1,8,21,18.29,85.22333333333334,0.0,2.1433333333333335
2021,1,9,0,18.283333333333335,87.14,0.0,2.436666666666667
2021,1,9,3,24.11,59.54666666666666,0.0,1.9533333333333331
2021,1,9,6,26.366666666666664,49.72666666666667,0.0,1.4466666666666665
2021,1,9,9,25.546666666666667,55.699999999999996,0.0,0.86
2021,1,9,12,23.916666666666668,57.419999999999995,0.0,0.49666666666666665
2021,1,9,15,21.89,69.15666666666665,0.0,1.5333333333333332
2021,1,9,18,20.96,76.51333333333334,0.0,1.5033333333333332
2021,1,9,21,19.77333333333333,85.03333333333333,0.0,1.6433333333333333
2021,1,10,0,19.23,88.40333333333332,0.0,1.8666666666666665
2021,1,10,3,24.233333333333334,61.446666666666665,0.0,2.15
2021,1,10,6,26.596666666666664,55.95666666666667,0.0,2.026666666666667
2021,1,10,9,26.060000000000002,62.580000000000005,0.0,1.1466666666666667
2021,1,10,12,24.066666666666666,67.46666666666667,0.0,1.2666666666666666
2021,1,10,15,22.16333333333333,77.5,0.0,1.7633333333333334
2021,1,10,18,20.78,85.86666666666667,0.0,2.0866666666666664
2021,1,10,21,19.543333333333333,92.34333333333332,0.0,2.23
2021,1,11,0,19.823333333333334,90.5,0.0,1.8633333333333333
2021,1,11,3,25.233333333333334,62.18333333333334,0.0,1.5866666666666667
2021,1,11,6,26.96666666666667,57.663333333333334,0.0,1.6633333333333333
2021,1,11,9,25.883333333333336,65.83333333333333,0.01,1.16
2021,1,11,12,23.083333333333332,76.90666666666667,0.01,1.5366666666666668
2021,1,11,15,21.436666666666667,82.02666666666666,0.0,1.37
2021,1,11,18,20.213333333333335,88.01333333333334,0.02,1.3166666666666667
2021,1,11,21,18.536666666666665,98.02,0.08,2.27
2021,1,12,0,19.19333333333333,92.95,0.04,2.4466666666666668
2021,1,12,3,24.47,62.74,0.0,2.15
2021,1,12,6,26.356666666666666,49.97666666666667,0.0,2.0166666666666666
2021,1,12,9,25.123333333333335,57.056666666666665,0.0,1.2333333333333334
2021,1,12,12,22.073333333333334,69.89,0.0,1.01
2021,1,12,15,19.483333333333334,81.92999999999999,0.0,1.5433333333333332
2021,1,12,18,17.709999999999997,92.21333333333332,0.03,2.2399999999999998
2021,1,12,21,16.52333333333333,98.54333333333334,0.09,2.526666666666667
2021,1,13,0,17.546666666666667,91.57000000000001,0.03,2.6733333333333333
2021,1,13,3,23.19333333333333,57.580000000000005,0.0,2.223333333333333
2021,1,13,6,24.986666666666665,48.89000000000001,0.0,1.71
2021,1,13,9,23.25666666666667,59.31999999999999,0.0,1.7700000000000002
2021,1,13,12,19.643333333333334,76.70666666666666,0.0,2.56
2021,1,13,15,18.19,85.66000000000001,0.0,2.453333333333333
2021,1,13,18,16.926666666666666,93.15666666666668,0.0,2.49
2021,1,13,21,15.839999999999998,96.25333333333333,0.02,2.61
2021,1,14,0,16.353333333333335,89.04666666666667,0.02,2.4033333333333333
2021,1,14,3,21.80666666666667,58.47,0.0,1.7666666666666666
2021,1,14,6,24.05666666666667,52.666666666666664,0.5,1.1433333333333333
2021,1,14,9,23.060000000000002,60.343333333333334,0.79,1.0733333333333335
2021,1,14,12,19.916666666666668,75.49666666666667,0.01,2.203333333333333
2021,1,14,15,18.463333333333335,82.13666666666667,0.0,2.0066666666666664
2021,1,14,18,17.093333333333334,89.06666666666666,0.01,1.9066666666666665
2021,1,14,21,15.67,94.40666666666668,3.69,2.283333333333333
2021,1,15,0,16.186666666666667,89.35666666666667,3.2399999999999998,2.13
2021,1,15,3,21.429999999999996,59.11666666666667,0.0,1.07
2021,1,15,6,23.403333333333336,49.38666666666666,0.0,1.5266666666666666
2021,1,15,9,22.349999999999998,56.06,0.0,1.0433333333333332
2021,1,15,12,19.213333333333335,69.57333333333334,0.0,1.92
2021,1,15,15,17.623333333333335,77.99666666666667,0.0,2.0666666666666664
2021,1,15,18,16.223333333333333,85.33999999999999,0.0,2.4633333333333334
2021,1,15,21,14.963333333333333,87.89333333333333,0.0,2.6566666666666667
2021,1,16,0,15.706666666666669,82.2,0.0,2.2566666666666664
2021,1,16,3,21.32,51.60333333333333,0.0,1.43
2021,1,16,6,23.643333333333334,41.096666666666664,0.0,2.0500000000000003
2021,1,16,9,22.03333333333333,52.596666666666664,0.0,1.7833333333333332
2021,1,16,12,18.583333333333332,69.09666666666666,0.0,2.18
2021,1,16,15,17.153333333333332,76.30666666666667,0.0,2.03
2021,1,16,18,15.856666666666667,81.96,0.0,2.22
2021,1,16,21,14.686666666666667,88.29666666666667,0.0,2.856666666666667
2021,1,17,0,15.743333333333332,84.98333333333333,0.0,2.76
2021,1,17,3,21.75333333333333,53.98,0.0,2.0233333333333334
2021,1,17,6,23.569999999999997,46.82333333333333,0.0,2.31
2021,1,17,9,21.676666666666666,58.723333333333336,0.0,2.243333333333333
2021,1,17,12,18.113333333333333,74.34666666666668,0.0,2.563333333333333
2021,1,17,15,16.67,80.63666666666667,0.0,2.526666666666667
2021,1,17,18,15.506666666666666,84.83,0.0,2.5866666666666664
2021,1,17,21,14.373333333333333,90.20666666666666,0.0,2.7466666666666666
2021,1,18,0,15.13,88.66000000000001,0.0,2.3699999999999997
2021,1,18,3,21.400000000000002,55.56333333333333,0.0,1.3333333333333333
2021,1,18,6,24.043333333333333,45.43333333333334,0.0,1.6633333333333333
2021,1,18,9,22.813333333333333,54.52,0.0,1.5599999999999998
2021,1,18,12,20.37666666666667,60.04666666666666,0.0,1.6133333333333333
2021,1,18,15,18.19333333333333,68.08666666666666,0.0,1.8099999999999998
2021,1,18,18,17.459999999999997,68.52666666666666,0.0,0.7066666666666667
2021,1,18,21,16.723333333333333,72.09666666666668,0.0,0.49333333333333335
