YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,12.013333333333334,85.22000000000001,0.1,2.486666666666667
2021,1,1,3,21.096666666666668,48.79,0.0,2.28
2021,1,1,6,24.98,37.483333333333334,0.0,2.766666666666667
2021,1,1,9,21.503333333333334,57.376666666666665,0.0,2.4899999999999998
2021,1,1,12,16.30333333333333,74.33,0.0,2.676666666666667
2021,1,1,15,14.633333333333333,76.85333333333334,0.0,2.453333333333333
2021,1,1,18,12.486666666666666,82.27,0.0,2.643333333333333
2021,1,1,21,10.713333333333333,87.01666666666667,0.0,2.643333333333333
2021,1,2,0,12.06,81.65333333333334,0.0,2.18
2021,1,2,3,21.156666666666666,48.050000000000004,0.0,1.72
2021,1,2,6,24.58,36.593333333333334,0.0,2.5666666666666664
2021,1,2,9,20.94333333333333,57.35999999999999,0.0,2.3333333333333335
2021,1,2,12,16.413333333333334,70.99,0.0,2.4633333333333334
2021,1,2,15,14.926666666666668,72.09333333333333,0.0,2.1566666666666667
2021,1,2,18,13.723333333333334,73.60666666666667,0.0,1.8533333333333335
2021,1,2,21,11.756666666666666,81.41666666666667,0.0,2.1199999999999997
2021,1,3,0,12.416666666666666,81.64333333333333,0.0,2.223333333333333
2021,1,3,3,21.16,51.330000000000005,0.0,1.66
2021,1,3,6,25.33666666666667,40.07,0.0,2.3366666666666664
2021,1,3,9,22.626666666666665,58.49666666666667,0.0,1.9666666666666666
2021,1,3,12,18.496666666666666,70.13333333333334,0.0,2.033333333333333
2021,1,3,15,16.55333333333333,76.31333333333333,0.0,1.93
2021,1,3,18,14.636666666666668,88.03666666666668,0.0,1.9133333333333333
2021,1,3,21,12.910000000000002,98.95333333333333,0.0,2.0666666666666664
2021,1,4,0,14.063333333333333,93.58666666666666,0.0,1.9466666666666665
2021,1,4,3,23.156666666666666,54.52333333333333,0.0,1.82
2021,1,4,6,27.099999999999998,39.696666666666665,0.0,2.8066666666666666
2021,1,4,9,23.903333333333336,58.76,0.0,2.29
2021,1,4,12,19.87666666666667,71.09333333333333,0.0,1.6333333333333335
2021,1,4,15,18.223333333333333,75.73666666666666,0.0,1.4066666666666665
2021,1,4,18,15.35,91.16333333333334,21.159999999999997,2.22
2021,1,4,21,13.513333333333334,100.0,9.68,2.3666666666666667
2021,1,5,0,14.933333333333332,96.08333333333333,0.04,2.0233333333333334
2021,1,5,3,23.253333333333334,61.26666666666667,0.0,2.31
2021,1,5,6,27.34,45.47,0.0,3.0966666666666662
2021,1,5,9,24.52333333333333,62.083333333333336,0.0,2.3766666666666665
2021,1,5,12,20.096666666666668,78.06,0.0,1.8866666666666667
2021,1,5,15,18.849999999999998,79.41000000000001,0.0,1.4333333333333333
2021,1,5,18,16.396666666666665,89.42,0.0,1.9066666666666665
2021,1,5,21,14.246666666666668,99.55333333333333,0.0,2.2733333333333334
2021,1,6,0,15.783333333333331,91.98666666666668,0.0,2.063333333333333
2021,1,6,3,24.723333333333333,54.166666666666664,0.0,1.9799999999999998
2021,1,6,6,28.546666666666667,42.346666666666664,0.0,1.9966666666666664
2021,1,6,9,26.26,56.13333333333333,0.0,1.5466666666666669
2021,1,6,12,22.39,66.69,0.0,1.3499999999999999
2021,1,6,15,21.293333333333333,67.39666666666666,0.0,0.8366666666666668
2021,1,6,18,20.273333333333333,67.70333333333333,0.0,0.48
2021,1,6,21,18.106666666666666,77.24333333333334,0.0,0.7133333333333334
2021,1,7,0,17.923333333333332,81.89999999999999,0.0,1.1366666666666667
2021,1,7,3,26.293333333333333,47.94,0.0,1.2433333333333334
2021,1,7,6,30.320000000000004,34.67333333333334,0.0,1.7833333333333332
2021,1,7,9,27.78,48.75666666666666,0.0,1.4433333333333334
2021,1,7,12,23.756666666666664,61.54333333333333,0.0,1.02
2021,1,7,15,21.536666666666665,68.41333333333334,0.0,0.9033333333333333
2021,1,7,18,19.993333333333332,73.18666666666667,9.709999999999999,0.7000000000000001
2021,1,7,21,17.926666666666666,82.21,4.45,1.6833333333333333
2021,1,8,0,18.349999999999998,83.66000000000001,0.0,1.8933333333333333
2021,1,8,3,26.426666666666666,51.32666666666666,0.0,1.8699999999999999
2021,1,8,6,29.323333333333334,38.800000000000004,0.0,2.8366666666666664
2021,1,8,9,25.810000000000002,56.173333333333325,0.0,2.48
2021,1,8,12,21.296666666666667,74.82333333333334,0.0,2.15
2021,1,8,15,20.55,73.13666666666667,0.0,1.4833333333333334
2021,1,8,18,19.276666666666667,75.73333333333333,0.0,1.2366666666666666
2021,1,8,21,17.11,84.67666666666666,0.0,1.6866666666666665
2021,1,9,0,17.31,85.3,0.0,1.95
2021,1,9,3,25.58,49.903333333333336,0.0,1.53
2021,1,9,6,28.653333333333332,37.99333333333333,0.0,1.9666666666666668
2021,1,9,9,25.936666666666667,53.93333333333334,0.0,1.84
2021,1,9,12,22.286666666666665,65.36333333333333,0.0,1.24
2021,1,9,15,21.033333333333335,67.63333333333334,0.0,0.3
2021,1,9,18,19.603333333333335,74.51,0.0,0.41333333333333333
2021,1,9,21,17.983333333333334,83.93333333333334,0.0,0.73
2021,1,10,0,17.95,85.06333333333333,0.0,1.53
2021,1,10,3,25.573333333333334,52.49,0.0,2.436666666666667
2021,1,10,6,28.72666666666667,45.50666666666667,0.0,3.11
2021,1,10,9,26.39,60.21,0.0,2.0533333333333332
2021,1,10,12,22.900000000000002,72.17666666666666,0.0,1.3666666666666665
2021,1,10,15,21.403333333333336,75.21666666666665,0.0,1.0133333333333334
2021,1,10,18,19.733333333333334,81.52333333333333,0.0,1.0766666666666667
2021,1,10,21,18.150000000000002,88.89,0.0,1.5
2021,1,11,0,19.023333333333333,85.33999999999999,0.0,1.3333333333333333
