YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,12.863333333333335,94.52333333333333,0.0,2.6500000000000004
2021,1,1,3,20.45,67.89666666666666,0.0,2.313333333333333
2021,1,1,6,23.099999999999998,59.11666666666667,0.0,1.9100000000000001
2021,1,1,9,20.66333333333333,72.64666666666666,0.0,1.9000000000000001
2021,1,1,12,16.536666666666665,82.77666666666666,0.0,2.6999999999999997
2021,1,1,15,14.6,88.85666666666667,0.0,3.0233333333333334
2021,1,1,18,12.906666666666666,97.01333333333334,0.0,3.0933333333333333
2021,1,1,21,11.533333333333333,100.0,0.0,2.983333333333333
2021,1,2,0,13.293333333333331,94.92999999999999,0.0,2.356666666666667
2021,1,2,3,20.643333333333334,69.02666666666666,0.0,2.046666666666667
2021,1,2,6,22.96666666666667,60.64000000000001,0.0,1.5166666666666666
2021,1,2,9,20.986666666666668,70.20333333333333,0.0,1.4800000000000002
2021,1,2,12,17.456666666666667,77.65666666666667,0.0,2.063333333333333
2021,1,2,15,14.979999999999999,85.87333333333333,0.0,2.6766666666666663
2021,1,2,18,13.4,91.41333333333334,0.0,2.723333333333333
2021,1,2,21,12.44,95.52333333333333,0.0,2.436666666666667
2021,1,3,0,13.903333333333334,91.92,0.0,1.9533333333333331
2021,1,3,3,20.900000000000002,68.02,0.0,1.9366666666666665
2021,1,3,6,23.94666666666667,57.623333333333335,0.0,1.2933333333333332
2021,1,3,9,22.38,64.07333333333334,0.0,0.8733333333333334
2021,1,3,12,18.506666666666664,75.14,0.0,1.96
2021,1,3,15,16.12333333333333,83.71,0.0,2.4233333333333333
2021,1,3,18,15.036666666666667,89.53666666666668,0.0,1.8033333333333335
2021,1,3,21,14.133333333333333,95.58,0.0,1.2466666666666666
2021,1,4,0,14.826666666666666,94.78666666666668,0.0,1.26
2021,1,4,3,21.76,68.24,0.0,1.2166666666666666
2021,1,4,6,24.683333333333334,57.24,0.0,1.0733333333333335
2021,1,4,9,22.75,67.28333333333335,0.0,1.2933333333333332
2021,1,4,12,19.126666666666665,76.77,0.0,1.8166666666666667
2021,1,4,15,16.793333333333333,86.12,0.0,2.2133333333333334
2021,1,4,18,15.493333333333334,91.84333333333332,1.12,2.0766666666666667
2021,1,4,21,14.596666666666666,95.67,0.34,1.6633333333333333
2021,1,5,0,15.193333333333333,94.92,0.0,1.4166666666666667
2021,1,5,3,21.96666666666667,68.17666666666666,0.0,1.6133333333333333
2021,1,5,6,24.893333333333334,59.166666666666664,0.0,1.7700000000000002
2021,1,5,9,23.28,67.38666666666667,0.0,1.2166666666666668
2021,1,5,12,19.383333333333333,78.78,0.0,1.9233333333333331
2021,1,5,15,16.636666666666667,90.33333333333333,0.0,2.6333333333333333
2021,1,5,18,15.090000000000002,97.88,0.0,2.5766666666666667
2021,1,5,21,14.636666666666668,99.11000000000001,0.0,2.016666666666667
