YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,14.66,93.1,0.0,1.24
2021,1,1,3,20.41,74.0,0.0,0.6
2021,1,1,6,23.85,60.78,0.0,1.92
2021,1,1,9,23.28,65.1,0.0,1.65
2021,1,1,12,19.66,75.45,0.0,2.11
2021,1,1,15,18.17,81.4,0.0,1.94
2021,1,1,18,15.86,94.94,0.0,2.27
2021,1,1,21,14.48,100.0,0.0,2.26
2021,1,2,0,14.51,98.4,0.0,1.5
2021,1,2,3,20.79,71.24,0.0,0.36
2021,1,2,6,23.45,60.02,0.0,1.82
2021,1,2,9,22.8,64.49,0.0,2.08
2021,1,2,12,19.02,80.11,0.0,2.37
2021,1,2,15,17.95,84.67,0.0,1.95
2021,1,2,18,16.33,92.36,0.0,1.28
2021,1,2,21,15.04,98.48,0.0,1.2
2021,1,3,0,14.4,98.01,0.0,1.25
2021,1,3,3,20.06,75.25,0.0,0.78
2021,1,3,6,23.53,60.91,0.0,0.8
2021,1,3,9,23.97,60.24,0.0,1.36
2021,1,3,12,20.74,69.27,0.0,1.45
2021,1,3,15,18.78,74.68,0.0,1.75
2021,1,3,18,16.67,84.18,0.0,1.91
2021,1,3,21,15.49,88.83,0.0,1.88
2021,1,4,0,15.25,88.54,0.0,1.51
2021,1,4,3,20.73,72.19,0.0,0.78
2021,1,4,6,24.5,61.56,0.0,1.04
2021,1,4,9,24.63,60.42,0.0,1.27
2021,1,4,12,20.81,74.38,0.0,1.6
2021,1,4,15,18.8,80.43,0.0,1.62
2021,1,4,18,16.81,90.62,0.0,1.91
2021,1,4,21,15.18,97.35,0.0,2.33
2021,1,5,0,15.11,94.5,0.0,2.14
2021,1,5,3,21.52,71.37,0.0,1.55
2021,1,5,6,24.63,63.98,0.0,2.61
2021,1,5,9,24.78,65.25,0.0,2.37
2021,1,5,12,20.53,80.59,0.0,2.16
2021,1,5,15,19.04,85.33,0.0,1.78
2021,1,5,18,17.6,90.13,0.0,1.49
2021,1,5,21,16.07,95.48,0.0,1.8
2021,1,6,0,15.36,95.26,0.0,1.93
2021,1,6,3,21.42,73.0,0.0,1.56
2021,1,6,6,25.27,62.34,0.0,1.81
2021,1,6,9,25.88,61.38,0.0,1.52
2021,1,6,12,21.24,80.84,0.0,2.14
2021,1,6,15,19.37,86.31,0.0,2.11
2021,1,6,18,18.18,91.42,0.0,1.7
2021,1,6,21,17.08,95.68,0.0,2.06
2021,1,7,0,16.79,95.58,0.0,1.83
2021,1,7,3,22.97,69.35,0.0,1.3
2021,1,7,6,25.84,62.62,0.0,1.55
2021,1,7,9,26.3,62.21,0.0,1.94
2021,1,7,12,22.34,79.49,0.0,2.0
2021,1,7,15,20.39,83.16,0.0,2.44
2021,1,7,18,18.74,88.82,0.0,2.66
2021,1,7,21,17.68,92.34,0.0,2.54
2021,1,8,0,17.09,92.16,0.0,2.35
2021,1,8,3,22.3,75.67,0.0,2.35
2021,1,8,6,26.18,60.7,0.0,3.18
2021,1,8,9,25.84,64.44,0.0,3.28
2021,1,8,12,21.23,84.21,0.0,2.7
2021,1,8,15,19.35,87.15,0.0,2.59
2021,1,8,18,17.86,91.49,0.0,2.64
2021,1,8,21,16.8,94.02,0.0,2.69
2021,1,9,0,16.34,92.3,0.0,2.33
2021,1,9,3,21.96,66.93,0.0,2.12
2021,1,9,6,24.83,56.42,0.0,1.92
2021,1,9,9,24.37,63.17,0.0,2.12
2021,1,9,12,20.43,79.85,0.0,2.26
2021,1,9,15,19.16,83.78,0.0,2.02
2021,1,9,18,17.3,92.65,0.0,2.5
2021,1,9,21,16.68,92.21,0.0,2.32
2021,1,10,0,16.57,89.19,0.0,1.54
2021,1,10,3,21.47,69.7,0.0,0.96
2021,1,10,6,24.13,62.66,0.0,1.79
2021,1,10,9,24.2,67.92,0.0,1.39
2021,1,10,12,22.06,73.97,0.0,1.14
2021,1,10,15,21.18,75.99,0.0,1.02
2021,1,10,18,19.4,84.7,0.0,1.35
2021,1,10,21,17.87,92.4,0.0,1.98
2021,1,11,0,17.66,90.6,0.0,1.63
2021,1,11,3,22.57,73.39,0.0,1.15
2021,1,11,6,25.04,68.93,0.0,1.81
2021,1,11,9,25.13,69.19,0.0,1.73
2021,1,11,12,22.26,81.66,0.0,1.54
2021,1,11,15,20.16,88.25,0.0,2.49
2021,1,11,18,18.71,94.84,0.0,2.68
