YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,11.95,100.0,0.13,2.65
2021,1,1,3,19.04,77.08,0.0,1.9
2021,1,1,6,22.92,62.87,0.0,2.09
2021,1,1,9,22.57,65.45,0.0,2.2
2021,1,1,12,18.48,76.95,0.0,2.2
2021,1,1,15,16.41,82.35,0.0,2.71
2021,1,1,18,14.32,93.47,0.0,3.25
2021,1,1,21,12.71,100.0,0.0,3.33
2021,1,2,0,11.89,100.0,0.0,2.64
2021,1,2,3,19.12,76.97,0.0,1.37
2021,1,2,6,22.83,62.56,0.0,1.71
2021,1,2,9,22.22,67.28,0.0,2.26
2021,1,2,12,18.45,81.88,0.0,2.36
2021,1,2,15,16.38,85.21,0.0,2.67
2021,1,2,18,14.4,95.7,0.0,2.94
2021,1,2,21,12.98,100.0,0.0,2.83
2021,1,3,0,12.26,100.0,0.0,2.64
2021,1,3,3,19.0,78.54,0.0,1.7
2021,1,3,6,22.93,64.32,0.0,2.08
2021,1,3,9,22.92,67.28,0.0,2.08
2021,1,3,12,19.42,74.74,0.0,1.83
2021,1,3,15,17.5,80.09,0.0,2.17
2021,1,3,18,15.79,88.55,0.0,2.17
2021,1,3,21,14.33,97.64,0.0,2.14
2021,1,4,0,13.86,100.0,0.0,1.68
2021,1,4,3,19.76,78.73,0.0,1.02
2021,1,4,6,24.08,62.07,0.0,2.6
2021,1,4,9,23.78,66.62,0.0,2.72
2021,1,4,12,20.01,74.16,0.0,1.8
2021,1,4,15,18.19,79.39,0.0,1.91
2021,1,4,18,16.08,90.43,2.52,2.35
2021,1,4,21,14.33,100.0,0.0,2.63
2021,1,5,0,13.72,100.0,0.0,2.25
2021,1,5,3,19.83,81.68,0.0,1.83
2021,1,5,6,24.13,65.22,0.0,3.06
2021,1,5,9,24.02,69.18,0.0,2.86
2021,1,5,12,20.57,77.43,0.0,1.7
2021,1,5,15,18.63,83.14,0.0,2.04
2021,1,5,18,16.43,93.72,0.0,2.42
2021,1,5,21,14.59,100.0,0.0,2.8
2021,1,6,0,14.05,100.0,0.0,2.55
2021,1,6,3,20.81,79.29,0.0,1.79
2021,1,6,6,25.05,63.65,0.0,2.4
2021,1,6,9,25.08,66.51,0.0,1.94
2021,1,6,12,21.35,76.75,0.0,1.71
2021,1,6,15,19.37,81.41,0.0,2.26
2021,1,6,18,19.21,79.87,0.0,1.5
2021,1,6,21,17.55,88.48,0.0,1.67
2021,1,7,0,16.45,95.09,0.0,1.41
2021,1,7,3,21.73,77.45,0.0,0.14
2021,1,7,6,26.62,57.03,0.0,1.65
2021,1,7,9,26.33,61.47,0.0,1.71
2021,1,7,12,23.07,68.21,0.0,1.3
2021,1,7,15,21.13,72.78,0.0,1.56
2021,1,7,18,19.18,79.67,1.17,1.75
2021,1,7,21,17.51,87.55,0.0,1.94
2021,1,8,0,16.25,94.03,0.0,2.16
2021,1,8,3,21.37,80.92,0.0,1.46
2021,1,8,6,25.85,60.23,0.0,3.25
2021,1,8,9,25.09,63.79,0.0,2.98
2021,1,8,12,21.17,74.46,0.0,2.13
2021,1,8,15,20.13,73.8,0.0,1.91
2021,1,8,18,18.12,82.01,0.0,2.22
2021,1,8,21,16.44,91.24,0.0,2.34
2021,1,9,0,15.23,97.88,0.0,2.04
2021,1,9,3,20.5,79.79,0.0,1.44
2021,1,9,6,24.57,61.1,0.0,2.32
2021,1,9,9,24.03,65.98,0.0,2.41
2021,1,9,12,21.24,71.98,0.0,1.46
2021,1,9,15,20.36,71.99,0.0,0.94
2021,1,9,18,18.9,78.34,0.0,1.13
2021,1,9,21,17.05,88.57,0.0,1.48
2021,1,10,0,16.36,92.44,0.0,0.61
2021,1,10,3,20.88,75.9,0.0,0.87
2021,1,10,6,24.55,65.04,0.0,2.31
2021,1,10,9,24.54,68.42,0.0,1.78
2021,1,10,12,22.76,70.48,0.0,0.5
2021,1,10,15,20.86,77.17,0.0,1.02
2021,1,10,18,19.86,81.07,0.0,0.85
2021,1,10,21,18.34,90.01,0.0,1.08
2021,1,11,0,17.4,96.05,0.0,1.16
2021,1,11,3,22.72,74.5,0.0,0.26
2021,1,11,6,25.56,65.05,0.0,1.66
2021,1,11,9,25.03,68.89,0.0,1.51
2021,1,11,12,22.35,77.19,0.0,1.19
2021,1,11,15,19.98,86.07,0.0,2.12
