YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,9.85,93.48,0.0,2.36
2021,1,1,3,15.92,74.16,0.0,1.89
2021,1,1,6,22.55,55.48,0.0,1.74
2021,1,1,9,22.27,60.56,0.0,1.76
2021,1,1,12,17.34,75.68,0.0,2.33
2021,1,1,15,15.02,82.46,0.0,2.74
2021,1,1,18,12.85,90.27,0.0,2.88
2021,1,1,21,10.91,91.8,0.0,2.92
2021,1,2,0,10.21,91.49,0.0,2.11
2021,1,2,3,16.53,72.18,0.0,1.9
2021,1,2,6,22.35,56.32,0.0,1.23
2021,1,2,9,22.13,59.32,0.0,1.32
2021,1,2,12,18.3,67.43,0.0,1.57
2021,1,2,15,16.61,69.75,0.0,1.81
2021,1,2,18,14.31,79.07,0.0,2.35
2021,1,2,21,12.64,86.9,0.0,2.41
2021,1,3,0,12.35,88.71,0.0,1.65
2021,1,3,3,17.97,74.32,0.0,1.8
2021,1,3,6,23.55,56.49,0.0,1.37
2021,1,3,9,23.64,57.54,0.0,0.32
2021,1,3,12,19.53,70.26,0.0,1.56
2021,1,3,15,16.47,80.44,0.0,2.51
2021,1,3,18,14.53,93.0,0.0,2.39
2021,1,3,21,13.71,100.0,0.0,1.67
2021,1,4,0,13.46,100.0,0.0,1.4
2021,1,4,3,19.83,76.58,0.0,1.98
2021,1,4,6,24.16,59.48,0.0,1.35
2021,1,4,9,24.33,59.41,0.0,0.8
2021,1,4,12,20.59,70.13,0.0,1.15
2021,1,4,15,18.29,76.73,0.0,1.62
2021,1,4,18,16.43,84.56,0.0,1.7
2021,1,4,21,15.0,92.39,0.0,1.67
2021,1,5,0,13.81,100.0,0.0,1.64
2021,1,5,3,19.71,76.75,0.0,1.38
2021,1,5,6,24.47,58.72,0.0,1.35
2021,1,5,9,24.63,60.35,0.0,1.1
2021,1,5,12,20.34,74.15,0.0,1.55
2021,1,5,15,18.12,81.06,0.0,2.03
2021,1,5,18,16.76,86.9,0.0,1.91
2021,1,5,21,16.21,89.12,0.0,0.94
2021,1,6,0,15.38,93.92,0.0,0.75
2021,1,6,3,20.45,75.72,0.0,0.31
2021,1,6,6,24.91,60.41,0.0,1.3
