YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,11.59,100.0,0.01,2.03
2021,1,1,3,19.45,77.78,0.0,1.61
2021,1,1,6,23.46,64.03,0.0,1.56
2021,1,1,9,22.88,68.44,0.0,1.69
2021,1,1,12,18.14,80.88,0.0,2.09
2021,1,1,15,15.87,88.2,0.0,2.46
2021,1,1,18,13.68,98.29,0.0,2.73
2021,1,1,21,12.03,100.0,0.0,2.68
2021,1,2,0,11.78,100.0,0.0,1.99
2021,1,2,3,19.62,76.32,0.0,1.13
2021,1,2,6,23.23,63.26,0.0,1.47
2021,1,2,9,22.5,69.27,0.0,2.02
2021,1,2,12,17.74,86.58,0.0,2.49
2021,1,2,15,15.59,90.46,0.0,2.64
2021,1,2,18,13.76,98.97,0.0,2.57
2021,1,2,21,12.64,100.0,0.0,2.25
2021,1,3,0,12.3,100.0,0.0,1.77
2021,1,3,3,19.33,77.95,0.0,1.14
2021,1,3,6,23.42,64.27,0.0,1.39
2021,1,3,9,23.05,69.52,0.0,1.83
2021,1,3,12,18.44,80.9,0.0,2.06
2021,1,3,15,16.29,87.99,0.0,2.29
2021,1,3,18,14.97,91.75,0.0,1.98
2021,1,3,21,13.6,98.69,0.0,1.83
2021,1,4,0,12.74,100.0,0.0,1.69
2021,1,4,3,19.51,79.61,0.0,1.24
2021,1,4,6,24.16,63.21,0.0,2.69
2021,1,4,9,23.78,69.93,0.0,2.64
2021,1,4,12,18.55,82.2,0.0,2.2
2021,1,4,15,16.73,87.15,0.0,2.2
2021,1,4,18,15.1,93.97,0.0,2.17
2021,1,4,21,13.25,100.0,0.0,2.33
2021,1,5,0,12.46,100.0,0.0,2.19
2021,1,5,3,19.75,81.93,0.0,1.99
2021,1,5,6,24.27,66.3,0.0,3.17
2021,1,5,9,23.91,72.48,0.0,2.83
2021,1,5,12,19.06,84.68,0.0,2.23
2021,1,5,15,17.06,90.22,0.0,2.4
2021,1,5,18,15.41,96.19,0.0,2.3
2021,1,5,21,13.67,100.0,0.0,2.57
2021,1,6,0,12.94,100.0,0.0,2.42
2021,1,6,3,20.63,79.43,0.0,1.95
2021,1,6,6,25.13,65.74,0.0,2.66
2021,1,6,9,24.95,71.51,0.0,2.17
2021,1,6,12,19.69,85.37,0.0,2.33
2021,1,6,15,17.65,90.83,0.0,2.73
2021,1,6,18,17.24,89.51,0.0,1.98
2021,1,6,21,15.74,97.24,0.0,2.01
2021,1,7,0,15.03,100.0,0.0,1.74
2021,1,7,3,21.6,79.8,0.0,0.78
2021,1,7,6,26.45,61.63,0.0,2.01
2021,1,7,9,26.11,67.08,0.0,2.14
2021,1,7,12,21.43,79.02,0.0,1.98
2021,1,7,15,19.44,82.3,0.0,2.11
2021,1,7,18,17.44,87.6,0.0,2.32
2021,1,7,21,16.03,93.82,0.0,2.26
2021,1,8,0,15.01,99.85,0.0,2.25
2021,1,8,3,21.48,81.56,0.0,1.68
2021,1,8,6,25.92,63.84,0.0,3.54
2021,1,8,9,24.92,69.09,0.0,3.16
2021,1,8,12,19.69,80.26,0.0,2.47
2021,1,8,15,18.78,76.88,0.0,2.06
2021,1,8,18,16.93,83.11,0.0,2.18
2021,1,8,21,15.23,90.82,0.0,2.24
2021,1,9,0,14.2,96.21,0.0,1.93
2021,1,9,3,20.23,78.42,0.0,1.45
2021,1,9,6,24.43,63.44,0.0,2.36
2021,1,9,9,23.76,70.32,0.0,2.47
2021,1,9,12,19.34,81.83,0.0,2.19
2021,1,9,15,18.31,81.9,0.0,1.95
2021,1,9,18,16.75,88.39,0.0,1.96
2021,1,9,21,15.1,97.07,0.0,2.05
2021,1,10,0,14.75,98.1,0.0,1.27
2021,1,10,3,20.52,77.54,0.0,0.43
2021,1,10,6,24.35,66.4,0.0,2.3
2021,1,10,9,23.99,72.75,0.0,1.86
2021,1,10,12,21.3,77.9,0.0,0.9
2021,1,10,15,20.66,77.56,0.0,0.62
2021,1,10,18,18.9,85.42,0.0,0.86
2021,1,10,21,16.76,97.37,0.0,1.58
2021,1,11,0,16.08,100.0,0.0,1.48
2021,1,11,3,22.12,77.33,0.0,0.39
2021,1,11,6,25.5,67.59,0.0,1.99
2021,1,11,9,24.89,73.11,0.0,1.79
2021,1,11,12,21.23,83.74,0.0,1.69
2021,1,11,15,18.95,92.08,0.0,2.25
2021,1,11,18,17.35,98.07,0.0,2.31
2021,1,11,21,15.98,100.0,0.0,2.22
2021,1,12,0,15.08,100.0,0.0,2.1
2021,1,12,3,21.71,78.71,0.0,2.43
2021,1,12,6,24.27,68.54,0.0,3.16
2021,1,12,9,23.34,71.76,0.0,2.92
2021,1,12,12,18.61,85.78,0.0,2.43
2021,1,12,15,16.6,88.99,0.0,2.77
2021,1,12,18,14.91,94.97,0.0,2.86
2021,1,12,21,13.41,100.0,0.0,2.71
2021,1,13,0,12.59,100.0,0.0,2.61
2021,1,13,3,19.86,73.73,0.0,2.39
2021,1,13,6,22.79,60.15,0.0,2.82
2021,1,13,9,21.73,66.17,0.0,2.92
2021,1,13,12,16.41,84.44,0.0,2.7
2021,1,13,15,14.46,87.12,0.0,2.94
2021,1,13,18,12.82,88.51,0.0,3.02
2021,1,13,21,11.35,89.63,0.0,2.88
2021,1,14,0,10.37,91.21,0.0,2.58
2021,1,14,3,17.15,72.76,0.0,2.22
2021,1,14,6,21.78,61.61,0.02,2.33
2021,1,14,9,21.06,68.38,0.03,2.62
2021,1,14,12,16.29,83.68,0.0,2.34
2021,1,14,15,14.64,83.71,0.0,2.53
2021,1,14,18,12.73,86.62,4.59,2.83
2021,1,14,21,11.42,87.41,0.03,2.41
2021,1,15,0,11.6,85.4,0.0,1.64
2021,1,15,3,17.49,71.35,0.0,1.16
2021,1,15,6,21.12,58.26,0.0,2.87
2021,1,15,9,20.05,66.05,0.0,2.44
2021,1,15,12,16.14,75.31,0.0,2.01
2021,1,15,15,15.07,74.31,0.0,1.92
2021,1,15,18,12.84,80.89,0.0,2.39
2021,1,15,21,10.82,90.36,0.0,2.61
2021,1,16,0,9.95,96.56,0.0,2.27
2021,1,16,3,16.65,74.35,0.0,1.25
2021,1,16,6,21.3,55.84,0.0,2.64
2021,1,16,9,20.65,64.08,0.0,2.49
2021,1,16,12,16.46,74.7,0.0,1.94
2021,1,16,15,14.81,80.41,0.0,2.09
2021,1,16,18,12.75,91.72,0.0,2.53
2021,1,16,21,11.32,100.0,0.0,2.59
2021,1,17,0,11.05,100.0,0.0,2.12
2021,1,17,3,17.93,76.51,0.0,1.76
2021,1,17,6,21.71,61.81,0.0,2.96
2021,1,17,9,20.58,69.47,0.0,2.77
2021,1,17,12,15.84,83.07,0.0,2.38
2021,1,17,15,14.33,85.96,0.0,2.37
