YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,8.46,88.09,0.0,2.96
2021,1,1,3,15.05,68.23,0.0,2.39
2021,1,1,6,22.92,41.11,0.0,2.85
2021,1,1,9,22.31,48.13,0.0,2.71
2021,1,1,12,15.67,72.26,0.0,2.74
2021,1,1,15,13.77,74.39,0.0,2.7
2021,1,1,18,11.87,77.4,0.0,2.73
2021,1,1,21,10.03,81.24,0.0,2.93
2021,1,2,0,8.99,82.98,0.0,2.56
2021,1,2,3,15.38,66.68,0.0,2.1
2021,1,2,6,22.31,45.59,0.0,2.33
2021,1,2,9,22.0,50.46,0.0,2.25
2021,1,2,12,17.55,62.11,0.0,1.63
2021,1,2,15,15.81,64.98,0.0,1.66
2021,1,2,18,14.19,69.77,0.0,1.62
2021,1,2,21,12.29,76.9,0.0,1.99
2021,1,3,0,11.17,81.47,0.0,1.87
2021,1,3,3,16.6,68.25,0.0,1.41
2021,1,3,6,23.62,48.33,0.0,1.88
2021,1,3,9,23.66,51.07,0.0,1.24
2021,1,3,12,18.66,66.95,0.0,1.85
2021,1,3,15,15.75,77.76,0.0,2.36
2021,1,3,18,14.47,82.86,0.0,2.06
2021,1,3,21,13.33,89.1,0.0,1.69
2021,1,4,0,11.72,98.88,0.0,2.05
2021,1,4,3,18.26,75.34,0.0,1.93
2021,1,4,6,24.48,53.56,0.0,2.12
2021,1,4,9,24.44,56.15,0.0,2.28
2021,1,4,12,19.09,75.33,0.0,1.96
2021,1,4,15,17.69,77.97,0.0,1.51
2021,1,4,18,16.23,83.49,17.58,1.37
2021,1,4,21,14.48,91.77,8.79,1.82
2021,1,5,0,12.48,100.0,0.0,2.14
2021,1,5,3,18.51,80.56,0.0,1.94
2021,1,5,6,24.79,55.17,0.0,2.35
2021,1,5,9,25.03,56.18,0.0,1.75
2021,1,5,12,20.23,71.9,0.0,1.57
2021,1,5,15,18.04,79.25,0.0,1.6
2021,1,5,18,16.58,85.8,0.0,1.31
2021,1,5,21,14.95,94.29,0.0,1.28
2021,1,6,0,14.03,99.88,0.0,1.37
2021,1,6,3,19.7,78.0,0.0,0.76
2021,1,6,6,26.48,52.0,0.0,1.82
2021,1,6,9,26.69,53.74,0.0,1.75
2021,1,6,12,22.65,64.37,0.0,1.3
2021,1,6,15,21.01,67.87,0.0,1.36
2021,1,6,18,19.92,71.66,0.0,1.4
2021,1,6,21,18.96,74.88,0.0,1.23
2021,1,7,0,16.84,86.2,0.0,1.47
2021,1,7,3,21.97,69.48,0.0,1.09
2021,1,7,6,28.21,46.94,0.0,1.92
2021,1,7,9,28.07,48.96,0.0,2.02
2021,1,7,12,23.93,58.1,0.0,1.05
2021,1,7,15,20.13,72.93,0.0,2.03
2021,1,7,18,18.19,79.81,8.06,1.91
2021,1,7,21,17.37,83.51,4.03,1.2
2021,1,8,0,15.94,92.04,0.0,0.95
2021,1,8,3,20.41,80.04,0.0,1.43
2021,1,8,6,26.82,49.91,0.0,2.59
2021,1,8,9,26.15,54.1,0.0,2.51
2021,1,8,12,21.91,68.78,0.0,1.61
2021,1,8,15,20.72,68.08,0.0,0.98
2021,1,8,18,19.12,73.7,0.0,0.93
2021,1,8,21,18.13,77.9,0.0,0.53
2021,1,9,0,15.84,90.55,0.0,0.87
2021,1,9,3,20.57,74.53,0.0,0.98
2021,1,9,6,26.12,49.67,0.0,2.14
2021,1,9,9,25.9,51.45,0.0,2.16
2021,1,9,12,22.79,58.42,0.0,0.74
2021,1,9,15,21.45,60.9,0.0,0.4
2021,1,9,18,19.09,71.16,0.0,1.03
2021,1,9,21,16.49,84.77,0.0,1.87
2021,1,10,0,14.93,94.0,0.0,2.08
2021,1,10,3,21.08,70.96,0.0,2.14
2021,1,10,6,26.35,54.83,0.0,3.55
2021,1,10,9,26.24,57.53,0.0,2.99
2021,1,10,12,23.59,65.06,0.0,0.65
2021,1,10,15,21.32,73.22,0.0,0.99
2021,1,10,18,19.22,82.55,0.0,1.46
2021,1,10,21,18.2,88.04,0.0,0.92
2021,1,11,0,17.13,94.54,0.0,0.43
2021,1,11,3,22.63,71.38,0.0,0.67
2021,1,11,6,26.41,58.08,0.0,1.81
2021,1,11,9,26.06,58.18,0.0,2.54
2021,1,11,12,21.34,79.25,0.0,2.02
2021,1,11,15,18.48,88.57,0.0,2.77
2021,1,11,18,16.68,97.02,0.0,2.67
2021,1,11,21,15.3,100.0,0.0,2.36
2021,1,12,0,14.17,100.0,0.0,2.08
2021,1,12,3,20.96,69.73,0.0,1.51
2021,1,12,6,24.79,50.25,0.0,2.89
2021,1,12,9,24.16,50.79,0.0,3.24
2021,1,12,12,18.76,73.38,0.0,2.09
2021,1,12,15,16.33,80.65,0.0,2.27
2021,1,12,18,14.1,88.26,0.0,2.32
2021,1,12,21,12.18,93.36,0.0,2.37
2021,1,13,0,10.62,93.7,0.0,2.16
2021,1,13,3,17.39,62.65,0.0,1.48
2021,1,13,6,22.73,38.53,0.0,2.67
2021,1,13,9,21.91,41.23,0.0,3.24
2021,1,13,12,15.95,67.11,0.0,2.27
2021,1,13,15,13.32,74.9,0.0,2.86
2021,1,13,18,12.14,77.25,0.0,2.96
2021,1,13,21,11.22,79.61,0.0,2.77
2021,1,14,0,10.64,80.33,0.0,2.04
2021,1,14,3,17.09,58.41,0.0,1.38
2021,1,14,6,22.11,46.09,0.0,1.32
2021,1,14,9,21.64,47.77,0.0,2.36
2021,1,14,12,15.64,72.23,0.0,2.53
2021,1,14,15,13.07,77.36,0.0,2.97
2021,1,14,18,11.37,79.01,3.0,2.88
2021,1,14,21,9.96,80.25,1.5,2.56
2021,1,15,0,8.62,83.75,0.0,2.39
2021,1,15,3,15.2,63.05,0.0,2.18
2021,1,15,6,21.63,38.6,0.0,2.45
2021,1,15,9,21.05,41.21,0.0,2.85
2021,1,15,12,16.33,59.53,0.0,1.76
2021,1,15,15,14.93,61.09,0.0,1.53
2021,1,15,18,13.71,63.77,0.0,1.34
2021,1,15,21,13.04,65.04,0.0,0.89
2021,1,16,0,10.71,77.98,0.0,1.43
2021,1,16,3,15.61,65.81,0.0,1.07
2021,1,16,6,22.25,40.0,0.0,1.6
2021,1,16,9,21.94,41.22,0.0,2.13
2021,1,16,12,16.85,59.26,0.0,1.76
2021,1,16,15,13.59,72.82,0.0,2.51
2021,1,16,18,12.1,78.13,0.0,2.55
2021,1,16,21,11.43,79.03,0.0,2.24
2021,1,17,0,10.24,84.91,0.0,2.11
2021,1,17,3,16.23,66.15,0.0,2.48
2021,1,17,6,21.7,45.43,0.0,2.91
2021,1,17,9,21.24,49.39,0.0,2.6
2021,1,17,12,15.79,73.55,0.0,2.13
2021,1,17,15,13.95,79.09,0.0,2.18
2021,1,17,18,12.82,81.78,0.0,2.11
2021,1,17,21,11.22,89.09,0.0,2.37
2021,1,18,0,9.7,98.45,0.0,2.79
2021,1,18,3,16.73,71.13,0.0,2.52
2021,1,18,6,22.48,54.73,0.0,1.45
2021,1,18,9,22.42,55.57,0.0,2.0
2021,1,18,12,18.38,69.23,0.0,1.42
2021,1,18,15,17.2,71.37,0.0,1.1
2021,1,18,18,15.22,77.78,0.0,1.4
2021,1,18,21,12.62,86.9,0.0,1.97
2021,1,19,0,10.73,91.77,0.0,2.18
2021,1,19,3,17.08,65.61,0.0,1.14
2021,1,19,6,23.19,45.58,0.0,2.53
2021,1,19,9,23.22,47.66,0.0,2.38
2021,1,19,12,19.54,59.9,0.0,1.42
2021,1,19,15,16.46,74.33,0.0,2.47
2021,1,19,18,15.81,82.96,0.0,2.55
2021,1,19,21,15.53,88.46,0.0,2.3
2021,1,20,0,14.12,99.85,0.0,2.31
2021,1,20,3,19.87,76.23,0.0,2.59
2021,1,20,6,24.98,49.97,0.0,4.15
2021,1,20,9,24.63,49.3,0.0,3.76
2021,1,20,12,18.49,75.3,0.0,2.61
2021,1,20,15,15.63,80.21,0.0,2.94
2021,1,20,18,14.14,80.18,0.0,2.4
2021,1,20,21,14.14,74.31,0.0,1.25
2021,1,21,0,11.96,85.56,0.0,1.71
2021,1,21,3,17.6,66.23,0.0,1.92
2021,1,21,6,24.73,30.89,0.0,3.64
2021,1,21,9,24.1,33.36,0.0,3.16
2021,1,21,12,18.04,54.19,0.0,2.11
2021,1,21,15,14.15,69.09,0.0,2.9
2021,1,21,18,12.39,76.35,0.0,2.77
2021,1,21,21,11.22,81.35,0.0,2.57
2021,1,22,0,9.7,94.09,0.0,2.39
2021,1,22,3,17.38,63.92,0.0,1.42
2021,1,22,6,23.37,37.19,0.0,1.18
2021,1,22,9,22.63,38.98,0.0,2.52
2021,1,22,12,15.87,67.76,0.0,2.66
2021,1,22,15,13.81,71.95,0.0,2.69
2021,1,22,18,13.48,68.02,0.0,1.99
2021,1,22,21,13.13,65.99,0.0,1.07
2021,1,23,0,10.83,76.38,0.0,1.65
2021,1,23,3,16.79,59.22,0.0,2.03
2021,1,23,6,22.35,40.0,0.0,1.19
2021,1,23,9,22.36,41.27,0.0,1.39
2021,1,23,12,18.24,53.38,0.0,1.03
2021,1,23,15,16.11,58.94,0.0,1.49
2021,1,23,18,13.72,69.53,0.0,2.01
2021,1,23,21,11.51,82.23,0.0,2.43
2021,1,24,0,9.94,93.69,0.0,2.14
2021,1,24,3,16.56,67.88,0.0,1.1
2021,1,24,6,23.63,40.04,0.0,1.4
2021,1,24,9,23.79,41.65,0.0,2.16
2021,1,24,12,18.88,57.01,0.0,1.54
2021,1,24,15,15.72,68.27,0.0,2.28
2021,1,24,18,13.46,79.06,0.0,2.66
2021,1,24,21,12.14,89.18,0.0,2.44
2021,1,25,0,10.87,100.0,0.0,2.04
2021,1,25,3,18.08,66.97,0.0,1.21
2021,1,25,6,24.06,43.01,0.0,1.63
2021,1,25,9,23.89,45.31,0.0,3.01
2021,1,25,12,17.34,72.8,0.0,2.65
2021,1,25,15,15.35,76.64,0.0,2.62
2021,1,25,18,14.33,77.33,0.0,2.2
2021,1,25,21,13.86,76.78,0.0,1.53
2021,1,26,0,13.09,79.79,0.0,0.91
2021,1,26,3,18.8,61.25,0.0,1.5
2021,1,26,6,24.13,40.93,0.0,3.47
2021,1,26,9,23.6,41.82,0.0,3.38
2021,1,26,12,17.2,65.91,0.0,2.38
2021,1,26,15,14.77,70.73,0.0,2.52
2021,1,26,18,12.75,74.93,0.0,2.59
2021,1,26,21,11.26,76.92,0.0,2.56
2021,1,27,0,9.81,81.54,0.0,2.49
2021,1,27,3,17.23,58.4,0.0,1.84
2021,1,27,6,23.32,33.35,0.0,4.16
2021,1,27,9,22.83,33.82,0.0,4.11
2021,1,27,12,15.37,61.8,0.0,2.73
2021,1,27,15,12.63,66.39,0.0,2.85
2021,1,27,18,10.34,69.77,0.0,3.11
2021,1,27,21,8.63,72.26,0.0,3.11
2021,1,28,0,7.25,76.92,0.0,3.13
2021,1,28,3,15.76,51.59,0.0,2.6
2021,1,28,6,23.42,30.91,0.0,2.91
2021,1,28,9,23.48,32.52,0.0,2.63
2021,1,28,12,16.26,58.53,0.0,2.47
2021,1,28,15,14.19,61.73,0.0,2.26
2021,1,28,18,11.89,67.08,0.0,2.63
2021,1,28,21,9.69,70.71,0.0,2.9
2021,1,29,0,7.95,74.19,0.0,2.72
2021,1,29,3,16.25,48.56,0.0,1.81
2021,1,29,6,24.23,28.09,0.0,2.61
2021,1,29,9,24.07,31.15,0.0,2.92
2021,1,29,12,18.73,47.56,0.0,1.59
2021,1,29,15,17.79,44.4,0.0,0.81
2021,1,29,18,13.96,61.25,0.0,2.28
2021,1,29,21,11.14,74.87,0.0,2.93
2021,1,30,0,9.71,79.8,0.0,2.89
2021,1,30,3,16.33,54.1,0.0,2.25
2021,1,30,6,23.48,29.86,0.0,3.33
2021,1,30,9,23.19,31.34,0.0,3.57
2021,1,30,12,15.13,58.45,0.0,3.02
2021,1,30,15,11.56,64.31,0.0,3.22
2021,1,30,18,10.16,62.73,0.0,2.55
2021,1,30,21,9.06,62.59,0.0,2.25
2021,1,31,0,7.07,70.79,0.0,2.46
2021,1,31,3,15.28,46.47,0.0,1.96
2021,1,31,6,22.06,26.25,0.0,2.09
2021,1,31,9,21.75,27.76,0.0,2.65
2021,1,31,12,15.59,49.59,0.0,2.07
2021,1,31,15,14.33,49.1,0.0,1.55
2021,1,31,18,13.05,50.41,0.0,1.1
2021,1,31,21,11.63,53.98,0.0,1.32
2021,2,1,0,8.68,66.45,0.0,2.11
2021,2,1,3,16.35,45.06,0.0,1.66
2021,2,1,6,23.21,25.03,0.0,2.25
2021,2,1,9,22.89,25.69,0.0,2.56
2021,2,1,12,16.54,45.81,0.0,2.13
2021,2,1,15,14.35,48.42,0.0,2.14
2021,2,1,18,12.91,50.53,0.0,1.85
2021,2,1,21,11.31,54.87,0.0,1.75
2021,2,2,0,9.03,64.57,0.0,2.02
2021,2,2,3,16.03,47.39,0.0,1.56
2021,2,2,6,23.76,26.29,0.0,2.55
2021,2,2,9,23.62,28.29,0.0,3.07
2021,2,2,12,16.42,53.75,0.0,2.45
2021,2,2,15,14.75,53.9,0.0,2.14
2021,2,2,18,14.2,51.5,0.0,1.55
2021,2,2,21,12.72,55.02,0.0,1.73
2021,2,3,0,10.6,63.75,0.0,1.99
2021,2,3,3,17.55,48.13,0.0,1.29
2021,2,3,6,25.51,27.63,0.0,1.94
2021,2,3,9,25.24,29.81,0.0,2.46
2021,2,3,12,18.45,52.78,0.0,2.24
2021,2,3,15,16.56,55.27,0.0,2.02
2021,2,3,18,15.47,55.18,0.0,1.73
2021,2,3,21,13.57,60.98,0.0,1.93
2021,2,4,0,10.81,74.0,0.0,2.51
2021,2,4,3,19.0,52.36,0.0,2.43
2021,2,4,6,26.43,32.2,0.0,2.48
2021,2,4,9,26.39,32.23,0.0,2.36
2021,2,4,12,19.75,54.24,0.0,2.17
2021,2,4,15,17.68,57.76,0.0,2.09
2021,2,4,18,16.3,58.81,0.0,1.99
2021,2,4,21,14.12,65.76,0.0,2.16
2021,2,5,0,12.04,75.34,0.0,2.23
2021,2,5,3,20.4,52.11,0.0,1.74
2021,2,5,6,27.37,31.24,0.0,2.36
2021,2,5,9,27.09,31.71,0.0,2.59
2021,2,5,12,20.59,54.58,0.0,2.15
2021,2,5,15,19.02,56.36,0.0,1.87
2021,2,5,18,17.86,56.95,0.0,1.25
2021,2,5,21,16.44,61.3,0.0,1.01
2021,2,6,0,14.87,67.79,0.0,0.85
2021,2,6,3,21.25,50.35,0.0,1.07
2021,2,6,6,27.61,31.94,0.0,1.6
2021,2,6,9,27.36,32.77,0.0,1.73
2021,2,6,12,19.94,60.01,0.13,4.2
2021,2,6,15,15.45,80.39,0.33,5.29
2021,2,6,18,14.66,85.55,1.49,4.08
2021,2,6,21,14.26,88.89,0.51,2.12
2021,2,7,0,12.27,98.97,0.0,2.22
2021,2,7,3,20.89,52.79,0.0,3.32
2021,2,7,6,25.93,31.79,3.39,4.52
2021,2,7,9,25.03,31.58,0.05,3.79
2021,2,7,12,18.11,57.94,0.0,2.6
2021,2,7,15,15.85,62.7,0.0,2.64
2021,2,7,18,15.14,61.17,0.54,2.02
2021,2,7,21,12.26,72.91,0.27,2.9
2021,2,8,0,10.67,77.4,0.0,2.98
2021,2,8,3,20.11,42.86,0.0,2.81
2021,2,8,6,26.4,27.08,0.0,3.01
2021,2,8,9,26.42,26.98,0.0,3.18
2021,2,8,12,19.19,51.41,0.0,2.44
2021,2,8,15,16.2,57.84,0.0,2.72
2021,2,8,18,14.07,63.92,0.0,2.61
2021,2,8,21,12.91,65.01,0.0,2.2
2021,2,9,0,11.8,67.83,0.0,1.97
2021,2,9,3,20.35,44.03,0.0,1.26
2021,2,9,6,27.21,25.89,0.0,1.46
2021,2,9,9,27.23,25.57,0.0,2.72
2021,2,9,12,20.91,45.4,0.0,1.85
2021,2,9,15,18.46,49.04,0.0,1.92
2021,2,9,18,16.39,54.62,0.0,1.79
2021,2,9,21,14.04,63.59,0.0,2.09
2021,2,10,0,11.96,73.43,0.0,2.19
2021,2,10,3,20.75,43.86,0.0,0.85
2021,2,10,6,27.89,26.2,0.0,0.41
2021,2,10,9,28.03,26.82,0.0,0.57
2021,2,10,12,23.03,40.17,0.0,1.26
2021,2,10,15,20.47,44.7,0.0,1.28
2021,2,10,18,18.92,47.14,0.0,0.89
2021,2,10,21,16.84,52.93,0.0,0.96
2021,2,11,0,14.59,62.4,0.0,1.44
2021,2,11,3,21.78,43.19,0.0,1.13
2021,2,11,6,27.69,30.27,0.0,2.43
2021,2,11,9,27.76,30.04,0.0,2.32
2021,2,11,12,22.42,45.56,0.0,1.51
2021,2,11,15,19.66,51.61,0.0,1.79
2021,2,11,18,16.55,62.32,0.0,2.36
2021,2,11,21,14.38,70.32,0.0,2.47
2021,2,12,0,14.08,69.49,0.0,1.62
2021,2,12,3,21.68,45.93,0.0,0.81
2021,2,12,6,28.82,27.16,0.0,1.58
2021,2,12,9,28.49,27.58,0.0,2.12
2021,2,12,12,22.87,44.22,0.0,1.54
2021,2,12,15,19.12,55.12,0.0,2.19
2021,2,12,18,16.02,66.87,0.0,2.62
2021,2,12,21,13.88,75.2,0.0,2.66
2021,2,13,0,12.94,76.73,0.0,2.3
2021,2,13,3,22.11,43.91,0.0,1.07
2021,2,13,6,28.73,27.07,0.0,1.68
2021,2,13,9,28.68,26.67,0.0,2.17
2021,2,13,12,22.18,47.58,0.0,2.1
2021,2,13,15,19.89,51.41,0.0,2.05
2021,2,13,18,20.03,47.46,0.0,0.25
2021,2,13,21,16.9,57.76,0.0,1.17
2021,2,14,0,14.76,66.1,0.0,1.62
2021,2,14,3,22.78,41.72,0.0,1.2
2021,2,14,6,28.86,25.06,0.0,2.16
2021,2,14,9,28.39,25.77,0.0,2.33
2021,2,14,12,23.86,37.23,0.0,1.0
2021,2,14,15,21.93,38.67,0.0,0.74
2021,2,14,18,19.89,44.04,0.0,0.55
2021,2,14,21,17.57,51.19,0.0,0.79
2021,2,15,0,16.11,56.04,0.0,0.9
2021,2,15,3,23.76,37.96,0.0,1.08
2021,2,15,6,29.07,26.53,0.0,2.84
2021,2,15,9,28.68,23.79,0.0,3.54
2021,2,15,12,21.79,44.19,0.0,2.29
2021,2,15,15,19.11,48.24,0.0,2.28
2021,2,15,18,17.83,49.16,0.0,1.7
2021,2,15,21,14.9,62.5,0.0,2.27
2021,2,16,0,13.89,70.11,0.0,1.85
