YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,13.08,97.71,0.04,3.08
2021,1,1,3,18.4,72.18,0.0,2.13
2021,1,1,6,23.25,53.68,0.0,2.35
2021,1,1,9,23.31,55.46,0.0,1.99
2021,1,1,12,19.61,70.75,0.0,2.09
2021,1,1,15,17.69,75.65,0.0,2.27
2021,1,1,18,15.54,84.61,0.0,3.01
2021,1,1,21,14.09,88.25,0.0,3.19
2021,1,2,0,13.03,92.86,0.0,2.89
2021,1,2,3,18.58,70.45,0.0,1.62
2021,1,2,6,23.05,51.81,0.0,1.71
2021,1,2,9,23.15,53.06,0.0,2.21
2021,1,2,12,19.23,69.99,0.0,2.62
2021,1,2,15,17.33,76.35,0.0,2.56
2021,1,2,18,16.07,80.11,0.0,2.21
2021,1,2,21,14.52,85.51,0.0,2.64
2021,1,3,0,13.1,92.43,0.0,3.01
2021,1,3,3,18.46,72.24,0.0,1.98
2021,1,3,6,23.36,54.68,0.0,1.94
2021,1,3,9,23.64,57.35,0.0,1.98
2021,1,3,12,20.87,68.15,0.0,1.34
2021,1,3,15,19.4,69.56,0.0,0.94
2021,1,3,18,17.5,80.11,0.0,1.49
2021,1,3,21,15.24,94.71,0.0,2.41
2021,1,4,0,14.29,100.0,0.0,2.49
2021,1,4,3,19.78,76.57,0.0,1.72
2021,1,4,6,24.67,54.39,0.0,2.54
2021,1,4,9,24.9,57.89,0.0,2.16
2021,1,4,12,21.68,70.92,0.0,1.19
2021,1,4,15,20.71,70.28,0.0,0.46
2021,1,4,18,18.48,81.42,0.97,1.65
2021,1,4,21,15.76,98.71,0.32,2.72
2021,1,5,0,14.97,100.0,0.09,2.66
2021,1,5,3,20.16,81.69,0.0,2.01
2021,1,5,6,24.99,58.36,0.0,2.87
2021,1,5,9,25.35,60.53,0.0,2.46
2021,1,5,12,21.67,78.6,0.0,1.66
2021,1,5,15,20.71,78.25,0.0,0.71
2021,1,5,18,18.9,86.71,0.0,1.92
2021,1,5,21,16.45,99.3,0.0,2.8
2021,1,6,0,15.55,100.0,0.05,2.76
2021,1,6,3,21.35,74.84,0.0,2.06
2021,1,6,6,25.71,55.5,0.0,1.85
2021,1,6,9,26.25,55.42,0.0,1.21
2021,1,6,12,23.69,64.6,0.0,0.62
2021,1,6,15,21.8,70.36,0.0,1.58
2021,1,6,18,20.93,72.41,0.0,1.62
2021,1,6,21,20.48,74.44,0.0,0.99
2021,1,7,0,18.81,84.25,0.0,1.26
2021,1,7,3,22.3,71.61,0.0,1.03
