YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,10.01,100.0,0.33,2.7
2021,1,1,3,17.36,77.46,0.0,2.0
2021,1,1,6,23.17,55.48,0.0,2.67
2021,1,1,9,22.61,60.39,0.0,2.62
2021,1,1,12,16.95,78.77,0.0,2.48
2021,1,1,15,14.9,82.75,0.0,2.64
2021,1,1,18,12.97,89.15,0.0,2.9
2021,1,1,21,11.24,95.99,0.0,3.07
2021,1,2,0,10.13,100.0,0.0,2.56
2021,1,2,3,17.86,77.49,0.0,1.35
2021,1,2,6,23.05,57.65,0.0,2.18
2021,1,2,9,22.1,63.93,0.0,2.41
2021,1,2,12,17.31,80.51,0.0,2.4
2021,1,2,15,15.12,82.28,0.0,2.43
2021,1,2,18,13.2,90.35,0.0,2.59
2021,1,2,21,11.83,98.1,0.0,2.5
2021,1,3,0,10.67,100.0,0.0,2.54
2021,1,3,3,17.49,80.58,0.0,1.65
2021,1,3,6,23.31,59.46,0.0,2.22
2021,1,3,9,23.33,62.18,0.0,2.06
2021,1,3,12,18.87,74.19,0.0,1.83
2021,1,3,15,16.49,81.39,0.0,2.15
2021,1,3,18,14.55,91.57,0.0,2.15
2021,1,3,21,12.85,100.0,0.0,2.25
2021,1,4,0,12.23,100.0,0.0,2.01
2021,1,4,3,19.55,78.8,0.0,1.22
2021,1,4,6,24.81,57.03,0.0,2.56
2021,1,4,9,24.53,61.42,0.0,2.65
2021,1,4,12,19.82,73.88,0.0,1.74
2021,1,4,15,17.88,79.65,0.0,1.68
2021,1,4,18,15.45,92.9,23.23,2.14
2021,1,4,21,13.55,100.0,6.5,2.49
2021,1,5,0,12.91,100.0,0.0,2.18
2021,1,5,3,19.98,82.75,0.0,1.82
2021,1,5,6,24.96,61.72,0.0,3.0
2021,1,5,9,24.87,64.74,0.0,2.78
2021,1,5,12,20.6,76.06,0.0,1.59
2021,1,5,15,18.41,83.05,0.0,1.78
2021,1,5,18,15.96,94.31,0.0,2.15
2021,1,5,21,13.77,100.0,0.0,2.51
2021,1,6,0,13.17,100.0,0.0,2.34
2021,1,6,3,21.06,77.46,0.0,1.58
2021,1,6,6,25.87,58.91,0.0,2.21
2021,1,6,9,25.88,62.24,0.0,1.76
2021,1,6,12,21.88,72.44,0.0,1.27
2021,1,6,15,20.29,75.17,0.0,1.34
2021,1,6,18,20.06,73.18,0.0,0.55
2021,1,6,21,18.27,80.98,0.0,0.82
2021,1,7,0,16.59,91.21,0.0,0.72
2021,1,7,3,22.1,73.02,0.0,0.73
2021,1,7,6,27.54,51.83,0.0,1.65
2021,1,7,9,27.41,55.21,0.0,1.64
2021,1,7,12,23.38,65.0,0.0,1.28
2021,1,7,15,21.07,71.78,0.0,1.57
2021,1,7,18,19.59,75.58,10.67,1.08
2021,1,7,21,18.0,81.96,2.98,1.32
2021,1,8,0,16.24,90.46,0.0,1.83
2021,1,8,3,21.76,78.17,0.0,1.21
2021,1,8,6,26.99,53.73,0.0,2.89
2021,1,8,9,26.08,58.55,0.0,2.7
2021,1,8,12,21.36,73.61,0.0,2.05
2021,1,8,15,20.14,73.44,0.0,1.72
2021,1,8,18,18.27,79.58,0.0,1.81
2021,1,8,21,16.59,87.85,0.0,1.84
2021,1,9,0,14.99,97.92,0.0,1.83
2021,1,9,3,21.08,77.14,0.0,1.34
2021,1,9,6,25.69,55.52,0.0,2.15
2021,1,9,9,25.12,59.98,0.0,2.37
2021,1,9,12,21.41,71.12,0.0,1.44
2021,1,9,15,20.81,68.99,0.0,0.57
2021,1,9,18,18.97,76.63,0.0,0.96
2021,1,9,21,17.32,85.72,0.0,1.13
