YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,12.11,99.91,0.0,1.02
2021,1,1,3,18.6,77.6,0.0,0.96
2021,1,1,6,23.73,56.93,0.0,0.17
2021,1,1,9,23.52,57.44,0.0,0.41
2021,1,1,12,19.49,68.73,0.0,1.33
2021,1,1,15,16.44,80.93,0.0,2.15
2021,1,1,18,14.54,89.67,0.0,2.05
2021,1,1,21,13.11,97.4,0.0,1.78
2021,1,2,0,11.66,100.0,0.0,1.54
2021,1,2,3,19.02,77.57,0.0,1.71
2021,1,2,6,23.27,59.43,0.0,0.66
2021,1,2,9,23.17,57.98,0.0,0.36
2021,1,2,12,19.9,65.56,0.0,0.98
2021,1,2,15,16.69,78.77,0.0,1.93
2021,1,2,18,14.51,89.03,0.0,2.0
2021,1,2,21,13.45,93.85,0.0,1.18
2021,1,3,0,11.87,100.0,0.0,1.47
2021,1,3,3,18.6,78.7,0.0,1.83
2021,1,3,6,23.78,59.01,0.0,1.46
2021,1,3,9,23.65,60.18,0.0,1.08
2021,1,3,12,20.17,66.96,0.0,0.85
2021,1,3,15,17.4,77.5,0.0,1.6
2021,1,3,18,15.55,86.24,0.0,1.53
2021,1,3,21,14.23,92.88,0.0,1.08
2021,1,4,0,12.85,100.0,0.0,1.29
2021,1,4,3,19.32,76.51,0.0,1.32
2021,1,4,6,24.48,56.61,0.0,1.02
2021,1,4,9,24.62,56.35,0.0,0.47
2021,1,4,12,21.0,63.52,0.0,0.88
2021,1,4,15,17.91,76.04,0.0,1.64
2021,1,4,18,16.17,84.53,0.06,1.43
2021,1,4,21,14.79,91.42,0.0,1.07
2021,1,5,0,13.02,100.0,0.0,1.44
2021,1,5,3,19.51,77.12,0.0,0.96
2021,1,5,6,24.54,58.98,0.0,0.81
2021,1,5,9,24.88,59.2,0.0,0.38
2021,1,5,12,21.41,67.78,0.0,0.84
2021,1,5,15,17.88,82.65,0.0,2.07
2021,1,5,18,16.16,90.32,0.0,1.92
2021,1,5,21,15.74,91.17,0.0,0.95
2021,1,6,0,14.38,99.24,0.0,0.89
2021,1,6,3,20.66,76.57,0.0,0.79
