YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,11.7,100.0,0.0,1.93
2021,1,1,3,19.69,72.48,0.0,0.35
2021,1,1,6,23.63,57.04,0.0,0.61
2021,1,1,9,22.65,69.74,0.0,0.5
2021,1,1,12,19.42,73.96,0.0,1.09
2021,1,1,15,17.54,79.31,0.0,1.02
2021,1,1,18,15.02,94.15,0.0,1.45
2021,1,1,21,13.09,100.0,0.0,1.71
2021,1,2,0,11.56,100.0,0.0,2.04
2021,1,2,3,19.69,71.51,0.0,0.46
2021,1,2,6,23.42,55.88,0.0,0.4
2021,1,2,9,22.8,68.09,0.0,0.42
2021,1,2,12,18.8,77.25,0.0,1.39
2021,1,2,15,16.51,82.68,0.0,1.65
2021,1,2,18,14.62,91.33,0.0,1.65
2021,1,2,21,13.3,97.27,0.0,1.6
2021,1,3,0,11.08,100.0,0.0,2.09
2021,1,3,3,19.06,72.04,0.0,0.48
2021,1,3,6,23.15,57.06,0.0,0.12
2021,1,3,9,22.78,68.23,0.0,0.32
2021,1,3,12,19.53,69.58,0.0,1.05
2021,1,3,15,16.9,78.6,0.0,1.38
2021,1,3,18,14.25,91.86,0.0,1.77
2021,1,3,21,13.26,95.01,0.0,1.75
2021,1,4,0,12.29,95.56,0.0,1.94
2021,1,4,3,19.64,68.43,0.0,0.28
2021,1,4,6,23.92,55.83,0.0,0.71
2021,1,4,9,23.29,70.22,0.0,0.66
2021,1,4,12,19.19,76.33,0.0,1.43
2021,1,4,15,18.06,76.1,0.0,0.79
2021,1,4,18,16.31,84.98,0.0,0.87
2021,1,4,21,13.6,97.46,0.0,1.77
2021,1,5,0,12.63,98.25,0.0,2.03
2021,1,5,3,20.09,69.99,0.0,0.52
2021,1,5,6,24.25,56.01,0.0,0.7
2021,1,5,9,23.87,68.47,0.0,0.54
2021,1,5,12,20.65,69.5,0.0,1.04
2021,1,5,15,18.53,75.39,0.0,1.13
2021,1,5,18,16.57,85.21,0.0,1.29
2021,1,5,21,14.99,91.51,0.0,1.49
2021,1,6,0,13.02,97.55,0.0,2.15
2021,1,6,3,20.87,69.41,0.0,0.47
2021,1,6,6,25.26,56.68,0.0,0.64
2021,1,6,9,25.03,68.75,0.0,0.52
2021,1,6,12,20.67,76.5,0.0,1.46
2021,1,6,15,18.65,81.11,0.0,1.45
2021,1,6,18,17.34,86.44,0.0,1.49
2021,1,6,21,14.79,99.56,0.0,2.07
2021,1,7,0,13.79,100.0,0.0,2.05
2021,1,7,3,21.4,72.09,0.0,0.35
2021,1,7,6,25.85,57.35,0.0,0.55
2021,1,7,9,25.38,69.53,0.0,0.64
2021,1,7,12,21.58,73.73,0.0,1.25
2021,1,7,15,18.26,86.39,0.0,1.81
2021,1,7,18,15.72,99.29,0.0,1.98
2021,1,7,21,14.58,100.0,0.0,1.69
2021,1,8,0,13.67,100.0,0.0,1.61
2021,1,8,3,21.34,73.39,0.0,0.61
2021,1,8,6,25.11,57.75,0.0,1.27
2021,1,8,9,23.7,70.57,0.0,0.82
2021,1,8,12,20.17,73.02,0.0,1.46
2021,1,8,15,18.9,72.2,0.0,1.25
2021,1,8,18,16.2,83.69,0.0,1.75
2021,1,8,21,14.19,90.57,0.0,2.01
2021,1,9,0,12.67,94.42,0.0,2.09
2021,1,9,3,19.64,69.14,0.0,0.33
2021,1,9,6,24.01,55.96,0.0,0.53
2021,1,9,9,23.02,71.05,0.0,0.61
2021,1,9,12,19.31,79.34,0.0,1.44
2021,1,9,15,18.34,78.5,0.0,1.08
2021,1,9,18,15.76,90.37,0.0,1.71
2021,1,9,21,13.82,99.57,0.0,1.98
2021,1,10,0,12.74,100.0,0.0,1.69
2021,1,10,3,19.91,73.34,0.0,0.28
2021,1,10,6,23.69,61.89,0.0,0.58
2021,1,10,9,23.06,72.26,0.0,0.39
2021,1,10,12,20.55,79.45,0.0,0.95
2021,1,10,15,19.62,80.66,0.0,0.44
2021,1,10,18,17.19,92.19,0.0,1.38
2021,1,10,21,14.88,100.0,0.0,1.74
2021,1,11,0,14.47,100.0,0.0,1.64
2021,1,11,3,21.36,74.08,0.0,0.21
2021,1,11,6,24.67,63.78,0.0,0.7
2021,1,11,9,23.76,75.07,0.0,0.52
2021,1,11,12,20.68,83.79,0.0,1.13
2021,1,11,15,17.24,98.36,0.0,1.3
2021,1,11,18,16.19,100.0,0.0,0.97
2021,1,11,21,15.23,100.0,0.0,1.07
2021,1,12,0,14.53,100.0,0.0,1.52
2021,1,12,3,21.07,74.49,0.0,0.78
2021,1,12,6,23.71,63.68,0.0,0.95
2021,1,12,9,22.36,71.21,0.0,0.77
2021,1,12,12,17.96,90.69,0.0,1.7
2021,1,12,15,15.35,95.84,0.0,1.54
2021,1,12,18,13.94,99.2,0.0,1.14
2021,1,12,21,12.63,100.0,0.0,1.48
2021,1,13,0,11.97,100.0,0.0,1.68
2021,1,13,3,19.53,66.28,0.0,0.71
2021,1,13,6,22.39,54.01,0.0,0.74
2021,1,13,9,21.02,64.57,0.0,0.81
2021,1,13,12,15.5,87.94,0.0,1.93
2021,1,13,15,12.82,91.98,0.0,1.43
2021,1,13,18,11.6,94.31,0.0,1.23
2021,1,13,21,10.33,98.11,0.0,1.21
2021,1,14,0,9.26,100.0,0.0,1.5
2021,1,14,3,17.11,65.62,0.0,0.67
2021,1,14,6,21.28,51.88,0.0,0.51
2021,1,14,9,20.18,63.59,0.0,0.67
2021,1,14,12,16.03,79.23,0.0,1.64
2021,1,14,15,14.07,79.27,0.0,1.8
2021,1,14,18,11.86,86.63,0.0,1.97
2021,1,14,21,10.77,91.79,0.0,1.96
2021,1,15,0,10.62,93.43,0.0,1.74
2021,1,15,3,17.5,67.5,0.0,0.24
2021,1,15,6,21.09,50.98,0.0,0.57
2021,1,15,9,19.67,64.78,0.0,0.69
2021,1,15,12,15.36,80.02,0.0,1.67
2021,1,15,15,14.45,76.24,0.0,1.38
2021,1,15,18,12.36,83.62,0.0,1.58
2021,1,15,21,9.97,97.77,0.0,2.02
2021,1,16,0,9.36,99.97,0.0,1.96
2021,1,16,3,16.65,69.25,0.0,0.43
2021,1,16,6,21.11,52.83,0.0,0.67
2021,1,16,9,20.22,64.07,0.0,0.64
2021,1,16,12,16.89,71.89,0.0,1.22
2021,1,16,15,14.85,78.01,0.0,1.46
2021,1,16,18,12.68,87.03,0.0,1.75
2021,1,16,21,11.49,91.08,0.0,1.81
2021,1,17,0,10.8,92.46,0.0,1.73
2021,1,17,3,17.26,69.71,0.0,0.66
2021,1,17,6,21.18,57.69,0.0,1.0
2021,1,17,9,20.29,69.04,0.0,0.67
2021,1,17,12,16.1,81.23,0.0,1.63
2021,1,17,15,14.54,83.01,0.0,1.6
2021,1,17,18,11.81,96.04,0.0,2.06
2021,1,17,21,10.92,99.58,0.0,2.03
2021,1,18,0,10.83,98.2,0.0,1.96
2021,1,18,3,18.51,68.92,0.0,0.52
2021,1,18,6,23.72,53.47,0.0,0.57
2021,1,18,9,22.22,68.45,0.0,0.77
2021,1,18,12,16.47,92.01,0.0,1.79
2021,1,18,15,15.05,92.8,0.0,1.31
2021,1,18,18,13.86,97.92,0.0,1.16
2021,1,18,21,11.43,100.0,0.0,1.86
2021,1,19,0,10.94,100.0,0.0,1.59
2021,1,19,3,18.02,77.55,0.0,1.05
2021,1,19,6,21.21,60.99,0.0,1.08
2021,1,19,9,20.41,70.18,0.0,0.73
2021,1,19,12,17.0,83.04,0.0,1.42
2021,1,19,15,15.46,85.57,0.0,1.42
2021,1,19,18,13.18,97.15,0.0,1.83
2021,1,19,21,11.64,100.0,0.0,1.81
2021,1,20,0,11.3,100.0,0.0,1.53
2021,1,20,3,17.52,77.79,0.37,0.46
2021,1,20,6,21.1,65.77,0.61,0.82
2021,1,20,9,20.58,77.23,6.57,0.84
2021,1,20,12,17.37,96.18,20.05,1.23
2021,1,20,15,16.92,98.45,11.46,1.21
2021,1,20,18,16.18,99.49,3.09,0.89
2021,1,20,21,15.14,100.0,1.58,1.09
2021,1,21,0,14.75,100.0,1.48,1.25
2021,1,21,3,19.84,89.54,0.94,0.32
2021,1,21,6,23.8,60.86,0.26,1.11
2021,1,21,9,22.23,64.91,0.01,1.0
2021,1,21,12,16.75,82.82,0.0,1.86
2021,1,21,15,13.92,82.7,0.0,2.19
2021,1,21,18,12.12,89.03,7.83,2.24
2021,1,21,21,10.74,100.0,0.01,1.39
2021,1,22,0,10.49,100.0,0.01,1.23
2021,1,22,3,17.84,72.0,0.0,0.34
2021,1,22,6,22.39,50.04,0.0,0.77
2021,1,22,9,21.32,61.24,0.0,0.67
2021,1,22,12,16.08,82.83,0.0,1.85
2021,1,22,15,14.25,82.71,0.0,1.83
2021,1,22,18,13.26,82.13,0.0,1.55
2021,1,22,21,11.93,88.14,0.0,1.64
2021,1,23,0,10.15,98.45,0.0,1.91
2021,1,23,3,18.24,62.7,0.0,0.33
2021,1,23,6,21.57,46.71,0.0,0.77
2021,1,23,9,20.08,60.53,0.0,0.92
2021,1,23,12,15.47,79.51,0.0,1.57
2021,1,23,15,15.25,70.73,0.0,0.57
2021,1,23,18,11.83,88.1,0.0,1.86
2021,1,23,21,9.71,100.0,0.0,1.34
2021,1,24,0,9.33,100.0,0.0,1.37
2021,1,24,3,17.39,65.34,0.0,0.52
2021,1,24,6,22.1,50.83,0.0,0.62
2021,1,24,9,21.78,62.5,0.0,0.49
2021,1,24,12,18.16,69.2,0.0,1.12
2021,1,24,15,16.53,71.65,0.0,0.97
2021,1,24,18,13.28,85.7,0.0,1.8
2021,1,24,21,10.21,100.0,0.0,2.07
2021,1,25,0,9.24,100.0,0.0,1.71
2021,1,25,3,17.79,66.9,0.0,0.54
2021,1,25,6,22.34,47.68,0.0,1.03
2021,1,25,9,21.59,59.6,0.0,0.87
2021,1,25,12,15.57,84.02,0.0,2.14
2021,1,25,15,13.02,90.09,0.0,2.24
2021,1,25,18,11.4,96.72,0.0,1.32
2021,1,25,21,10.63,98.48,0.0,1.36
2021,1,26,0,9.68,100.0,0.0,1.72
2021,1,26,3,18.73,63.21,0.0,0.95
2021,1,26,6,22.54,47.02,0.0,1.25
2021,1,26,9,21.52,56.53,0.0,0.96
2021,1,26,12,15.37,81.93,0.0,2.13
2021,1,26,15,12.81,86.62,0.0,2.26
2021,1,26,18,10.81,92.53,0.0,2.18
2021,1,26,21,9.21,99.79,0.0,1.94
