YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2022,9,18,15,27,94.2687,,0
2022,9,18,21,25.5,,,0
2022,9,19,0,25.8,100,,0
2022,9,20,3,29,74.4434,,0.2
2022,9,20,12,30,74.6054,,0.2
2022,9,20,15,27.6,85.7541,,0
2022,9,20,21,26.9,84.1554,,0.2
2022,9,21,3,30,74.6054,,0.2
2022,9,21,9,32.2,61.9776,,0.2
2022,9,21,12,30,79.1761,,0.2
2022,9,21,15,28.8,84.86,,0.3
2022,9,21,18,28.8,84.86,,0.3
2022,9,21,21,27,94.2687,,0
2022,9,22,0,26.4,92.0239,,0
2022,9,22,3,31.4,64.8573,,0
2022,9,22,6,31.7,67.6964,,0.2
2022,9,22,9,32.3,61.6279,,0.3
2022,9,22,12,30,79.1761,,0.2
2022,9,22,15,28.3,87.3629,,0.2
2022,9,22,18,27,88.8267,,0
2022,9,22,21,27,88.8267,,0
2022,9,23,0,27,88.8267,,0
2022,9,23,3,30,74.6054,,0
2022,9,23,6,30.1,78.7221,,0
2022,9,23,9,31.5,72.6653,,0.2
2022,9,23,12,29.8,80.0929,,0
2022,9,23,15,27.6,85.7541,,0
2022,9,25,6,31,74.766,0.3,0.2
2022,9,25,9,31.5,72.6653,,0.2
2022,9,25,12,29.8,80.0929,,0.2
2022,9,26,3,29.8,75.4693,,0
2022,9,26,6,29.8,80.0929,,0.2
2022,9,26,9,31,70.4499,,0.2
2022,9,26,12,27.6,96.5409,0,0
2022,9,26,15,27,94.2687,,0
2022,9,26,21,26.6,100,,0
2022,9,27,0,26.5,100,,0
2022,9,27,3,29.5,81.4905,,0
2022,9,27,6,32,66.5536,0,0
2022,9,27,9,32.3,61.6279,,0.2
2022,9,27,12,30,79.1761,,0.2
2022,9,28,12,30.5,91.7192,0.4,0
2022,9,28,18,28.1,100,,0
2022,9,29,0,27.3,100,,0
2022,9,29,3,31.5,81.7342,,0
2022,9,29,6,33.5,73.0033,,0.2
2022,9,29,9,35.2,62.6254,,0.2
2022,9,29,12,31.5,81.7342,,0
2022,9,29,15,29.1,93.8053,,0
2022,9,29,18,29,94.3502,,0
2022,9,29,21,28.8,95.4508,,0
2022,9,30,0,27.9,94.862,,0
2022,9,30,3,30.5,86.5372,,0
2022,9,30,6,31,79.3116,,0.3
2022,9,30,9,26.8,100,,0
2022,9,30,12,28,88.9044,0.6,0
2022,10,1,3,30.8,75.6254,,0
2022,10,1,6,31.5,77.0832,,0.2
2022,10,1,9,31,79.3116,,0.2
2022,10,1,12,30.2,83.0298,,0
2022,10,2,3,29,79.0392,,0
2022,10,2,6,31.8,71.4369,,0.2
2022,10,2,9,27.1,93.7162,,0.2
2022,10,2,12,27,94.2687,,0
2022,10,3,3,30,70.2674,,0.2
2022,10,3,6,31,70.4499,,0.2
2022,10,3,9,32.5,64.697,,0.2
2022,10,3,12,29.6,81.0216,,0
2022,10,3,18,26.8,100,0.2,0
2022,10,4,0,26.1,99.4096,,0
2022,10,4,3,32,66.5536,,0
