YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,11.3,100,,0
2021,1,1,3,17,88.0038,,0
2021,1,1,6,25.2,43.7238,,0
2021,1,1,9,26.3,43.7399,,0.2
2021,1,1,12,18.3,86.4447,,0
2021,1,1,15,15,93.7405,,0
2021,1,1,18,13.2,98.7016,,0
2021,1,1,21,12.4,97.402,,0
2021,1,2,0,11.4,97.3819,,0
2021,1,2,3,16.8,89.1277,,0
2021,1,2,6,24.9,47.534,,0
2021,1,2,9,26.5,43.2263,,0.2
2021,1,2,12,18.2,86.9893,,0
2021,1,2,15,14.5,96.8136,,0
2021,1,2,18,13.8,100,,0
2021,1,2,21,12,100,,0
2021,1,3,0,11.2,100,,0
2021,1,3,3,17.7,89.7706,,0
2021,1,3,6,25.3,46.4135,,0
2021,1,3,9,26.9,42.2192,,0
2021,1,3,12,19,82.738,,0
2021,1,3,15,15.2,92.542,,0
2021,1,3,18,13.8,100,,0
2021,1,3,21,13,100,,0
2021,1,4,0,12.1,100,,0
2021,1,4,3,19.2,81.7119,,0
2021,1,4,6,26.5,49.2166,,0.2
2021,1,4,9,28.4,41.2741,,0
2021,1,4,12,20,88.2598,,0
2021,1,4,15,16.8,100,,0
2021,1,4,18,15.3,100,,0
2021,1,4,21,14.2,100,,0
2021,1,5,0,13.3,100,,0
2021,1,5,3,18.8,89.2843,,0
2021,1,5,6,27,44.7967,,0
2021,1,5,9,29.8,40.6018,,0
2021,1,5,12,20.9,88.8885,,0
2021,1,5,15,17.4,91.4871,,0
2021,1,5,18,15.9,100,,0
2021,1,5,21,14.6,100,,0
2021,1,6,0,13.8,100,,0
2021,1,6,3,20.3,81.3331,,0
2021,1,6,6,27.9,39.815,,0
2021,1,6,9,30.2,37.1947,,0
2021,1,6,12,20.7,84.5228,,0
2021,1,6,15,18,93.8791,,0
2021,1,6,18,16.5,100,,0
2021,1,6,21,15.5,100,,0
2021,1,7,0,15,100,,0
2021,1,7,3,21.3,76.4746,,0
2021,1,7,6,28.5,49.7418,,0
2021,1,7,9,30.3,42.0645,,0
2021,1,7,12,22.5,91.235,,0
2021,1,7,15,19.4,91.6109,,0
2021,1,7,18,18,100,,0
2021,1,7,21,16.8,100,,0
2021,1,8,0,15.6,100,,0
2021,1,8,3,21.7,79.4885,,0
2021,1,8,6,29,42.5224,,0.2
2021,1,8,9,30.3,34.6494,,0
2021,1,8,12,21.5,80.4678,,0
2021,1,8,15,20.2,92.8124,,0
2021,1,8,18,17.5,,,0
2021,1,8,21,16.1,100,,0
2021,1,9,0,14.7,100,,0
