YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,15.6,96.2189,,0.6
2021,1,1,3,19,77.5977,,0
2021,1,1,6,24.2,49.5689,,0.7
2021,1,1,9,26.5,55.9255,,0.4
2021,1,1,12,23.4,71.6845,,0
2021,1,1,15,19.4,86.0035,,0.3
2021,1,1,18,17.3,92.0675,,0
2021,1,1,21,16.3,92.0087,,0
2021,1,2,0,15.1,99.3584,,0
2021,1,2,3,16,100,,0
2021,1,2,6,26,57.6037,,0.6
2021,1,2,9,25.5,48.9516,,0.8
2021,1,2,12,22.6,70.6386,,0.5
2021,1,2,15,20.2,87.1735,,0
2021,1,2,18,18.2,86.9893,,0
2021,1,2,21,17.2,86.8957,,0
2021,1,3,0,16,93.7872,,0.5
2021,1,3,3,18.8,83.7785,,0.7
2021,1,3,6,27.2,57.1669,,0
2021,1,3,9,27,57.8427,,1.4
2021,1,3,12,22.8,74.336,,0
2021,1,3,15,20.7,84.5228,,0
2021,1,3,18,18.6,84.8337,,0
2021,1,3,21,17.2,92.652,,0
2021,1,4,0,16.7,89.6957,,0.6
2021,1,4,3,21,77.897,,0.5
2021,1,4,6,27.8,51.814,,0.5
2021,1,4,9,28.2,50.6183,,0.9
2021,1,4,12,24.2,72.7318,,0.5
2021,1,4,15,20.6,96.3583,,0
2021,1,4,18,19.8,95.1418,,0
2021,1,4,21,18.4,91.5494,,0
2021,1,5,0,17.3,92.0675,,0.6
2021,1,5,3,20,88.2598,,0.5
2021,1,5,6,28.5,46.6745,,0.4
2021,1,5,9,28.7,46.1351,,1
2021,1,5,12,24.2,81.3214,,0.5
2021,1,5,15,20.2,98.7692,,0.5
2021,1,5,18,19.4,91.6109,,0.3
2021,1,5,21,18.4,91.5494,,0
2021,1,6,0,17.8,95.0689,,0.6
2021,1,6,3,21,68.5523,,0.8
2021,1,6,6,29.2,44.8172,,1
2021,1,6,9,30,48.582,,1.2
2021,1,6,12,27,50.9536,,0.8
2021,1,6,15,21,88.3433,,0.6
2021,1,6,18,19.3,86.5408,,0.3
2021,1,6,21,19,88.1753,,0.5
2021,1,7,0,18.7,89.8446,,0.8
2021,1,7,3,22.2,72.3792,,0.4
2021,1,7,6,30,40.1371,,0.6
2021,1,7,9,30.2,37.1947,,1
2021,1,7,12,26.7,45.5949,,0.5
2021,1,7,15,23.8,57.8121,,0.5
2021,1,7,18,20.2,81.8377,,0
2021,1,7,21,19.2,87.0818,,0
2021,1,8,0,19.1,82.2231,,0.7
2021,1,8,3,23,64.6934,,0.7
2021,1,8,6,30,28.9047,,0.8
2021,1,8,9,30.4,32.262,,1
2021,1,8,12,26.4,43.4822,,0.6
2021,1,8,15,21.5,75.5425,,0
2021,1,8,18,20.2,81.8377,,0.4
2021,1,8,21,19.5,85.47,,0.4
2021,1,9,0,18.9,83.2564,,0.5
2021,1,9,3,21,68.5523,,0.4
2021,1,9,6,28.2,36.638,,0.8
2021,1,9,9,28.4,36.2137,,1.2
2021,1,9,12,25.6,51.9108,,0.6
2021,1,9,15,20.8,73.9988,,0.4
2021,1,9,18,19.7,84.4141,,0
2021,1,9,21,19.3,81.2042,,0
2021,1,10,0,18.8,89.2843,,0.3
2021,1,10,3,21.1,72.6455,,0.5
2021,1,10,6,28,39.5832,,0.4
2021,1,10,9,28.5,41.0347,,0.8
2021,1,10,12,24.5,62.988,,0.4
2021,1,10,15,21.4,76.0069,,0
2021,1,10,18,20.4,80.8319,,0
2021,1,10,21,20,88.2598,,0
2021,1,11,0,19.4,86.0035,,0
2021,1,11,3,22.2,77.0983,,0
2021,1,11,6,27.5,49.48,,0.7
2021,1,11,9,27.8,55.1923,,1
2021,1,11,12,25.5,63.2075,,0
2021,1,11,15,21.8,84.1144,,0
2021,1,11,18,19.8,89.3613,,0
2021,1,11,21,19.6,90.4783,,0
2021,1,12,0,19.2,92.7595,,0.6
2021,1,12,3,21.2,81.9622,,0
2021,1,12,6,27,54.3022,,0.3
2021,1,12,9,27.5,43.5012,,1.2
2021,1,12,12,23.6,54.8505,,0.6
2021,1,12,15,21.5,80.4678,,0
2021,1,12,18,20.4,86.1021,,0
2021,1,12,21,20.1,87.7147,,0
2021,1,13,0,18,77.4458,,1
2021,1,13,3,20,68.3535,,1
2021,1,13,6,24.5,51.9621,,1
2021,1,13,9,27,41.9715,,0.5
2021,1,13,12,23.4,52.0153,,0.3
2021,1,13,15,20,59.9731,,0.4
2021,1,13,18,18.3,71.2062,,0
2021,1,13,21,18,72.5615,,0
2021,1,14,0,17.7,69.247,,0.7
2021,1,14,3,19,68.1529,,0.3
2021,1,14,6,25,41.4154,,0.8
2021,1,14,9,26.5,40.4795,,0.8
2021,1,14,12,23.8,54.1934,,0.6
2021,1,14,15,20.2,67.5122,,0
2021,1,14,18,18.8,73.6553,,0.3
2021,1,14,21,17.6,84.7262,,0.3
