YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,14.8,94.9565,,0
2021,1,1,3,20.5,80.3343,,0
2021,1,1,6,27.7,42.9948,,0
2021,1,1,9,27.4,49.7709,,0.2
2021,1,1,12,22.4,76.1649,,0
2021,1,1,15,19.2,87.0818,,0
2021,1,1,18,18.2,92.706,,0
2021,1,1,21,16.2,92.5973,,0
2021,1,2,0,16,93.7872,,0
2021,1,2,3,20.2,72.0203,,0
2021,1,2,6,27,47.788,,0.2
2021,1,2,9,27,50.9536,,0
2021,1,2,12,22.2,67.9159,,0
2021,1,2,15,20.2,81.8377,,0
2021,1,2,18,17.7,95.6701,,0
2021,1,2,21,17,88.0038,,0
2021,1,3,0,16.5,96.8617,,0
2021,1,3,3,20.2,72.0203,,0.3
2021,1,3,6,26.5,52.4769,,0.2
2021,1,3,9,28.8,52.0696,,0
2021,1,3,12,23.2,72.5563,,0
2021,1,3,15,21.5,85.673,,0
2021,1,3,18,19.5,91.0426,,0
2021,1,3,21,18.5,90.9771,,0
2021,1,4,0,17,93.8334,,0
2021,1,4,3,21.2,76.9454,,0
2021,1,4,6,28.2,41.7577,,0.5
2021,1,4,9,29.3,47.4871,,0.2
2021,1,4,12,23.2,77.2498,,0
2021,1,4,15,20,88.2598,,0
2021,1,4,18,18.8,95.1055,,0
2021,1,4,21,18.5,96.9088,,0
2021,1,5,0,18.3,92.1257,,0
2021,1,5,3,22.5,80.6,,0
2021,1,5,6,29,48.3188,,0.5
2021,1,5,9,29.4,47.2134,,0.6
2021,1,5,12,24.2,68.3129,,0
2021,1,5,15,22.2,82.0856,,0
2021,1,5,18,20,93.969,,0
2021,1,5,21,18.4,91.5494,,0
2021,1,6,0,17,93.8334,,0
2021,1,6,3,20.8,84.0036,,0
2021,1,6,6,29,39.8608,,0.2
2021,1,6,9,30,51.7246,,0.5
2021,1,6,12,24.5,76.0197,,0.5
2021,1,6,15,22.7,84.7369,,0
2021,1,6,18,20.6,90.5469,,0
2021,1,6,21,18.8,95.1055,,0
2021,1,7,0,18,93.8791,,0
2021,1,7,3,21.8,74.1682,,0.3
2021,1,7,6,29.3,36.704,,0.3
2021,1,7,9,30,42.7959,,0.5
2021,1,7,12,25.4,59.6927,,0.2
2021,1,7,15,23.2,72.5563,,0
2021,1,7,18,22,68.7495,,0
2021,1,7,21,21,77.897,,0
2021,1,8,0,21,68.5523,,0.5
2021,1,8,3,24.7,58.4004,,0.6
2021,1,8,6,29.4,34.1736,,0.6
2021,1,8,9,30,40.1371,,0.8
2021,1,8,12,25,61.1327,,0
2021,1,8,15,22.3,67.5034,,0
2021,1,8,18,20.2,76.7911,,0
2021,1,8,21,20,77.7481,,0
2021,1,9,0,19.7,74.2876,,0
2021,1,9,3,23,60.6742,,0.5
2021,1,9,6,28.5,41.0347,,0.5
2021,1,9,9,29.7,33.587,,0.4
2021,1,9,12,24.2,64.1315,,0
2021,1,9,15,22.3,67.5034,,0
2021,1,9,18,20.7,84.5228,,0.3
2021,1,9,21,20,82.8575,,0
2021,1,10,0,19.2,76.6353,,0
2021,1,10,3,22.8,61.4143,,0.2
2021,1,10,6,29.5,29.7496,,0.5
2021,1,10,9,29.5,44.0469,,0.5
2021,1,10,12,25,61.1327,,0
2021,1,10,15,22.4,86.2963,,0
2021,1,10,18,20.8,95.1776,,0
2021,1,10,21,20.4,80.8319,,0
2021,1,11,0,20,82.8575,,0
2021,1,11,3,24,69.1387,,0
2021,1,11,6,28.7,49.1671,,0.3
2021,1,11,9,28.8,48.8825,,0.5
2021,1,11,12,25,69.3309,,0.5
2021,1,11,15,23,73.4401,,0
2021,1,11,18,21.5,85.673,,0
2021,1,11,21,20.5,91.1074,,0
2021,1,12,0,19.8,95.1418,,0
2021,1,12,3,23,73.4401,,0
2021,1,12,6,29,34.9737,,1
2021,1,12,9,29.8,31.2559,,0.8
2021,1,12,12,24.2,68.3129,,0
2021,1,12,15,22.4,76.1649,,0
2021,1,12,18,20.8,89.4375,,0
2021,1,12,21,19.6,79.7023,,0
2021,1,13,0,18.8,83.7785,,0
2021,1,13,3,21.5,80.4678,,0
2021,1,13,6,26.5,46.1359,,0
2021,1,13,9,27.8,37.5035,,0.8
2021,1,13,12,23.4,71.6845,,0.3
2021,1,13,15,21,77.897,,0.2
2021,1,13,18,19.8,69.2066,,0
2021,1,13,21,19,72.7405,,0
2021,1,14,0,18.2,81.5848,,0
2021,1,14,3,20.4,71.1352,,0
2021,1,14,6,26.9,51.2543,,0.7
2021,1,14,9,27,41.9715,,0.8
2021,1,14,12,24,60.9043,,0
2021,1,14,15,20.2,72.0203,,0
2021,1,14,18,20.4,66.6825,,0
2021,1,14,21,17.6,84.7262,,0
2021,1,15,0,16.8,83.5488,,0
2021,1,15,3,20.8,57.081,,0
2021,1,15,6,25.8,36.9423,,0
2021,1,15,9,26.6,37.6648,,0.2
2021,1,15,12,21.8,65.2708,,0
2021,1,15,15,20,77.7481,,0
2021,1,15,18,18.5,85.367,,0
2021,1,15,21,17.5,90.9109,,0
2021,1,16,0,16,93.7872,,0
2021,1,16,3,20,68.3535,,0
2021,1,16,6,24.7,36.8799,,0.7
2021,1,16,9,25.7,30.3265,,0.3
2021,1,16,12,21,56.3826,,0
2021,1,16,15,18,77.4458,,0
2021,1,16,18,17.7,73.9458,,0
2021,1,16,21,16,77.1377,,0
2021,1,17,0,15,82.2476,,0
2021,1,17,3,19.5,61.8641,,0
2021,1,17,6,24.9,36.4416,,0.7
2021,1,17,9,25.8,28.1415,,0.5
2021,1,17,12,21.6,58.0322,,0
2021,1,17,15,19.4,75.6864,,0
2021,1,17,18,19,82.738,,0
2021,1,17,21,17.4,80.4324,,0
2021,1,18,0,16.5,85.1576,,0
2021,1,18,3,20.1,63.6472,,0.3
2021,1,18,6,25.2,40.9243,,0.3
2021,1,18,9,27,39.3045,,0.5
2021,1,18,12,22,60.4423,,0
