YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,14.6,96.1901,,0
2021,1,1,3,19.8,69.2066,,0
2021,1,1,6,25.2,40.9243,,0.2
2021,1,1,9,26.8,42.4684,,0
2021,1,1,12,21.7,61.5605,,0
2021,1,1,15,19.3,66.8896,,0
2021,1,1,18,19,63.8222,,0.2
2021,1,1,21,16.8,78.2797,,0
2021,1,2,0,15.3,86.1502,,0
2021,1,2,3,19,68.1529,,0
2021,1,2,6,24.4,42.9287,,0
2021,1,2,9,26,36.5068,,0
2021,1,2,12,22,60.4423,,0
2021,1,2,15,19.4,66.4743,,0
2021,1,2,18,19.4,62.2502,,0.2
2021,1,2,21,17,77.2925,,0
2021,1,3,0,15.1,87.2651,,0
2021,1,3,3,20.2,63.2544,,0
2021,1,3,6,26.2,43.9993,,0.2
2021,1,3,9,26.9,39.5364,,0.3
2021,1,3,12,21.5,66.4802,,0
2021,1,3,15,18.5,85.367,,0
2021,1,3,18,17.4,85.8033,,0
2021,1,3,21,15.8,94.9944,,0
2021,1,4,0,14.7,100,,0
2021,1,4,3,21.6,66.0743,,0
2021,1,4,6,26.7,45.5949,,0.3
2021,1,4,9,27.8,42.7441,,0
2021,1,4,12,22.8,65.4826,,0
2021,1,4,15,19.8,78.7184,,0
2021,1,4,18,19.3,76.1592,,0
2021,1,4,21,17.2,86.8957,,0
2021,1,5,0,15.4,91.3606,,0
2021,1,5,3,21.3,67.3005,,0
2021,1,5,6,26.4,43.4822,,0.2
2021,1,5,9,29,39.8608,,0
2021,1,5,12,23.2,68.1152,,0
2021,1,5,15,19.4,80.7001,,0
2021,1,5,18,18,88.09,,0
2021,1,5,21,16.6,96.2474,,0
2021,1,6,0,15.8,94.9944,,0
2021,1,6,3,23.2,52.648,,0
2021,1,6,6,27.6,37.9449,,0.2
2021,1,6,9,29.8,35.66,,0
2021,1,6,12,24.2,60.1768,,0
2021,1,6,15,20.8,78.8618,,0
2021,1,6,18,19.8,83.8916,,0
2021,1,6,21,19.6,90.4783,,0
2021,1,7,0,17.8,89.2064,,0
2021,1,7,3,23.8,61.6417,,0
2021,1,7,6,29.8,35.66,,0.2
2021,1,7,9,29.7,35.8661,,0
2021,1,7,12,24.2,56.4382,,0
2021,1,7,15,19.6,84.9402,,0
2021,1,7,18,18.6,90.4089,,0
2021,1,7,21,17.8,89.2064,,0
2021,1,8,0,17.2,92.652,,0
2021,1,8,3,22,73.2676,,0
2021,1,8,6,27.6,49.1911,,0
2021,1,8,9,29,39.8608,,0.3
2021,1,8,12,24.3,52.5889,,0
2021,1,8,15,22.3,63.3096,,0
2021,1,8,18,21.3,71.7587,,0.3
2021,1,8,21,20.1,82.3458,,0
2021,1,9,0,19.4,86.0035,,0
2021,1,9,3,21.2,76.9454,,0
2021,1,9,6,26.5,55.9255,,0.2
2021,1,9,9,27,54.3022,,0.3
2021,1,9,12,23.7,62.0142,,0
2021,1,9,15,19.8,83.8916,,0
2021,1,9,18,18.9,88.7279,,0
2021,1,9,21,18.3,92.1257,,0
2021,1,10,0,17.6,96.2756,,0
2021,1,10,3,21.5,70.8841,,0
2021,1,10,6,26.8,54.9451,,0.3
2021,1,10,9,27.8,48.6189,,0.3
2021,1,10,12,24.2,64.1315,,0
2021,1,10,15,20.6,79.8401,,0
2021,1,10,18,19.6,90.4783,,0
2021,1,10,21,19.2,87.0818,,0
2021,1,11,0,18.6,96.3035,,0
2021,1,11,3,23.6,70.8243,,0
2021,1,11,6,27.4,49.7709,,0
2021,1,11,9,28,51.2122,,0
2021,1,11,12,24,73.6111,,0
2021,1,11,15,22.8,74.336,,0
2021,1,11,18,19.8,95.1418,,0
2021,1,11,21,19.2,92.7595,,0
2021,1,12,0,18.5,96.9088,,0
2021,1,12,3,20.6,79.8401,,0
2021,1,12,6,26.2,46.961,,0
2021,1,12,9,25.5,52.2203,,0.3
2021,1,12,12,21.9,60.8125,,0.2
2021,1,12,15,20.2,72.0203,,0.2
2021,1,12,18,19.4,70.9488,,0.3
2021,1,12,21,17.3,75.8379,,0.2
2021,1,13,0,15.9,82.9002,,0.2
2021,1,13,3,18,59.4967,,0.2
2021,1,13,6,21.6,47.5834,,0.2
2021,1,13,9,22.2,42.8889,,0.2
2021,1,13,12,20,56.1331,,0.2
2021,1,13,15,18.8,64.6248,,0
2021,1,13,18,18,67.9507,,0
2021,1,13,21,17.2,71.4696,,0.2
2021,1,14,0,16.3,70.8296,,0.4
2021,1,14,3,17.5,74.8852,,0.2
2021,1,14,6,22.1,46.1515,,0.3
2021,1,14,9,23.8,44.5046,,0.2
2021,1,14,12,20.4,47.8976,,0
2021,1,14,15,18.7,56.9398,,0.2
2021,1,14,18,15.6,69.292,,0
2021,1,14,21,14.8,77.98,,0
2021,1,15,0,13.1,81.4606,,0
2021,1,15,3,18,59.4967,,0
2021,1,15,6,23,40.8539,,0.3
2021,1,15,9,23.7,34.1805,,0.2
2021,1,15,12,19.5,57.903,,0
2021,1,15,15,15.6,79.1377,,0
2021,1,15,18,15,76.9815,,0
2021,1,15,21,14.2,86.6091,,0
2021,1,16,0,14,87.7396,,0
2021,1,16,3,16.4,80.2966,,0
2021,1,16,6,22,49.6363,,0
2021,1,16,9,23.4,45.5913,,0.2
2021,1,16,12,19.9,64.4409,,0
2021,1,16,15,18.2,67.1016,,0
2021,1,16,18,16.6,84.6175,,0
2021,1,16,21,14.8,88.9679,,0
2021,1,17,0,13.8,94.9181,,0
2021,1,17,3,16.8,78.2797,,0
2021,1,17,6,21,60.2086,,0
2021,1,17,9,22.6,58.2735,,0
2021,1,17,12,19.6,74.7506,,0
2021,1,17,15,18,82.6172,,0
2021,1,17,18,15.6,96.2189,,0
2021,1,17,21,14.2,86.6091,,0
2021,1,18,0,13.1,93.0354,,0
2021,1,18,3,14.8,100,,0
2021,1,18,6,21.2,67.7149,,0
2021,1,18,9,23.6,51.3912,,0
2021,1,18,12,20.2,63.2544,,0
2021,1,18,15,16,87.9167,,0
2021,1,18,18,14.4,91.2963,,0
2021,1,18,21,14,93.6933,,0
2021,1,19,0,13.6,,,0
