YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,13.5,100,,0
2021,1,1,3,20,77.7481,,0.2
2021,1,1,6,25,44.2485,,0.2
2021,1,1,9,26.2,43.9993,,0.2
2021,1,1,12,19,88.1753,,0.1
2021,1,1,15,16,100,,0.1
2021,1,1,18,14.8,100,,0
2021,1,1,21,14.2,100,,0
2021,1,2,0,13.6,100,,0.1
2021,1,2,3,19,88.1753,,0.1
2021,1,2,6,25.3,49.5377,,0
2021,1,2,9,26.6,55.5965,,0.2
2021,1,2,12,19.5,85.47,,0
2021,1,2,15,16.3,92.0087,,0.1
2021,1,2,18,15.5,100,,0
2021,1,2,21,14.3,91.8891,,0
2021,1,3,0,14,100,,0
2021,1,3,3,20.5,85.572,,0.2
2021,1,3,6,26,54.0515,,0.1
2021,1,3,9,27,44.7967,,0
2021,1,3,12,20,93.969,,0
2021,1,3,15,16.7,95.6375,,0
2021,1,3,18,15.3,91.9492,,0
2021,1,3,21,14.9,100,,0
2021,1,4,0,14.5,100,,0
2021,1,4,3,21,88.3433,,0.1
2021,1,4,6,26,57.6037,,0.2
2021,1,4,9,28,45.0687,,0
2021,1,4,12,22,88.426,,0
2021,1,4,15,18,100,,0.2
2021,1,4,18,16.7,100,,0.1
2021,1,4,21,16.4,100,,0
2021,1,5,0,16,100,,0
2021,1,5,3,22,68.7495,,0
2021,1,5,6,26.8,51.5569,,0
2021,1,5,9,29,45.3392,,0.2
2021,1,5,12,22,88.426,,0
2021,1,5,15,19,93.9243,,0.1
2021,1,5,18,18,100,,0.1
2021,1,5,21,16.9,100,,0
2021,1,6,0,16,100,,0.1
2021,1,6,3,21.7,84.6304,,0
2021,1,6,6,27.6,55.8418,,0.2
2021,1,6,9,29,48.3188,,0
2021,1,6,12,23,88.5078,,0.1
2021,1,6,15,19.3,86.5408,,0
2021,1,6,18,17.5,100,,0.1
2021,1,6,21,16.6,96.2474,,0
2021,1,7,0,16.4,97.4805,,0
2021,1,7,3,22,88.426,,0.1
2021,1,7,6,28.5,49.7418,,0.1
2021,1,7,9,30,35.2518,,0
2021,1,7,12,22.8,89.5875,,0
2021,1,7,15,19.6,96.331,,0
2021,1,7,18,18.5,100,,0
2021,1,7,21,17.9,100,,0
2021,1,8,0,17.2,100,,0.1
2021,1,8,3,25,65.1185,,0
2021,1,8,6,29,42.5224,,0.2
2021,1,8,9,29.2,44.8172,,0.2
2021,1,8,12,23.1,93.5321,,0.1
2021,1,8,15,19,93.9243,,0
2021,1,8,18,18,100,,0
2021,1,8,21,17.7,100,,0
2021,1,9,0,17.5,100,,0
2021,1,9,3,22,78.0446,,0.1
2021,1,9,6,27,54.3022,,0.2
2021,1,9,9,28,51.2122,,0.1
2021,1,9,12,22.5,85.773,,0
2021,1,9,15,19.3,92.1832,,0
2021,1,9,18,18.1,99.373,,0
2021,1,9,21,17,100,,0
2021,1,10,0,16.7,100,,0
2021,1,10,3,22,88.426,,0.1
2021,1,10,6,27.5,63.6415,,0.1
2021,1,10,9,28.5,56.4124,,0
2021,1,10,12,23,78.1907,,0
2021,1,10,15,20,100,,0.2
2021,1,10,18,19.5,100,,0.2
2021,1,10,21,19.4,100,,0.1
2021,1,11,0,19.4,100,,0.1
2021,1,11,3,22.4,97.5916,,0
2021,1,11,6,27.4,72.3945,,0
2021,1,11,9,27.2,68.8958,,0.2
2021,1,11,12,23,83.209,,0.1
2021,1,11,15,20.5,100,,0
2021,1,11,18,19,100,,0.1
2021,1,11,21,18.8,100,,0
2021,1,12,0,17,100,,0
2021,1,12,3,21.7,95.7971,,0.1
2021,1,12,6,26.6,63.0523,,0.2
2021,1,12,9,27.5,59.8033,,0.1
2021,1,12,12,22,78.0446,,0
2021,1,12,15,19.6,96.331,,0
2021,1,12,18,19,93.9243,,0
2021,1,12,21,18.4,85.9039,,0
2021,1,13,0,18,88.09,,0.2
2021,1,13,3,20,77.7481,,0.1
2021,1,13,6,24,46.9802,,0.3
2021,1,13,9,24,46.9802,,0.1
2021,1,13,12,19.4,86.0035,,0
2021,1,13,15,17.5,96.8854,,0.1
2021,1,13,18,17.5,90.9109,,0.2
2021,1,13,21,17.5,85.2628,,0.2
2021,1,14,0,17.7,78.9233,,0.2
2021,1,14,3,20.2,72.0203,,0
2021,1,14,6,23.7,58.1614,,0
2021,1,14,9,24.9,50.7336,,0.2
2021,1,14,12,20,88.2598,,0
2021,1,14,15,17.5,100,,0.1
2021,1,14,18,17,100,,0.1
2021,1,14,21,16.2,100,,0
2021,1,15,0,15,100,,0
2021,1,15,3,19.5,80.1995,,0.3
2021,1,15,6,23,60.6742,,0.2
2021,1,15,9,24,46.9802,,0.1
2021,1,15,12,19,77.5977,,0
2021,1,15,15,15.6,96.2189,,0
2021,1,15,18,15.2,98.7215,,0
2021,1,15,21,14.3,98.0743,,0.1
2021,1,16,0,13.7,100,,0
2021,1,16,3,19,88.1753,,0
2021,1,16,6,24,46.9802,,0
2021,1,16,9,24.8,34.2584,,0.1
2021,1,16,12,19,88.1753,,0
2021,1,16,15,15.7,100,,0.1
2021,1,16,18,14.8,100,,0.1
2021,1,16,21,14,100,,0.1
2021,1,17,0,13.4,100,,0.1
2021,1,17,3,19.7,84.4141,,0
2021,1,17,6,23.8,57.8121,,0.2
2021,1,17,9,24.7,45.0488,,0.2
2021,1,17,12,20,82.8575,,0
2021,1,17,15,16,100,,0
2021,1,17,18,15.6,100,,0
2021,1,18,0,14,100,,0
2021,1,18,3,19.6,90.4783,,0
2021,1,18,6,24,57.1205,,0.1
2021,1,18,9,25,50.4316,,0.1
2021,1,18,12,19,88.1753,,0.1
2021,1,18,15,16.3,98.1036,,0
2021,1,18,18,15.2,100,,0
2021,1,18,21,14,100,,0
2021,1,19,0,13,100,,0
2021,1,19,3,19,93.9243,,0
2021,1,19,6,26,44.5233,,0.1
2021,1,19,9,24.6,51.6519,,0.1
2021,1,19,12,20,77.7481,,0
2021,1,19,15,16.6,96.2474,,0
2021,1,19,18,15.7,100,,0
2021,1,19,21,15.6,100,,0
2021,1,20,0,15.5,100,,0
2021,1,20,3,20.7,95.7659,,0.1
2021,1,20,6,25.4,59.6927,,0.3
2021,1,20,9,24,60.9043,,0.2
2021,1,20,12,21.2,81.9622,,0.2
2021,1,20,15,21,88.3433,,0.4
2021,1,20,18,21,94.0132,,0
2021,1,20,21,20.2,100,,0
2021,1,21,0,19,100,,0
2021,1,21,3,20.2,92.8124,,0
2021,1,21,6,23,78.1907,,0.2
2021,1,21,9,26,41.6941,,0
2021,1,21,12,20,68.3535,,0
2021,1,21,15,16,93.7872,,0
2021,1,21,18,15.2,98.7215,,0.1
2021,1,21,21,14.3,100,,0
2021,1,22,0,13.5,100,,0
2021,1,22,3,20.4,71.1352,,0
2021,1,22,6,25,44.2485,,0.2
2021,1,22,9,25,38.7434,,0.2
2021,1,22,12,18.8,78.5736,,0
2021,1,22,18,14.2,100,,0
2021,1,23,3,18,93.8791,,0.1
2021,1,23,6,23.3,55.8531,,0.2
2021,1,23,9,23,56.8763,,0.2
2021,1,23,12,19.2,87.0818,,0
2021,1,23,15,15,100,,0
2021,1,23,18,15,100,,0
2021,1,23,21,14,100,,0
2021,1,24,0,13.2,100,,0
2021,1,24,3,18.3,92.1257,,0
2021,1,24,6,24.7,54.7722,,0.2
2021,1,24,9,26,44.5233,,0.1
2021,1,24,12,19.2,87.0818,,0
2021,1,24,15,15.7,100,,0
2021,1,24,18,15.3,100,,0
2021,1,24,21,14.7,100,,0
2021,1,25,0,13.7,100,,0
2021,1,25,3,19.4,80.7001,,0
2021,1,25,6,25.9,39.2565,,0.1
2021,1,25,9,26.6,35.2348,,0.2
2021,1,25,12,20.7,74.4561,,0
2021,1,25,15,16,93.7872,,0
2021,1,25,18,15.3,98.0891,,0
2021,1,25,21,14.7,95.5711,,0
2021,1,26,0,14.4,97.4417,,0
2021,1,26,3,20.4,66.6825,,0.2
2021,1,26,6,25,53.7991,,0.1
2021,1,26,9,26.4,38.112,,0
2021,1,26,12,20.3,,,0
2021,1,26,15,15.8,94.9944,,0
2021,1,26,18,15,100,,0
2021,1,26,21,14.5,100,,0
2021,1,27,0,15,100,,0
2021,1,27,3,20,68.3535,,0.2
2021,1,27,6,24,41.1353,,0.3
2021,1,27,9,25.2,35.7952,,0.3
2021,1,27,12,19.8,53.167,,0.2
2021,1,27,15,14.7,95.5711,,0
2021,1,27,18,14.2,100,,0.1
2021,1,27,21,13.6,100,,0
2021,1,28,0,12.8,100,,0
2021,1,28,3,16.3,86.2494,,0.4
2021,1,28,6,22,60.4423,,0.4
2021,1,28,9,23.7,54.5208,,0.2
2021,1,28,12,20,77.7481,,0
2021,1,28,15,15.7,95.6044,,0
2021,1,28,18,15,93.7405,,0
2021,1,28,21,13.4,100,,0
2021,1,29,0,13,100,,0
2021,1,29,3,18.8,95.1055,,0
2021,1,29,6,23,68.9449,,0.3
2021,1,29,9,25.2,40.9243,,0.2
2021,1,29,12,20,77.7481,,0
