YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,11.2,92.3147,,0
2021,1,1,3,14.6,84.3968,,0
2021,1,1,6,24,43.9722,,0
2021,1,1,9,26,39.0245,,0
2021,1,1,12,21,64.2613,,0
2021,1,1,15,18,72.5615,,0
2021,1,1,18,15.2,81.196,,0
2021,1,1,21,12.8,88.8045,,0
2021,1,2,0,10.4,91.032,,0
2021,1,2,3,14.8,83.3144,,0
2021,1,2,6,24.8,47.8188,,0
2021,1,2,9,26,39.0245,,0
2021,1,2,12,20,68.3535,,0
2021,1,2,15,17.2,86.8957,,0
2021,1,2,18,15,87.8286,,0
2021,1,2,21,13.2,92.4296,,0
2021,1,3,0,11.2,92.3147,,0
2021,1,3,3,15,87.8286,,0
2021,1,3,6,25,47.251,,0
2021,1,3,9,27.6,40.5197,,0
2021,1,3,12,22,60.4423,,0
2021,1,3,15,17.6,79.4228,,0
2021,1,3,18,15,87.8286,,0
2021,1,3,21,12.8,94.8794,,0
2021,1,4,0,12.4,91.1656,,0
2021,1,4,3,16,87.9167,,0
2021,1,4,6,26.8,48.3538,,0.3
2021,1,4,9,27,94.2687,,0.6
2021,1,4,12,21.4,66.889,,0
2021,1,4,15,18,82.6172,,0
2021,1,4,18,16.6,90.2678,,0
2021,1,4,21,14,87.7396,,0
2021,1,5,0,13.4,91.2313,,0
2021,1,5,3,17.2,86.8957,,0
2021,1,5,6,27.4,46.6787,,0.3
2021,1,5,9,30,33.0118,,0
2021,1,5,12,23.6,70.8243,,0
2021,1,5,15,18.2,86.9893,,0
2021,1,5,18,16.4,92.6083,,0
2021,1,5,21,15.2,94.9717,,0
2021,1,6,0,13.6,96.1609,,0
2021,1,6,3,18.2,86.9893,,0
2021,1,6,6,27.8,45.5983,,0
2021,1,6,9,30.4,36.7701,,0
2021,1,6,12,24,64.9068,,0
2021,1,6,15,19.4,80.7001,,0
2021,1,6,18,18,82.6172,,0
2021,1,6,21,15,87.8286,,0
2021,1,7,0,14.8,88.9679,,0
2021,1,7,3,19.4,86.0035,,0
2021,1,7,6,29,42.5224,,0
2021,1,7,9,30.6,38.7784,,0
2021,1,7,12,32,84.2032,,0
2021,1,7,15,19.8,83.8916,,0
2021,1,7,18,18,92.6953,,0
2021,1,7,21,16.8,95.0318,,0
2021,1,8,0,16.4,91.4242,,0
2021,1,8,3,18.6,96.3035,,0
2021,1,8,6,28.2,44.546,,0.6
2021,1,8,9,29,42.5224,,0
2021,1,8,12,23.8,65.6927,,0
2021,1,8,15,18.8,89.2843,,0
2021,1,8,18,17.6,90.3387,,0
2021,1,8,21,16.4,91.4242,,0
2021,1,9,0,16.4,91.4242,,0
2021,1,9,3,20,72.9178,,0
2021,1,9,6,27,44.7967,,0
2021,1,9,9,29,39.8608,,0
2021,1,9,12,23,73.4401,,0
2021,1,9,15,20,82.8575,,0
2021,1,9,18,18.8,83.7785,,0
2021,1,9,21,17.4,85.8033,,0
2021,1,10,0,16.4,91.4242,,0
2021,1,10,3,20.4,86.1021,,0
2021,1,10,6,28,39.5832,,0.3
2021,1,10,9,29.4,36.4924,,0.3
2021,1,10,12,24.4,63.3666,,0
2021,1,10,15,19.8,83.8916,,0
2021,1,10,18,18,88.09,,0
2021,1,10,21,17,93.8334,,0
2021,1,11,0,19,93.9243,,0
2021,1,11,3,21,88.3433,,0
2021,1,11,6,28.4,46.9468,,0
2021,1,11,9,28.8,48.8825,,0
2021,1,11,12,24,73.6111,,0
2021,1,11,15,22,78.0446,,0
2021,1,11,18,20.6,90.5469,,0
2021,1,11,21,20,88.2598,,0
2021,1,12,0,15.8,94.9944,,0
2021,1,12,3,17.6,96.2756,,0
2021,1,12,6,24.8,51.0376,,0
2021,1,12,9,25.6,45.5926,,0
2021,1,12,12,20.6,79.8401,,0
2021,1,12,15,18.4,85.9039,,0
2021,1,12,18,17.2,86.8957,,0
2021,1,12,21,16.4,85.7016,,0
2021,1,13,0,15,93.7405,,0
2021,1,13,3,16.2,81.3269,,0
2021,1,13,6,20.6,50.5993,,0
2021,1,13,9,22,46.4339,,0
