ESTACION,ANO,MES,DIA,HORA,MINUTO,PARTE
41850,2022,12,09,00,00,AAXX 09004 41850 31915 00000 10127 20127 30026 40130 71000 333 58001 70000=
41850,2022,12,09,06,00,AAXX 09064 41850 32956 00000 10260 20140 30032 40129 333 59007 70000=
41850,2022,12,09,12,00,AAXX 09124 41850 31940 00000 10204 20160 30011 40112 70500 333 10280 59002 70000=
41850,2022,12,09,18,00,AAXX 09184 41850 31930 00000 10153 20140 30022 40125 70500 333 59013 70000=
41850,2022,12,10,00,00,AAXX 10004 41850 31915 00000 10125 20125 30026 40130 71000 333 58000 70000=
41850,2022,12,10,06,00,AAXX 10064 41850 NIL=
41850,2022,12,10,12,00,AAXX 10124 41850 31940 00000 10215 20180 30006 40107 70500 333 10285 59006 70000=
41850,2022,12,10,18,00,AAXX 10184 41850 31935 00000 10150 20140 30023 40126 70500 333 58001 70000=
41850,2022,12,11,00,00,AAXX 11004 41850 31915 00000 10125 20125 30029 40133 71000 333 58003 70000=
41850,2022,12,11,06,00,AAXX 11064 41850 32950 02703 10270 20130 30038 40137 333 58007 70000=
41850,2022,12,11,12,00,AAXX 11124 41850 31940 00000 10195 20160 30010 40111 70500 333 10274 58004 70000=
41850,2022,12,11,18,00,AAXX 11184 41850 31930 00000 10152 20140 30021 40124 70500 333 59002 70000=
41850,2022,12,12,00,00,AAXX 12004 41850 31912 00000 10127 20125 30020 40124 71000 333 59009 70000=
41850,2022,12,12,06,00,AAXX 12064 41850 31950 00000 10260 20150 30030 40129 70500 333 59008 70000=
41850,2022,12,12,09,00,AAXX 12094 41850 NIL=
41850,2022,12,12,12,00,AAXX 12124 41850 31940 00000 10190 20170 30007 40109 70500 333 10272 59003 70000=
41850,2022,12,12,18,00,AAXX 12184 41850 31930 00000 10150 20140 30024 40127 70500 333 58003 70000=
41850,2022,12,13,00,00,AAXX 13004 41850 31904 00000 10123 20120 30026 40130 74640 333 58006 70000=
41850,2022,12,13,06,00,AAXX 13064 41850 32950 00000 10246 20150 30033 40133 333 58003 70000=
41850,2022,12,13,12,00,AAXX 13124 41850 31940 00000 10200 20170 30005 40106 70510 333 10265 59002 70000=
41850,2022,12,13,18,00,AAXX 13184 41850 31925 00000 10152 20140 30022 40125 71000 333 59002 70000=
41850,2022,12,14,00,00,AAXX 14004 41850 31906 00000 10130 20130 30024 40128 74640 333 59002 70000=
41850,2022,12,14,06,00,AAXX 14064 41850 31950 00000 10248 20160 30036 40136 70500 333 58003 70000=
41850,2022,12,14,12,00,AAXX 14124 41850 NIL=
41850,2022,12,14,18,00,AAXX 14184 41850 31920 00000 10153 20140 30033 40136 71000 333 58011 70000=
41850,2022,12,15,00,00,AAXX 15004 41850 31908 00000 10128 20128 30023 40127 74640 333 59001 70000=
41850,2022,12,15,06,00,AAXX 15064 41850 31950 01803 10240 20150 30018 40118 70500 333 59018 70000=
41850,2022,12,15,12,00,AAXX 15124 41850 31930 01802 10196 20180 39997 40098 70500 333 10251 59018 70000=
