YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,14.66,93.1,0.0,1.24
2021,1,1,1,15.97,88.58,0.0,0.98
2021,1,1,2,17.73,84.59,0.0,0.92
2021,1,1,3,20.41,74.0,0.0,0.6
2021,1,1,4,23.07,60.08,0.0,1.09
2021,1,1,5,23.66,59.35,0.0,1.71
2021,1,1,6,23.85,60.78,0.0,1.92
2021,1,1,7,23.84,62.34,0.0,1.87
2021,1,1,8,23.67,63.11,0.0,1.74
2021,1,1,9,23.28,65.1,0.0,1.65
2021,1,1,10,22.24,72.45,0.0,1.63
2021,1,1,11,20.4,74.58,0.0,1.97
2021,1,1,12,19.66,75.45,0.0,2.11
2021,1,1,13,19.18,76.53,0.0,2.05
2021,1,1,14,18.75,78.19,0.0,1.95
2021,1,1,15,18.17,81.4,0.0,1.94
2021,1,1,16,17.37,86.1,0.0,2.07
2021,1,1,17,16.56,91.05,0.0,2.2
2021,1,1,18,15.86,94.94,0.0,2.27
2021,1,1,19,15.23,98.37,0.0,2.34
2021,1,1,20,14.73,100.0,0.0,2.39
2021,1,1,21,14.48,100.0,0.0,2.26
2021,1,1,22,14.48,100.0,0.0,1.97
2021,1,1,23,14.52,99.35,0.0,1.73
2021,1,2,0,14.51,98.4,0.0,1.5
2021,1,2,1,15.95,91.99,0.0,1.27
2021,1,2,2,17.79,86.5,0.0,0.83
2021,1,2,3,20.79,71.24,0.0,0.36
2021,1,2,4,22.58,60.58,0.0,0.42
2021,1,2,5,23.18,59.71,0.0,1.31
2021,1,2,6,23.45,60.02,0.0,1.82
2021,1,2,7,23.47,60.91,0.0,2.1
2021,1,2,8,23.24,62.08,0.0,2.16
2021,1,2,9,22.8,64.49,0.0,2.08
2021,1,2,10,21.71,73.22,0.0,1.95
2021,1,2,11,19.78,78.6,0.0,2.22
2021,1,2,12,19.02,80.11,0.0,2.37
2021,1,2,13,18.52,81.7,0.0,2.35
2021,1,2,14,18.26,83.05,0.0,2.17
2021,1,2,15,17.95,84.67,0.0,1.95
2021,1,2,16,17.4,87.4,0.0,1.75
2021,1,2,17,16.82,90.14,0.0,1.51
2021,1,2,18,16.33,92.36,0.0,1.28
2021,1,2,19,15.9,94.37,0.0,1.15
2021,1,2,20,15.46,96.59,0.0,1.15
2021,1,2,21,15.04,98.48,0.0,1.2
2021,1,2,22,14.75,98.94,0.0,1.23
2021,1,2,23,14.54,98.6,0.0,1.23
2021,1,3,0,14.4,98.01,0.0,1.25
2021,1,3,1,15.57,92.61,0.0,1.2
2021,1,3,2,17.35,87.05,0.0,1.11
2021,1,3,3,20.06,75.25,0.0,0.78
2021,1,3,4,22.32,64.69,0.0,0.77
2021,1,3,5,23.19,61.01,0.0,0.67
2021,1,3,6,23.53,60.91,0.0,0.8
2021,1,3,7,23.95,60.69,0.0,1.06
2021,1,3,8,24.12,59.03,0.0,1.25
2021,1,3,9,23.97,60.24,0.0,1.36
2021,1,3,10,22.97,68.2,0.0,1.23
2021,1,3,11,21.49,68.99,0.0,1.26
2021,1,3,12,20.74,69.27,0.0,1.45
2021,1,3,13,20.04,69.36,0.0,1.72
2021,1,3,14,19.41,71.93,0.0,1.78
2021,1,3,15,18.78,74.68,0.0,1.75
2021,1,3,16,18.05,77.95,0.0,1.77
2021,1,3,17,17.3,81.39,0.0,1.85
2021,1,3,18,16.67,84.18,0.0,1.91
2021,1,3,19,16.17,86.28,0.0,1.91
2021,1,3,20,15.76,87.84,0.0,1.91
2021,1,3,21,15.49,88.83,0.0,1.88
2021,1,3,22,15.33,89.23,0.0,1.81
2021,1,3,23,15.23,89.22,0.0,1.7
