YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,12.66,100.0,0.02,3.09
2021,1,1,1,14.72,97.05,0.03,2.94
2021,1,1,2,16.55,89.63,0.0,2.85
2021,1,1,3,19.15,77.66,0.0,2.43
2021,1,1,4,21.63,66.42,0.0,2.52
2021,1,1,5,22.39,65.6,0.0,2.37
2021,1,1,6,22.8,65.08,0.0,2.37
2021,1,1,7,22.95,65.0,0.0,2.36
2021,1,1,8,22.85,65.58,0.0,2.3
2021,1,1,9,22.44,68.4,0.0,2.26
2021,1,1,10,21.16,79.15,0.0,1.95
2021,1,1,11,19.34,79.15,0.0,2.09
2021,1,1,12,18.83,78.64,0.0,2.06
2021,1,1,13,18.42,77.52,0.0,2.15
2021,1,1,14,17.85,78.17,0.0,2.36
2021,1,1,15,17.07,81.14,0.0,2.6
2021,1,1,16,16.23,84.8,0.0,2.89
2021,1,1,17,15.48,88.32,0.0,3.14
2021,1,1,18,14.84,91.74,0.0,3.36
2021,1,1,19,14.28,95.4,0.0,3.51
2021,1,1,20,13.78,99.14,0.0,3.6
2021,1,1,21,13.33,100.0,0.0,3.55
2021,1,1,22,12.92,100.0,0.0,3.39
2021,1,1,23,12.64,100.0,0.0,3.2
2021,1,2,0,12.58,100.0,0.0,2.96
2021,1,2,1,14.71,97.02,0.0,2.56
2021,1,2,2,16.64,89.38,0.0,2.23
2021,1,2,3,19.35,75.61,0.0,1.88
2021,1,2,4,21.42,65.79,0.0,1.76
2021,1,2,5,22.18,65.09,0.0,1.53
2021,1,2,6,22.6,64.39,0.0,1.81
2021,1,2,7,22.79,63.78,0.0,2.2
2021,1,2,8,22.69,64.36,0.0,2.47
2021,1,2,9,22.24,67.87,0.0,2.49
2021,1,2,10,20.89,80.35,0.0,2.06
2021,1,2,11,18.98,82.12,0.0,2.42
2021,1,2,12,18.5,81.87,0.0,2.59
2021,1,2,13,18.04,81.88,0.0,2.7
2021,1,2,14,17.48,82.4,0.0,2.68
2021,1,2,15,16.87,84.71,0.0,2.68
2021,1,2,16,16.22,87.66,0.0,2.74
2021,1,2,17,15.62,90.61,0.0,2.79
2021,1,2,18,15.07,93.38,0.0,2.8
2021,1,2,19,14.52,96.42,0.0,2.82
2021,1,2,20,14.0,99.5,0.0,2.91
2021,1,2,21,13.52,100.0,0.0,3.01
2021,1,2,22,13.15,100.0,0.0,3.0
2021,1,2,23,12.87,100.0,0.0,2.95
2021,1,3,0,12.75,100.0,0.0,2.97
2021,1,3,1,14.83,97.02,0.0,2.88
2021,1,3,2,16.72,90.0,0.0,2.78
2021,1,3,3,19.33,77.17,0.0,2.25
2021,1,3,4,21.5,67.51,0.0,2.2
2021,1,3,5,22.42,66.3,0.0,2.09
2021,1,3,6,22.91,66.07,0.0,2.25
2021,1,3,7,23.16,65.93,0.0,2.48
2021,1,3,8,23.12,66.5,0.0,2.59
2021,1,3,9,22.72,69.68,0.0,2.4
2021,1,3,10,21.44,80.92,0.0,1.85
2021,1,3,11,19.88,78.48,0.0,1.93
2021,1,3,12,19.44,78.01,0.0,1.83
2021,1,3,13,19.07,77.23,0.0,1.84
2021,1,3,14,18.62,77.05,0.0,1.94
2021,1,3,15,18.07,78.84,0.0,2.02
2021,1,3,16,17.48,81.58,0.0,2.07
2021,1,3,17,16.88,84.73,0.0,2.15
2021,1,3,18,16.29,88.04,0.0,2.22
2021,1,3,19,15.67,91.86,0.0,2.35
2021,1,3,20,15.05,96.04,0.0,2.51
2021,1,3,21,14.61,99.29,0.0,2.56
2021,1,3,22,14.35,100.0,0.0,2.5
2021,1,3,23,14.19,100.0,0.0,2.39
2021,1,4,0,14.17,100.0,0.0,2.22
2021,1,4,1,15.76,95.1,0.0,1.95
2021,1,4,2,17.63,88.28,0.0,1.79
2021,1,4,3,20.06,78.06,0.0,1.56
2021,1,4,4,22.49,67.21,0.0,2.02
2021,1,4,5,23.38,65.17,0.0,2.43
2021,1,4,6,23.96,63.45,0.0,2.84
2021,1,4,7,24.25,62.98,0.0,3.16
2021,1,4,8,24.23,63.97,0.0,3.24
2021,1,4,9,23.72,68.2,0.0,2.82
2021,1,4,10,22.25,79.51,0.0,2.18
2021,1,4,11,20.54,78.46,0.0,2.0
2021,1,4,12,20.37,76.05,0.0,1.63
2021,1,4,13,19.97,76.48,0.0,1.27
2021,1,4,14,19.51,76.24,0.0,1.39
2021,1,4,15,18.87,78.02,0.0,1.76
2021,1,4,16,18.09,81.84,0.0,2.02
2021,1,4,17,17.37,85.7,0.0,2.23
2021,1,4,18,16.67,89.74,0.25,2.4
2021,1,4,19,16.0,93.89,0.25,2.59
2021,1,4,20,15.4,98.09,0.25,2.76
2021,1,4,21,14.93,100.0,0.0,2.88
2021,1,4,22,14.57,100.0,0.0,2.9
2021,1,4,23,14.33,100.0,0.0,2.85
2021,1,5,0,14.32,100.0,0.0,2.69
2021,1,5,1,16.21,96.88,0.0,2.35
2021,1,5,2,18.06,90.35,0.0,2.29
2021,1,5,3,20.26,81.57,0.0,2.19
2021,1,5,4,22.66,69.39,0.0,2.92
2021,1,5,5,23.49,68.31,0.0,3.06
2021,1,5,6,24.05,67.37,0.0,3.27
2021,1,5,7,24.41,66.39,0.0,3.44
2021,1,5,8,24.4,67.28,0.0,3.46
2021,1,5,9,23.97,70.8,0.0,3.11
2021,1,5,10,22.62,82.0,0.0,2.18
2021,1,5,11,20.85,82.75,0.0,2.08
2021,1,5,12,20.52,81.61,0.0,1.86
2021,1,5,13,20.25,82.0,0.0,1.65
2021,1,5,14,19.87,82.23,0.0,1.65
2021,1,5,15,19.28,83.66,0.0,1.85
2021,1,5,16,18.48,87.58,0.0,2.1
2021,1,5,17,17.75,91.53,0.0,2.32
2021,1,5,18,17.24,94.27,0.0,2.44
2021,1,5,19,16.67,97.13,0.0,2.6
2021,1,5,20,16.02,100.0,0.0,2.83
2021,1,5,21,15.42,100.0,0.0,2.99
2021,1,5,22,15.07,100.0,0.0,2.99
2021,1,5,23,14.86,100.0,0.0,2.94
2021,1,6,0,14.78,100.0,0.0,2.89
2021,1,6,1,16.93,95.98,0.0,2.74
2021,1,6,2,18.77,89.39,0.0,2.55
2021,1,6,3,21.2,78.44,0.0,2.24
2021,1,6,4,23.41,68.19,0.0,2.6
2021,1,6,5,24.21,67.19,0.0,2.47
2021,1,6,6,24.8,65.69,0.0,2.43
2021,1,6,7,25.23,64.21,0.0,2.35
2021,1,6,8,25.32,64.37,0.0,2.19
2021,1,6,9,24.93,67.48,0.0,1.99
