YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,9.85,93.48,0.0,2.36
2021,1,1,1,11.13,91.03,0.0,2.04
2021,1,1,2,13.51,79.9,0.0,2.38
2021,1,1,3,15.92,74.16,0.0,1.89
2021,1,1,4,19.42,62.39,0.0,1.94
2021,1,1,5,21.67,56.68,0.0,1.95
2021,1,1,6,22.55,55.48,0.0,1.74
2021,1,1,7,22.9,55.52,0.0,1.65
2021,1,1,8,22.8,56.69,0.0,1.66
2021,1,1,9,22.27,60.56,0.0,1.76
2021,1,1,10,20.57,76.41,0.0,1.57
2021,1,1,11,18.4,74.19,0.0,2.02
2021,1,1,12,17.34,75.68,0.0,2.33
2021,1,1,13,16.5,77.54,0.0,2.55
2021,1,1,14,15.77,79.56,0.0,2.67
2021,1,1,15,15.02,82.46,0.0,2.74
2021,1,1,16,14.25,85.58,0.0,2.81
2021,1,1,17,13.52,88.39,0.0,2.85
2021,1,1,18,12.85,90.27,0.0,2.88
2021,1,1,19,12.17,91.55,0.0,2.93
2021,1,1,20,11.52,91.86,0.0,2.98
2021,1,1,21,10.91,91.8,0.0,2.92
2021,1,1,22,10.51,91.5,0.0,2.7
2021,1,1,23,10.32,91.03,0.0,2.4
2021,1,2,0,10.21,91.49,0.0,2.11
2021,1,2,1,11.55,90.54,0.0,1.79
2021,1,2,2,13.92,80.13,0.0,2.08
2021,1,2,3,16.53,72.18,0.0,1.9
2021,1,2,4,19.81,61.29,0.0,1.93
2021,1,2,5,21.6,58.15,0.0,1.55
2021,1,2,6,22.35,56.32,0.0,1.23
2021,1,2,7,22.72,55.25,0.0,1.11
2021,1,2,8,22.65,55.79,0.0,1.27
2021,1,2,9,22.13,59.32,0.0,1.32
2021,1,2,10,20.71,72.73,0.0,1.17
2021,1,2,11,19.03,68.04,0.0,1.48
2021,1,2,12,18.3,67.43,0.0,1.57
2021,1,2,13,17.85,67.02,0.0,1.52
2021,1,2,14,17.28,67.68,0.0,1.51
2021,1,2,15,16.61,69.75,0.0,1.81
2021,1,2,16,15.67,73.32,0.0,2.16
2021,1,2,17,14.87,76.3,0.0,2.33
2021,1,2,18,14.31,79.07,0.0,2.35
2021,1,2,19,13.77,82.07,0.0,2.42
2021,1,2,20,13.09,84.92,0.0,2.48
2021,1,2,21,12.64,86.9,0.0,2.41
2021,1,2,22,12.46,87.96,0.0,2.23
2021,1,2,23,12.39,88.19,0.0,1.94
2021,1,3,0,12.35,88.71,0.0,1.65
2021,1,3,1,13.3,89.67,0.0,1.49
2021,1,3,2,15.61,80.84,0.0,1.92
2021,1,3,3,17.97,74.32,0.0,1.8
2021,1,3,4,21.26,61.89,0.0,2.23
