YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,11.48,100.0,0.0,2.35
2021,1,1,1,13.51,96.71,0.05,2.13
2021,1,1,2,15.59,89.44,0.0,2.0
2021,1,1,3,18.46,79.31,0.0,1.6
2021,1,1,4,21.59,65.19,0.0,1.64
2021,1,1,5,22.48,63.4,0.0,1.58
2021,1,1,6,22.97,61.93,0.0,1.67
2021,1,1,7,23.2,61.24,0.0,1.7
2021,1,1,8,23.08,61.83,0.0,1.72
2021,1,1,9,22.6,65.21,0.0,1.78
2021,1,1,10,21.22,77.95,0.0,1.51
2021,1,1,11,19.4,74.98,0.0,1.82
2021,1,1,12,18.59,75.37,0.0,2.04
2021,1,1,13,17.79,77.54,0.0,2.25
2021,1,1,14,16.96,80.25,0.0,2.49
2021,1,1,15,16.1,83.45,0.0,2.71
2021,1,1,16,15.27,87.09,0.0,2.89
2021,1,1,17,14.58,90.56,0.0,3.01
2021,1,1,18,13.97,94.01,0.0,3.1
2021,1,1,19,13.38,97.46,0.0,3.17
2021,1,1,20,12.8,100.0,0.0,3.2
2021,1,1,21,12.31,100.0,0.0,3.13
2021,1,1,22,11.87,100.0,0.0,3.0
2021,1,1,23,11.52,100.0,0.0,2.75
2021,1,2,0,11.53,100.0,0.0,2.38
2021,1,2,1,13.72,96.94,0.0,1.86
2021,1,2,2,15.83,89.7,0.0,1.31
2021,1,2,3,18.83,78.16,0.0,1.03
2021,1,2,4,21.51,65.8,0.0,1.0
2021,1,2,5,22.41,63.29,0.0,1.07
2021,1,2,6,22.86,63.09,0.0,1.42
2021,1,2,7,23.04,62.52,0.0,1.7
2021,1,2,8,22.87,62.96,0.0,1.78
2021,1,2,9,22.31,67.27,0.0,1.7
2021,1,2,10,21.07,77.91,0.0,1.56
2021,1,2,11,19.47,77.29,0.0,1.88
2021,1,2,12,18.63,78.34,0.0,2.1
2021,1,2,13,17.77,79.31,0.0,2.26
2021,1,2,14,17.03,80.86,0.0,2.36
2021,1,2,15,16.17,84.0,0.0,2.56
