YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,8.5,87.75,0.0,2.87
2021,1,1,1,10.21,83.35,0.0,2.61
2021,1,1,2,12.84,69.99,0.0,3.26
2021,1,1,3,15.49,64.88,0.0,2.3
2021,1,1,4,19.85,48.56,0.0,2.51
2021,1,1,5,22.74,38.17,0.0,2.98
2021,1,1,6,23.75,37.24,0.0,2.96
2021,1,1,7,24.19,37.35,0.0,3.04
2021,1,1,8,24.01,38.54,0.0,3.12
2021,1,1,9,23.12,43.96,0.0,2.87
2021,1,1,10,20.67,63.86,0.0,2.23
2021,1,1,11,17.28,68.81,0.0,2.65
2021,1,1,12,16.03,70.2,0.0,2.75
2021,1,1,13,15.23,71.78,0.0,2.75
2021,1,1,14,14.59,72.79,0.0,2.69
2021,1,1,15,14.1,73.15,0.0,2.57
2021,1,1,16,13.63,73.35,0.0,2.45
2021,1,1,17,13.02,74.39,0.0,2.43
2021,1,1,18,12.21,76.06,0.0,2.5
2021,1,1,19,11.42,78.32,0.0,2.64
2021,1,1,20,10.7,80.37,0.0,2.76
2021,1,1,21,10.1,81.68,0.0,2.84
2021,1,1,22,9.64,82.76,0.0,2.81
2021,1,1,23,9.28,83.3,0.0,2.71
2021,1,2,0,9.0,83.67,0.0,2.56
2021,1,2,1,10.61,83.92,0.0,2.08
2021,1,2,2,13.47,68.3,0.0,2.48
2021,1,2,3,15.96,63.56,0.0,1.92
2021,1,2,4,20.2,47.56,0.0,2.24
2021,1,2,5,22.16,42.25,0.0,2.5
2021,1,2,6,22.97,41.1,0.0,2.66
2021,1,2,7,23.36,40.78,0.0,2.74
2021,1,2,8,23.27,41.32,0.0,2.79
2021,1,2,9,22.51,45.92,0.0,2.47
2021,1,2,10,20.41,65.85,0.0,1.83
2021,1,2,11,18.15,62.29,0.0,1.98
2021,1,2,12,17.47,60.91,0.0,1.89
2021,1,2,13,16.96,61.08,0.0,1.79
2021,1,2,14,16.48,61.6,0.0,1.7
2021,1,2,15,15.87,63.24,0.0,1.68
2021,1,2,16,15.24,65.09,0.0,1.69
2021,1,2,17,14.61,67.18,0.0,1.65
2021,1,2,18,14.18,68.45,0.0,1.48
2021,1,2,19,13.68,70.07,0.0,1.43
2021,1,2,20,13.1,72.11,0.0,1.51
2021,1,2,21,12.58,74.05,0.0,1.66
2021,1,2,22,11.75,78.23,0.0,1.87
2021,1,2,23,11.21,80.76,0.0,1.94
2021,1,3,0,11.15,81.01,0.0,1.77
2021,1,3,1,12.36,82.96,0.0,1.44
2021,1,3,2,14.5,71.53,0.0,1.62
2021,1,3,3,16.94,65.73,0.0,1.19
2021,1,3,4,21.43,49.91,0.0,1.68
2021,1,3,5,23.51,44.77,0.0,2.07
2021,1,3,6,24.27,43.94,0.0,2.14
2021,1,3,7,24.74,43.46,0.0,2.03
2021,1,3,8,24.84,43.67,0.0,1.79
2021,1,3,9,24.33,46.17,0.0,1.63
2021,1,3,10,22.53,63.75,0.0,1.31
2021,1,3,11,20.35,60.05,0.0,1.66
2021,1,3,12,19.1,62.24,0.0,1.87
2021,1,3,13,17.93,66.54,0.0,2.08
2021,1,3,14,16.84,70.88,0.0,2.25
