YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,12.17,100.0,0.0,1.19
2021,1,1,1,14.01,96.59,0.0,0.93
2021,1,1,2,16.21,89.23,0.0,0.67
2021,1,1,3,19.61,75.46,0.0,0.56
2021,1,1,4,22.15,65.01,0.0,0.42
2021,1,1,5,22.94,63.62,0.0,0.87
2021,1,1,6,23.4,62.65,0.0,1.21
2021,1,1,7,23.55,62.69,0.0,1.34
2021,1,1,8,23.33,63.66,0.0,1.36
2021,1,1,9,22.77,67.06,0.0,1.36
2021,1,1,10,21.4,78.3,0.0,1.2
2021,1,1,11,19.58,75.18,0.0,1.41
2021,1,1,12,18.81,75.88,0.0,1.53
2021,1,1,13,18.12,77.33,0.0,1.64
2021,1,1,14,17.39,79.53,0.0,1.77
2021,1,1,15,16.62,82.25,0.0,1.89
2021,1,1,16,15.84,85.2,0.0,1.98
2021,1,1,17,15.13,88.13,0.0,2.02
2021,1,1,18,14.47,91.18,0.0,2.04
2021,1,1,19,13.8,94.7,0.0,2.07
2021,1,1,20,13.17,98.43,0.0,2.07
2021,1,1,21,12.84,100.0,0.0,1.92
2021,1,1,22,12.69,100.0,0.0,1.68
2021,1,1,23,12.33,100.0,0.0,1.4
2021,1,2,0,12.14,100.0,0.0,1.23
2021,1,2,1,14.22,96.99,0.0,1.22
2021,1,2,2,16.51,89.2,0.0,1.2
2021,1,2,3,19.96,73.99,0.0,0.8
2021,1,2,4,21.84,66.6,0.0,0.26
2021,1,2,5,22.69,64.4,0.0,0.5
2021,1,2,6,23.16,63.67,0.0,1.02
2021,1,2,7,23.34,62.99,0.0,1.37
2021,1,2,8,23.09,63.41,0.0,1.49
2021,1,2,9,22.42,68.27,0.0,1.37
2021,1,2,10,21.04,78.84,0.0,1.39
2021,1,2,11,19.2,79.66,0.0,1.7
2021,1,2,12,18.52,80.89,0.0,1.86
2021,1,2,13,17.86,81.28,0.0,1.94
2021,1,2,14,17.17,81.13,0.0,1.94
2021,1,2,15,16.43,83.47,0.0,2.0
2021,1,2,16,15.58,87.01,0.0,2.11
2021,1,2,17,14.97,89.51,0.0,2.08
2021,1,2,18,14.61,90.92,0.0,1.9
2021,1,2,19,14.29,92.39,0.0,1.56
2021,1,2,20,14.38,91.83,0.0,1.2
2021,1,2,21,14.33,92.52,0.0,0.97
2021,1,2,22,14.01,94.68,0.0,0.81
2021,1,2,23,13.57,97.37,0.0,0.84
2021,1,3,0,13.09,100.0,0.0,0.9
2021,1,3,1,14.22,96.1,0.0,1.02
2021,1,3,2,16.27,88.98,0.0,1.24
2021,1,3,3,19.1,78.53,0.0,0.74
2021,1,3,4,21.62,67.91,0.0,0.55
2021,1,3,5,22.53,66.05,0.0,0.61
2021,1,3,6,23.17,64.15,0.0,0.78
2021,1,3,7,23.52,63.42,0.0,0.91
2021,1,3,8,23.55,63.49,0.0,0.88
2021,1,3,9,23.15,65.41,0.0,0.8
2021,1,3,10,22.23,71.9,0.0,0.66
2021,1,3,11,20.82,68.14,0.0,0.88
2021,1,3,12,19.62,72.17,0.0,1.17
2021,1,3,13,18.38,76.49,0.0,1.33
2021,1,3,14,17.66,78.38,0.0,1.39
2021,1,3,15,17.05,80.16,0.0,1.39
2021,1,3,16,16.5,81.9,0.0,1.33
2021,1,3,17,15.94,84.06,0.0,1.25
2021,1,3,18,15.33,86.84,0.0,1.22
2021,1,3,19,14.75,89.85,0.0,1.18
2021,1,3,20,14.24,92.75,0.0,1.15
2021,1,3,21,13.73,95.87,0.0,1.17
2021,1,3,22,13.24,98.91,0.0,1.26
2021,1,3,23,12.95,100.0,0.0,1.37
2021,1,4,0,12.74,100.0,0.0,1.43
2021,1,4,1,14.33,95.35,0.0,1.41
2021,1,4,2,16.53,87.57,0.0,1.48
2021,1,4,3,19.45,78.09,0.0,0.75
2021,1,4,4,22.53,63.87,0.0,0.73
2021,1,4,5,23.6,61.84,0.0,1.16
2021,1,4,6,24.16,61.64,0.0,1.51
2021,1,4,7,24.47,61.75,0.0,1.71
2021,1,4,8,24.42,62.74,0.0,1.82
2021,1,4,9,23.86,67.51,0.0,1.63
2021,1,4,10,22.39,76.4,0.0,1.37
2021,1,4,11,20.29,74.09,0.0,1.37
2021,1,4,12,19.52,74.65,0.0,1.29
2021,1,4,13,18.88,75.74,0.0,1.27
2021,1,4,14,17.99,78.72,0.0,1.45
2021,1,4,15,17.5,80.32,0.0,1.61
2021,1,4,16,16.66,83.77,0.0,1.52
2021,1,4,17,16.1,86.09,0.0,1.43
2021,1,4,18,15.56,88.56,0.0,1.37
2021,1,4,19,14.98,91.52,0.0,1.36
2021,1,4,20,14.48,94.3,0.0,1.46
2021,1,4,21,14.04,96.91,0.0,1.59
2021,1,4,22,13.51,100.0,0.0,1.67
2021,1,4,23,13.09,100.0,0.0,1.73
2021,1,5,0,12.82,100.0,0.0,1.76
2021,1,5,1,14.67,96.18,0.0,1.57
2021,1,5,2,16.94,88.49,0.0,1.44
2021,1,5,3,19.76,79.89,0.0,1.07
2021,1,5,4,22.54,67.78,0.0,1.59
2021,1,5,5,23.6,65.48,0.0,1.64
2021,1,5,6,24.34,63.46,0.0,1.77
2021,1,5,7,24.69,63.08,0.0,1.88
2021,1,5,8,24.65,63.86,0.0,1.87
2021,1,5,9,24.21,67.34,0.0,1.54
2021,1,5,10,23.07,73.66,0.0,1.05
2021,1,5,11,21.82,68.66,0.0,0.99
2021,1,5,12,20.8,71.35,0.0,1.13
2021,1,5,13,19.48,76.32,0.0,1.31
2021,1,5,14,18.75,78.48,0.0,1.52
2021,1,5,15,18.13,80.75,0.0,1.67
2021,1,5,16,17.34,84.14,0.0,1.73
2021,1,5,17,16.73,86.87,0.0,1.67
2021,1,5,18,16.2,89.23,0.0,1.56
2021,1,5,19,15.55,92.54,0.0,1.58
2021,1,5,20,14.9,95.89,0.0,1.64
2021,1,5,21,14.46,98.34,0.0,1.62
2021,1,5,22,14.18,99.74,0.0,1.6
2021,1,5,23,13.83,100.0,0.0,1.66
2021,1,6,0,13.54,100.0,0.0,1.78
2021,1,6,1,15.6,94.35,0.0,1.71
2021,1,6,2,17.95,85.92,0.0,1.77
2021,1,6,3,20.85,76.83,0.0,1.11
2021,1,6,4,23.51,66.23,0.0,1.54
2021,1,6,5,24.56,64.54,0.0,1.56
2021,1,6,6,25.3,63.21,0.0,1.52
2021,1,6,7,25.74,62.52,0.0,1.42
2021,1,6,8,25.79,62.87,0.0,1.23
2021,1,6,9,25.36,66.0,0.0,1.05
2021,1,6,10,24.17,72.82,0.0,0.89
2021,1,6,11,22.29,71.96,0.0,1.09
2021,1,6,12,21.01,75.81,0.0,1.47
2021,1,6,13,19.89,79.84,0.0,1.91
2021,1,6,14,18.76,84.29,0.0,2.22
2021,1,6,15,18.2,85.63,0.0,2.24
2021,1,6,16,18.09,84.98,0.0,2.05
2021,1,6,17,18.1,84.07,0.0,1.74
2021,1,6,18,17.85,84.68,0.0,1.44
2021,1,6,19,17.48,86.33,0.0,1.46
2021,1,6,20,16.77,89.93,0.0,1.71
2021,1,6,21,16.09,93.53,0.0,1.88
2021,1,6,22,15.6,96.26,0.0,1.91
2021,1,6,23,15.13,98.79,0.0,1.97
2021,1,7,0,14.73,100.0,0.0,2.03
