YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,8.45,84.74,0.0,2.61
2021,1,1,1,9.7,84.67,0.0,2.16
2021,1,1,2,12.54,69.74,0.0,2.66
2021,1,1,3,14.72,66.07,0.0,2.03
2021,1,1,4,18.01,60.53,0.0,1.63
2021,1,1,5,21.39,49.08,0.0,1.86
2021,1,1,6,22.85,47.4,0.0,1.5
2021,1,1,7,23.26,47.94,0.0,1.05
2021,1,1,8,23.22,48.92,0.0,0.97
2021,1,1,9,22.63,52.9,0.0,1.12
2021,1,1,10,20.86,67.47,0.0,1.09
2021,1,1,11,18.61,64.34,0.0,1.41
2021,1,1,12,17.38,66.38,0.0,1.65
2021,1,1,13,16.21,69.52,0.0,1.89
2021,1,1,14,15.05,72.74,0.0,2.13
2021,1,1,15,13.87,76.19,0.0,2.39
2021,1,1,16,12.76,79.19,0.0,2.63
2021,1,1,17,11.9,80.55,0.0,2.79
2021,1,1,18,11.18,80.84,0.0,2.89
2021,1,1,19,10.55,80.74,0.0,2.98
2021,1,1,20,9.97,80.62,0.0,2.99
2021,1,1,21,9.43,81.25,0.0,2.88
2021,1,1,22,9.07,81.57,0.0,2.65
2021,1,1,23,8.92,80.73,0.0,2.34
2021,1,2,0,8.94,78.97,0.0,2.03
2021,1,2,1,10.06,81.98,0.0,1.62
2021,1,2,2,12.76,67.53,0.0,1.75
2021,1,2,3,14.94,63.31,0.0,1.42
2021,1,2,4,18.5,55.71,0.0,1.22
2021,1,2,5,21.67,47.48,0.0,1.27
2021,1,2,6,22.64,46.93,0.0,0.77
2021,1,2,7,23.07,46.65,0.0,0.53
2021,1,2,8,22.97,47.7,0.0,0.9
2021,1,2,9,22.36,51.74,0.0,1.0
2021,1,2,10,20.76,65.12,0.0,1.0
2021,1,2,11,18.77,61.24,0.0,1.36
2021,1,2,12,17.93,61.69,0.0,1.42
2021,1,2,13,17.76,60.16,0.0,1.18
2021,1,2,14,17.67,59.15,0.0,0.75
2021,1,2,15,17.04,61.38,0.0,0.8
2021,1,2,16,16.13,64.75,0.0,1.28
2021,1,2,17,15.28,67.6,0.0,1.6
2021,1,2,18,14.51,71.3,0.0,1.8
2021,1,2,19,13.64,75.11,0.0,2.0
2021,1,2,20,12.73,77.5,0.0,2.16
2021,1,2,21,12.35,78.89,0.0,2.11
2021,1,2,22,12.23,78.63,0.0,1.92
2021,1,2,23,12.25,76.97,0.0,1.62
2021,1,3,0,12.26,75.4,0.0,1.29
2021,1,3,1,12.77,78.68,0.0,1.05
2021,1,3,2,14.81,72.81,0.0,1.42
2021,1,3,3,16.78,68.53,0.0,1.47
2021,1,3,4,20.53,56.1,0.0,1.44
2021,1,3,5,22.99,48.91,0.0,1.34
2021,1,3,6,23.8,48.2,0.0,0.96
2021,1,3,7,24.16,48.34,0.0,0.65
2021,1,3,8,24.09,49.42,0.0,0.37
2021,1,3,9,23.56,52.5,0.0,0.22
2021,1,3,10,22.19,63.63,0.0,0.42
2021,1,3,11,20.52,60.36,0.0,0.5
2021,1,3,12,19.64,61.61,0.0,0.58
2021,1,3,13,18.83,63.57,0.0,0.8
2021,1,3,14,17.92,66.53,0.0,1.2
2021,1,3,15,16.74,71.36,0.0,1.6
2021,1,3,16,15.81,75.36,0.0,1.89
2021,1,3,17,14.98,79.46,0.0,2.05
2021,1,3,18,14.37,83.23,0.0,2.05
2021,1,3,19,13.82,87.06,0.0,2.02
2021,1,3,20,13.41,90.65,0.0,1.9
2021,1,3,21,13.2,93.16,0.0,1.7
2021,1,3,22,13.19,94.43,0.0,1.46
2021,1,3,23,13.04,96.28,0.0,1.34
2021,1,4,0,12.76,98.8,0.0,1.37
2021,1,4,1,13.73,95.49,0.0,1.41
2021,1,4,2,16.2,85.97,0.0,1.93
2021,1,4,3,18.86,76.93,0.0,2.04
2021,1,4,4,22.08,63.03,0.0,2.66
2021,1,4,5,23.57,58.41,0.0,2.52
2021,1,4,6,24.46,55.92,0.0,2.02
2021,1,4,7,25.02,54.23,0.0,1.37
2021,1,4,8,25.12,53.98,0.0,0.84
2021,1,4,9,24.65,55.86,0.0,0.63
2021,1,4,10,23.23,66.84,0.0,0.46
2021,1,4,11,21.46,64.77,0.0,0.56
2021,1,4,12,20.28,68.06,0.0,0.65
2021,1,4,13,19.44,70.46,0.0,0.81
