YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,10.39,100.0,0.0,2.92
2021,1,1,1,12.52,93.94,0.19,2.87
2021,1,1,2,14.76,85.4,0.0,3.02
2021,1,1,3,17.43,77.98,0.0,2.31
2021,1,1,4,21.14,60.91,0.0,2.72
2021,1,1,5,22.37,58.11,0.0,2.68
2021,1,1,6,22.9,57.29,0.0,2.7
2021,1,1,7,23.16,56.8,0.0,2.72
2021,1,1,8,23.01,57.86,0.0,2.7
2021,1,1,9,22.41,61.58,0.0,2.62
2021,1,1,10,20.58,77.3,0.0,2.04
2021,1,1,11,17.9,79.38,0.0,2.47
2021,1,1,12,16.94,80.29,0.0,2.66
2021,1,1,13,16.21,81.43,0.0,2.79
2021,1,1,14,15.54,83.11,0.0,2.92
2021,1,1,15,14.93,84.75,0.0,3.0
2021,1,1,16,14.34,86.75,0.0,3.04
2021,1,1,17,13.81,88.76,0.0,3.08
2021,1,1,18,13.29,90.55,0.0,3.14
2021,1,1,19,12.7,92.68,0.0,3.23
2021,1,1,20,12.2,94.49,0.0,3.28
2021,1,1,21,11.73,96.52,0.0,3.27
2021,1,1,22,11.28,98.98,0.0,3.19
2021,1,1,23,10.86,100.0,0.0,3.04
2021,1,2,0,10.55,100.0,0.0,2.83
2021,1,2,1,12.8,95.28,0.0,2.5
2021,1,2,2,15.2,86.57,0.0,2.39
2021,1,2,3,18.08,77.71,0.0,1.86
2021,1,2,4,21.16,64.78,0.0,2.08
2021,1,2,5,22.25,61.75,0.0,2.01
2021,1,2,6,22.84,59.92,0.0,2.24
2021,1,2,7,22.97,59.58,0.0,2.44
2021,1,2,8,22.75,60.63,0.0,2.48
2021,1,2,9,22.11,64.77,0.0,2.31
2021,1,2,10,20.51,78.71,0.0,1.87
2021,1,2,11,18.29,80.07,0.0,2.26
2021,1,2,12,17.24,80.34,0.0,2.45
2021,1,2,13,16.49,80.85,0.0,2.54
2021,1,2,14,15.85,82.16,0.0,2.56
2021,1,2,15,15.14,84.48,0.0,2.71
2021,1,2,16,14.45,87.62,0.0,2.88
2021,1,2,17,13.88,90.79,0.0,2.96
2021,1,2,18,13.43,93.46,0.0,2.95
2021,1,2,19,13.01,95.7,0.0,2.87
2021,1,2,20,12.59,97.8,0.0,2.84
2021,1,2,21,12.19,99.6,0.0,2.79
2021,1,2,22,11.78,100.0,0.0,2.76
2021,1,2,23,11.42,100.0,0.0,2.78
2021,1,3,0,11.18,100.0,0.0,2.71
2021,1,3,1,13.35,94.22,0.0,2.49
2021,1,3,2,15.47,85.69,0.0,2.62
2021,1,3,3,17.64,80.1,0.0,1.84
2021,1,3,4,21.13,65.07,0.0,2.06
2021,1,3,5,22.6,61.18,0.0,2.08
2021,1,3,6,23.38,59.08,0.0,2.19
2021,1,3,7,23.81,58.16,0.0,2.2
2021,1,3,8,23.84,58.51,0.0,2.01
2021,1,3,9,23.43,61.45,0.0,1.82
2021,1,3,10,21.93,74.05,0.0,1.48
2021,1,3,11,19.88,72.78,0.0,1.81
2021,1,3,12,18.71,75.95,0.0,2.09
2021,1,3,13,17.73,79.38,0.0,2.32
2021,1,3,14,16.85,82.01,0.0,2.54
2021,1,3,15,16.1,84.8,0.0,2.65
2021,1,3,16,15.46,87.8,0.0,2.64
2021,1,3,17,14.92,90.61,0.0,2.6
2021,1,3,18,14.45,93.29,0.0,2.49
2021,1,3,19,14.04,95.78,0.0,2.39
2021,1,3,20,13.67,98.11,0.0,2.28
2021,1,3,21,13.36,100.0,0.0,2.22
2021,1,3,22,13.13,100.0,0.0,2.15
2021,1,3,23,12.94,100.0,0.0,2.06
2021,1,4,0,12.85,100.0,0.0,1.94
2021,1,4,1,14.5,96.35,0.0,1.66
2021,1,4,2,16.76,87.91,0.0,1.57
2021,1,4,3,19.5,78.8,0.0,1.27
2021,1,4,4,22.69,63.34,0.0,1.85
2021,1,4,5,23.87,59.67,0.0,2.08
2021,1,4,6,24.54,57.57,0.0,2.27
2021,1,4,7,24.95,56.53,0.0,2.47
2021,1,4,8,24.97,57.39,0.0,2.59
2021,1,4,9,24.4,60.89,0.0,2.44
2021,1,4,10,22.53,75.79,0.0,1.93
2021,1,4,11,20.23,75.67,0.0,2.1
2021,1,4,12,19.52,75.87,0.0,2.01
2021,1,4,13,18.92,77.26,0.0,1.94
2021,1,4,14,18.12,79.95,0.0,2.03
2021,1,4,15,17.29,83.77,0.0,2.17
2021,1,4,16,16.56,87.99,0.0,2.27
2021,1,4,17,15.85,92.31,0.0,2.38
2021,1,4,18,15.22,96.19,3.46,2.51
