YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,11.59,100.0,0.0,2.03
2021,1,1,1,13.92,97.34,0.01,1.84
2021,1,1,2,16.23,89.37,0.0,1.67
2021,1,1,3,19.45,77.78,0.0,1.61
2021,1,1,4,22.21,65.91,0.0,1.36
2021,1,1,5,23.06,64.13,0.0,1.44
2021,1,1,6,23.46,64.03,0.0,1.56
2021,1,1,7,23.6,64.26,0.0,1.58
2021,1,1,8,23.43,64.99,0.0,1.56
2021,1,1,9,22.88,68.44,0.0,1.69
2021,1,1,10,21.35,79.99,0.0,1.6
2021,1,1,11,19.05,79.65,0.0,1.92
2021,1,1,12,18.14,80.88,0.0,2.09
2021,1,1,13,17.39,82.96,0.0,2.2
2021,1,1,14,16.64,85.41,0.0,2.33
2021,1,1,15,15.87,88.2,0.0,2.46
2021,1,1,16,15.07,91.62,0.0,2.58
2021,1,1,17,14.34,94.96,0.0,2.68
2021,1,1,18,13.68,98.29,0.0,2.73
2021,1,1,19,13.07,100.0,0.0,2.79
2021,1,1,20,12.51,100.0,0.0,2.79
2021,1,1,21,12.03,100.0,0.0,2.68
2021,1,1,22,11.68,100.0,0.0,2.49
2021,1,1,23,11.57,100.0,0.0,2.25
2021,1,2,0,11.78,100.0,0.0,1.99
2021,1,2,1,14.14,96.76,0.0,1.66
2021,1,2,2,16.43,88.76,0.0,1.27
2021,1,2,3,19.62,76.32,0.0,1.13
2021,1,2,4,21.83,67.17,0.0,0.83
2021,1,2,5,22.69,65.19,0.0,1.0
2021,1,2,6,23.23,63.26,0.0,1.47
2021,1,2,7,23.4,63.13,0.0,1.87
2021,1,2,8,23.15,64.4,0.0,2.08
2021,1,2,9,22.5,69.27,0.0,2.02
2021,1,2,10,20.86,81.2,0.0,1.92
2021,1,2,11,18.33,84.69,0.0,2.33
2021,1,2,12,17.74,86.58,0.0,2.49
2021,1,2,13,17.24,87.51,0.0,2.56
2021,1,2,14,16.36,87.95,0.0,2.62
