YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,8.46,88.09,0.0,2.96
2021,1,1,1,10.01,85.22,0.0,2.65
2021,1,1,2,12.62,72.41,0.0,3.36
2021,1,1,3,15.05,68.23,0.0,2.39
2021,1,1,4,18.78,55.78,0.0,2.33
2021,1,1,5,21.72,43.34,0.0,2.82
2021,1,1,6,22.92,41.11,0.0,2.85
2021,1,1,7,23.34,41.22,0.0,2.9
2021,1,1,8,23.16,42.66,0.0,2.95
2021,1,1,9,22.31,48.13,0.0,2.71
2021,1,1,10,19.99,68.17,0.0,2.15
2021,1,1,11,16.86,71.06,0.0,2.58
2021,1,1,12,15.67,72.26,0.0,2.74
2021,1,1,13,14.9,73.39,0.0,2.8
2021,1,1,14,14.29,74.09,0.0,2.79
2021,1,1,15,13.77,74.39,0.0,2.7
2021,1,1,16,13.24,74.78,0.0,2.64
2021,1,1,17,12.59,76.04,0.0,2.66
2021,1,1,18,11.87,77.4,0.0,2.73
2021,1,1,19,11.22,79.09,0.0,2.84
2021,1,1,20,10.61,80.32,0.0,2.91
2021,1,1,21,10.03,81.24,0.0,2.93
2021,1,1,22,9.61,81.94,0.0,2.86
2021,1,1,23,9.26,82.54,0.0,2.73
2021,1,2,0,8.99,82.98,0.0,2.56
2021,1,2,1,10.35,84.57,0.0,2.14
2021,1,2,2,13.14,70.51,0.0,2.56
2021,1,2,3,15.38,66.68,0.0,2.1
2021,1,2,4,19.34,51.96,0.0,2.22
2021,1,2,5,21.47,46.26,0.0,2.24
2021,1,2,6,22.31,45.59,0.0,2.33
2021,1,2,7,22.72,45.47,0.0,2.44
2021,1,2,8,22.68,46.44,0.0,2.48
2021,1,2,9,22.0,50.46,0.0,2.25
2021,1,2,10,20.06,69.73,0.0,1.61
2021,1,2,11,18.19,63.26,0.0,1.71
2021,1,2,12,17.55,62.11,0.0,1.63
2021,1,2,13,16.99,62.69,0.0,1.59
2021,1,2,14,16.44,63.37,0.0,1.6
2021,1,2,15,15.81,64.98,0.0,1.66
2021,1,2,16,15.15,67.03,0.0,1.73
2021,1,2,17,14.58,68.74,0.0,1.72
2021,1,2,18,14.19,69.77,0.0,1.62
2021,1,2,19,13.65,71.52,0.0,1.67
2021,1,2,20,12.93,74.29,0.0,1.82
2021,1,2,21,12.29,76.9,0.0,1.99
2021,1,2,22,11.54,80.35,0.0,2.15
2021,1,2,23,11.19,81.79,0.0,2.09
2021,1,3,0,11.17,81.47,0.0,1.87
2021,1,3,1,12.28,83.35,0.0,1.55
2021,1,3,2,14.42,73.34,0.0,1.72
2021,1,3,3,16.6,68.25,0.0,1.41
2021,1,3,4,20.64,55.03,0.0,1.69
2021,1,3,5,22.86,49.1,0.0,1.95
2021,1,3,6,23.62,48.33,0.0,1.88
2021,1,3,7,24.07,47.9,0.0,1.65
2021,1,3,8,24.12,48.47,0.0,1.32
2021,1,3,9,23.66,51.07,0.0,1.24
2021,1,3,10,22.04,67.47,0.0,1.17
2021,1,3,11,19.93,63.96,0.0,1.59
2021,1,3,12,18.66,66.95,0.0,1.85
2021,1,3,13,17.51,71.28,0.0,2.1
2021,1,3,14,16.49,75.2,0.0,2.29
2021,1,3,15,15.75,77.76,0.0,2.36
2021,1,3,16,15.21,79.38,0.0,2.33
2021,1,3,17,14.76,81.33,0.0,2.24
2021,1,3,18,14.47,82.86,0.0,2.06
2021,1,3,19,14.2,84.21,0.0,1.85
2021,1,3,20,13.83,86.25,0.0,1.7
2021,1,3,21,13.33,89.1,0.0,1.69
2021,1,3,22,12.81,92.12,0.0,1.79
2021,1,3,23,12.23,95.64,0.0,1.93
2021,1,4,0,11.72,98.88,0.0,2.05
2021,1,4,1,13.03,94.14,0.0,1.95
2021,1,4,2,15.61,82.64,0.0,2.42
2021,1,4,3,18.26,75.34,0.0,1.93
2021,1,4,4,21.98,60.68,0.0,2.07
2021,1,4,5,23.66,55.45,0.0,2.1
2021,1,4,6,24.48,53.56,0.0,2.12
2021,1,4,7,25.01,52.35,0.0,2.19
2021,1,4,8,25.07,52.89,0.0,2.29
2021,1,4,9,24.44,56.15,0.0,2.28
2021,1,4,10,22.45,74.11,0.0,1.66
2021,1,4,11,19.98,74.6,0.0,1.96
2021,1,4,12,19.09,75.33,0.0,1.96
2021,1,4,13,18.57,76.14,0.0,1.82
2021,1,4,14,18.15,76.74,0.0,1.66
2021,1,4,15,17.69,77.97,0.0,1.51
2021,1,4,16,17.31,78.97,0.0,1.42
2021,1,4,17,16.72,81.37,0.0,1.38
2021,1,4,18,16.23,83.49,0.0,1.37
2021,1,4,19,15.75,85.61,8.79,1.48
2021,1,4,20,15.2,88.09,8.79,1.66
2021,1,4,21,14.48,91.77,8.79,1.82
2021,1,4,22,13.83,95.22,0.0,1.9
2021,1,4,23,13.16,99.11,0.0,2.01
2021,1,5,0,12.48,100.0,0.0,2.14
2021,1,5,1,13.74,97.51,0.0,2.06
2021,1,5,2,16.07,88.15,0.0,2.53
2021,1,5,3,18.51,80.56,0.0,1.94
2021,1,5,4,22.2,62.96,0.0,2.11
2021,1,5,5,23.76,57.72,0.0,2.33
2021,1,5,6,24.79,55.17,0.0,2.35
2021,1,5,7,25.37,53.84,0.0,2.23
2021,1,5,8,25.48,54.08,0.0,1.97
