YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,9.16,95.29,0.0,2.75
2021,1,1,1,11.27,86.81,0.12,2.63
2021,1,1,2,13.71,75.26,0.0,2.83
2021,1,1,3,16.5,69.06,0.0,1.99
2021,1,1,4,20.85,50.61,0.0,2.56
2021,1,1,5,22.97,44.18,0.0,2.84
2021,1,1,6,23.78,43.23,0.0,2.89
2021,1,1,7,24.12,43.17,0.0,2.99
2021,1,1,8,23.93,44.34,0.0,3.08
2021,1,1,9,23.11,49.08,0.0,2.93
2021,1,1,10,20.76,67.69,0.0,2.24
2021,1,1,11,17.41,73.48,0.0,2.65
2021,1,1,12,16.32,74.43,0.0,2.7
2021,1,1,13,15.64,75.41,0.0,2.66
2021,1,1,14,15.08,76.04,0.0,2.58
2021,1,1,15,14.61,76.36,0.0,2.49
2021,1,1,16,14.15,76.67,0.0,2.41
2021,1,1,17,13.5,78.19,0.0,2.44
2021,1,1,18,12.64,80.39,0.0,2.57
2021,1,1,19,11.76,82.94,0.0,2.75
2021,1,1,20,11.04,85.01,0.0,2.89
2021,1,1,21,10.47,86.5,0.0,2.94
2021,1,1,22,9.99,87.76,0.0,2.89
2021,1,1,23,9.57,89.22,0.0,2.76
2021,1,2,0,9.29,90.56,0.0,2.57
2021,1,2,1,11.46,86.31,0.0,2.12
2021,1,2,2,14.18,73.09,0.0,2.18
2021,1,2,3,16.99,67.51,0.0,1.47
2021,1,2,4,21.06,51.55,0.0,1.96
2021,1,2,5,22.78,46.54,0.0,2.23
2021,1,2,6,23.42,45.18,0.0,2.56
2021,1,2,7,23.56,45.04,0.0,2.75
2021,1,2,8,23.22,46.06,0.0,2.9
2021,1,2,9,22.26,51.69,0.0,2.54
2021,1,2,10,20.16,69.85,0.0,2.03
2021,1,2,11,17.79,71.75,0.0,2.29
2021,1,2,12,16.8,70.6,0.0,2.32
2021,1,2,13,16.24,69.85,0.0,2.21
2021,1,2,14,15.85,69.47,0.0,2.07
2021,1,2,15,15.26,70.74,0.0,2.06
2021,1,2,16,14.6,72.64,0.0,2.09
2021,1,2,17,13.99,74.63,0.0,2.1
2021,1,2,18,13.53,76.15,0.0,2.03
2021,1,2,19,13.11,77.6,0.0,1.97
2021,1,2,20,12.57,79.7,0.0,1.96
2021,1,2,21,12.02,81.95,0.0,1.99
2021,1,2,22,11.39,85.21,0.0,2.1
2021,1,2,23,10.65,89.3,0.0,2.27
2021,1,3,0,10.37,91.05,0.0,2.27
2021,1,3,1,12.26,88.0,0.0,1.94
2021,1,3,2,14.6,76.0,0.0,2.2
2021,1,3,3,16.92,70.97,0.0,1.46
2021,1,3,4,20.96,56.67,0.0,1.67
2021,1,3,5,23.14,50.42,0.0,2.0
2021,1,3,6,24.03,48.92,0.0,2.29
2021,1,3,7,24.56,48.13,0.0,2.44
2021,1,3,8,24.59,48.84,0.0,2.36
2021,1,3,9,24.03,52.15,0.0,2.16
2021,1,3,10,22.02,70.77,0.0,1.58
2021,1,3,11,19.64,69.2,0.0,1.9
2021,1,3,12,18.63,70.52,0.0,1.99
2021,1,3,13,17.81,73.02,0.0,2.05
2021,1,3,14,16.98,75.71,0.0,2.13
2021,1,3,15,16.24,78.59,0.0,2.15
2021,1,3,16,15.65,81.34,0.0,2.07
2021,1,3,17,15.15,84.08,0.0,1.97
2021,1,3,18,14.65,87.21,0.0,1.9
2021,1,3,19,14.1,90.76,0.0,1.89
2021,1,3,20,13.57,94.14,0.0,1.88
2021,1,3,21,13.09,97.35,0.0,1.89
2021,1,3,22,12.61,100.0,0.0,1.94
2021,1,3,23,12.13,100.0,0.0,2.01
2021,1,4,0,11.78,100.0,0.0,2.01
2021,1,4,1,13.61,96.86,0.0,1.82
2021,1,4,2,16.29,85.05,0.0,1.88
2021,1,4,3,19.43,74.32,0.0,1.4
2021,1,4,4,23.23,56.23,0.0,2.0
2021,1,4,5,24.69,51.86,0.0,2.34
2021,1,4,6,25.53,49.52,0.0,2.65
2021,1,4,7,26.06,48.23,0.0,2.91
2021,1,4,8,26.08,48.71,0.0,3.07
2021,1,4,9,25.31,52.81,0.0,2.9
2021,1,4,10,22.97,71.82,0.0,2.02
2021,1,4,11,19.99,75.73,0.0,2.24
2021,1,4,12,19.34,75.04,0.0,2.03
2021,1,4,13,19.1,74.4,0.0,1.69
2021,1,4,14,18.72,75.03,0.0,1.44
2021,1,4,15,18.17,76.98,0.0,1.38
2021,1,4,16,17.54,79.69,0.0,1.43
2021,1,4,17,16.76,83.45,0.0,1.6
2021,1,4,18,15.91,87.89,1.41,1.81
2021,1,4,19,15.08,92.19,24.65,2.02
2021,1,4,20,14.3,96.33,24.65,2.22
2021,1,4,21,13.61,100.0,23.24,2.35
2021,1,4,22,13.11,100.0,0.0,2.36
2021,1,4,23,12.78,100.0,0.0,2.29
2021,1,5,0,12.59,100.0,0.0,2.16
2021,1,5,1,14.59,98.01,0.0,1.96
2021,1,5,2,16.91,90.51,0.0,2.13
2021,1,5,3,19.81,80.08,0.0,1.87
2021,1,5,4,23.23,62.59,0.0,2.61
2021,1,5,5,24.7,57.39,0.0,2.87
2021,1,5,6,25.72,54.39,0.0,3.13
2021,1,5,7,26.27,53.06,0.0,3.3
2021,1,5,8,26.35,53.24,0.0,3.29
2021,1,5,9,25.77,55.85,0.0,2.96
2021,1,5,10,23.89,70.76,0.0,1.91
2021,1,5,11,21.14,75.39,0.0,1.92
2021,1,5,12,20.32,75.15,0.0,1.83
2021,1,5,13,19.81,75.79,0.0,1.69
2021,1,5,14,19.25,77.27,0.0,1.58
2021,1,5,15,18.63,79.22,0.0,1.56
2021,1,5,16,17.99,81.46,0.0,1.57
2021,1,5,17,17.37,83.81,0.0,1.57
2021,1,5,18,16.62,87.03,0.0,1.67
2021,1,5,19,15.64,91.9,0.0,1.9
2021,1,5,20,14.7,96.92,0.0,2.12
2021,1,5,21,14.08,100.0,0.0,2.2
2021,1,5,22,13.73,100.0,0.0,2.2
2021,1,5,23,13.47,100.0,0.0,2.19
2021,1,6,0,13.27,100.0,0.0,2.14
2021,1,6,1,15.48,95.34,0.0,2.04
2021,1,6,2,17.92,85.62,0.0,1.87
2021,1,6,3,21.21,72.61,0.0,1.46
2021,1,6,4,24.51,57.06,0.0,2.18
2021,1,6,5,25.91,53.48,0.0,2.26
2021,1,6,6,26.87,51.5,0.0,2.27
2021,1,6,7,27.44,50.54,0.0,2.23
2021,1,6,8,27.59,50.75,0.0,2.09
2021,1,6,9,27.07,53.38,0.0,1.93
2021,1,6,10,25.37,67.16,0.0,1.42
2021,1,6,11,23.24,67.82,0.0,1.42
2021,1,6,12,22.44,67.94,0.0,1.26
2021,1,6,13,22.25,66.68,0.0,1.07
2021,1,6,14,21.72,67.48,0.0,0.93
2021,1,6,15,21.34,67.61,0.0,0.79
2021,1,6,16,21.26,66.29,0.0,0.63
2021,1,6,17,20.89,66.62,0.0,0.54
2021,1,6,18,20.55,66.95,0.0,0.45
2021,1,6,19,20.15,67.58,0.0,0.34
2021,1,6,20,19.64,69.08,0.0,0.21
2021,1,6,21,18.8,72.86,0.0,0.23
2021,1,6,22,17.93,77.51,0.0,0.35
2021,1,6,23,17.29,80.91,0.0,0.5
2021,1,7,0,16.58,84.45,0.0,0.69
2021,1,7,1,17.42,86.2,0.0,0.87
2021,1,7,2,19.33,77.4,0.0,1.14
2021,1,7,3,22.26,66.27,0.0,1.16
2021,1,7,4,25.75,52.01,0.0,1.49
2021,1,7,5,27.9,45.35,0.0,1.68
2021,1,7,6,28.74,43.66,0.0,1.92
2021,1,7,7,29.21,42.57,0.0,2.12
2021,1,7,8,29.2,42.69,0.0,2.19
2021,1,7,9,28.71,45.33,0.0,1.94
2021,1,7,10,26.81,59.85,0.0,1.53
2021,1,7,11,24.86,60.38,0.0,1.41
2021,1,7,12,23.98,60.63,0.0,1.36
2021,1,7,13,23.02,63.71,0.0,1.45
2021,1,7,14,21.91,67.99,0.0,1.66
2021,1,7,15,20.97,71.37,0.0,1.76
2021,1,7,16,20.32,73.27,0.0,1.71
2021,1,7,17,19.8,74.61,0.0,1.6
2021,1,7,18,19.37,75.7,0.65,1.45
2021,1,7,19,19.06,76.29,11.3,1.29
2021,1,7,20,18.6,77.96,11.3,1.22
2021,1,7,21,18.08,80.15,10.66,1.28
2021,1,7,22,17.48,82.93,0.0,1.43
2021,1,7,23,16.86,85.88,0.0,1.59
2021,1,8,0,16.34,88.5,0.0,1.69
2021,1,8,1,17.69,88.62,0.0,1.58
2021,1,8,2,19.62,80.15,0.0,1.66
2021,1,8,3,22.1,73.48,0.0,1.19
2021,1,8,4,26.14,53.76,0.0,1.79
2021,1,8,5,27.58,48.27,0.0,2.4
2021,1,8,6,28.03,46.62,0.0,2.75
2021,1,8,7,28.17,45.86,0.0,3.01
2021,1,8,8,27.92,46.05,0.0,3.2
2021,1,8,9,27.06,50.48,0.0,2.95
2021,1,8,10,24.99,65.95,0.0,2.16
2021,1,8,11,22.28,73.52,0.0,2.22
2021,1,8,12,21.55,73.63,0.0,2.15
2021,1,8,13,21.15,73.72,0.0,2.0
2021,1,8,14,20.83,72.47,0.0,1.78
2021,1,8,15,20.53,71.49,0.0,1.57
2021,1,8,16,20.12,71.81,0.0,1.44
2021,1,8,17,19.6,73.03,0.0,1.38
2021,1,8,18,19.03,74.86,0.0,1.36
2021,1,8,19,18.46,76.89,0.0,1.38
2021,1,8,20,17.93,79.0,0.0,1.37
2021,1,8,21,17.28,82.05,0.0,1.36
2021,1,8,22,16.64,85.37,0.0,1.37
2021,1,8,23,16.06,88.63,0.0,1.46
2021,1,9,0,15.39,92.76,0.0,1.58
2021,1,9,1,16.64,89.85,0.0,1.69
2021,1,9,2,18.64,81.64,0.0,1.71
2021,1,9,3,21.82,69.72,0.0,1.24
2021,1,9,4,25.07,53.9,0.0,1.55
2021,1,9,5,26.27,50.06,0.0,1.77
2021,1,9,6,26.91,47.87,0.0,2.09
2021,1,9,7,27.21,46.97,0.0,2.38
2021,1,9,8,27.14,47.22,0.0,2.57
2021,1,9,9,26.46,50.34,0.0,2.5
2021,1,9,10,24.66,65.96,0.0,1.82
2021,1,9,11,22.35,69.88,0.0,1.82
2021,1,9,12,21.88,67.44,0.0,1.59
2021,1,9,13,21.51,66.97,0.0,1.21
2021,1,9,14,21.57,64.52,0.0,0.8
2021,1,9,15,21.24,64.64,0.0,0.41
2021,1,9,16,20.48,67.52,0.0,0.52
2021,1,9,17,19.84,70.09,0.0,0.81
2021,1,9,18,19.19,72.9,0.0,1.03
2021,1,9,19,18.44,76.93,0.0,1.12
2021,1,9,20,17.94,79.78,0.0,1.1
2021,1,9,21,17.56,81.87,0.0,0.8
2021,1,9,22,17.13,84.3,0.0,0.6
2021,1,9,23,16.45,88.0,0.0,0.82
2021,1,10,0,15.9,90.85,0.0,1.1
2021,1,10,1,16.99,88.56,0.0,1.32
2021,1,10,2,18.73,80.38,0.0,1.44
2021,1,10,3,22.33,64.93,0.0,2.15
2021,1,10,4,24.85,56.94,0.0,2.79
2021,1,10,5,26.22,54.17,0.0,3.2
2021,1,10,6,27.12,52.38,0.0,3.5
2021,1,10,7,27.6,51.47,0.0,3.59
2021,1,10,8,27.64,51.78,0.0,3.48
2021,1,10,9,27.07,54.91,0.0,3.0
2021,1,10,10,25.4,69.1,0.0,1.91
2021,1,10,11,23.36,72.24,0.0,1.69
2021,1,10,12,22.81,71.11,0.0,1.4
2021,1,10,13,22.47,70.83,0.0,1.12
2021,1,10,14,22.0,71.65,0.0,0.9
2021,1,10,15,21.64,72.14,0.0,0.86
2021,1,10,16,21.01,74.39,0.0,0.91
2021,1,10,17,20.3,77.36,0.0,0.93
2021,1,10,18,19.78,79.46,0.0,0.89
2021,1,10,19,19.34,81.29,0.0,0.81
2021,1,10,20,18.85,83.66,0.0,0.75
2021,1,10,21,18.38,86.0,0.0,0.7
2021,1,10,22,18.13,87.32,0.0,0.69
2021,1,10,23,17.86,88.73,0.0,0.66
2021,1,11,0,17.61,90.16,0.0,0.58
2021,1,11,1,18.53,88.79,0.0,0.54
2021,1,11,2,20.02,82.1,0.0,0.54
2021,1,11,3,23.6,66.23,0.0,0.85
2021,1,11,4,25.94,58.34,0.0,1.4
2021,1,11,5,26.77,56.5,0.0,1.85
2021,1,11,6,27.16,55.81,0.0,2.24
2021,1,11,7,27.39,55.44,0.0,2.5
2021,1,11,8,27.16,56.52,0.0,2.56
2021,1,11,9,26.7,58.7,0.0,2.35
2021,1,11,10,25.47,69.41,0.0,1.57
2021,1,11,11,23.51,76.93,0.0,1.56
2021,1,11,12,22.46,79.03,0.0,1.78
2021,1,11,13,21.45,82.15,0.0,2.05
2021,1,11,14,20.36,85.4,0.0,2.32
2021,1,11,15,19.5,88.05,0.0,2.45
2021,1,11,16,18.78,90.55,0.0,2.47
2021,1,11,17,18.16,93.2,0.0,2.49
2021,1,11,18,17.58,96.26,0.0,2.49
2021,1,11,19,17.03,99.58,0.0,2.5
2021,1,11,20,16.49,100.0,0.0,2.49
2021,1,11,21,16.0,100.0,0.0,2.47
2021,1,11,22,15.53,100.0,0.0,2.45
2021,1,11,23,15.16,100.0,0.0,2.45
2021,1,12,0,14.91,100.0,0.0,2.41
2021,1,12,1,17.26,96.23,0.0,2.45
2021,1,12,2,19.62,85.87,0.0,2.27
2021,1,12,3,22.92,67.63,0.0,2.01
2021,1,12,4,24.57,58.76,0.0,1.95
2021,1,12,5,25.55,53.88,0.0,2.42
2021,1,12,6,26.18,50.38,0.0,2.98
2021,1,12,7,26.41,48.25,0.0,3.39
2021,1,12,8,26.23,47.51,0.0,3.54
2021,1,12,9,25.55,48.61,0.0,3.32
2021,1,12,10,23.77,60.39,0.0,2.29
2021,1,12,11,20.44,74.88,0.0,2.25
2021,1,12,12,19.14,76.8,0.0,2.4
2021,1,12,13,18.23,79.28,0.0,2.49
