YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,13.08,97.71,0.02,3.08
2021,1,1,1,14.33,90.16,0.02,3.05
2021,1,1,2,16.13,80.82,0.0,2.68
2021,1,1,3,18.4,72.18,0.0,2.13
2021,1,1,4,21.45,58.71,0.0,2.53
2021,1,1,5,22.61,55.7,0.0,2.45
2021,1,1,6,23.25,53.68,0.0,2.35
2021,1,1,7,23.62,52.33,0.0,2.23
2021,1,1,8,23.67,52.2,0.0,2.09
2021,1,1,9,23.31,55.46,0.0,1.99
2021,1,1,10,22.08,68.96,0.0,1.64
2021,1,1,11,20.42,70.95,0.0,1.98
2021,1,1,12,19.61,70.75,0.0,2.09
2021,1,1,13,19.02,70.73,0.0,2.14
2021,1,1,14,18.39,72.91,0.0,2.14
2021,1,1,15,17.69,75.65,0.0,2.27
2021,1,1,16,16.92,79.01,0.0,2.5
2021,1,1,17,16.18,82.1,0.0,2.77
2021,1,1,18,15.54,84.61,0.0,3.01
2021,1,1,19,14.96,86.48,0.0,3.22
2021,1,1,20,14.45,87.7,0.0,3.2
2021,1,1,21,14.09,88.25,0.0,3.19
2021,1,1,22,13.71,89.45,0.0,3.12
2021,1,1,23,13.34,90.84,0.0,3.0
2021,1,2,0,13.03,92.86,0.0,2.89
2021,1,2,1,14.3,87.36,0.0,2.64
2021,1,2,2,16.23,78.81,0.0,2.23
2021,1,2,3,18.58,70.45,0.0,1.62
2021,1,2,4,21.41,56.67,0.0,1.74
2021,1,2,5,22.46,54.04,0.0,1.58
2021,1,2,6,23.05,51.81,0.0,1.71
2021,1,2,7,23.42,50.23,0.0,1.98
2021,1,2,8,23.5,49.68,0.0,2.19
2021,1,2,9,23.15,53.06,0.0,2.21
2021,1,2,10,21.86,66.4,0.0,1.89
2021,1,2,11,20.07,69.15,0.0,2.31
2021,1,2,12,19.23,69.99,0.0,2.62
2021,1,2,13,18.6,72.22,0.0,2.69
2021,1,2,14,17.99,74.49,0.0,2.65
2021,1,2,15,17.33,76.35,0.0,2.56
2021,1,2,16,16.82,78.09,0.0,2.45
2021,1,2,17,16.42,79.31,0.0,2.31
2021,1,2,18,16.07,80.11,0.0,2.21
2021,1,2,19,15.63,81.37,0.0,2.25
2021,1,2,20,15.09,83.28,0.0,2.41
2021,1,2,21,14.52,85.51,0.0,2.64
2021,1,2,22,14.01,87.6,0.0,2.77
2021,1,2,23,13.52,89.96,0.0,2.88
2021,1,3,0,13.1,92.43,0.0,3.01
2021,1,3,1,14.2,88.12,0.0,2.92
2021,1,3,2,16.13,80.27,0.0,2.73
2021,1,3,3,18.46,72.24,0.0,1.98
2021,1,3,4,21.38,60.11,0.0,2.05
2021,1,3,5,22.64,56.89,0.0,1.89
2021,1,3,6,23.36,54.68,0.0,1.94
2021,1,3,7,23.83,53.27,0.0,2.09
2021,1,3,8,23.97,53.33,0.0,2.13
2021,1,3,9,23.64,57.35,0.0,1.98
2021,1,3,10,22.48,71.01,0.0,1.49
2021,1,3,11,21.31,69.71,0.0,1.54
2021,1,3,12,20.87,68.15,0.0,1.34
2021,1,3,13,20.34,68.23,0.0,1.13
2021,1,3,14,19.92,68.1,0.0,0.99
2021,1,3,15,19.4,69.56,0.0,0.94
2021,1,3,16,18.73,73.28,0.0,1.0
2021,1,3,17,18.2,76.13,0.0,1.22
2021,1,3,18,17.5,80.11,0.0,1.49
