YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,16.98,89.37,0.0,2.35
2021,1,1,1,18.02,85.7,0.0,2.03
2021,1,1,2,19.34,81.11,0.0,1.98
2021,1,1,3,20.43,78.06,0.0,1.7
2021,1,1,4,21.89,71.21,0.0,1.57
2021,1,1,5,22.81,67.21,0.0,1.63
2021,1,1,6,23.14,66.15,0.0,1.74
2021,1,1,7,23.2,65.69,0.0,1.77
2021,1,1,8,23.09,65.58,0.0,1.65
2021,1,1,9,22.77,67.02,0.0,1.73
2021,1,1,10,21.94,73.48,0.0,1.81
2021,1,1,11,20.69,74.04,0.0,2.18
2021,1,1,12,20.2,74.58,0.0,2.36
2021,1,1,13,19.89,75.5,0.0,2.42
2021,1,1,14,19.61,76.7,0.0,2.47
2021,1,1,15,19.28,78.51,0.0,2.58
2021,1,1,16,18.83,81.33,0.0,2.78
2021,1,1,17,18.35,84.63,0.0,3.01
2021,1,1,18,17.89,87.97,0.0,3.15
2021,1,1,19,17.45,91.08,0.0,3.25
2021,1,1,20,17.03,93.75,0.0,3.37
2021,1,1,21,16.75,95.35,0.0,3.3
2021,1,1,22,16.6,95.96,0.0,3.12
2021,1,1,23,16.54,96.03,0.0,2.93
2021,1,2,0,16.6,95.04,0.0,2.67
2021,1,2,1,17.78,89.93,0.0,2.28
2021,1,2,2,19.18,83.74,0.0,2.05
2021,1,2,3,20.56,77.03,0.0,1.75
2021,1,2,4,21.58,71.79,0.0,1.23
2021,1,2,5,22.28,67.88,0.0,0.76
2021,1,2,6,22.65,66.14,0.0,1.05
2021,1,2,7,22.74,66.43,0.0,1.66
2021,1,2,8,22.58,67.69,0.0,2.15
2021,1,2,9,22.18,70.07,0.0,2.4
2021,1,2,10,21.32,76.44,0.0,2.34
2021,1,2,11,19.97,78.56,0.0,2.72
2021,1,2,12,19.51,79.46,0.0,2.94
2021,1,2,13,19.27,80.32,0.0,2.96
2021,1,2,14,19.1,81.25,0.0,2.86
2021,1,2,15,18.92,82.45,0.0,2.7
2021,1,2,16,18.87,83.05,0.0,2.47
2021,1,2,17,18.74,83.93,0.0,2.23
2021,1,2,18,18.45,85.51,0.0,2.09
2021,1,2,19,18.08,87.95,0.0,2.16
2021,1,2,20,17.68,90.81,0.0,2.36
2021,1,2,21,17.27,93.59,0.0,2.58
2021,1,2,22,16.91,95.61,0.0,2.72
2021,1,2,23,16.67,96.63,0.0,2.68
2021,1,3,0,16.58,96.23,0.0,2.55
2021,1,3,1,17.59,91.46,0.0,2.36
2021,1,3,2,18.88,86.62,0.0,2.5
2021,1,3,3,20.21,79.28,0.0,2.23
2021,1,3,4,21.46,73.35,0.0,2.04
2021,1,3,5,22.22,70.07,0.0,1.92
2021,1,3,6,22.8,67.27,0.0,1.81
2021,1,3,7,23.09,66.05,0.0,1.94
2021,1,3,8,23.11,66.22,0.0,2.15
2021,1,3,9,22.82,68.29,0.0,2.2
2021,1,3,10,22.0,74.03,0.0,2.0
2021,1,3,11,20.85,74.09,0.0,2.04
2021,1,3,12,20.37,75.02,0.0,2.07
2021,1,3,13,20.01,76.53,0.0,2.13
2021,1,3,14,19.69,78.56,0.0,2.17
2021,1,3,15,19.36,81.06,0.0,2.15
2021,1,3,16,18.95,84.26,0.0,2.17
2021,1,3,17,18.42,88.14,0.0,2.3
2021,1,3,18,17.87,91.93,0.0,2.47
2021,1,3,19,17.34,95.34,0.0,2.61
2021,1,3,20,16.87,97.96,0.0,2.73
2021,1,3,21,16.5,99.96,0.0,2.79
2021,1,3,22,16.26,100.0,0.0,2.78
2021,1,3,23,16.15,100.0,0.0,2.72
2021,1,4,0,16.17,99.94,0.0,2.58
2021,1,4,1,17.33,93.58,0.0,2.36
2021,1,4,2,18.75,88.92,0.0,2.3
2021,1,4,3,20.55,78.54,0.0,2.24
