YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,10.01,100.0,0.0,2.7
2021,1,1,1,12.34,93.75,0.33,2.64
2021,1,1,2,14.63,84.6,0.0,2.66
2021,1,1,3,17.36,77.46,0.0,2.0
2021,1,1,4,21.27,59.49,0.0,2.53
2021,1,1,5,22.61,56.29,0.0,2.62
2021,1,1,6,23.17,55.48,0.0,2.67
2021,1,1,7,23.42,55.1,0.0,2.71
2021,1,1,8,23.25,56.25,0.0,2.72
2021,1,1,9,22.61,60.39,0.0,2.62
2021,1,1,10,20.63,77.55,0.0,2.04
2021,1,1,11,17.84,78.84,0.0,2.41
2021,1,1,12,16.95,78.77,0.0,2.48
2021,1,1,13,16.28,79.45,0.0,2.52
2021,1,1,14,15.59,80.97,0.0,2.58
2021,1,1,15,14.9,82.75,0.0,2.64
2021,1,1,16,14.25,84.42,0.0,2.69
2021,1,1,17,13.61,86.65,0.0,2.78
2021,1,1,18,12.97,89.15,0.0,2.9
2021,1,1,19,12.31,91.61,0.0,3.02
2021,1,1,20,11.75,93.75,0.0,3.08
2021,1,1,21,11.24,95.99,0.0,3.07
2021,1,1,22,10.78,98.49,0.0,2.96
2021,1,1,23,10.37,100.0,0.0,2.79
2021,1,2,0,10.13,100.0,0.0,2.56
2021,1,2,1,12.52,94.31,0.0,2.19
2021,1,2,2,14.99,84.94,0.0,1.95
2021,1,2,3,17.86,77.49,0.0,1.35
2021,1,2,4,21.28,62.55,0.0,1.72
2021,1,2,5,22.48,59.31,0.0,1.79
2021,1,2,6,23.05,57.65,0.0,2.18
2021,1,2,7,23.14,57.57,0.0,2.47
2021,1,2,8,22.89,58.76,0.0,2.62
2021,1,2,9,22.1,63.93,0.0,2.41
2021,1,2,10,20.29,79.08,0.0,1.99
2021,1,2,11,18.17,81.01,0.0,2.28
2021,1,2,12,17.31,80.51,0.0,2.4
2021,1,2,13,16.49,80.02,0.0,2.4
2021,1,2,14,15.86,80.26,0.0,2.36
2021,1,2,15,15.12,82.28,0.0,2.43
2021,1,2,16,14.35,85.17,0.0,2.56
2021,1,2,17,13.72,87.77,0.0,2.61
2021,1,2,18,13.2,90.35,0.0,2.59
2021,1,2,19,12.74,92.86,0.0,2.52
2021,1,2,20,12.27,95.52,0.0,2.51
2021,1,2,21,11.83,98.1,0.0,2.5
2021,1,2,22,11.41,100.0,0.0,2.48
2021,1,2,23,11.01,100.0,0.0,2.53
2021,1,3,0,10.67,100.0,0.0,2.54
2021,1,3,1,13.01,95.09,0.0,2.36
2021,1,3,2,15.21,86.34,0.0,2.41
2021,1,3,3,17.49,80.58,0.0,1.65
2021,1,3,4,20.94,65.73,0.0,1.8
2021,1,3,5,22.52,61.26,0.0,1.93
2021,1,3,6,23.31,59.46,0.0,2.22
2021,1,3,7,23.81,58.13,0.0,2.39
2021,1,3,8,23.82,58.6,0.0,2.31
2021,1,3,9,23.33,62.18,0.0,2.06
2021,1,3,10,21.69,76.97,0.0,1.55
2021,1,3,11,19.71,73.3,0.0,1.76
2021,1,3,12,18.87,74.19,0.0,1.83
2021,1,3,13,18.11,76.15,0.0,1.91
2021,1,3,14,17.3,78.28,0.0,2.06
2021,1,3,15,16.49,81.39,0.0,2.15
2021,1,3,16,15.78,84.8,0.0,2.17
2021,1,3,17,15.16,88.14,0.0,2.15
2021,1,3,18,14.55,91.57,0.0,2.15
2021,1,3,19,13.89,95.65,0.0,2.21
2021,1,3,20,13.29,99.55,0.0,2.25
2021,1,3,21,12.85,100.0,0.0,2.25
2021,1,3,22,12.55,100.0,0.0,2.21
2021,1,3,23,12.31,100.0,0.0,2.14
2021,1,4,0,12.23,100.0,0.0,2.01
2021,1,4,1,14.21,97.34,0.0,1.75
2021,1,4,2,16.64,88.2,0.0,1.61
2021,1,4,3,19.55,78.8,0.0,1.22
2021,1,4,4,22.91,62.41,0.0,1.82
2021,1,4,5,24.12,58.96,0.0,2.22
2021,1,4,6,24.81,57.03,0.0,2.56
2021,1,4,7,25.23,55.91,0.0,2.85
2021,1,4,8,25.23,56.72,0.0,2.98
2021,1,4,9,24.53,61.42,0.0,2.65
2021,1,4,10,22.54,77.18,0.0,2.02
2021,1,4,11,20.2,76.11,0.0,2.03
2021,1,4,12,19.82,73.88,0.0,1.74
2021,1,4,13,19.49,73.68,0.0,1.44
2021,1,4,14,18.76,75.73,0.0,1.49
2021,1,4,15,17.88,79.65,0.0,1.68
2021,1,4,16,17.07,83.82,0.0,1.83
2021,1,4,17,16.25,88.29,0.0,1.98
2021,1,4,18,15.45,92.9,3.41,2.14
2021,1,4,19,14.73,96.8,9.91,2.29
2021,1,4,20,14.09,100.0,9.91,2.41
2021,1,4,21,13.55,100.0,6.5,2.49
2021,1,4,22,13.15,100.0,0.0,2.46
2021,1,4,23,12.91,100.0,0.0,2.35
2021,1,5,0,12.91,100.0,0.0,2.18
2021,1,5,1,15.05,97.87,0.0,1.91
2021,1,5,2,17.3,91.47,0.0,1.95
