YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,12.11,99.91,0.0,1.02
2021,1,1,1,13.53,94.44,0.0,0.92
2021,1,1,2,15.64,87.1,0.0,0.95
2021,1,1,3,18.6,77.6,0.0,0.96
2021,1,1,4,21.48,65.47,0.0,0.72
2021,1,1,5,23.06,58.95,0.0,0.36
2021,1,1,6,23.73,56.93,0.0,0.17
2021,1,1,7,24.05,55.85,0.0,0.09
2021,1,1,8,23.97,55.81,0.0,0.18
2021,1,1,9,23.52,57.44,0.0,0.41
2021,1,1,10,22.3,65.48,0.0,0.59
2021,1,1,11,20.72,64.92,0.0,0.97
2021,1,1,12,19.49,68.73,0.0,1.33
2021,1,1,13,18.41,72.94,0.0,1.7
2021,1,1,14,17.39,77.08,0.0,1.99
2021,1,1,15,16.44,80.93,0.0,2.15
2021,1,1,16,15.65,84.39,0.0,2.2
2021,1,1,17,15.02,87.41,0.0,2.15
2021,1,1,18,14.54,89.67,0.0,2.05
2021,1,1,19,14.05,92.05,0.0,1.94
2021,1,1,20,13.52,94.94,0.0,1.89
2021,1,1,21,13.11,97.4,0.0,1.78
2021,1,1,22,12.79,99.38,0.0,1.54
2021,1,1,23,12.29,100.0,0.0,1.41
2021,1,2,0,11.66,100.0,0.0,1.54
2021,1,2,1,13.55,97.75,0.0,1.75
2021,1,2,2,16.09,88.36,0.0,2.0
2021,1,2,3,19.02,77.57,0.0,1.71
2021,1,2,4,21.48,66.65,0.0,1.38
2021,1,2,5,22.58,62.37,0.0,1.05
2021,1,2,6,23.27,59.43,0.0,0.66
2021,1,2,7,23.58,58.05,0.0,0.34
2021,1,2,8,23.56,57.15,0.0,0.17
2021,1,2,9,23.17,57.98,0.0,0.36
2021,1,2,10,22.07,65.45,0.0,0.49
2021,1,2,11,20.74,63.86,0.0,0.72
2021,1,2,12,19.9,65.56,0.0,0.98
2021,1,2,13,18.92,69.19,0.0,1.27
2021,1,2,14,17.78,74.01,0.0,1.54
2021,1,2,15,16.69,78.77,0.0,1.93
2021,1,2,16,15.65,83.79,0.0,2.14
2021,1,2,17,14.93,87.25,0.0,2.17
2021,1,2,18,14.51,89.03,0.0,2.0
2021,1,2,19,14.2,90.2,0.0,1.75
2021,1,2,20,13.88,91.67,0.0,1.43
2021,1,2,21,13.45,93.85,0.0,1.18
2021,1,2,22,13.01,96.29,0.0,1.18
2021,1,2,23,12.42,99.81,0.0,1.28
2021,1,3,0,11.87,100.0,0.0,1.47
2021,1,3,1,13.58,96.2,0.0,1.75
2021,1,3,2,15.89,87.85,0.0,2.17
2021,1,3,3,18.6,78.7,0.0,1.83
2021,1,3,4,21.34,67.71,0.0,1.71
2021,1,3,5,23.08,61.0,0.0,1.62
2021,1,3,6,23.78,59.01,0.0,1.46
2021,1,3,7,24.16,57.84,0.0,1.28
2021,1,3,8,24.12,57.83,0.0,1.24
2021,1,3,9,23.65,60.18,0.0,1.08
2021,1,3,10,22.43,68.04,0.0,0.74
2021,1,3,11,20.81,66.29,0.0,0.71
2021,1,3,12,20.17,66.96,0.0,0.85
2021,1,3,13,19.21,70.31,0.0,1.09
2021,1,3,14,18.15,74.45,0.0,1.4
2021,1,3,15,17.4,77.5,0.0,1.6
2021,1,3,16,16.68,80.77,0.0,1.63
2021,1,3,17,16.07,83.7,0.0,1.6
2021,1,3,18,15.55,86.24,0.0,1.53
2021,1,3,19,15.18,87.92,0.0,1.37
2021,1,3,20,14.69,90.44,0.0,1.17
2021,1,3,21,14.23,92.88,0.0,1.08
2021,1,3,22,13.83,95.04,0.0,1.1
2021,1,3,23,13.41,97.43,0.0,1.15
2021,1,4,0,12.85,100.0,0.0,1.29
2021,1,4,1,14.02,95.95,0.0,1.55
2021,1,4,2,16.09,88.37,0.0,1.82
2021,1,4,3,19.32,76.51,0.0,1.32
2021,1,4,4,22.46,63.09,0.0,1.14
2021,1,4,5,23.72,59.21,0.0,1.15
2021,1,4,6,24.48,56.61,0.0,1.02
2021,1,4,7,25.03,54.33,0.0,0.86
2021,1,4,8,25.13,53.72,0.0,0.69
2021,1,4,9,24.62,56.35,0.0,0.47
2021,1,4,10,23.35,62.95,0.0,0.43
2021,1,4,11,21.95,61.49,0.0,0.62
2021,1,4,12,21.0,63.52,0.0,0.88
2021,1,4,13,19.79,68.27,0.0,1.18
2021,1,4,14,18.77,72.48,0.0,1.5
2021,1,4,15,17.91,76.04,0.0,1.64
2021,1,4,16,17.28,78.88,0.0,1.64
2021,1,4,17,16.72,81.71,0.0,1.57
2021,1,4,18,16.17,84.53,0.02,1.43
2021,1,4,19,15.69,86.87,0.02,1.26
2021,1,4,20,15.29,88.82,0.02,1.15
2021,1,4,21,14.79,91.42,0.0,1.07
2021,1,4,22,14.31,94.32,0.0,1.1
2021,1,4,23,13.68,98.21,0.0,1.27
2021,1,5,0,13.02,100.0,0.0,1.44
