YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,8.18,88.1,0.0,2.91
2021,1,1,1,9.61,86.55,0.0,2.56
2021,1,1,2,12.29,73.17,0.0,3.33
2021,1,1,3,14.55,69.95,0.0,2.43
2021,1,1,4,17.89,61.32,0.0,2.14
2021,1,1,5,20.97,47.71,0.0,2.67
2021,1,1,6,22.37,44.4,0.0,2.61
2021,1,1,7,22.79,44.98,0.0,2.53
2021,1,1,8,22.63,46.8,0.0,2.46
2021,1,1,9,21.88,52.03,0.0,2.25
2021,1,1,10,19.78,70.92,0.0,1.85
2021,1,1,11,17.16,68.47,0.0,2.25
2021,1,1,12,15.95,70.16,0.0,2.46
2021,1,1,13,15.04,72.23,0.0,2.62
2021,1,1,14,14.25,73.86,0.0,2.71
2021,1,1,15,13.57,75.02,0.0,2.73
2021,1,1,16,12.86,76.3,0.0,2.76
2021,1,1,17,12.14,77.6,0.0,2.8
2021,1,1,18,11.46,78.66,0.0,2.83
2021,1,1,19,10.88,79.63,0.0,2.87
2021,1,1,20,10.31,80.49,0.0,2.89
2021,1,1,21,9.78,80.85,0.0,2.86
2021,1,1,22,9.42,81.05,0.0,2.73
2021,1,1,23,9.14,81.23,0.0,2.57
2021,1,2,0,8.87,81.63,0.0,2.39
2021,1,2,1,10.02,84.58,0.0,2.03
2021,1,2,2,12.7,71.66,0.0,2.48
2021,1,2,3,14.83,68.57,0.0,2.08
2021,1,2,4,18.61,56.32,0.0,2.1
2021,1,2,5,21.14,49.32,0.0,2.04
2021,1,2,6,21.99,49.15,0.0,1.93
2021,1,2,7,22.4,49.27,0.0,1.93
2021,1,2,8,22.34,50.43,0.0,1.94
2021,1,2,9,21.73,54.37,0.0,1.7
2021,1,2,10,20.16,69.34,0.0,1.2
2021,1,2,11,18.45,62.44,0.0,1.23
2021,1,2,12,18.0,60.67,0.0,1.13
2021,1,2,13,17.54,60.61,0.0,1.04
2021,1,2,14,17.01,61.1,0.0,1.12
2021,1,2,15,16.3,62.87,0.0,1.32
2021,1,2,16,15.57,65.13,0.0,1.53
2021,1,2,17,15.0,66.77,0.0,1.58
2021,1,2,18,14.36,68.78,0.0,1.6
2021,1,2,19,13.57,71.65,0.0,1.77
2021,1,2,20,12.85,74.21,0.0,1.98
2021,1,2,21,12.1,77.15,0.0,2.11
2021,1,2,22,11.52,79.35,0.0,2.15
2021,1,2,23,11.32,79.49,0.0,1.97
2021,1,3,0,11.26,79.25,0.0,1.67
2021,1,3,1,12.31,81.23,0.0,1.36
2021,1,3,2,14.42,73.21,0.0,1.65
2021,1,3,3,16.43,69.49,0.0,1.48
2021,1,3,4,20.09,58.97,0.0,1.65
2021,1,3,5,22.52,52.0,0.0,1.78
2021,1,3,6,23.32,51.33,0.0,1.45
2021,1,3,7,23.73,51.34,0.0,1.07
2021,1,3,8,23.73,52.17,0.0,0.62
2021,1,3,9,23.28,54.88,0.0,0.5
2021,1,3,10,21.95,66.19,0.0,0.75
2021,1,3,11,20.16,63.18,0.0,1.13
2021,1,3,12,19.06,65.64,0.0,1.4
2021,1,3,13,17.92,69.84,0.0,1.68
2021,1,3,14,16.9,73.49,0.0,1.94
2021,1,3,15,16.14,75.73,0.0,2.11
