YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,14.74,73.53,0.0,1.69
2021,1,1,1,15.8,78.36,0.0,1.41
2021,1,1,2,19.79,73.88,0.0,0.68
2021,1,1,3,23.31,61.88,0.0,0.6
2021,1,1,4,25.03,47.4,0.0,1.01
2021,1,1,5,24.86,49.03,0.0,1.11
2021,1,1,6,24.69,50.64,0.0,1.13
2021,1,1,7,24.48,53.07,0.0,1.1
2021,1,1,8,23.97,57.58,0.0,1.02
2021,1,1,9,23.5,63.95,0.0,0.87
2021,1,1,10,21.69,75.05,0.0,0.82
2021,1,1,11,19.33,78.93,0.0,1.09
2021,1,1,12,18.16,82.05,0.0,1.23
2021,1,1,13,17.5,83.15,0.0,1.0
2021,1,1,14,17.27,82.64,0.0,0.63
2021,1,1,15,17.02,82.19,0.0,0.58
2021,1,1,16,16.58,82.27,0.0,0.84
2021,1,1,17,16.17,82.31,0.0,1.07
2021,1,1,18,15.86,81.95,0.0,1.21
2021,1,1,19,15.63,81.04,0.0,1.29
2021,1,1,20,15.43,80.01,0.0,1.33
2021,1,1,21,15.25,78.95,0.0,1.34
2021,1,1,22,15.06,78.12,0.0,1.37
2021,1,1,23,14.82,77.7,0.0,1.42
2021,1,2,0,14.5,77.56,0.0,1.53
2021,1,2,1,15.49,81.91,0.0,1.32
2021,1,2,2,19.76,72.74,0.0,0.6
2021,1,2,3,23.25,60.18,0.0,0.43
2021,1,2,4,25.2,41.24,0.0,0.78
2021,1,2,5,24.56,44.57,0.0,0.93
2021,1,2,6,24.59,46.17,0.0,0.96
2021,1,2,7,24.27,49.35,0.0,0.98
2021,1,2,8,23.67,54.35,0.0,0.98
2021,1,2,9,23.29,61.87,0.0,0.92
2021,1,2,10,21.0,76.6,0.0,0.85
2021,1,2,11,18.58,79.64,0.0,1.18
2021,1,2,12,17.26,84.05,0.0,1.15
2021,1,2,13,16.35,87.24,0.0,1.26
2021,1,2,14,16.1,86.52,0.0,1.16
2021,1,2,15,16.2,84.18,0.0,1.01
2021,1,2,16,16.04,83.12,0.0,1.1
2021,1,2,17,15.76,82.05,0.0,1.13
2021,1,2,18,15.56,80.52,0.0,1.01
2021,1,2,19,15.42,79.25,0.0,0.81
2021,1,2,20,15.24,78.62,0.0,0.7
2021,1,2,21,14.96,78.58,0.0,0.78
2021,1,2,22,14.7,78.07,0.0,0.99
2021,1,2,23,14.32,77.74,0.0,1.34
2021,1,3,0,13.87,77.33,0.0,1.66
2021,1,3,1,15.11,80.74,0.0,1.35
2021,1,3,2,19.88,71.85,0.0,0.4
2021,1,3,3,23.49,61.2,0.0,0.12
2021,1,3,4,26.53,47.14,0.0,0.53
2021,1,3,5,27.04,38.57,0.0,0.8
2021,1,3,6,24.8,43.89,0.0,1.07
2021,1,3,7,25.11,45.84,0.0,1.17
2021,1,3,8,24.84,48.44,0.0,1.25
2021,1,3,9,23.91,56.93,0.0,1.21
2021,1,3,10,21.54,73.72,0.0,1.12
2021,1,3,11,19.03,77.95,0.0,1.44
2021,1,3,12,18.01,79.67,0.0,1.48
2021,1,3,13,17.33,81.23,0.0,1.29
2021,1,3,14,17.08,81.03,0.0,0.99
2021,1,3,15,17.04,79.96,0.0,0.79
2021,1,3,16,16.87,79.36,0.0,0.8
2021,1,3,17,16.62,78.88,0.0,0.88
2021,1,3,18,16.43,78.06,0.0,0.94
2021,1,3,19,16.26,77.28,0.0,1.02
2021,1,3,20,16.12,76.42,0.0,1.11
2021,1,3,21,15.96,75.75,0.0,1.24
2021,1,3,22,15.76,75.44,0.0,1.4
2021,1,3,23,15.57,75.17,0.0,1.54
2021,1,4,0,15.51,74.55,0.0,1.61
2021,1,4,1,16.65,78.81,0.0,1.34
2021,1,4,2,20.34,70.52,0.0,0.75
2021,1,4,3,23.25,70.17,0.0,0.06
2021,1,4,4,24.7,65.44,0.0,0.28
2021,1,4,5,25.02,66.98,0.0,0.33
2021,1,4,6,25.2,67.41,0.0,0.34
2021,1,4,7,25.2,68.22,0.0,0.4
2021,1,4,8,25.85,58.7,0.0,0.51
2021,1,4,9,24.28,55.32,0.0,0.72
2021,1,4,10,22.06,72.13,0.0,0.91
2021,1,4,11,19.38,76.95,0.0,1.47
2021,1,4,12,18.15,79.72,0.0,1.6
2021,1,4,13,17.45,81.64,0.0,1.27
2021,1,4,14,17.32,81.31,0.0,0.79
2021,1,4,15,17.41,79.6,0.0,0.4
2021,1,4,16,17.28,78.66,0.0,0.45
2021,1,4,17,17.09,77.9,0.0,0.58
2021,1,4,18,16.94,76.92,0.0,0.75
2021,1,4,19,16.73,76.38,0.0,1.01
2021,1,4,20,16.37,76.53,0.0,1.35
2021,1,4,21,16.0,76.79,0.0,1.64
2021,1,4,22,15.76,76.77,0.0,1.82
2021,1,4,23,15.69,75.93,0.0,1.92
2021,1,5,0,15.79,74.55,0.0,1.95
2021,1,5,1,17.11,79.83,0.0,1.61
2021,1,5,2,21.48,67.62,0.0,0.96
2021,1,5,3,26.19,55.08,0.0,0.25
2021,1,5,4,27.15,47.11,0.0,0.65
2021,1,5,5,27.32,43.93,0.0,0.86
2021,1,5,6,27.19,45.26,0.0,1.0
2021,1,5,7,26.95,48.11,0.0,1.06
2021,1,5,8,27.18,48.27,0.0,0.96
2021,1,5,9,27.22,47.8,0.0,0.92
2021,1,5,10,23.95,65.42,0.0,1.09
2021,1,5,11,21.01,68.3,0.0,1.53
2021,1,5,12,19.66,73.11,0.0,1.38
2021,1,5,13,18.7,78.37,0.0,1.14
2021,1,5,14,18.53,77.33,0.0,0.75
2021,1,5,15,18.62,74.65,0.0,0.54
2021,1,5,16,18.45,73.09,0.0,0.6
2021,1,5,17,18.29,71.73,0.0,0.53
2021,1,5,18,17.96,71.25,0.0,0.41
2021,1,5,19,17.67,70.91,0.0,0.3
2021,1,5,20,17.39,70.89,0.0,0.24
2021,1,5,21,17.14,70.89,0.0,0.46
2021,1,5,22,16.85,70.99,0.0,0.84
2021,1,5,23,16.63,70.62,0.0,1.18
2021,1,6,0,16.47,70.21,0.0,1.43
2021,1,6,1,17.45,77.15,0.0,1.3
2021,1,6,2,21.83,66.26,0.0,0.75
2021,1,6,3,26.46,47.07,0.0,0.61
2021,1,6,4,27.99,39.69,0.0,0.87
2021,1,6,5,27.39,42.08,0.0,1.25
2021,1,6,6,26.8,45.11,0.0,1.42
2021,1,6,7,26.64,47.64,0.0,1.36
2021,1,6,8,26.67,50.37,0.0,1.19
2021,1,6,9,26.1,54.14,0.0,1.07
2021,1,6,10,23.44,70.25,0.0,1.12
2021,1,6,11,20.84,72.45,0.0,1.48
2021,1,6,12,19.69,75.81,0.0,1.23
2021,1,6,13,18.71,80.99,0.0,1.1
2021,1,6,14,18.04,83.61,0.0,0.95
2021,1,6,15,18.07,82.64,0.0,0.54
2021,1,6,16,18.29,80.84,0.0,0.11
2021,1,6,17,18.2,79.94,0.0,0.66
2021,1,6,18,17.75,80.99,0.0,1.19
2021,1,6,19,17.19,82.36,0.0,1.52
2021,1,6,20,16.78,83.11,0.0,1.72
2021,1,6,21,16.52,83.15,0.0,1.79
2021,1,6,22,16.14,83.58,0.0,1.89
2021,1,6,23,15.81,83.58,0.0,1.99
2021,1,7,0,15.72,82.46,0.0,2.02
2021,1,7,1,17.27,85.38,0.0,1.54
2021,1,7,2,20.37,73.98,0.0,0.76
2021,1,7,3,23.5,57.75,0.0,0.72
2021,1,7,4,25.56,49.87,0.0,0.98
2021,1,7,5,25.89,49.96,0.0,1.19
2021,1,7,6,26.13,50.68,0.0,1.35
2021,1,7,7,26.15,52.05,0.0,1.4
2021,1,7,8,25.75,55.71,0.0,1.36
2021,1,7,9,25.07,63.27,0.0,1.15
2021,1,7,10,23.17,76.39,0.0,1.08
2021,1,7,11,20.84,81.05,0.0,1.6
2021,1,7,12,19.63,84.62,0.0,1.64
2021,1,7,13,18.95,86.12,0.0,1.57
2021,1,7,14,18.6,85.86,0.0,1.5
2021,1,7,15,18.42,84.61,0.0,1.45
2021,1,7,16,18.16,83.88,0.0,1.51
2021,1,7,17,17.84,83.49,0.0,1.6
2021,1,7,18,17.62,82.47,0.0,1.66
2021,1,7,19,17.47,80.97,0.0,1.69
2021,1,7,20,17.33,79.62,0.0,1.67
2021,1,7,21,17.21,78.24,0.0,1.63
2021,1,7,22,17.1,76.97,0.0,1.57
2021,1,7,23,16.97,75.88,0.0,1.5
2021,1,8,0,16.93,75.0,0.0,1.42
2021,1,8,1,18.26,78.83,0.0,1.02
2021,1,8,2,21.23,71.54,0.0,0.82
2021,1,8,3,23.59,58.41,0.0,0.77
2021,1,8,4,25.01,54.26,0.0,0.98
2021,1,8,5,25.78,52.11,0.0,1.22
2021,1,8,6,26.14,52.05,0.0,1.47
2021,1,8,7,26.07,53.51,0.0,1.61
2021,1,8,8,25.57,56.77,0.0,1.63
2021,1,8,9,24.63,64.65,0.0,1.32
2021,1,8,10,22.83,79.65,0.0,1.05
2021,1,8,11,20.67,83.82,0.0,1.6
2021,1,8,12,19.52,86.92,0.0,1.7
2021,1,8,13,18.79,88.59,0.0,1.63
2021,1,8,14,18.32,89.2,0.0,1.5
2021,1,8,15,17.96,89.42,0.0,1.48
2021,1,8,16,17.63,89.5,0.0,1.51
2021,1,8,17,17.44,88.69,0.0,1.53
2021,1,8,18,17.28,87.61,0.0,1.56
2021,1,8,19,16.99,87.05,0.0,1.65
2021,1,8,20,16.58,87.0,0.0,1.79
2021,1,8,21,16.09,87.12,0.0,1.91
2021,1,8,22,15.66,86.58,0.0,1.99
2021,1,8,23,15.43,84.71,0.0,2.02
2021,1,9,0,15.45,81.72,0.0,1.98
2021,1,9,1,16.92,83.6,0.0,1.45
2021,1,9,2,20.52,66.84,0.0,0.88
2021,1,9,3,24.85,40.3,0.0,0.77
2021,1,9,4,26.11,33.4,0.0,0.89
2021,1,9,5,26.32,34.5,0.0,1.05
2021,1,9,6,26.12,37.22,0.0,1.19
2021,1,9,7,26.0,39.72,0.0,1.23
2021,1,9,8,25.75,42.92,0.0,1.21
2021,1,9,9,25.27,46.29,0.0,1.11
2021,1,9,10,22.23,63.24,0.0,1.11
2021,1,9,11,19.77,68.55,0.0,1.46
2021,1,9,12,18.74,73.58,0.0,1.3
2021,1,9,13,17.97,79.24,0.0,1.29
2021,1,9,14,17.54,80.84,0.0,1.1
2021,1,9,15,17.61,79.19,0.0,0.97
2021,1,9,16,17.35,79.07,0.0,1.25
