YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,10.14,89.95,0.0,2.22
2021,1,1,1,11.48,88.19,0.0,1.94
2021,1,1,2,14.26,75.86,0.0,2.49
2021,1,1,3,16.76,70.08,0.0,2.39
2021,1,1,4,20.09,61.88,0.0,2.61
2021,1,1,5,22.15,57.84,0.0,2.62
2021,1,1,6,22.99,56.84,0.0,2.15
2021,1,1,7,23.37,56.34,0.0,1.68
2021,1,1,8,23.37,56.46,0.0,1.49
2021,1,1,9,22.82,59.74,0.0,1.62
2021,1,1,10,21.12,73.81,0.0,1.49
2021,1,1,11,18.81,74.56,0.0,1.89
2021,1,1,12,17.82,76.46,0.0,2.12
2021,1,1,13,17.01,78.43,0.0,2.29
2021,1,1,14,16.2,81.21,0.0,2.41
2021,1,1,15,15.35,84.84,0.0,2.47
2021,1,1,16,14.49,88.41,0.0,2.51
2021,1,1,17,13.74,90.66,0.0,2.51
2021,1,1,18,13.08,91.76,0.0,2.54
2021,1,1,19,12.34,92.39,0.0,2.67
2021,1,1,20,11.59,92.1,0.0,2.78
2021,1,1,21,10.94,91.21,0.0,2.7
2021,1,1,22,10.56,90.14,0.0,2.42
2021,1,1,23,10.4,89.1,0.0,2.03
2021,1,2,0,10.38,88.5,0.0,1.7
2021,1,2,1,11.61,88.37,0.0,1.41
2021,1,2,2,14.18,76.56,0.0,1.78
2021,1,2,3,16.82,68.12,0.0,1.96
2021,1,2,4,20.08,58.04,0.0,2.29
2021,1,2,5,21.89,55.06,0.0,2.1
2021,1,2,6,22.72,53.52,0.0,1.63
2021,1,2,7,23.15,52.26,0.0,1.21
2021,1,2,8,23.14,52.31,0.0,1.21
2021,1,2,9,22.64,55.25,0.0,1.17
2021,1,2,10,21.32,66.14,0.0,0.88
2021,1,2,11,19.82,62.17,0.0,0.99
2021,1,2,12,19.15,62.38,0.0,0.98
2021,1,2,13,18.61,62.97,0.0,0.96
2021,1,2,14,17.92,64.35,0.0,1.16
2021,1,2,15,16.97,69.32,0.0,1.63
2021,1,2,16,15.91,74.4,0.0,2.05
2021,1,2,17,14.99,78.7,0.0,2.22
2021,1,2,18,14.42,82.19,0.0,2.21
2021,1,2,19,13.99,84.89,0.0,2.14
2021,1,2,20,13.4,87.15,0.0,2.12
2021,1,2,21,13.04,88.56,0.0,2.03
2021,1,2,22,12.98,88.61,0.0,1.8
2021,1,2,23,12.92,88.25,0.0,1.54
2021,1,3,0,12.76,89.04,0.0,1.44
2021,1,3,1,13.6,89.33,0.0,1.52
2021,1,3,2,16.06,80.44,0.0,2.17
2021,1,3,3,18.51,72.26,0.0,2.36
2021,1,3,4,21.7,59.41,0.0,2.75
2021,1,3,5,23.14,55.89,0.0,2.53
2021,1,3,6,23.98,53.93,0.0,1.93
2021,1,3,7,24.43,52.75,0.0,1.36
2021,1,3,8,24.48,52.81,0.0,0.98
2021,1,3,9,24.03,54.88,0.0,0.91
2021,1,3,10,22.5,66.6,0.0,1.01
2021,1,3,11,20.37,67.56,0.0,1.47
2021,1,3,12,19.21,70.78,0.0,1.86
2021,1,3,13,18.15,74.2,0.0,2.28
2021,1,3,14,17.07,78.7,0.0,2.6
2021,1,3,15,16.12,83.61,0.0,2.79
2021,1,3,16,15.32,88.75,0.0,2.86
2021,1,3,17,14.66,93.93,0.0,2.85
2021,1,3,18,14.15,98.95,0.0,2.72
2021,1,3,19,13.75,100.0,0.0,2.56
2021,1,3,20,13.44,100.0,0.0,2.45
2021,1,3,21,13.21,100.0,0.0,2.35
2021,1,3,22,13.16,100.0,0.0,2.24
2021,1,3,23,13.1,100.0,0.0,2.22
2021,1,4,0,12.94,100.0,0.0,2.34
2021,1,4,1,14.54,99.74,0.0,2.48
2021,1,4,2,17.06,88.76,0.0,3.14
2021,1,4,3,20.03,74.89,0.0,3.51
2021,1,4,4,22.26,64.97,0.0,3.58
2021,1,4,5,23.62,59.66,0.0,3.26
2021,1,4,6,24.55,56.08,0.0,2.77
2021,1,4,7,25.08,54.24,0.0,2.17
2021,1,4,8,25.19,54.2,0.0,1.74
2021,1,4,9,24.65,56.38,0.0,1.58
2021,1,4,10,22.99,69.19,0.0,1.25
2021,1,4,11,20.94,69.46,0.0,1.52
2021,1,4,12,19.96,71.84,0.0,1.62
2021,1,4,13,19.18,73.86,0.0,1.72
2021,1,4,14,18.42,75.88,0.0,1.76
2021,1,4,15,17.68,78.72,0.0,1.8
2021,1,4,16,17.04,81.39,0.0,1.86
2021,1,4,17,16.41,84.61,0.0,1.91
2021,1,4,18,15.86,87.62,0.0,1.94
2021,1,4,19,15.42,90.19,0.0,1.97
2021,1,4,20,15.05,92.43,0.0,2.01
2021,1,4,21,14.68,94.73,0.0,2.01
2021,1,4,22,14.3,97.3,0.0,2.01
2021,1,4,23,13.96,99.84,0.0,2.04
2021,1,5,0,13.64,100.0,0.0,2.1
2021,1,5,1,14.94,96.01,0.0,1.98
2021,1,5,2,17.33,86.06,0.0,2.34
2021,1,5,3,20.21,72.72,0.0,2.46
2021,1,5,4,22.81,61.41,0.0,2.7
2021,1,5,5,24.01,58.18,0.0,2.39
2021,1,5,6,24.88,55.97,0.0,1.87
2021,1,5,7,25.39,54.78,0.0,1.44
2021,1,5,8,25.49,54.95,0.0,1.25
2021,1,5,9,25.03,57.26,0.0,1.22
2021,1,5,10,23.5,68.45,0.0,1.17
2021,1,5,11,21.35,71.68,0.0,1.38
2021,1,5,12,20.42,73.54,0.0,1.47
2021,1,5,13,19.68,75.48,0.0,1.56
2021,1,5,14,18.82,78.04,0.0,1.84
2021,1,5,15,18.02,81.14,0.0,2.04
2021,1,5,16,17.36,83.86,0.0,2.13
2021,1,5,17,16.88,85.94,0.0,2.09
2021,1,5,18,16.63,87.04,0.0,1.89
2021,1,5,19,16.48,87.51,0.0,1.59
2021,1,5,20,16.36,87.89,0.0,1.28
2021,1,5,21,16.14,88.92,0.0,1.11
2021,1,5,22,15.8,90.87,0.0,1.09
2021,1,5,23,15.53,92.51,0.0,1.09
2021,1,6,0,15.33,93.86,0.0,1.09
2021,1,6,1,16.28,91.16,0.0,1.03
2021,1,6,2,18.1,83.85,0.0,1.32
2021,1,6,3,20.59,73.68,0.0,0.89
2021,1,6,4,23.21,62.29,0.0,0.62
2021,1,6,5,24.49,58.28,0.0,0.88
2021,1,6,6,25.32,56.22,0.0,1.32
2021,1,6,7,25.76,55.42,0.0,1.93
2021,1,6,8,25.75,56.37,0.0,2.42
2021,1,6,9,25.12,60.0,0.0,2.45
2021,1,6,10,23.27,74.45,0.0,1.91
2021,1,6,11,21.02,78.2,0.0,2.2
2021,1,6,12,20.21,79.04,0.0,2.23
2021,1,6,13,19.79,79.17,0.0,2.08
2021,1,6,14,19.7,77.7,0.0,1.79
2021,1,6,15,19.65,76.13,0.0,1.48
2021,1,6,16,19.54,75.95,0.0,1.23
2021,1,6,17,19.41,76.19,0.0,1.04
2021,1,6,18,19.31,76.5,0.0,0.84
2021,1,6,19,18.96,78.02,0.0,0.68
2021,1,6,20,18.5,80.03,0.0,0.66
2021,1,6,21,17.83,83.67,0.0,0.74
2021,1,6,22,17.18,87.67,0.0,0.96
2021,1,6,23,16.51,91.87,0.0,1.23
2021,1,7,0,15.77,96.74,0.0,1.55
2021,1,7,1,16.34,95.35,0.0,1.84
2021,1,7,2,18.24,88.0,0.0,2.32
2021,1,7,3,20.79,75.86,0.0,1.99
2021,1,7,4,22.96,67.51,0.0,1.81
2021,1,7,5,24.58,61.27,0.0,1.8
2021,1,7,6,25.95,54.79,0.0,2.38
2021,1,7,7,26.49,53.25,0.0,2.93
2021,1,7,8,26.5,52.81,0.0,3.38
2021,1,7,9,25.72,57.69,0.0,3.07
2021,1,7,10,23.64,72.15,0.0,2.23
2021,1,7,11,21.62,73.29,0.0,2.04
2021,1,7,12,21.56,70.09,0.0,1.43
2021,1,7,13,21.62,66.98,0.0,0.73
2021,1,7,14,20.95,68.98,0.0,0.67
2021,1,7,15,20.26,70.97,0.0,0.98
2021,1,7,16,19.71,72.99,0.0,1.22
2021,1,7,17,18.84,76.88,0.0,1.48
2021,1,7,18,18.24,79.82,0.0,1.64
2021,1,7,19,17.7,82.8,0.0,1.62
2021,1,7,20,17.2,85.76,0.0,1.54
2021,1,7,21,16.78,88.39,0.0,1.38
2021,1,7,22,16.32,91.45,0.0,1.27
2021,1,7,23,15.94,94.19,0.0,1.27
2021,1,8,0,15.46,97.58,0.0,1.33
2021,1,8,1,16.05,95.54,0.0,1.37
2021,1,8,2,17.99,87.82,0.0,1.64
2021,1,8,3,20.51,76.3,0.0,1.04
2021,1,8,4,23.53,60.91,0.0,0.58
2021,1,8,5,25.0,55.47,0.0,1.02
2021,1,8,6,25.61,53.76,0.0,1.5
2021,1,8,7,25.86,53.48,0.0,1.98
2021,1,8,8,25.75,54.52,0.0,2.34
2021,1,8,9,25.1,58.66,0.0,2.31
2021,1,8,10,23.32,72.4,0.0,1.84
2021,1,8,11,21.64,71.22,0.0,1.84
2021,1,8,12,21.2,70.43,0.0,1.68
2021,1,8,13,20.77,70.66,0.0,1.48
2021,1,8,14,20.35,70.99,0.0,1.36
2021,1,8,15,19.71,73.24,0.0,1.36
2021,1,8,16,19.17,75.23,0.0,1.41
2021,1,8,17,18.65,77.4,0.0,1.38
2021,1,8,18,18.18,79.55,0.0,1.31
2021,1,8,19,17.75,81.64,0.0,1.27
2021,1,8,20,17.3,83.8,0.0,1.24
2021,1,8,21,16.59,87.55,0.0,1.27
2021,1,8,22,15.81,91.93,0.0,1.29
2021,1,8,23,15.21,95.41,0.0,1.19
2021,1,9,0,14.66,99.12,0.0,1.03
2021,1,9,1,15.23,96.44,0.0,0.82
2021,1,9,2,16.9,89.31,0.0,0.88
2021,1,9,3,19.38,79.1,0.0,0.81
2021,1,9,4,22.96,59.35,0.0,1.18
2021,1,9,5,24.35,54.21,0.0,1.43
2021,1,9,6,24.95,52.63,0.0,1.7
2021,1,9,7,25.24,51.76,0.0,2.0
2021,1,9,8,25.16,52.62,0.0,2.3
2021,1,9,9,24.54,55.82,0.0,2.36
2021,1,9,10,22.75,71.28,0.0,1.73
2021,1,9,11,21.24,67.84,0.0,1.75
