YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,15.53,99.63,0.0,3.21
2021,1,1,1,16.52,94.46,0.0,3.1
2021,1,1,2,17.41,91.21,0.0,2.9
2021,1,1,3,18.86,85.46,0.0,2.71
2021,1,1,4,21.31,70.1,0.0,2.57
2021,1,1,5,22.12,67.13,0.0,2.38
2021,1,1,6,22.45,67.91,0.0,2.19
2021,1,1,7,22.59,69.45,0.0,1.94
2021,1,1,8,22.61,70.2,0.0,1.76
2021,1,1,9,22.53,70.64,0.0,1.79
2021,1,1,10,22.13,74.56,0.0,1.77
2021,1,1,11,21.32,75.64,0.0,1.89
2021,1,1,12,21.02,73.85,0.0,2.17
2021,1,1,13,20.71,73.33,0.0,2.45
2021,1,1,14,20.25,75.25,0.0,2.72
2021,1,1,15,19.67,78.93,0.0,3.01
2021,1,1,16,19.03,82.87,0.0,3.33
2021,1,1,17,18.4,86.5,0.0,3.61
2021,1,1,18,17.82,89.47,0.0,3.83
2021,1,1,19,17.27,92.04,0.0,4.01
2021,1,1,20,16.77,94.22,0.0,4.13
2021,1,1,21,16.31,95.89,0.0,3.99
2021,1,1,22,15.91,97.78,0.0,3.63
2021,1,1,23,15.62,99.39,0.0,3.26
2021,1,2,0,15.59,98.91,0.0,2.86
2021,1,2,1,16.51,93.95,0.0,2.4
2021,1,2,2,17.36,90.39,0.0,1.85
2021,1,2,3,19.16,80.03,0.0,1.72
2021,1,2,4,20.9,69.39,0.0,1.41
2021,1,2,5,21.53,67.25,0.0,1.39
2021,1,2,6,21.96,66.12,0.0,1.84
2021,1,2,7,22.26,65.41,0.0,2.3
2021,1,2,8,22.38,66.51,0.0,2.47
2021,1,2,9,22.32,68.16,0.0,2.53
2021,1,2,10,21.9,72.87,0.0,2.5
2021,1,2,11,20.93,75.34,0.0,2.89
2021,1,2,12,20.52,76.17,0.0,3.3
2021,1,2,13,20.23,78.25,0.0,3.46
2021,1,2,14,19.87,80.22,0.0,3.41
2021,1,2,15,19.37,82.73,0.0,3.33
2021,1,2,16,18.78,86.04,0.0,3.31
2021,1,2,17,18.22,89.32,0.0,3.31
2021,1,2,18,17.69,92.48,0.0,3.31
2021,1,2,19,17.2,95.35,0.0,3.35
2021,1,2,20,16.77,97.71,0.0,3.42
2021,1,2,21,16.42,99.22,0.0,3.48
2021,1,2,22,16.19,99.57,0.0,3.38
2021,1,2,23,16.02,99.38,0.0,3.06
2021,1,3,0,15.93,98.88,0.0,2.82
2021,1,3,1,16.75,94.44,0.0,2.71
2021,1,3,2,17.51,91.44,0.0,2.4
2021,1,3,3,19.14,81.69,0.0,2.01
2021,1,3,4,21.01,70.38,0.0,1.85
2021,1,3,5,21.81,67.37,0.0,1.8
2021,1,3,6,22.32,66.07,0.0,1.94
2021,1,3,7,22.59,68.8,0.0,2.06
2021,1,3,8,22.74,70.04,0.0,2.2
2021,1,3,9,22.7,71.47,0.0,2.29
2021,1,3,10,22.26,75.98,0.0,2.12
2021,1,3,11,21.39,77.08,0.0,2.22
2021,1,3,12,21.01,75.66,0.0,2.62
2021,1,3,13,20.55,76.47,0.0,2.98
2021,1,3,14,20.05,79.1,0.0,3.13
2021,1,3,15,19.57,82.06,0.0,3.11
2021,1,3,16,19.1,84.93,0.0,3.02
2021,1,3,17,18.62,87.58,0.0,2.97
2021,1,3,18,18.17,89.53,0.0,2.91
2021,1,3,19,17.73,90.99,0.0,2.87
2021,1,3,20,17.33,92.16,0.0,2.89
2021,1,3,21,17.02,92.66,0.0,2.79
2021,1,3,22,16.78,93.28,0.0,2.59
2021,1,3,23,16.59,94.05,0.0,2.39
2021,1,4,0,16.51,94.11,0.0,2.15
2021,1,4,1,17.17,91.08,0.0,1.93
2021,1,4,2,18.01,87.61,0.0,1.66
2021,1,4,3,19.23,83.87,0.0,1.64
2021,1,4,4,21.51,70.92,0.0,2.28
2021,1,4,5,22.64,67.53,0.0,2.6
2021,1,4,6,23.08,70.05,0.0,2.66
2021,1,4,7,23.43,69.59,0.0,2.93
2021,1,4,8,23.64,68.88,0.0,3.11
2021,1,4,9,23.51,70.14,0.0,3.01
2021,1,4,10,22.82,76.55,0.0,2.47
2021,1,4,11,21.77,79.49,0.0,2.2
2021,1,4,12,21.41,78.17,0.0,2.24
2021,1,4,13,21.04,75.95,0.0,2.6
2021,1,4,14,20.51,77.49,0.0,2.87
2021,1,4,15,20.01,80.41,0.0,2.96
2021,1,4,16,19.55,83.16,0.0,2.94
2021,1,4,17,19.08,85.82,0.0,2.92
2021,1,4,18,18.59,88.47,0.0,2.95
2021,1,4,19,18.08,91.0,0.0,3.04
2021,1,4,20,17.61,93.07,0.0,3.13
2021,1,4,21,17.18,94.88,0.0,3.18
2021,1,4,22,16.84,96.21,0.0,3.19
2021,1,4,23,16.61,96.84,0.0,3.13
2021,1,5,0,16.53,97.08,0.0,2.94
2021,1,5,1,17.4,93.01,0.0,2.72
2021,1,5,2,18.28,89.74,0.0,2.47
2021,1,5,3,19.5,86.59,0.0,2.55
2021,1,5,4,21.71,74.53,0.0,3.37
2021,1,5,5,22.82,69.99,0.0,3.64
2021,1,5,6,23.35,70.84,0.0,3.49
2021,1,5,7,23.66,71.28,0.0,3.55
2021,1,5,8,23.79,71.61,0.0,3.63
2021,1,5,9,23.67,73.05,0.0,3.5
2021,1,5,10,23.08,78.65,0.0,2.84
2021,1,5,11,22.0,82.3,0.0,2.54
2021,1,5,12,21.64,81.37,0.0,2.65
2021,1,5,13,21.32,80.03,0.0,2.97
2021,1,5,14,20.91,80.85,0.0,3.1
2021,1,5,15,20.45,82.99,0.0,3.05
2021,1,5,16,19.96,85.48,0.0,3.0
2021,1,5,17,19.44,88.06,0.0,3.01
2021,1,5,18,18.95,90.41,0.0,3.06
2021,1,5,19,18.54,92.28,0.0,3.19
2021,1,5,20,18.15,93.84,0.0,3.42
2021,1,5,21,17.79,95.1,0.0,3.56
2021,1,5,22,17.41,96.13,0.0,3.55
2021,1,5,23,17.11,97.27,0.0,3.41
2021,1,6,0,16.93,98.11,0.0,3.24
2021,1,6,1,17.84,93.62,0.0,3.16
2021,1,6,2,18.65,90.61,0.0,2.73
2021,1,6,3,19.94,86.33,0.0,2.35
2021,1,6,4,22.22,73.25,0.0,2.89
2021,1,6,5,23.37,70.35,0.0,2.71
2021,1,6,6,23.83,71.92,0.0,2.46
2021,1,6,7,24.18,70.99,0.0,2.54
2021,1,6,8,24.39,70.58,0.0,2.54
2021,1,6,9,24.32,71.64,0.0,2.61
2021,1,6,10,23.73,77.22,0.0,2.39
2021,1,6,11,22.62,81.33,0.0,2.42
2021,1,6,12,22.15,81.65,0.0,2.75
2021,1,6,13,21.78,80.68,0.0,3.43
2021,1,6,14,21.35,81.04,0.0,3.95
2021,1,6,15,20.97,82.64,0.0,3.84
2021,1,6,16,20.7,83.89,0.0,3.4
2021,1,6,17,20.49,84.49,0.0,2.87
2021,1,6,18,20.24,85.25,0.0,2.4
2021,1,6,19,19.9,86.62,0.0,2.15
2021,1,6,20,19.53,88.31,0.0,2.15
2021,1,6,21,19.17,90.15,0.0,2.16
2021,1,6,22,18.88,91.45,0.0,2.05
2021,1,6,23,18.68,92.27,0.0,1.88
2021,1,7,0,18.56,92.73,0.0,1.7
2021,1,7,1,19.1,90.53,0.0,1.52
2021,1,7,2,19.81,87.95,0.0,1.11
2021,1,7,3,21.07,82.88,0.0,0.94
2021,1,7,4,23.31,72.05,0.0,1.34
2021,1,7,5,24.15,71.77,0.0,1.6
2021,1,7,6,24.7,68.75,0.0,1.83
2021,1,7,7,25.07,67.19,0.0,2.06
2021,1,7,8,25.3,66.59,0.0,2.28
2021,1,7,9,25.2,67.78,0.0,2.5
2021,1,7,10,24.55,73.99,0.0,2.35
2021,1,7,11,23.57,78.29,0.0,2.2
2021,1,7,12,23.15,79.22,0.0,2.13
2021,1,7,13,22.8,80.14,0.0,2.08
2021,1,7,14,22.47,80.19,0.0,2.13
2021,1,7,15,22.2,77.85,0.0,2.39
2021,1,7,16,21.79,77.59,0.0,2.63
2021,1,7,17,21.24,79.9,0.0,2.85
2021,1,7,18,20.7,82.38,0.0,3.05
2021,1,7,19,20.2,84.87,0.0,3.15
2021,1,7,20,19.76,86.71,0.0,3.19
2021,1,7,21,19.41,87.62,0.0,3.17
2021,1,7,22,19.12,88.16,0.0,3.1
2021,1,7,23,18.89,88.59,0.0,3.02
2021,1,8,0,18.71,89.0,0.0,2.93
2021,1,8,1,19.45,86.35,0.0,2.87
2021,1,8,2,20.13,83.73,0.0,2.48
2021,1,8,3,21.18,82.21,0.0,2.27
2021,1,8,4,23.02,75.46,0.0,3.13
2021,1,8,5,24.33,71.45,0.0,3.27
2021,1,8,6,24.81,69.76,0.0,3.59
2021,1,8,7,25.07,68.68,0.0,3.94
2021,1,8,8,25.09,68.67,0.0,4.26
2021,1,8,9,24.84,70.12,0.0,4.3
2021,1,8,10,24.11,75.77,0.0,3.68
2021,1,8,11,22.93,79.46,0.0,3.43
2021,1,8,12,22.47,78.53,0.0,3.49
2021,1,8,13,22.12,76.72,0.0,3.51
2021,1,8,14,21.77,75.75,0.0,3.33
2021,1,8,15,21.43,75.64,0.0,3.08
2021,1,8,16,21.06,76.4,0.0,2.97
2021,1,8,17,20.65,77.81,0.0,2.92
2021,1,8,18,20.19,79.91,0.0,2.96
2021,1,8,19,19.72,82.33,0.0,3.07
2021,1,8,20,19.28,84.59,0.0,3.14
2021,1,8,21,18.82,87.05,0.0,3.09
2021,1,8,22,18.4,89.38,0.0,2.93
2021,1,8,23,18.09,91.03,0.0,2.71
2021,1,9,0,17.89,91.86,0.0,2.56
2021,1,9,1,18.55,89.08,0.0,2.5
2021,1,9,2,19.22,85.98,0.0,2.23
2021,1,9,3,20.41,81.02,0.0,2.03
2021,1,9,4,22.5,68.07,0.0,2.66
2021,1,9,5,23.34,64.52,0.0,2.68
2021,1,9,6,23.77,64.48,0.0,2.65
2021,1,9,7,23.97,65.89,0.0,2.72
2021,1,9,8,24.01,67.41,0.0,2.85
2021,1,9,9,23.88,68.69,0.0,2.97
2021,1,9,10,23.39,72.92,0.0,2.76
2021,1,9,11,22.51,75.37,0.0,2.76
2021,1,9,12,22.2,74.76,0.0,2.79
2021,1,9,13,21.95,74.56,0.0,2.75
2021,1,9,14,21.66,74.93,0.0,2.67
2021,1,9,15,21.41,75.35,0.0,2.44
2021,1,9,16,21.1,76.39,0.0,2.26
2021,1,9,17,20.67,78.47,0.0,2.26
2021,1,9,18,20.12,81.59,0.0,2.38
2021,1,9,19,19.55,85.01,0.0,2.5
2021,1,9,20,19.1,87.57,0.0,2.51
2021,1,9,21,18.68,89.59,0.0,2.29
2021,1,9,22,18.35,90.64,0.0,1.85
2021,1,9,23,18.14,91.44,0.0,1.36
2021,1,10,0,18.03,92.07,0.0,0.86
2021,1,10,1,18.3,91.44,0.0,0.47
2021,1,10,2,18.76,90.01,0.0,0.31
2021,1,10,3,20.7,77.53,0.0,0.98
2021,1,10,4,22.34,69.44,0.0,1.9
2021,1,10,5,23.12,67.35,0.0,2.24
2021,1,10,6,23.55,68.19,0.0,2.27
2021,1,10,7,23.77,70.59,0.0,2.15
2021,1,10,8,23.85,72.8,0.0,1.96
2021,1,10,9,23.81,73.45,0.0,1.87
2021,1,10,10,23.5,76.44,0.0,1.51
2021,1,10,11,23.02,78.67,0.0,1.1
2021,1,10,12,22.87,77.27,0.0,0.85
2021,1,10,13,22.78,74.73,0.0,0.73
2021,1,10,14,22.63,73.28,0.0,0.67
2021,1,10,15,22.41,72.97,0.0,0.61
2021,1,10,16,22.16,73.18,0.0,0.55
2021,1,10,17,21.86,74.32,0.0,0.43
2021,1,10,18,21.51,76.28,0.0,0.22
2021,1,10,19,21.15,78.74,0.0,0.31
2021,1,10,20,20.78,81.58,0.0,0.68
2021,1,10,21,20.39,84.63,0.0,0.97
2021,1,10,22,20.06,87.3,0.0,1.15
2021,1,10,23,19.87,89.1,0.0,1.21
2021,1,11,0,19.77,90.24,0.0,1.18
2021,1,11,1,20.17,89.48,0.0,1.09
2021,1,11,2,21.21,82.65,0.0,0.69
2021,1,11,3,22.63,73.96,0.0,0.42
2021,1,11,4,23.52,73.72,0.0,1.16
2021,1,11,5,23.97,75.02,0.0,1.51
2021,1,11,6,24.31,73.35,0.0,1.66
2021,1,11,7,24.57,72.0,0.0,1.75
2021,1,11,8,24.7,71.3,0.0,1.81
2021,1,11,9,24.59,72.02,0.0,1.84
2021,1,11,10,24.14,76.11,0.0,1.73
