YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,9.95,96.31,0.03,2.52
2021,1,1,1,11.8,86.17,0.07,2.55
2021,1,1,2,14.29,73.18,0.0,2.39
2021,1,1,3,17.46,62.87,0.0,1.67
2021,1,1,4,22.0,43.91,0.0,2.52
2021,1,1,5,23.83,39.59,0.0,2.65
2021,1,1,6,24.72,37.84,0.0,2.69
2021,1,1,7,25.17,37.06,0.0,2.76
2021,1,1,8,25.05,37.55,0.0,2.85
2021,1,1,9,24.26,41.37,0.0,2.86
2021,1,1,10,21.85,59.98,0.0,2.06
2021,1,1,11,18.4,70.78,0.0,2.55
2021,1,1,12,17.04,73.34,0.0,2.69
2021,1,1,13,16.24,74.24,0.0,2.72
2021,1,1,14,15.63,75.41,0.0,2.62
2021,1,1,15,15.15,76.1,0.0,2.51
2021,1,1,16,14.68,76.6,0.0,2.42
2021,1,1,17,14.07,77.86,0.0,2.43
2021,1,1,18,13.29,80.0,0.0,2.54
2021,1,1,19,12.44,82.44,0.0,2.68
2021,1,1,20,11.73,84.37,0.0,2.71
2021,1,1,21,11.2,85.55,0.0,2.71
2021,1,1,22,10.7,86.96,0.0,2.66
2021,1,1,23,10.24,88.54,0.0,2.56
2021,1,2,0,9.87,90.16,0.0,2.46
2021,1,2,1,11.76,84.62,0.0,2.13
2021,1,2,2,14.55,70.18,0.0,1.95
2021,1,2,3,17.8,60.56,0.0,1.26
2021,1,2,4,21.97,44.15,0.0,1.83
2021,1,2,5,23.7,39.44,0.0,2.07
2021,1,2,6,24.47,37.14,0.0,2.34
2021,1,2,7,24.79,36.1,0.0,2.57
2021,1,2,8,24.48,36.54,0.0,2.79
2021,1,2,9,23.38,42.01,0.0,2.62
2021,1,2,10,21.0,61.01,0.0,1.99
2021,1,2,11,18.45,69.06,0.0,2.39
2021,1,2,12,17.18,70.32,0.0,2.54
2021,1,2,13,16.28,71.07,0.0,2.48
2021,1,2,14,15.78,71.58,0.0,2.37
2021,1,2,15,15.32,71.96,0.0,2.27
2021,1,2,16,14.91,72.15,0.0,2.17
2021,1,2,17,14.55,72.17,0.0,2.03
2021,1,2,18,14.21,72.36,0.0,1.9
2021,1,2,19,13.75,73.4,0.0,1.82
2021,1,2,20,13.21,75.06,0.0,1.84
2021,1,2,21,12.55,77.58,0.0,1.94
2021,1,2,22,11.78,81.17,0.0,2.1
2021,1,2,23,10.94,85.5,0.0,2.32
2021,1,3,0,10.4,88.44,0.0,2.41
2021,1,3,1,12.08,85.27,0.0,2.11
2021,1,3,2,14.77,71.22,0.0,2.15
2021,1,3,3,17.64,62.68,0.0,1.39
2021,1,3,4,21.91,48.24,0.0,1.69
2021,1,3,5,23.93,43.07,0.0,1.9
2021,1,3,6,24.93,40.73,0.0,2.18
2021,1,3,7,25.51,39.65,0.0,2.41
2021,1,3,8,25.57,39.83,0.0,2.42
2021,1,3,9,24.94,43.48,0.0,2.26
2021,1,3,10,22.77,64.03,0.0,1.61
2021,1,3,11,20.17,67.98,0.0,2.03
2021,1,3,12,19.18,68.42,0.0,2.07
2021,1,3,13,18.48,70.23,0.0,2.03
2021,1,3,14,17.83,71.75,0.0,2.0
2021,1,3,15,17.18,73.21,0.0,1.99
2021,1,3,16,16.55,76.2,0.0,1.93
2021,1,3,17,15.93,79.53,0.0,1.87
2021,1,3,18,15.31,83.4,0.0,1.87
2021,1,3,19,14.63,87.98,0.0,1.91
2021,1,3,20,13.97,92.73,0.0,1.96
2021,1,3,21,13.4,96.86,0.0,2.01
2021,1,3,22,12.9,100.0,0.0,2.07
2021,1,3,23,12.43,100.0,0.0,2.12
2021,1,4,0,12.06,100.0,0.0,2.12
2021,1,4,1,13.66,97.37,0.0,1.95
2021,1,4,2,16.47,83.39,0.0,1.77
2021,1,4,3,20.01,68.79,0.0,1.28
2021,1,4,4,23.89,50.44,0.0,1.89
2021,1,4,5,25.57,44.34,0.0,2.29
2021,1,4,6,26.66,40.78,0.0,2.6
2021,1,4,7,27.3,39.19,0.0,2.84
2021,1,4,8,27.34,39.12,0.0,2.98
2021,1,4,9,26.57,42.81,0.0,2.81
2021,1,4,10,24.13,61.9,0.0,1.87
2021,1,4,11,21.01,71.57,0.0,2.19
2021,1,4,12,20.19,71.33,0.0,1.99
2021,1,4,13,19.89,70.84,0.0,1.62
2021,1,4,14,19.55,71.11,0.0,1.29
2021,1,4,15,18.99,72.68,0.0,1.22
2021,1,4,16,18.28,75.06,0.0,1.37
2021,1,4,17,17.4,79.47,0.0,1.63
2021,1,4,18,16.35,85.27,0.6,1.95
2021,1,4,19,15.29,91.41,10.28,2.25
2021,1,4,20,14.41,96.81,10.28,2.46
2021,1,4,21,13.83,100.0,9.68,2.44
2021,1,4,22,13.51,100.0,0.0,2.37
2021,1,4,23,13.2,100.0,0.0,2.29
2021,1,5,0,12.97,100.0,0.0,2.16
2021,1,5,1,14.81,97.97,0.03,1.99
2021,1,5,2,17.02,90.28,0.01,1.92
2021,1,5,3,20.19,76.79,0.0,1.69
2021,1,5,4,23.93,56.86,0.0,2.48
2021,1,5,5,25.64,50.15,0.0,2.76
2021,1,5,6,26.84,46.57,0.0,2.98
2021,1,5,7,27.53,44.94,0.0,3.12
2021,1,5,8,27.65,44.9,0.0,3.19
2021,1,5,9,26.99,47.64,0.0,3.03
2021,1,5,10,24.96,62.36,0.0,1.97
2021,1,5,11,21.62,76.25,0.0,2.13
2021,1,5,12,20.51,77.94,0.0,2.12
2021,1,5,13,20.03,78.26,0.0,1.91
2021,1,5,14,19.75,77.98,0.0,1.63
2021,1,5,15,19.43,77.79,0.0,1.43
2021,1,5,16,18.9,79.01,0.0,1.4
2021,1,5,17,18.22,81.43,0.0,1.47
2021,1,5,18,17.48,84.26,0.0,1.61
2021,1,5,19,16.42,89.14,0.0,1.9
2021,1,5,20,15.29,94.86,0.0,2.21
2021,1,5,21,14.57,98.66,0.0,2.36
2021,1,5,22,14.23,100.0,0.0,2.23
2021,1,5,23,13.94,100.0,0.0,2.23
