YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,11.7,100.0,0.0,1.93
2021,1,1,1,12.9,99.23,0.0,1.62
2021,1,1,2,16.1,89.17,0.0,0.84
2021,1,1,3,19.69,72.48,0.0,0.35
2021,1,1,4,22.07,62.46,0.0,0.18
2021,1,1,5,23.14,58.53,0.0,0.47
2021,1,1,6,23.63,57.04,0.0,0.61
2021,1,1,7,23.7,57.61,0.0,0.65
2021,1,1,8,23.33,60.48,0.0,0.62
2021,1,1,9,22.65,69.74,0.0,0.5
2021,1,1,10,21.71,78.06,0.0,0.63
2021,1,1,11,20.22,75.09,0.0,1.0
2021,1,1,12,19.42,73.96,0.0,1.09
2021,1,1,13,18.83,74.79,0.0,1.04
2021,1,1,14,18.25,76.28,0.0,1.0
2021,1,1,15,17.54,79.31,0.0,1.02
2021,1,1,16,16.69,83.94,0.0,1.16
2021,1,1,17,15.84,89.15,0.0,1.31
2021,1,1,18,15.02,94.15,0.0,1.45
2021,1,1,19,14.27,98.7,0.0,1.58
2021,1,1,20,13.55,100.0,0.0,1.69
2021,1,1,21,13.09,100.0,0.0,1.71
2021,1,1,22,12.65,100.0,0.0,1.77
2021,1,1,23,12.13,100.0,0.0,1.9
2021,1,2,0,11.56,100.0,0.0,2.04
2021,1,2,1,12.78,100.0,0.0,1.68
2021,1,2,2,16.27,87.37,0.0,0.88
2021,1,2,3,19.69,71.51,0.0,0.46
2021,1,2,4,21.7,62.95,0.0,0.25
2021,1,2,5,22.84,58.04,0.0,0.29
2021,1,2,6,23.42,55.88,0.0,0.4
2021,1,2,7,23.56,55.75,0.0,0.48
2021,1,2,8,23.16,58.71,0.0,0.49
2021,1,2,9,22.8,68.09,0.0,0.42
2021,1,2,10,21.53,75.54,0.0,0.59
2021,1,2,11,19.84,75.72,0.0,1.16
2021,1,2,12,18.8,77.25,0.0,1.39
2021,1,2,13,18.15,78.88,0.0,1.46
2021,1,2,14,17.48,79.75,0.0,1.52
2021,1,2,15,16.51,82.68,0.0,1.65
2021,1,2,16,15.52,86.7,0.0,1.78
2021,1,2,17,14.9,89.81,0.0,1.76
2021,1,2,18,14.62,91.33,0.0,1.65
2021,1,2,19,14.36,92.55,0.0,1.54
2021,1,2,20,13.91,94.57,0.0,1.52
2021,1,2,21,13.3,97.27,0.0,1.6
2021,1,2,22,12.3,100.0,0.0,1.85
2021,1,2,23,11.36,100.0,0.0,2.06
2021,1,3,0,11.08,100.0,0.0,2.09
2021,1,3,1,12.56,97.87,0.0,1.56
2021,1,3,2,15.85,84.34,0.0,0.95
2021,1,3,3,19.06,72.04,0.0,0.48
2021,1,3,4,21.41,63.45,0.0,0.23
2021,1,3,5,22.53,59.31,0.0,0.08
2021,1,3,6,23.15,57.06,0.0,0.12
2021,1,3,7,23.34,57.13,0.0,0.25
2021,1,3,8,23.15,59.83,0.0,0.3
2021,1,3,9,22.78,68.23,0.0,0.32
2021,1,3,10,21.94,75.76,0.0,0.38
2021,1,3,11,20.65,67.68,0.0,0.7
2021,1,3,12,19.53,69.58,0.0,1.05
2021,1,3,13,18.53,72.83,0.0,1.23
2021,1,3,14,17.73,75.43,0.0,1.29
2021,1,3,15,16.9,78.6,0.0,1.38
2021,1,3,16,15.92,83.32,0.0,1.54
2021,1,3,17,14.97,88.26,0.0,1.7
2021,1,3,18,14.25,91.86,0.0,1.77
2021,1,3,19,13.85,93.45,0.0,1.77
2021,1,3,20,13.58,94.07,0.0,1.73
2021,1,3,21,13.26,95.01,0.0,1.75
2021,1,3,22,12.82,96.54,0.0,1.82
