YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,10.97,100.0,0.0,2.55
2021,1,1,1,13.92,97.75,0.0,2.19
2021,1,1,2,16.66,87.3,0.0,2.02
2021,1,1,3,19.19,78.17,0.0,1.33
2021,1,1,4,21.71,67.38,0.0,0.81
2021,1,1,5,22.91,63.08,0.0,0.68
2021,1,1,6,23.56,60.75,0.0,1.01
2021,1,1,7,23.8,60.04,0.0,1.25
2021,1,1,8,23.63,60.9,0.0,1.39
2021,1,1,9,23.06,65.18,0.0,1.4
2021,1,1,10,21.63,75.44,0.0,1.19
2021,1,1,11,20.01,71.05,0.0,1.16
2021,1,1,12,20.07,67.8,0.0,0.93
2021,1,1,13,19.83,67.25,0.0,0.52
2021,1,1,14,19.13,69.6,0.0,0.45
2021,1,1,15,17.76,75.7,0.0,1.0
2021,1,1,16,16.08,84.3,0.0,1.51
2021,1,1,17,14.82,91.39,0.0,1.88
2021,1,1,18,13.8,97.84,0.0,2.05
2021,1,1,19,13.02,100.0,0.0,2.12
2021,1,1,20,12.38,100.0,0.0,2.14
2021,1,1,21,11.89,100.0,0.0,2.2
2021,1,1,22,11.53,100.0,0.0,2.33
2021,1,1,23,11.23,100.0,0.0,2.5
2021,1,2,0,11.1,100.0,0.0,2.6
2021,1,2,1,14.13,97.65,0.0,2.57
2021,1,2,2,16.8,88.56,0.0,2.47
2021,1,2,3,19.43,78.66,0.0,1.76
2021,1,2,4,21.26,70.64,0.0,1.12
2021,1,2,5,22.24,66.59,0.0,0.47
2021,1,2,6,22.9,63.39,0.0,0.35
2021,1,2,7,23.22,61.56,0.0,0.77
2021,1,2,8,23.14,61.03,0.0,1.03
2021,1,2,9,22.71,64.02,0.0,1.04
2021,1,2,10,21.46,73.17,0.0,0.9
2021,1,2,11,20.24,68.36,0.0,0.98
2021,1,2,12,19.93,67.24,0.0,0.9
2021,1,2,13,19.38,68.53,0.0,0.82
2021,1,2,14,18.16,73.65,0.0,1.06
2021,1,2,15,16.7,80.5,0.0,1.54
2021,1,2,16,15.35,87.08,0.0,1.91
2021,1,2,17,14.27,92.14,0.0,2.08
2021,1,2,18,13.52,95.25,0.0,2.11
2021,1,2,19,12.85,98.17,0.0,2.14
2021,1,2,20,12.22,100.0,0.0,2.18
2021,1,2,21,11.75,100.0,0.0,2.21
2021,1,2,22,11.26,100.0,0.0,2.37
2021,1,2,23,10.94,100.0,0.0,2.45
2021,1,3,0,10.84,100.0,0.0,2.4
2021,1,3,1,13.47,95.66,0.0,2.31
2021,1,3,2,16.02,85.36,0.0,2.4
2021,1,3,3,18.15,79.85,0.0,1.7
2021,1,3,4,20.49,71.18,0.0,1.39
2021,1,3,5,21.87,66.43,0.0,0.96
2021,1,3,6,22.61,64.72,0.0,0.63
2021,1,3,7,23.07,62.49,0.0,0.46
2021,1,3,8,23.12,61.13,0.0,0.41
2021,1,3,9,22.76,62.97,0.0,0.39
2021,1,3,10,21.71,68.36,0.0,0.25
2021,1,3,11,20.58,65.1,0.0,0.14
2021,1,3,12,19.85,66.42,0.0,0.37
2021,1,3,13,19.15,67.74,0.0,0.52
2021,1,3,14,18.45,70.11,0.0,0.6
2021,1,3,15,17.72,72.94,0.0,0.71
2021,1,3,16,16.85,76.31,0.0,0.92
2021,1,3,17,15.26,83.44,0.0,1.32
2021,1,3,18,14.27,87.64,0.0,1.77
2021,1,3,19,13.19,92.41,0.0,2.04
2021,1,3,20,12.44,95.61,0.0,2.13
2021,1,3,21,11.9,97.47,0.0,2.15
2021,1,3,22,11.47,98.42,0.0,2.2
2021,1,3,23,11.2,98.21,0.0,2.19
2021,1,4,0,11.27,95.8,0.0,2.06
2021,1,4,1,13.62,89.42,0.0,1.73
2021,1,4,2,16.23,78.43,0.0,1.62
2021,1,4,3,18.62,73.09,0.0,0.98
2021,1,4,4,21.15,65.77,0.0,0.69
2021,1,4,5,22.5,63.27,0.0,0.27
2021,1,4,6,23.27,62.11,0.0,0.15
2021,1,4,7,23.9,60.12,0.0,0.26
2021,1,4,8,23.99,60.08,0.0,0.44
2021,1,4,9,23.56,63.02,0.0,0.48
2021,1,4,10,22.3,68.85,0.0,0.44
2021,1,4,11,21.0,65.62,0.0,0.44
2021,1,4,12,20.23,67.35,0.0,0.51
2021,1,4,13,19.48,69.59,0.0,0.62
2021,1,4,14,18.73,72.5,0.0,0.72
2021,1,4,15,18.15,74.82,0.0,0.56
2021,1,4,16,17.66,76.6,0.0,0.27
2021,1,4,17,16.93,80.05,0.0,0.58
2021,1,4,18,15.87,85.45,0.0,0.99
2021,1,4,19,14.6,92.22,0.0,1.38
2021,1,4,20,13.58,97.88,0.0,1.82
2021,1,4,21,12.56,100.0,0.0,2.12
2021,1,4,22,11.83,100.0,0.0,2.34
2021,1,4,23,11.44,100.0,0.0,2.45
2021,1,5,0,11.38,100.0,0.0,2.39
2021,1,5,1,13.9,96.34,0.0,2.15
2021,1,5,2,16.22,87.76,0.0,2.07
2021,1,5,3,18.84,80.61,0.0,1.33
2021,1,5,4,21.24,71.47,0.0,0.92
2021,1,5,5,22.49,68.38,0.0,0.54
2021,1,5,6,23.3,66.89,0.0,0.33
2021,1,5,7,23.91,64.63,0.0,0.27
2021,1,5,8,24.0,64.46,0.0,0.45
2021,1,5,9,23.58,67.18,0.0,0.72
2021,1,5,10,22.26,75.45,0.0,0.84
2021,1,5,11,20.64,73.8,0.0,0.93
2021,1,5,12,20.34,72.72,0.0,0.82
2021,1,5,13,19.8,74.38,0.0,0.77
2021,1,5,14,18.57,80.32,0.0,1.13
2021,1,5,15,17.5,86.0,0.0,1.46
2021,1,5,16,16.79,89.94,0.0,1.55
2021,1,5,17,16.17,93.29,0.0,1.55
2021,1,5,18,15.5,96.65,0.0,1.64
2021,1,5,19,14.81,100.0,0.0,1.73
2021,1,5,20,14.14,100.0,0.0,1.83
2021,1,5,21,13.41,100.0,0.0,2.06
2021,1,5,22,12.81,100.0,0.0,2.32
2021,1,5,23,12.47,100.0,0.0,2.48
2021,1,6,0,12.33,100.0,0.0,2.49
2021,1,6,1,14.93,94.81,0.0,2.46
2021,1,6,2,17.1,86.45,0.0,2.18
2021,1,6,3,20.31,77.61,0.0,1.12
2021,1,6,4,22.17,72.72,0.0,0.62
2021,1,6,5,23.75,66.6,0.0,0.55
2021,1,6,6,25.25,59.55,0.0,0.38
2021,1,6,7,25.73,58.2,0.0,0.4
2021,1,6,8,25.68,58.86,0.0,0.69
2021,1,6,9,25.18,63.25,0.0,0.73
2021,1,6,10,24.05,68.42,0.0,0.72
2021,1,6,11,22.71,65.02,0.0,0.78
2021,1,6,12,22.02,66.46,0.0,0.84
2021,1,6,13,21.07,70.15,0.0,1.02
2021,1,6,14,19.84,75.79,0.0,1.29
2021,1,6,15,19.32,77.79,0.0,1.45
2021,1,6,16,18.82,80.11,0.0,1.42
2021,1,6,17,18.25,83.08,0.0,1.4
2021,1,6,18,17.35,87.82,0.0,1.61
2021,1,6,19,16.32,93.48,0.0,1.91
2021,1,6,20,15.49,97.99,0.0,2.2
2021,1,6,21,14.96,100.0,0.0,2.35
2021,1,6,22,14.56,100.0,0.0,2.41
2021,1,6,23,14.27,100.0,0.0,2.44
2021,1,7,0,14.15,99.93,0.0,2.42
2021,1,7,1,16.38,90.8,0.0,2.66
2021,1,7,2,18.36,83.0,0.0,2.69
2021,1,7,3,21.07,76.47,0.0,2.03
2021,1,7,4,23.05,70.46,0.0,1.04
2021,1,7,5,24.5,65.33,0.0,0.35
2021,1,7,6,25.12,63.48,0.0,0.76
2021,1,7,7,25.42,62.31,0.0,1.15
2021,1,7,8,25.3,62.93,0.0,1.25
2021,1,7,9,24.8,67.21,0.0,0.97
2021,1,7,10,23.81,71.17,0.0,0.63
2021,1,7,11,22.75,66.57,0.0,0.42
2021,1,7,12,21.66,70.08,0.0,0.79
2021,1,7,13,20.07,77.52,0.0,1.37
2021,1,7,14,18.55,84.79,0.0,1.94
2021,1,7,15,17.28,91.11,0.0,2.24
2021,1,7,16,16.45,95.59,0.0,2.37
2021,1,7,17,15.79,99.22,0.0,2.44
2021,1,7,18,15.24,100.0,0.0,2.42
2021,1,7,19,14.74,100.0,0.0,2.37
2021,1,7,20,14.28,100.0,0.0,2.33
2021,1,7,21,13.92,100.0,0.0,2.27
2021,1,7,22,13.6,100.0,0.0,2.23
2021,1,7,23,13.29,100.0,0.0,2.25
2021,1,8,0,13.06,100.0,0.0,2.32
2021,1,8,1,15.4,92.67,0.0,2.26
2021,1,8,2,17.64,84.16,0.0,2.51
2021,1,8,3,19.97,80.6,0.0,2.13
2021,1,8,4,22.17,74.39,0.0,1.51
2021,1,8,5,23.82,67.09,0.0,1.07
2021,1,8,6,25.01,58.52,0.0,0.83
2021,1,8,7,25.28,56.14,0.0,0.69
