YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,9.89,83.35,0.0,1.42
2021,1,1,1,11.0,81.4,0.0,0.9
2021,1,1,2,13.31,72.73,0.0,0.54
2021,1,1,3,15.71,66.22,0.0,0.21
2021,1,1,4,19.18,56.66,0.0,0.9
2021,1,1,5,22.03,49.79,0.0,1.59
2021,1,1,6,23.06,49.38,0.0,1.28
2021,1,1,7,23.51,49.0,0.0,0.6
2021,1,1,8,23.52,49.1,0.0,0.06
2021,1,1,9,23.02,51.44,0.0,0.38
2021,1,1,10,21.63,61.37,0.0,0.47
2021,1,1,11,19.68,59.78,0.0,0.7
2021,1,1,12,18.46,62.34,0.0,1.0
2021,1,1,13,17.31,65.42,0.0,1.31
2021,1,1,14,16.04,69.1,0.0,1.59
2021,1,1,15,14.67,73.35,0.0,1.92
2021,1,1,16,13.38,77.14,0.0,2.27
2021,1,1,17,12.38,78.99,0.0,2.56
2021,1,1,18,11.58,79.73,0.0,2.78
2021,1,1,19,10.98,79.65,0.0,2.92
2021,1,1,20,10.48,79.4,0.0,2.91
2021,1,1,21,10.14,79.25,0.0,2.69
2021,1,1,22,10.24,77.18,0.0,2.23
2021,1,1,23,10.43,74.83,0.0,1.66
2021,1,2,0,10.53,73.74,0.0,1.13
2021,1,2,1,11.24,75.98,0.0,0.61
2021,1,2,2,13.33,68.72,0.0,0.4
2021,1,2,3,15.49,63.38,0.0,0.35
2021,1,2,4,19.2,51.77,0.0,0.66
2021,1,2,5,22.1,45.25,0.0,1.13
2021,1,2,6,23.09,44.66,0.0,0.76
2021,1,2,7,23.56,44.19,0.0,0.49
2021,1,2,8,23.51,45.01,0.0,0.84
2021,1,2,9,22.99,48.2,0.0,1.08
2021,1,2,10,21.03,63.06,0.0,1.3
2021,1,2,11,18.39,63.79,0.0,1.87
2021,1,2,12,17.29,65.64,0.0,2.02
2021,1,2,13,16.95,65.35,0.0,1.77
2021,1,2,14,17.17,62.9,0.0,1.19
2021,1,2,15,17.05,62.46,0.0,0.74
2021,1,2,16,16.24,65.57,0.0,1.13
2021,1,2,17,15.41,68.74,0.0,1.42
2021,1,2,18,14.77,71.21,0.0,1.51
2021,1,2,19,14.05,73.88,0.0,1.56
2021,1,2,20,13.38,75.47,0.0,1.61
2021,1,2,21,13.07,76.15,0.0,1.46
2021,1,2,22,12.71,77.11,0.0,1.3
2021,1,2,23,12.36,77.93,0.0,1.21
2021,1,3,0,12.19,77.97,0.0,1.03
2021,1,3,1,12.83,78.54,0.0,0.62
2021,1,3,2,14.71,73.15,0.0,0.49
2021,1,3,3,16.87,66.75,0.0,0.59
2021,1,3,4,20.28,54.7,0.0,0.74
2021,1,3,5,23.04,46.2,0.0,0.93
2021,1,3,6,24.04,44.95,0.0,0.91
2021,1,3,7,24.42,44.93,0.0,0.82
2021,1,3,8,24.36,45.95,0.0,0.74
2021,1,3,9,23.86,48.64,0.0,0.71
2021,1,3,10,22.37,59.55,0.0,0.66
2021,1,3,11,20.52,57.72,0.0,0.68
2021,1,3,12,19.92,57.8,0.0,0.47
2021,1,3,13,19.33,58.49,0.0,0.34
2021,1,3,14,18.56,60.78,0.0,0.78
2021,1,3,15,17.48,65.22,0.0,1.19
2021,1,3,16,16.38,70.54,0.0,1.39
2021,1,3,17,15.65,73.99,0.0,1.46
2021,1,3,18,15.17,76.48,0.0,1.35
2021,1,3,19,14.69,78.77,0.0,1.2
2021,1,3,20,14.17,81.35,0.0,0.96
2021,1,3,21,14.05,82.08,0.0,0.74
2021,1,3,22,13.84,83.85,0.0,0.57
2021,1,3,23,13.51,86.36,0.0,0.6
2021,1,4,0,13.17,89.02,0.0,0.7
