YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,12.24,90.74,0.0,3.24
2021,1,1,1,15.13,86.4,0.0,2.76
2021,1,1,2,18.63,73.33,0.0,3.19
2021,1,1,3,20.65,68.05,0.0,2.42
2021,1,1,4,21.75,65.6,0.0,2.05
2021,1,1,5,22.43,64.29,0.0,1.87
2021,1,1,6,22.85,63.29,0.0,1.69
2021,1,1,7,23.04,62.12,0.0,1.54
2021,1,1,8,22.84,62.38,0.0,1.48
2021,1,1,9,22.23,66.26,0.0,1.36
2021,1,1,10,20.81,74.27,0.0,1.13
2021,1,1,11,19.51,70.14,0.0,0.94
2021,1,1,12,19.21,69.34,0.0,0.61
2021,1,1,13,17.66,75.89,0.0,1.23
2021,1,1,14,16.29,81.94,0.0,1.93
2021,1,1,15,15.23,86.41,0.0,2.32
2021,1,1,16,14.7,87.9,0.0,2.44
2021,1,1,17,14.36,88.38,0.0,2.48
2021,1,1,18,14.11,88.55,0.0,2.49
2021,1,1,19,13.79,88.99,0.0,2.48
2021,1,1,20,13.41,89.65,0.0,2.5
2021,1,1,21,12.99,90.44,0.0,2.56
2021,1,1,22,12.57,91.57,0.0,2.63
2021,1,1,23,12.03,93.78,0.0,2.79
2021,1,2,0,11.66,95.58,0.0,2.93
2021,1,2,1,14.48,88.07,0.0,2.72
2021,1,2,2,17.29,77.94,0.0,3.29
2021,1,2,3,19.62,73.45,0.0,2.29
2021,1,2,4,20.88,70.1,0.0,1.68
2021,1,2,5,21.66,67.31,0.0,1.52
2021,1,2,6,22.06,66.16,0.0,1.55
2021,1,2,7,22.19,65.77,0.0,1.62
2021,1,2,8,21.97,66.19,0.0,1.69
2021,1,2,9,21.43,68.89,0.0,1.48
2021,1,2,10,20.07,78.5,0.0,1.16
2021,1,2,11,18.73,73.94,0.0,1.0
2021,1,2,12,18.72,71.96,0.0,0.56
2021,1,2,13,17.15,78.8,0.0,1.29
2021,1,2,14,15.56,85.86,0.0,2.16
2021,1,2,15,14.42,90.25,0.0,2.71
2021,1,2,16,13.92,90.47,0.0,2.98
2021,1,2,17,13.65,89.39,0.0,3.08
