YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,10.7,100.0,0.0,2.72
2021,1,1,1,12.73,96.5,0.0,2.49
2021,1,1,2,15.16,87.07,0.0,2.74
2021,1,1,3,18.07,77.39,0.0,2.34
2021,1,1,4,21.0,65.0,0.0,2.46
2021,1,1,5,22.28,61.3,0.0,2.14
2021,1,1,6,22.95,59.3,0.0,1.98
2021,1,1,7,23.24,58.67,0.0,1.89
2021,1,1,8,23.11,59.38,0.0,1.86
2021,1,1,9,22.56,62.84,0.0,1.91
2021,1,1,10,20.94,76.95,0.0,1.65
2021,1,1,11,18.49,78.15,0.0,2.14
2021,1,1,12,17.34,80.8,0.0,2.45
2021,1,1,13,16.48,82.96,0.0,2.73
2021,1,1,14,15.79,84.57,0.0,2.92
2021,1,1,15,15.19,86.23,0.0,2.99
2021,1,1,16,14.59,88.75,0.0,3.03
2021,1,1,17,14.02,91.59,0.0,3.05
2021,1,1,18,13.46,94.47,0.0,3.06
2021,1,1,19,12.88,97.23,0.0,3.09
2021,1,1,20,12.38,99.34,0.0,3.13
2021,1,1,21,11.91,100.0,0.0,3.11
2021,1,1,22,11.49,100.0,0.0,3.01
2021,1,1,23,11.2,100.0,0.0,2.83
2021,1,2,0,11.1,100.0,0.0,2.59
2021,1,2,1,13.16,96.8,0.0,2.2
2021,1,2,2,15.62,87.99,0.0,2.28
2021,1,2,3,18.66,76.59,0.0,2.2
2021,1,2,4,21.13,66.58,0.0,2.19
2021,1,2,5,22.14,63.91,0.0,1.75
2021,1,2,6,22.78,61.47,0.0,1.56
2021,1,2,7,23.1,60.24,0.0,1.5
2021,1,2,8,23.02,60.21,0.0,1.49
2021,1,2,9,22.51,62.85,0.0,1.51
2021,1,2,10,21.16,74.2,0.0,1.32
2021,1,2,11,19.29,73.56,0.0,1.61
2021,1,2,12,18.28,75.78,0.0,1.86
2021,1,2,13,17.44,77.66,0.0,2.07
2021,1,2,14,16.65,79.53,0.0,2.26
2021,1,2,15,15.72,83.02,0.0,2.51
2021,1,2,16,14.92,86.15,0.0,2.72
2021,1,2,17,14.3,88.45,0.0,2.8
2021,1,2,18,13.83,89.93,0.0,2.77
2021,1,2,19,13.4,91.3,0.0,2.72
2021,1,2,20,12.97,93.01,0.0,2.68
2021,1,2,21,12.66,94.15,0.0,2.58
2021,1,2,22,12.42,95.56,0.0,2.45
2021,1,2,23,12.24,96.86,0.0,2.28
2021,1,3,0,12.18,97.66,0.0,2.02
2021,1,3,1,13.65,93.11,0.0,1.79
2021,1,3,2,15.88,84.99,0.0,2.05
2021,1,3,3,18.29,78.27,0.0,1.69
2021,1,3,4,21.48,65.01,0.0,2.11
2021,1,3,5,22.93,60.78,0.0,2.01
2021,1,3,6,23.64,58.82,0.0,1.67
2021,1,3,7,24.08,57.22,0.0,1.27
2021,1,3,8,24.12,56.83,0.0,0.94
2021,1,3,9,23.75,58.52,0.0,0.7
2021,1,3,10,22.62,66.45,0.0,0.74
2021,1,3,11,20.77,67.25,0.0,1.18
2021,1,3,12,19.59,71.19,0.0,1.6
2021,1,3,13,18.49,75.3,0.0,1.96
2021,1,3,14,17.44,78.93,0.0,2.32
2021,1,3,15,16.68,81.31,0.0,2.48
2021,1,3,16,16.09,83.63,0.0,2.45
2021,1,3,17,15.6,86.19,0.0,2.34
2021,1,3,18,15.26,88.07,0.0,2.1
2021,1,3,19,15.06,89.39,0.0,1.78
2021,1,3,20,14.79,91.15,0.0,1.53
2021,1,3,21,14.42,93.54,0.0,1.38
2021,1,3,22,14.11,95.77,0.0,1.23
2021,1,3,23,13.87,97.43,0.0,1.13
2021,1,4,0,13.54,99.75,0.0,1.15
2021,1,4,1,14.53,95.59,0.0,1.24
2021,1,4,2,16.41,89.02,0.0,1.39
2021,1,4,3,19.24,78.78,0.0,1.19
2021,1,4,4,22.42,64.92,0.0,1.29
2021,1,4,5,23.62,61.02,0.0,1.17
2021,1,4,6,24.37,58.21,0.0,1.07
2021,1,4,7,24.81,56.8,0.0,1.04
2021,1,4,8,24.87,56.71,0.0,1.11
2021,1,4,9,24.32,60.18,0.0,1.23
2021,1,4,10,22.85,71.28,0.0,1.21
2021,1,4,11,21.08,70.39,0.0,1.44
2021,1,4,12,20.07,73.32,0.0,1.61
2021,1,4,13,19.13,76.82,0.0,1.8
2021,1,4,14,18.18,80.17,0.0,2.04
2021,1,4,15,17.38,83.36,0.0,2.18
2021,1,4,16,16.77,86.22,0.0,2.22
2021,1,4,17,16.23,88.78,0.0,2.24
2021,1,4,18,15.81,90.65,0.14,2.17
2021,1,4,19,15.48,91.92,0.49,2.08
2021,1,4,20,15.19,92.96,0.49,1.98
2021,1,4,21,14.92,94.01,0.34,1.83
2021,1,4,22,14.61,95.52,0.0,1.64
2021,1,4,23,14.26,97.48,0.0,1.52
2021,1,5,0,13.93,99.6,0.0,1.48
2021,1,5,1,14.9,95.64,0.0,1.4
2021,1,5,2,16.75,89.52,0.0,1.37
2021,1,5,3,19.42,79.57,0.0,1.2
2021,1,5,4,22.65,64.03,0.0,1.77
2021,1,5,5,23.83,60.93,0.0,1.87
2021,1,5,6,24.57,59.51,0.0,1.92
2021,1,5,7,25.03,58.8,0.0,1.82
2021,1,5,8,25.08,59.19,0.0,1.57
2021,1,5,9,24.7,61.55,0.0,1.31
2021,1,5,10,23.5,69.57,0.0,1.07
2021,1,5,11,21.64,71.04,0.0,1.27
2021,1,5,12,20.52,74.54,0.0,1.56
2021,1,5,13,19.4,78.78,0.0,1.89
2021,1,5,14,18.23,83.02,0.0,2.32
2021,1,5,15,17.29,87.2,0.0,2.56
2021,1,5,16,16.62,90.39,0.0,2.64
